Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725948759216,2024-09-10T06:12:39.216Z,68493,-2.0731707,4.878049,0.6707317
1725948759294,2024-09-10T06:12:39.294Z,68571,-2.2560976,5.365854,0.24390244
1725948759310,2024-09-10T06:12:39.310Z,68587,-0.85365856,5.182927,0.42682928
1725948759382,2024-09-10T06:12:39.382Z,68659,2.012195,5.5487804,1.8902439
1725948759392,2024-09-10T06:12:39.392Z,68669,4.085366,7.4390244,5.0609756
1725948759435,2024-09-10T06:12:39.435Z,68712,1.2195122,9.695122,8.170732
1725948759524,2024-09-10T06:12:39.524Z,68801,-6.0365853,10.792684,12.073171
1725948759535,2024-09-10T06:12:39.535Z,68812,-9.634147,13.597561,15.182927
1725948759546,2024-09-10T06:12:39.546Z,68823,-11.158537,19.207317,16.768293
1725948759568,2024-09-10T06:12:39.568Z,68845,-10.54878,21.09756,16.95122
1725948759659,2024-09-10T06:12:39.659Z,68936,-11.95122,21.158537,17.012196
1725948759669,2024-09-10T06:12:39.669Z,68946,-9.817074,22.560976,16.707317
1725948759705,2024-09-10T06:12:39.705Z,68982,-0.6097561,18.47561,19.207317
1725948759748,2024-09-10T06:12:39.748Z,69025,4.6951222,15.304878,18.719513
1725948759803,2024-09-10T06:12:39.803Z,69080,2.987805,7.682927,18.536585
1725948759857,2024-09-10T06:12:39.857Z,69134,-0.4878049,5.121951,18.841463
1725948759901,2024-09-10T06:12:39.901Z,69178,-4.2073174,1.4634147,22.134148
1725948759942,2024-09-10T06:12:39.942Z,69219,-7.682927,10.792684,22.195122
1725948759989,2024-09-10T06:12:39.989Z,69266,-7.987805,18.841463,22.195122
1725948760011,2024-09-10T06:12:40.011Z,69288,-4.512195,8.231708,13.292684
1725948760030,2024-09-10T06:12:40.030Z,69307,1.8902439,6.52439,3.902439
1725948760076,2024-09-10T06:12:40.076Z,69353,8.780488,12.439025,-4.8170733
1725948760123,2024-09-10T06:12:40.123Z,69400,8.780488,15.060976,-11.646341
1725948760164,2024-09-10T06:12:40.164Z,69441,9.085366,20.060976,-13.963415
1725948760211,2024-09-10T06:12:40.211Z,69488,10.731708,33.963417,-11.95122
1725948760254,2024-09-10T06:12:40.254Z,69531,10.182927,51.707317,-13.109756
1725948760299,2024-09-10T06:12:40.299Z,69576,4.5731707,59.817074,-14.939025
1725948760436,2024-09-10T06:12:40.436Z,69713,-0.42682928,74.14634,-15.731708
1725948760454,2024-09-10T06:12:40.454Z,69731,3.3536587,88.23171,-11.8902445
1725948760467,2024-09-10T06:12:40.467Z,69744,7.0731707,100.54878,-7.1951222
1725948760480,2024-09-10T06:12:40.480Z,69757,4.2073174,112.80488,-2.682927
1725948760491,2024-09-10T06:12:40.491Z,69768,1.7073171,124.02439,1.4634147
1725948760514,2024-09-10T06:12:40.514Z,69791,8.04878,130.12195,6.646342
1725948760564,2024-09-10T06:12:40.564Z,69841,13.597561,126.768295,12.682927
1725948760613,2024-09-10T06:12:40.613Z,69890,14.878049,131.46342,18.658537
1725948760658,2024-09-10T06:12:40.658Z,69935,16.524391,119.87805,19.634148
