Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1734712299535,2024-12-20T16:31:39.535Z,63613,-1.7073171,-0.85365856,-2.0731707
1734712299549,2024-12-20T16:31:39.549Z,63627,-2.012195,-0.73170733,-2.682927
1734712299564,2024-12-20T16:31:39.564Z,63642,-2.195122,1.7073171,-2.987805
1734712299578,2024-12-20T16:31:39.578Z,63656,-2.195122,4.2073174,-2.6219513
1734712299590,2024-12-20T16:31:39.590Z,63668,-2.1341465,5.609756,-1.9512196
1734712299608,2024-12-20T16:31:39.608Z,63686,-1.7073171,5.914634,-1.5243902
1734712299617,2024-12-20T16:31:39.617Z,63695,-1.402439,5.8536587,-1.0365853
1734712299626,2024-12-20T16:31:39.626Z,63704,-1.1585366,5.365854,-0.42682928
1734712299638,2024-12-20T16:31:39.638Z,63716,-1.3414634,4.5731707,-0.73170733
1734712299648,2024-12-20T16:31:39.648Z,63726,-2.0731707,4.2073174,-2.012195
1734712299657,2024-12-20T16:31:39.657Z,63735,-2.5,4.878049,-3.292683
1734712299703,2024-12-20T16:31:39.703Z,63781,-0.91463417,5.7317076,-1.1585366
1734712299713,2024-12-20T16:31:39.713Z,63791,-2.378049,5.182927,-0.9756098
1734712299722,2024-12-20T16:31:39.722Z,63800,-3.1097562,5.121951,-0.6707317
1734712299732,2024-12-20T16:31:39.732Z,63810,-2.5609756,6.2195125,0.24390244
1734712299741,2024-12-20T16:31:39.741Z,63819,-1.6463414,7.3170733,0.5487805
1734712299759,2024-12-20T16:31:39.759Z,63837,-0.12195122,4.085366,1.097561
1734712299768,2024-12-20T16:31:39.768Z,63846,-0.18292683,4.512195,1.097561
1734712299778,2024-12-20T16:31:39.778Z,63856,-0.24390244,4.02439,1.0365853
1734712299788,2024-12-20T16:31:39.788Z,63866,0.6707317,3.3536587,0.9756098
1734712299834,2024-12-20T16:31:39.834Z,63912,2.5,3.5975611,1.2195122
1734712299848,2024-12-20T16:31:39.848Z,63926,1.402439,2.2560976,2.9268293
1734712299857,2024-12-20T16:31:39.857Z,63935,1.1585366,3.4146342,2.5609756
1734712299867,2024-12-20T16:31:39.867Z,63945,1.5243902,3.5975611,1.8902439
1734712299875,2024-12-20T16:31:39.875Z,63953,2.0731707,3.902439,1.0365853
1734712299884,2024-12-20T16:31:39.884Z,63962,2.9268293,4.085366,0.79268295
1734712299893,2024-12-20T16:31:39.893Z,63971,2.804878,3.4756098,1.1585366
1734712299902,2024-12-20T16:31:39.902Z,63980,2.2560976,3.292683,2.012195
