Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725720983278,2024-09-07T14:56:23.278Z,86395,-0.4878049,1.8902439,-1.3414634
1725720983321,2024-09-07T14:56:23.321Z,86438,-0.6097561,2.195122,-1.6463414
1725720983347,2024-09-07T14:56:23.347Z,86464,-0.6707317,0.91463417,-2.4390244
1725720983372,2024-09-07T14:56:23.372Z,86489,0.4878049,-0.85365856,-2.378049
1725720983416,2024-09-07T14:56:23.416Z,86533,2.012195,-0.12195122,-2.317073
1725720983463,2024-09-07T14:56:23.463Z,86580,4.085366,5.97561,-3.292683
1725720983511,2024-09-07T14:56:23.511Z,86628,4.6951222,11.158537,-2.7439024
1725720983552,2024-09-07T14:56:23.552Z,86669,6.646342,12.926829,-1.402439
1725720983609,2024-09-07T14:56:23.609Z,86726,11.95122,21.768293,0.0
1725720983662,2024-09-07T14:56:23.662Z,86779,18.231709,31.463415,-0.42682928
1725720983716,2024-09-07T14:56:23.716Z,86833,22.256098,41.890244,-1.7682927
1725720983736,2024-09-07T14:56:23.736Z,86853,23.841463,54.69512,-3.7195122
1725720983770,2024-09-07T14:56:23.770Z,86887,25.182928,65.97561,-7.0731707
1725720983788,2024-09-07T14:56:23.788Z,86905,25.304878,68.53659,-7.5
1725720983871,2024-09-07T14:56:23.871Z,86988,25.182928,73.65854,-5.914634
1725720983889,2024-09-07T14:56:23.889Z,87006,25.914635,81.70732,-6.7073174
1725720983914,2024-09-07T14:56:23.914Z,87031,25.853659,80.30488,-7.5
1725720983960,2024-09-07T14:56:23.960Z,87077,24.573172,77.743904,-6.890244
1725720984013,2024-09-07T14:56:24.013Z,87130,22.439024,73.17073,-6.2195125
1725720984065,2024-09-07T14:56:24.065Z,87182,17.5,76.15854,-5.670732
1725720984107,2024-09-07T14:56:24.107Z,87224,13.658537,74.02439,-4.268293
1725720984149,2024-09-07T14:56:24.149Z,87266,10.121951,66.585365,-1.7682927
1725720984197,2024-09-07T14:56:24.197Z,87314,6.4634147,69.268295,1.097561
1725720984222,2024-09-07T14:56:24.222Z,87339,4.878049,60.792683,2.1341465
1725720984241,2024-09-07T14:56:24.241Z,87358,1.2804878,53.65854,1.7682927
1725720984273,2024-09-07T14:56:24.273Z,87390,0.24390244,53.78049,1.2195122
1725720984316,2024-09-07T14:56:24.316Z,87433,1.9512196,50.548782,2.0731707
1725720984380,2024-09-07T14:56:24.380Z,87497,4.1463413,43.35366,3.5975611
1725720984411,2024-09-07T14:56:24.411Z,87528,6.0365853,44.32927,5.304878
1725720984463,2024-09-07T14:56:24.463Z,87580,5.4268293,40.121952,3.0487804
1725720984517,2024-09-07T14:56:24.517Z,87634,5.7317076,41.40244,2.378049
1725720984547,2024-09-07T14:56:24.547Z,87664,2.987805,38.536587,2.1341465
1725720984599,2024-09-07T14:56:24.599Z,87716,1.2195122,34.878048,2.0731707
1725720984622,2024-09-07T14:56:24.622Z,87739,4.512195,42.560978,5.365854
1725720984639,2024-09-07T14:56:24.639Z,87756,7.256098,39.390244,5.8536587
1725720984679,2024-09-07T14:56:24.679Z,87796,7.1951222,39.45122,5.0
1725720984728,2024-09-07T14:56:24.728Z,87845,6.3414636,38.90244,1.0365853
1725720984780,2024-09-07T14:56:24.780Z,87897,1.0365853,23.90244,-3.0487804
1725720984825,2024-09-07T14:56:24.825Z,87942,4.6951222,35.609756,-1.8292683
1725720984866,2024-09-07T14:56:24.866Z,87983,9.02439,36.646343,-3.2317073
1725720984912,2024-09-07T14:56:24.912Z,88029,11.036586,28.170732,-4.1463413
1725720984965,2024-09-07T14:56:24.965Z,88082,12.865854,29.146341,-3.292683
1725720985004,2024-09-07T14:56:25.004Z,88121,10.121951,35.914635,-2.682927
1725720985021,2024-09-07T14:56:25.021Z,88138,5.914634,34.939026,-3.8414636
1725720985050,2024-09-07T14:56:25.050Z,88167,2.317073,36.768295,-4.512195
1725720985099,2024-09-07T14:56:25.099Z,88216,-1.5853659,40.0,-5.97561
1725720985148,2024-09-07T14:56:25.148Z,88265,-0.30487806,39.085365,-7.3170733
1725720985186,2024-09-07T14:56:25.186Z,88303,5.121951,35.609756,-7.865854
1725720985234,2024-09-07T14:56:25.234Z,88351,9.756098,33.59756,-7.1341467
1725720985281,2024-09-07T14:56:25.281Z,88398,13.841464,30.731709,-7.5609756
1725720985316,2024-09-07T14:56:25.316Z,88433,17.317074,23.90244,-13.597561
