Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725815353891,2024-09-08T17:09:13.891Z,227355,-0.6707317,1.8902439,-1.1585366
1725815353946,2024-09-08T17:09:13.946Z,227410,-0.24390244,2.4390244,-1.2195122
1725815353988,2024-09-08T17:09:13.988Z,227452,-0.36585367,1.097561,-1.4634147
1725815354034,2024-09-08T17:09:14.034Z,227498,-1.7073171,0.79268295,-2.2560976
1725815354080,2024-09-08T17:09:14.080Z,227544,-1.2195122,0.36585367,-3.292683
1725815354188,2024-09-08T17:09:14.188Z,227652,-0.79268295,1.097561,-2.012195
1725815354216,2024-09-08T17:09:14.216Z,227680,-0.5487805,0.4878049,-0.9756098
1725815354267,2024-09-08T17:09:14.267Z,227731,0.12195122,-0.6707317,-0.36585367
1725815354281,2024-09-08T17:09:14.281Z,227745,-0.5487805,-0.06097561,-0.5487805
1725815354296,2024-09-08T17:09:14.296Z,227760,0.4878049,-0.5487805,-0.9756098
1725815354347,2024-09-08T17:09:14.347Z,227811,0.5487805,-0.9756098,-1.4634147
1725815354375,2024-09-08T17:09:14.375Z,227839,0.6097561,-1.2195122,-1.7682927
1725815354392,2024-09-08T17:09:14.392Z,227856,-0.12195122,1.9512196,-1.402439
1725815354432,2024-09-08T17:09:14.432Z,227896,-0.85365856,0.6707317,0.06097561
1725815354578,2024-09-08T17:09:14.578Z,228042,2.8658538,2.2560976,3.1097562
1725815354596,2024-09-08T17:09:14.596Z,228060,4.4512196,2.4390244,5.365854
1725815354612,2024-09-08T17:09:14.612Z,228076,1.2804878,1.5853659,4.390244
1725815354627,2024-09-08T17:09:14.627Z,228091,-0.06097561,-0.12195122,3.3536587
1725815354665,2024-09-08T17:09:14.665Z,228129,-0.12195122,-1.6463414,1.8292683
1725815354684,2024-09-08T17:09:14.684Z,228148,-0.9756098,-2.2560976,-2.9268293
1725815354704,2024-09-08T17:09:14.704Z,228168,-3.8414636,-0.6707317,-6.097561
1725815354856,2024-09-08T17:09:14.856Z,228320,-2.012195,2.0731707,-5.914634
1725815354883,2024-09-08T17:09:14.883Z,228347,3.3536587,6.52439,-0.42682928
1725815354902,2024-09-08T17:09:14.902Z,228366,5.609756,10.609756,5.97561
1725815354924,2024-09-08T17:09:14.924Z,228388,8.597561,19.695122,12.073171
1725815354942,2024-09-08T17:09:14.942Z,228406,17.37805,18.90244,22.256098
1725815354973,2024-09-08T17:09:14.973Z,228437,18.59756,23.04878,26.890245
1725815355022,2024-09-08T17:09:15.022Z,228486,21.219513,36.40244,28.780489
1725815355082,2024-09-08T17:09:15.082Z,228546,20.97561,52.439026,25.304878
1725815355124,2024-09-08T17:09:15.124Z,228588,27.317074,51.52439,20.182928
1725815355143,2024-09-08T17:09:15.143Z,228607,35.0,60.42683,12.987805
1725815355196,2024-09-08T17:09:15.196Z,228660,37.5,67.19512,5.487805
1725815355212,2024-09-08T17:09:15.212Z,228676,35.30488,64.87805,1.2804878
1725815355304,2024-09-08T17:09:15.304Z,228768,37.134148,84.20732,1.0365853
