Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1735320786768,2024-12-27T17:33:06.768Z,70603,-3.292683,0.85365856,-1.7682927
1735320786780,2024-12-27T17:33:06.780Z,70615,-4.634146,2.012195,-1.1585366
1735320786789,2024-12-27T17:33:06.789Z,70624,-3.8414636,2.7439024,-1.4634147
1735320786798,2024-12-27T17:33:06.798Z,70633,-2.1341465,0.91463417,-2.7439024
1735320786808,2024-12-27T17:33:06.808Z,70643,-1.9512196,-0.5487805,-2.6219513
1735320786817,2024-12-27T17:33:06.817Z,70652,-1.5243902,0.0,-2.5
1735320786890,2024-12-27T17:33:06.890Z,70725,-2.378049,0.24390244,-2.5609756
1735320786931,2024-12-27T17:33:06.931Z,70766,-4.2073174,2.5,-1.9512196
1735320786942,2024-12-27T17:33:06.942Z,70777,-4.1463413,4.9390244,-1.402439
1735320786951,2024-12-27T17:33:06.951Z,70786,-3.7804878,5.2439027,-1.5853659
1735320786961,2024-12-27T17:33:06.961Z,70796,-2.987805,3.4146342,-2.1341465
1735320786970,2024-12-27T17:33:06.970Z,70805,0.30487806,2.378049,-3.2317073
1735320787067,2024-12-27T17:33:07.067Z,70902,0.79268295,1.5853659,-3.0487804
1735320787077,2024-12-27T17:33:07.077Z,70912,0.12195122,1.8292683,-2.0731707
1735320787088,2024-12-27T17:33:07.088Z,70923,-0.30487806,3.4756098,-1.5853659
1735320787100,2024-12-27T17:33:07.100Z,70935,-0.12195122,4.3292685,-2.012195
1735320787113,2024-12-27T17:33:07.113Z,70948,-0.36585367,4.3292685,-1.7073171
1735320787126,2024-12-27T17:33:07.126Z,70961,2.6219513,2.378049,0.73170733
1735320787140,2024-12-27T17:33:07.140Z,70975,0.79268295,0.6097561,0.73170733
1735320787149,2024-12-27T17:33:07.149Z,70984,0.9756098,0.9756098,0.85365856
1735320787158,2024-12-27T17:33:07.158Z,70993,0.36585367,0.6097561,0.91463417
1735320787169,2024-12-27T17:33:07.169Z,71004,-1.0365853,-0.36585367,1.2804878
1735320787177,2024-12-27T17:33:07.177Z,71012,-2.378049,-1.8292683,1.9512196
1735320787187,2024-12-27T17:33:07.187Z,71022,-0.91463417,-0.85365856,2.682927
1735320787196,2024-12-27T17:33:07.196Z,71031,0.5487805,-0.42682928,1.402439
1735320787205,2024-12-27T17:33:07.205Z,71040,3.0487804,-0.42682928,0.36585367
