Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725696664940,2024-09-07T08:11:04.940Z,140578,15.853659,34.45122,22.804878
1725696664996,2024-09-07T08:11:04.996Z,140634,4.634146,38.048782,26.463415
1725696665029,2024-09-07T08:11:05.029Z,140667,-1.097561,54.69512,33.841465
1725696665069,2024-09-07T08:11:05.069Z,140707,3.0487804,73.04878,36.890244
1725696665114,2024-09-07T08:11:05.114Z,140752,3.7804878,87.621956,36.40244
1725696665160,2024-09-07T08:11:05.160Z,140798,1.5243902,93.96342,29.146341
1725696665208,2024-09-07T08:11:05.208Z,140846,2.987805,100.67073,19.085367
1725696665252,2024-09-07T08:11:05.252Z,140890,6.890244,102.80488,9.756098
1725696665308,2024-09-07T08:11:05.308Z,140946,17.5,110.0,2.4390244
1725696665357,2024-09-07T08:11:05.357Z,140995,28.47561,115.60976,-8.04878
1725696665374,2024-09-07T08:11:05.374Z,141012,37.378048,93.414635,-16.036585
1725696665394,2024-09-07T08:11:05.394Z,141032,42.2561,94.87805,-18.47561
1725696665489,2024-09-07T08:11:05.489Z,141127,41.341465,101.097565,-27.621952
1725696665507,2024-09-07T08:11:05.507Z,141145,42.378048,87.37805,-34.268295
1725696665523,2024-09-07T08:11:05.523Z,141161,40.97561,87.439026,-39.817074
1725696665573,2024-09-07T08:11:05.573Z,141211,30.487806,75.79269,-41.52439
1725696665620,2024-09-07T08:11:05.620Z,141258,18.719513,93.90244,-41.585365
1725696665667,2024-09-07T08:11:05.667Z,141305,10.670732,83.96342,-41.82927
1725696665718,2024-09-07T08:11:05.718Z,141356,10.609756,43.65854,-44.268295
1725696665759,2024-09-07T08:11:05.759Z,141397,16.95122,16.341463,-51.890244
1725696665782,2024-09-07T08:11:05.782Z,141420,18.59756,33.048782,-52.743904
1725696665802,2024-09-07T08:11:05.802Z,141440,15.487805,48.048782,-34.57317
1725696665853,2024-09-07T08:11:05.853Z,141491,9.878049,29.634148,-23.292683
1725696665891,2024-09-07T08:11:05.891Z,141529,6.4634147,21.463415,-14.45122
1725696665934,2024-09-07T08:11:05.934Z,141572,-0.9756098,16.890244,-3.7195122
1725696665984,2024-09-07T08:11:05.984Z,141622,-7.6219516,11.768293,6.3414636
1725696666034,2024-09-07T08:11:06.034Z,141672,-11.95122,6.9512196,10.731708
1725696666076,2024-09-07T08:11:06.076Z,141714,-10.426829,1.4634147,10.0
1725696666117,2024-09-07T08:11:06.117Z,141755,-11.036586,-8.902439,7.1951222
1725696666162,2024-09-07T08:11:06.162Z,141800,-11.8902445,-14.329268,4.4512196
1725696666210,2024-09-07T08:11:06.210Z,141848,-12.378049,-17.073172,4.512195
1725696666230,2024-09-07T08:11:06.230Z,141868,-9.939025,-22.621952,3.1097562
1725696666250,2024-09-07T08:11:06.250Z,141888,-9.146341,-25.304878,2.4390244
1725696666295,2024-09-07T08:11:06.295Z,141933,-9.146341,-24.756098,3.1707318
1725696666343,2024-09-07T08:11:06.343Z,141981,-7.682927,-24.512196,3.1097562
1725696666391,2024-09-07T08:11:06.391Z,142029,-8.353659,-24.268293,3.7804878
1725696666435,2024-09-07T08:11:06.435Z,142073,-10.853659,-24.87805,2.987805
1725696666480,2024-09-07T08:11:06.480Z,142118,-11.52439,-25.54878,1.5243902
1725696666527,2024-09-07T08:11:06.527Z,142165,-13.536586,-30.792685,2.0731707
1725696666569,2024-09-07T08:11:06.569Z,142207,-15.792684,-38.65854,3.1707318
1725696666616,2024-09-07T08:11:06.616Z,142254,-15.121951,-43.23171,3.5975611
1725696666639,2024-09-07T08:11:06.639Z,142277,-16.463415,-48.841465,4.6951222
1725696666655,2024-09-07T08:11:06.655Z,142293,-12.743903,-54.146343,2.5
