Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725696755969,2024-09-07T08:12:35.969Z,39081,-0.44177246,-1.0264893,0.04888916
1725696756011,2024-09-07T08:12:36.011Z,39123,-0.4173584,-1.012085,-0.05267334
1725696756058,2024-09-07T08:12:36.058Z,39170,-0.36541748,-0.9918213,-0.070495605
1725696756102,2024-09-07T08:12:36.102Z,39214,-0.3994751,-0.99957275,-0.1338501
1725696756146,2024-09-07T08:12:36.146Z,39258,-0.30682373,-0.97802734,-0.13348389
1725696756207,2024-09-07T08:12:36.207Z,39319,-0.31451416,-0.9562988,-0.21374512
1725696756244,2024-09-07T08:12:36.244Z,39356,-0.30255127,-0.89367676,-0.16156006
1725696756263,2024-09-07T08:12:36.263Z,39375,-0.20922852,-0.8670044,-0.1574707
1725696756285,2024-09-07T08:12:36.285Z,39397,-0.2029419,-0.86102295,-0.19525146
1725696756333,2024-09-07T08:12:36.333Z,39445,-0.17773438,-0.8018799,-0.13616943
1725696756376,2024-09-07T08:12:36.376Z,39488,-0.16326904,-0.7494507,-0.16235352
1725696756425,2024-09-07T08:12:36.425Z,39537,-0.11828613,-0.69573975,-0.15808105
1725696756470,2024-09-07T08:12:36.470Z,39582,-0.16436768,-0.69000244,-0.17022705
1725696756516,2024-09-07T08:12:36.516Z,39628,-0.222229,-0.74591064,-0.23852539
1725696756560,2024-09-07T08:12:36.560Z,39672,-0.29473877,-0.8152466,-0.23034668
1725696756604,2024-09-07T08:12:36.604Z,39716,-0.2637329,-0.8314209,-0.16479492
1725696756650,2024-09-07T08:12:36.650Z,39762,-0.20440674,-0.80700684,-0.09173584
1725696756676,2024-09-07T08:12:36.676Z,39788,-0.23364258,-0.8059082,-0.15594482
1725696756697,2024-09-07T08:12:36.697Z,39809,-0.22454834,-0.8251343,-0.06719971
1725696756736,2024-09-07T08:12:36.736Z,39848,-0.17834473,-0.9036255,-0.12219238
1725696756783,2024-09-07T08:12:36.783Z,39895,-0.16186523,-0.8948364,-0.10272217
1725696756829,2024-09-07T08:12:36.829Z,39941,-0.15820312,-0.93621826,-0.12585449
1725696756872,2024-09-07T08:12:36.872Z,39984,-0.14361572,-0.96099854,-0.11236572
1725696756919,2024-09-07T08:12:36.919Z,40031,-0.17156982,-0.97906494,-0.100097656
1725696756964,2024-09-07T08:12:36.964Z,40076,-0.16412354,-0.9633179,-0.10266113
1725696757013,2024-09-07T08:12:37.013Z,40125,-0.18817139,-0.9691162,-0.09674072
1725696757053,2024-09-07T08:12:37.053Z,40165,-0.17059326,-0.96343994,-0.08691406
1725696757075,2024-09-07T08:12:37.075Z,40187,-0.18707275,-0.9525757,-0.10620117
1725696757096,2024-09-07T08:12:37.096Z,40208,-0.18334961,-0.96606445,-0.074523926
1725696757142,2024-09-07T08:12:37.142Z,40254,-0.19799805,-0.9793701,-0.083984375
1725696757190,2024-09-07T08:12:37.190Z,40302,-0.19976807,-0.9671631,-0.08148193
1725696757234,2024-09-07T08:12:37.234Z,40346,-0.21490479,-0.9735718,-0.059143066
1725696757280,2024-09-07T08:12:37.280Z,40392,-0.21289062,-0.970459,-0.06500244
1725696757323,2024-09-07T08:12:37.323Z,40435,-0.20788574,-0.9588623,-0.06817627
1725696757374,2024-09-07T08:12:37.374Z,40486,-0.2177124,-0.9567871,-0.06414795
1725696757416,2024-09-07T08:12:37.416Z,40528,-0.22796631,-0.9692993,-0.08111572
1725696757459,2024-09-07T08:12:37.459Z,40571,-0.2368164,-0.9590454,-0.07550049
1725696757503,2024-09-07T08:12:37.503Z,40615,-0.2144165,-0.930542,-0.08911133
1725696757524,2024-09-07T08:12:37.524Z,40636,-0.22741699,-0.9403076,-0.10144043
1725696757545,2024-09-07T08:12:37.545Z,40657,-0.2189331,-0.93640137,-0.087768555
1725696757592,2024-09-07T08:12:37.592Z,40704,-0.20733643,-0.9579468,-0.10284424
1725696757637,2024-09-07T08:12:37.637Z,40749,-0.22473145,-0.92071533,-0.09197998
1725696757685,2024-09-07T08:12:37.685Z,40797,-0.1795044,-0.93310547,-0.11663818
1725696757726,2024-09-07T08:12:37.726Z,40838,-0.22772217,-0.9085083,-0.09802246
1725696757772,2024-09-07T08:12:37.772Z,40884,-0.19372559,-0.9640503,-0.10852051
1725696757815,2024-09-07T08:12:37.815Z,40927,-0.23364258,-0.92401123,-0.11230469
1725696757872,2024-09-07T08:12:37.872Z,40984,-0.20904541,-0.92822266,-0.084228516
1725696757909,2024-09-07T08:12:37.909Z,41021,-0.24700928,-0.91015625,-0.13092041
1725696757966,2024-09-07T08:12:37.966Z,41078,-0.24597168,-0.92297363,-0.111694336
1725696757993,2024-09-07T08:12:37.993Z,41105,-0.27929688,-0.95080566,-0.12799072
