Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725696186774,2024-09-07T08:03:06.774Z,47039,0.5487805,3.0487804,1.7073171
1725696186810,2024-09-07T08:03:06.810Z,47075,0.6707317,2.5609756,1.6463414
1725696186821,2024-09-07T08:03:06.821Z,47086,2.195122,3.292683,0.85365856
1725696186861,2024-09-07T08:03:06.861Z,47126,5.0609756,4.8170733,-0.30487806
1725696186904,2024-09-07T08:03:06.904Z,47169,4.878049,6.158537,0.12195122
1725696186947,2024-09-07T08:03:06.947Z,47212,1.9512196,8.414635,0.36585367
1725696186991,2024-09-07T08:03:06.991Z,47256,0.24390244,10.731708,3.292683
1725696187038,2024-09-07T08:03:07.038Z,47303,4.1463413,14.085366,9.268292
1725696187080,2024-09-07T08:03:07.080Z,47345,7.1341467,14.329268,16.463415
1725696187143,2024-09-07T08:03:07.143Z,47408,9.207317,13.841464,22.682928
1725696187184,2024-09-07T08:03:07.184Z,47449,15.6707325,24.268293,27.37805
1725696187233,2024-09-07T08:03:07.233Z,47498,18.04878,31.585367,27.865854
1725696187254,2024-09-07T08:03:07.254Z,47519,18.59756,44.45122,31.463415
1725696187272,2024-09-07T08:03:07.272Z,47537,19.390244,51.15854,32.80488
1725696187320,2024-09-07T08:03:07.320Z,47585,19.085367,50.0,31.768293
1725696187366,2024-09-07T08:03:07.366Z,47631,14.634147,56.15854,27.92683
1725696187411,2024-09-07T08:03:07.411Z,47676,4.8170733,63.65854,23.59756
1725696187458,2024-09-07T08:03:07.458Z,47723,6.7073174,68.04878,21.158537
1725696187499,2024-09-07T08:03:07.499Z,47764,20.54878,80.30488,26.280489
1725696187547,2024-09-07T08:03:07.547Z,47812,18.536585,77.86585,21.82927
1725696187593,2024-09-07T08:03:07.593Z,47858,6.8292685,89.756096,14.329268
1725696187637,2024-09-07T08:03:07.637Z,47902,5.914634,91.585365,8.109756
1725696187660,2024-09-07T08:03:07.660Z,47925,9.3902445,108.78049,3.8414636
1725696187675,2024-09-07T08:03:07.675Z,47940,9.329268,100.18293,-4.8170733
1725696187722,2024-09-07T08:03:07.722Z,47987,9.268292,103.53659,-11.646341
1725696187767,2024-09-07T08:03:07.767Z,48032,17.92683,119.69512,-18.719513
1725696187815,2024-09-07T08:03:07.815Z,48080,28.109756,110.60976,-26.524391
1725696187864,2024-09-07T08:03:07.864Z,48129,33.841465,86.82927,-31.463415
1725696187905,2024-09-07T08:03:07.905Z,48170,36.463417,89.57317,-34.817074
1725696187954,2024-09-07T08:03:07.954Z,48219,25.609756,84.085365,-44.32927
1725696188092,2024-09-07T08:03:08.092Z,48357,15.792684,77.98781,-51.40244
1725696188115,2024-09-07T08:03:08.115Z,48380,11.585366,67.621956,-54.634148
1725696188130,2024-09-07T08:03:08.130Z,48395,15.121951,56.15854,-55.243904
1725696188145,2024-09-07T08:03:08.145Z,48410,27.073172,55.30488,-57.134148
