Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725696426949,2024-09-07T08:07:06.949Z,287214,-0.10021973,-0.9238281,0.13226318
1725696426973,2024-09-07T08:07:06.973Z,287238,-0.12530518,-0.95599365,0.14764404
1725696426993,2024-09-07T08:07:06.993Z,287258,-0.11853027,-0.96533203,0.15734863
1725696427024,2024-09-07T08:07:07.024Z,287289,-0.1003418,-0.9663086,0.16741943
1725696427067,2024-09-07T08:07:07.067Z,287332,-0.114746094,-0.9800415,0.19732666
1725696427112,2024-09-07T08:07:07.112Z,287377,-0.16223145,-1.0391846,0.23083496
1725696427158,2024-09-07T08:07:07.158Z,287423,-0.20446777,-1.1295776,0.23840332
1725696427214,2024-09-07T08:07:07.214Z,287479,-0.2911377,-1.2037354,0.2611084
1725696427264,2024-09-07T08:07:07.264Z,287529,-0.31280518,-1.2138062,0.286438
1725696427297,2024-09-07T08:07:07.297Z,287562,-0.3147583,-1.1555176,0.28027344
1725696427336,2024-09-07T08:07:07.336Z,287601,-0.2998047,-1.0835571,0.25061035
1725696427385,2024-09-07T08:07:07.385Z,287650,-0.30029297,-1.0374146,0.21972656
1725696427429,2024-09-07T08:07:07.429Z,287694,-0.30603027,-1.0430298,0.16558838
1725696427454,2024-09-07T08:07:07.454Z,287719,-0.33514404,-1.0549316,0.1685791
1725696427473,2024-09-07T08:07:07.473Z,287738,-0.3347168,-1.0116577,0.18682861
1725696427522,2024-09-07T08:07:07.522Z,287787,-0.28173828,-0.9401245,0.12158203
1725696427563,2024-09-07T08:07:07.563Z,287828,-0.2952881,-0.90167236,0.105773926
1725696427619,2024-09-07T08:07:07.619Z,287884,-0.31036377,-0.8892212,0.14141846
1725696427660,2024-09-07T08:07:07.660Z,287925,-0.33618164,-0.8378906,0.21685791
1725696427696,2024-09-07T08:07:07.696Z,287961,-0.32659912,-0.85113525,0.13189697
1725696427801,2024-09-07T08:07:07.801Z,288066,-0.35058594,-0.8579712,0.26031494
1725696427863,2024-09-07T08:07:07.863Z,288128,-0.35620117,-0.902771,0.22021484
1725696427884,2024-09-07T08:07:07.884Z,288149,-0.35333252,-0.8948364,0.11956787
1725696427902,2024-09-07T08:07:07.902Z,288167,-0.3552246,-0.87127686,0.09057617
1725696427918,2024-09-07T08:07:07.918Z,288183,-0.34674072,-0.90618896,0.042541504
1725696427932,2024-09-07T08:07:07.932Z,288197,-0.28033447,-0.9230957,0.03656006
1725696428017,2024-09-07T08:07:08.017Z,288282,-0.2774048,-0.9597168,-0.030456543
1725696428030,2024-09-07T08:07:08.030Z,288295,-0.23425293,-0.89727783,-0.07067871
1725696428057,2024-09-07T08:07:08.057Z,288322,-0.20245361,-0.8994751,-0.06011963
1725696428106,2024-09-07T08:07:08.106Z,288371,-0.22167969,-0.88256836,-0.05645752
1725696428151,2024-09-07T08:07:08.151Z,288416,-0.16973877,-0.87298584,-0.0947876
1725696428194,2024-09-07T08:07:08.194Z,288459,-0.17254639,-0.8596802,-0.0635376
1725696428222,2024-09-07T08:07:08.222Z,288487,-0.11975098,-0.84814453,-0.07495117
1725696428241,2024-09-07T08:07:08.241Z,288506,-0.107910156,-0.8195801,-0.07299805
1725696428286,2024-09-07T08:07:08.286Z,288551,-0.16375732,-0.7894287,-0.044433594
1725696428378,2024-09-07T08:07:08.378Z,288643,-0.12591553,-0.767334,-0.076049805
1725696428399,2024-09-07T08:07:08.399Z,288664,-0.15325928,-0.8451538,-0.05218506
1725696428419,2024-09-07T08:07:08.419Z,288684,-0.22052002,-0.8969116,0.005065918
1725696428466,2024-09-07T08:07:08.466Z,288731,-0.21264648,-0.9191284,-0.032226562
1725696428533,2024-09-07T08:07:08.533Z,288798,-0.24987793,-0.9628296,0.030090332
1725696428559,2024-09-07T08:07:08.559Z,288824,-0.32635498,-0.9291382,0.10900879
1725696428602,2024-09-07T08:07:08.602Z,288867,-0.3147583,-0.9140625,0.041503906
1725696428643,2024-09-07T08:07:08.643Z,288908,-0.2980957,-1.0183716,0.0501709
1725696428664,2024-09-07T08:07:08.664Z,288929,-0.3491211,-1.0125732,0.031188965
1725696428687,2024-09-07T08:07:08.687Z,288952,-0.2633667,-0.98931885,-0.0020141602
1725696428733,2024-09-07T08:07:08.733Z,288998,-0.23181152,-0.90740967,-0.018066406
1725696428781,2024-09-07T08:07:08.781Z,289046,-0.2321167,-0.85809326,-0.055236816
1725696428829,2024-09-07T08:07:08.829Z,289094,-0.20135498,-0.8756714,-0.06817627
1725696428871,2024-09-07T08:07:08.871Z,289136,-0.2477417,-0.98168945,-0.0725708
1725696428914,2024-09-07T08:07:08.914Z,289179,-0.25360107,-1.0202026,-0.045959473
1725696429013,2024-09-07T08:07:09.013Z,289278,-0.2520752,-0.96313477,-0.053955078
1725696429047,2024-09-07T08:07:09.047Z,289312,-0.21429443,-0.88049316,-0.073913574
1725696429070,2024-09-07T08:07:09.070Z,289335,-0.20855713,-0.88201904,-0.06951904
1725696429087,2024-09-07T08:07:09.087Z,289352,-0.22088623,-0.9024048,-0.09075928
1725696429184,2024-09-07T08:07:09.184Z,289449,-0.23687744,-0.913208,-0.12298584
1725696429199,2024-09-07T08:07:09.199Z,289464,-0.24731445,-0.9296875,-0.10626221
1725696429212,2024-09-07T08:07:09.212Z,289477,-0.28759766,-0.93792725,-0.12261963
1725696429227,2024-09-07T08:07:09.227Z,289492,-0.29919434,-0.96118164,-0.079711914
1725696429273,2024-09-07T08:07:09.273Z,289538,-0.27850342,-0.9208374,-0.107421875
1725696429318,2024-09-07T08:07:09.318Z,289583,-0.2543335,-0.8892212,-0.14471436
1725696429366,2024-09-07T08:07:09.366Z,289631,-0.24932861,-0.8599243,-0.12731934
1725696429413,2024-09-07T08:07:09.413Z,289678,-0.22131348,-0.9175415,-0.15362549
1725696429455,2024-09-07T08:07:09.455Z,289720,-0.28631592,-0.9232788,-0.13342285
1725696429476,2024-09-07T08:07:09.476Z,289741,-0.28826904,-0.9371338,-0.17608643
1725696429500,2024-09-07T08:07:09.500Z,289765,-0.33789062,-0.93048096,-0.16363525
1725696429544,2024-09-07T08:07:09.544Z,289809,-0.35583496,-0.9282837,-0.15283203
1725696429592,2024-09-07T08:07:09.592Z,289857,-0.3475952,-0.93896484,-0.14263916
1725696429634,2024-09-07T08:07:09.634Z,289899,-0.34783936,-0.8942261,-0.12988281
1725696429684,2024-09-07T08:07:09.684Z,289949,-0.3416748,-0.8626709,-0.12438965
1725696429729,2024-09-07T08:07:09.729Z,289994,-0.32434082,-0.8553467,-0.14343262
1725696429774,2024-09-07T08:07:09.774Z,290039,-0.3616333,-0.88012695,-0.13165283
1725696429813,2024-09-07T08:07:09.813Z,290078,-0.39709473,-0.9312744,-0.17211914
1725696429866,2024-09-07T08:07:09.866Z,290131,-0.40740967,-0.96551514,-0.15045166
1725696429905,2024-09-07T08:07:09.905Z,290170,-0.3684082,-0.9229126,-0.18328857
1725696429930,2024-09-07T08:07:09.930Z,290195,-0.31500244,-0.87615967,-0.16394043
1725696429998,2024-09-07T08:07:09.998Z,290263,-0.34106445,-0.857666,-0.16363525
1725696430018,2024-09-07T08:07:10.018Z,290283,-0.3232422,-0.8434448,-0.11755371
1725696430043,2024-09-07T08:07:10.043Z,290308,-0.3867798,-0.8753052,-0.119018555
1725696430087,2024-09-07T08:07:10.087Z,290352,-0.46258545,-0.86846924,-0.11602783
1725696430128,2024-09-07T08:07:10.128Z,290393,-0.4234619,-0.9099121,-0.1932373
1725696430182,2024-09-07T08:07:10.182Z,290447,-0.44519043,-0.8796387,-0.09631348
1725696430223,2024-09-07T08:07:10.223Z,290488,-0.40429688,-0.8885498,-0.15264893
1725696430264,2024-09-07T08:07:10.264Z,290529,-0.37280273,-0.881897,-0.119262695
