Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725816754506,2024-09-08T17:32:34.506Z,24954,0.24871826,0.4776001,0.8184204
1725816754547,2024-09-08T17:32:34.547Z,24995,0.26934814,0.49432373,0.81365967
1725816754593,2024-09-08T17:32:34.593Z,25041,0.28289795,0.50531006,0.81762695
1725816754640,2024-09-08T17:32:34.640Z,25088,0.2966919,0.5343628,0.7796631
1725816754652,2024-09-08T17:32:34.652Z,25100,0.28686523,0.5439453,0.79400635
1725816754781,2024-09-08T17:32:34.781Z,25229,0.2531128,0.5371094,0.79901123
1725816754800,2024-09-08T17:32:34.800Z,25248,0.24053955,0.52697754,0.78497314
1725816754817,2024-09-08T17:32:34.817Z,25265,0.24279785,0.52471924,0.82196045
1725816754829,2024-09-08T17:32:34.829Z,25277,0.26397705,0.5211792,0.82177734
1725816754864,2024-09-08T17:32:34.864Z,25312,0.27319336,0.50250244,0.81414795
1725816754911,2024-09-08T17:32:34.911Z,25359,0.26794434,0.49212646,0.8204346
1725816755006,2024-09-08T17:32:35.006Z,25454,0.26342773,0.48657227,0.8336792
1725816755027,2024-09-08T17:32:35.027Z,25475,0.25390625,0.49212646,0.8358154
1725816755096,2024-09-08T17:32:35.096Z,25544,0.27526855,0.5007324,0.81329346
1725816755121,2024-09-08T17:32:35.121Z,25569,0.27008057,0.5140381,0.8074341
1725816755145,2024-09-08T17:32:35.145Z,25593,0.2687378,0.5218506,0.8049927
1725816755164,2024-09-08T17:32:35.164Z,25612,0.27471924,0.5258179,0.80352783
1725816755178,2024-09-08T17:32:35.178Z,25626,0.2723999,0.5258179,0.8051758
1725816755226,2024-09-08T17:32:35.226Z,25674,0.26452637,0.52770996,0.7970581
1725816755272,2024-09-08T17:32:35.272Z,25720,0.26330566,0.5192871,0.80133057
1725816755318,2024-09-08T17:32:35.318Z,25766,0.24920654,0.508728,0.81152344
1725816755367,2024-09-08T17:32:35.367Z,25815,0.2571411,0.5136719,0.8123779
1725816755409,2024-09-08T17:32:35.409Z,25857,0.2750244,0.50579834,0.82873535
1725816755455,2024-09-08T17:32:35.455Z,25903,0.25836182,0.50024414,0.8265381
1725816755502,2024-09-08T17:32:35.502Z,25950,0.26049805,0.49816895,0.8206177
1725816755528,2024-09-08T17:32:35.528Z,25976,0.27197266,0.48364258,0.8372803
1725816755552,2024-09-08T17:32:35.552Z,26000,0.25061035,0.47210693,0.84942627
1725816755588,2024-09-08T17:32:35.588Z,26036,0.24127197,0.48162842,0.83026123
1725816755681,2024-09-08T17:32:35.681Z,26129,0.2772827,0.49536133,0.8006592
1725816755702,2024-09-08T17:32:35.702Z,26150,0.27905273,0.522583,0.8000488
