Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725816754420,2024-09-08T17:32:34.420Z,24868,8.04878,1.8292683,-1.097561
1725816754461,2024-09-08T17:32:34.461Z,24909,8.414635,2.0731707,-1.0365853
1725816754511,2024-09-08T17:32:34.511Z,24959,10.365854,5.2439027,2.5
1725816754551,2024-09-08T17:32:34.551Z,24999,10.731708,6.158537,6.402439
1725816754598,2024-09-08T17:32:34.598Z,25046,8.231708,5.4268293,7.012195
1725816754646,2024-09-08T17:32:34.646Z,25094,3.5975611,3.0487804,4.9390244
1725816754655,2024-09-08T17:32:34.655Z,25103,0.79268295,0.42682928,0.73170733
1725816754791,2024-09-08T17:32:34.791Z,25239,-1.3414634,0.12195122,-2.987805
1725816754809,2024-09-08T17:32:34.809Z,25257,-4.8170733,-0.73170733,-3.5975611
1725816754823,2024-09-08T17:32:34.823Z,25271,-7.0731707,-1.402439,-2.012195
1725816754835,2024-09-08T17:32:34.835Z,25283,-7.1341467,0.0,-1.7682927
1725816754869,2024-09-08T17:32:34.869Z,25317,-5.0609756,0.6707317,-2.378049
1725816754919,2024-09-08T17:32:34.919Z,25367,-3.4756098,0.0,-2.4390244
1725816755017,2024-09-08T17:32:35.017Z,25465,-1.5853659,-0.73170733,-1.5853659
1725816755038,2024-09-08T17:32:35.038Z,25486,1.3414634,1.2804878,1.2804878
1725816755109,2024-09-08T17:32:35.109Z,25557,3.4756098,2.7439024,3.7195122
1725816755134,2024-09-08T17:32:35.134Z,25582,4.6951222,3.1707318,5.121951
1725816755155,2024-09-08T17:32:35.155Z,25603,3.7195122,2.0731707,3.9634147
1725816755172,2024-09-08T17:32:35.172Z,25620,2.195122,2.012195,1.7073171
1725816755184,2024-09-08T17:32:35.184Z,25632,-0.06097561,1.1585366,-0.85365856
1725816755234,2024-09-08T17:32:35.234Z,25682,-2.4390244,1.2804878,-2.7439024
1725816755282,2024-09-08T17:32:35.282Z,25730,-4.8170733,0.0,-4.02439
1725816755328,2024-09-08T17:32:35.328Z,25776,-7.3170733,-0.79268295,-3.8414636
1725816755377,2024-09-08T17:32:35.377Z,25825,-10.304878,-2.012195,-2.0731707
1725816755419,2024-09-08T17:32:35.419Z,25867,-10.121951,-2.012195,-1.6463414
1725816755468,2024-09-08T17:32:35.468Z,25916,-7.682927,-0.24390244,-2.6219513
1725816755514,2024-09-08T17:32:35.514Z,25962,-5.0609756,-0.30487806,-3.2317073
1725816755540,2024-09-08T17:32:35.540Z,25988,-0.6097561,-0.4878049,-3.292683
1725816755561,2024-09-08T17:32:35.561Z,26009,3.902439,0.30487806,-0.9756098
1725816755599,2024-09-08T17:32:35.599Z,26047,6.0365853,4.6951222,3.8414636
1725816755691,2024-09-08T17:32:35.691Z,26139,4.8170733,4.268293,6.585366
1725816755712,2024-09-08T17:32:35.712Z,26160,1.7073171,2.6219513,6.8292685
1725816755732,2024-09-08T17:32:35.732Z,26180,-1.9512196,0.42682928,3.902439
1725816755775,2024-09-08T17:32:35.775Z,26223,-4.268293,-1.0365853,-0.85365856
1725816755823,2024-09-08T17:32:35.823Z,26271,-4.6951222,-1.1585366,-5.0
1725816755869,2024-09-08T17:32:35.869Z,26317,-3.902439,0.36585367,-5.0609756
1725816755919,2024-09-08T17:32:35.919Z,26367,-3.292683,0.12195122,-1.7073171
1725816755940,2024-09-08T17:32:35.940Z,26388,-3.8414636,0.6707317,1.8902439
1725816755960,2024-09-08T17:32:35.960Z,26408,-4.02439,1.1585366,2.682927
1725816756002,2024-09-08T17:32:36.002Z,26450,-2.8658538,0.85365856,0.30487806
1725816756048,2024-09-08T17:32:36.048Z,26496,-1.2804878,0.0,-1.5853659
1725816756140,2024-09-08T17:32:36.140Z,26588,1.9512196,1.0365853,-1.8902439
1725816756157,2024-09-08T17:32:36.157Z,26605,4.02439,3.902439,0.06097561
1725816756176,2024-09-08T17:32:36.176Z,26624,3.5365853,3.9634147,1.8902439
1725816756231,2024-09-08T17:32:36.231Z,26679,1.2804878,2.5609756,2.2560976
1725816756318,2024-09-08T17:32:36.318Z,26766,-0.85365856,0.6097561,-0.18292683
1725816756338,2024-09-08T17:32:36.338Z,26786,-1.5853659,0.79268295,-3.292683
1725816756357,2024-09-08T17:32:36.357Z,26805,-1.097561,0.4878049,-4.02439
1725816756369,2024-09-08T17:32:36.369Z,26817,-1.402439,0.6097561,-1.9512196
1725816756407,2024-09-08T17:32:36.407Z,26855,-2.378049,0.79268295,1.9512196
1725816756490,2024-09-08T17:32:36.490Z,26938,-3.6585367,1.402439,3.1097562
1725816756512,2024-09-08T17:32:36.512Z,26960,-4.1463413,0.42682928,1.097561
