Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725817448543,2024-09-08T17:44:08.543Z,17399,-14.146341,8.597561,8.658537
1725817448584,2024-09-08T17:44:08.584Z,17440,-16.341463,7.987805,10.670732
1725817448682,2024-09-08T17:44:08.682Z,17538,-28.47561,-3.1707318,21.890244
1725817448696,2024-09-08T17:44:08.696Z,17552,-39.573174,-24.939026,32.987804
1725817448726,2024-09-08T17:44:08.726Z,17582,-42.682926,-35.670734,37.19512
1725817448769,2024-09-08T17:44:08.769Z,17625,-39.207317,-27.621952,35.30488
1725817448783,2024-09-08T17:44:08.783Z,17639,-29.32927,-9.085366,27.92683
1725817448810,2024-09-08T17:44:08.810Z,17666,-16.95122,8.47561,18.170732
1725817448856,2024-09-08T17:44:08.856Z,17712,-4.6951222,17.682928,9.329268
1725817448908,2024-09-08T17:44:08.908Z,17764,4.512195,21.524391,2.012195
1725817448954,2024-09-08T17:44:08.954Z,17810,10.304878,25.914635,-5.5487804
1725817449000,2024-09-08T17:44:09Z,17856,12.195122,26.280489,-11.768293
1725817449045,2024-09-08T17:44:09.045Z,17901,12.987805,18.59756,-15.182927
1725817449094,2024-09-08T17:44:09.094Z,17950,14.02439,11.402439,-16.341463
1725817449136,2024-09-08T17:44:09.136Z,17992,14.146341,7.987805,-15.609756
1725817449183,2024-09-08T17:44:09.183Z,18039,12.926829,2.8658538,-13.780488
1725817449199,2024-09-08T17:44:09.199Z,18055,11.585366,0.6707317,-13.170732
1725817449221,2024-09-08T17:44:09.221Z,18077,10.0,3.7195122,-13.04878
1725817449270,2024-09-08T17:44:09.270Z,18126,8.414635,6.4634147,-11.829268
1725817449317,2024-09-08T17:44:09.317Z,18173,4.9390244,7.4390244,-9.146341
1725817449364,2024-09-08T17:44:09.364Z,18220,-0.36585367,7.4390244,-5.670732
1725817449407,2024-09-08T17:44:09.407Z,18263,-5.792683,6.3414636,-0.79268295
1725817449448,2024-09-08T17:44:09.448Z,18304,-9.3902445,3.4756098,2.6219513
