Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725949175324,2024-09-10T06:19:35.324Z,79453,1.8292683,3.4146342,-4.085366
1725949175457,2024-09-10T06:19:35.457Z,79586,1.402439,3.3536587,-3.9634147
1725949175478,2024-09-10T06:19:35.478Z,79607,0.79268295,3.0487804,-5.792683
1725949175497,2024-09-10T06:19:35.497Z,79626,-0.79268295,2.0731707,-6.097561
1725949175516,2024-09-10T06:19:35.516Z,79645,-0.91463417,2.5609756,-6.646342
1725949175590,2024-09-10T06:19:35.590Z,79719,-0.6707317,2.7439024,-6.4634147
1725949175607,2024-09-10T06:19:35.607Z,79736,-1.0365853,2.682927,-8.109756
1725949175628,2024-09-10T06:19:35.628Z,79757,-0.6097561,-0.24390244,-8.963415
1725949175647,2024-09-10T06:19:35.647Z,79776,0.30487806,-2.317073,-9.268292
1725949175686,2024-09-10T06:19:35.686Z,79815,3.7195122,-2.6219513,-7.3170733
1725949175742,2024-09-10T06:19:35.742Z,79871,5.121951,-3.5975611,-4.634146
1725949175794,2024-09-10T06:19:35.794Z,79923,6.280488,-2.317073,-1.8292683
1725949175835,2024-09-10T06:19:35.835Z,79964,4.268293,-1.1585366,-1.402439
1725949175879,2024-09-10T06:19:35.879Z,80008,3.1707318,0.4878049,-6.4634147
1725949175927,2024-09-10T06:19:35.927Z,80056,2.0731707,-0.6097561,-7.5
1725949176049,2024-09-10T06:19:36.049Z,80178,0.30487806,-3.1097562,-8.780488
1725949176084,2024-09-10T06:19:36.084Z,80213,0.5487805,-6.585366,-7.804878
1725949176110,2024-09-10T06:19:36.110Z,80239,0.24390244,-9.085366,-5.182927
1725949176130,2024-09-10T06:19:36.130Z,80259,-0.79268295,-9.756098,-0.9756098
1725949176148,2024-09-10T06:19:36.148Z,80277,0.18292683,-10.54878,8.963415
1725949176164,2024-09-10T06:19:36.164Z,80293,1.9512196,-12.743903,19.207317
1725949176184,2024-09-10T06:19:36.184Z,80313,4.085366,-12.926829,28.536587
1725949176229,2024-09-10T06:19:36.229Z,80358,5.97561,-18.353659,34.817074
1725949176282,2024-09-10T06:19:36.282Z,80411,6.890244,-11.036586,36.280487
1725949176330,2024-09-10T06:19:36.330Z,80459,8.719512,-10.304878,33.780487
1725949176375,2024-09-10T06:19:36.375Z,80504,7.0731707,-18.414635,30.609756
1725949176393,2024-09-10T06:19:36.393Z,80522,4.512195,-21.768293,26.036587
1725949176414,2024-09-10T06:19:36.414Z,80543,3.5365853,-19.024391,26.95122
1725949176497,2024-09-10T06:19:36.497Z,80626,2.5,-15.609756,26.646341
1725949176522,2024-09-10T06:19:36.522Z,80651,4.02439,-12.5,31.341465
1725949176546,2024-09-10T06:19:36.546Z,80675,1.7073171,-7.865854,35.30488
1725949176601,2024-09-10T06:19:36.601Z,80730,-1.3414634,-1.5243902,37.560978
1725949176648,2024-09-10T06:19:36.648Z,80777,2.0731707,0.6097561,38.90244
1725949176740,2024-09-10T06:19:36.740Z,80869,-0.5487805,4.756098,33.414635
1725949176764,2024-09-10T06:19:36.764Z,80893,0.30487806,3.7804878,28.658537
1725949176781,2024-09-10T06:19:36.781Z,80910,-4.634146,6.097561,24.146341
1725949176797,2024-09-10T06:19:36.797Z,80926,-3.9634147,10.853659,19.512196
1725949176814,2024-09-10T06:19:36.814Z,80943,-2.4390244,13.536586,20.060976
1725949177007,2024-09-10T06:19:37.007Z,81136,-5.365854,12.317074,22.256098
1725949177035,2024-09-10T06:19:37.035Z,81164,-14.02439,11.097561,23.109756
1725949177051,2024-09-10T06:19:37.051Z,81180,-25.304878,16.463415,20.304878
1725949177065,2024-09-10T06:19:37.065Z,81194,-28.414635,11.8902445,17.804878
1725949177077,2024-09-10T06:19:37.077Z,81206,-27.37805,12.195122,12.987805
1725949177089,2024-09-10T06:19:37.089Z,81218,-20.487804,10.97561,9.939025
1725949177188,2024-09-10T06:19:37.188Z,81317,-18.170732,12.865854,5.182927
1725949177209,2024-09-10T06:19:37.209Z,81338,-13.658537,7.4390244,3.6585367
1725949177227,2024-09-10T06:19:37.227Z,81356,-19.573172,6.402439,0.9756098
1725949177243,2024-09-10T06:19:37.243Z,81372,-17.5,12.439025,-1.7682927
1725949177261,2024-09-10T06:19:37.261Z,81390,-12.073171,15.243903,-3.1707318
1725949177308,2024-09-10T06:19:37.308Z,81437,-8.963415,15.97561,-6.646342
1725949177355,2024-09-10T06:19:37.355Z,81484,-8.47561,16.341463,-12.865854
1725949177401,2024-09-10T06:19:37.401Z,81530,-4.2073174,19.085367,-20.487804
1725949177456,2024-09-10T06:19:37.456Z,81585,4.634146,16.95122,-24.146341
1725949177502,2024-09-10T06:19:37.502Z,81631,4.4512196,21.82927,-26.768293
1725949177545,2024-09-10T06:19:37.545Z,81674,2.804878,19.390244,-22.256098
1725949177590,2024-09-10T06:19:37.590Z,81719,-0.79268295,15.609756,-16.40244
1725949177666,2024-09-10T06:19:37.666Z,81795,0.12195122,11.52439,-12.073171
1725949177898,2024-09-10T06:19:37.898Z,82027,2.5609756,3.5365853,-11.097561
1725949177930,2024-09-10T06:19:37.930Z,82059,6.768293,-4.512195,-12.378049
1725949177954,2024-09-10T06:19:37.954Z,82083,12.865854,-10.97561,-11.768293
1725949177973,2024-09-10T06:19:37.973Z,82102,15.792684,-11.95122,-12.926829
1725949177989,2024-09-10T06:19:37.989Z,82118,16.40244,-11.768293,-12.682927
1725949178003,2024-09-10T06:19:38.003Z,82132,16.036585,-11.158537,-11.158537
1725949178018,2024-09-10T06:19:38.018Z,82147,12.012196,-8.353659,-8.841464
1725949178030,2024-09-10T06:19:38.030Z,82159,6.7073174,-8.414635,-4.390244
1725949178041,2024-09-10T06:19:38.041Z,82170,2.5609756,-7.378049,-0.24390244
1725949178054,2024-09-10T06:19:38.054Z,82183,2.8658538,-1.6463414,0.85365856
1725949178067,2024-09-10T06:19:38.067Z,82196,4.1463413,0.30487806,0.6097561
1725949178116,2024-09-10T06:19:38.116Z,82245,5.7317076,0.6097561,-2.6219513
1725949178127,2024-09-10T06:19:38.127Z,82256,7.804878,0.12195122,-5.487805
1725949178161,2024-09-10T06:19:38.161Z,82290,8.47561,-1.2195122,-6.402439
1725949178213,2024-09-10T06:19:38.213Z,82342,0.18292683,-6.3414636,-4.8170733
1725949178255,2024-09-10T06:19:38.255Z,82384,-8.04878,-9.756098,0.18292683
1725949178346,2024-09-10T06:19:38.346Z,82475,-9.878049,-12.134147,6.52439
1725949178361,2024-09-10T06:19:38.361Z,82490,-6.280488,-12.317074,9.878049
1725949178392,2024-09-10T06:19:38.392Z,82521,-5.487805,-12.378049,10.365854
1725949178442,2024-09-10T06:19:38.442Z,82571,-13.292684,-19.207317,10.060976
1725949178487,2024-09-10T06:19:38.487Z,82616,-19.695122,-24.390244,9.817074
1725949178506,2024-09-10T06:19:38.506Z,82635,-6.52439,-28.353659,12.804878
1725949178525,2024-09-10T06:19:38.525Z,82654,6.646342,-28.719513,13.597561
1725949178571,2024-09-10T06:19:38.571Z,82700,19.146341,-26.158537,15.792684
1725949178663,2024-09-10T06:19:38.663Z,82792,19.634148,-22.195122,14.02439
1725949178679,2024-09-10T06:19:38.679Z,82808,19.146341,-19.268293,8.04878
1725949178747,2024-09-10T06:19:38.747Z,82876,22.5,-20.243902,3.902439
1725949178774,2024-09-10T06:19:38.774Z,82903,28.353659,-20.121952,-0.91463417
1725949178797,2024-09-10T06:19:38.797Z,82926,31.585367,-11.402439,-3.6585367
1725949178851,2024-09-10T06:19:38.851Z,82980,29.024391,0.18292683,-7.865854
1725949178896,2024-09-10T06:19:38.896Z,83025,21.585367,12.073171,-10.487805
1725949178918,2024-09-10T06:19:38.918Z,83047,18.292683,18.353659,-10.487805
1725949178935,2024-09-10T06:19:38.935Z,83064,13.04878,30.914635,-14.939025
1725949179021,2024-09-10T06:19:39.021Z,83150,9.939025,42.560978,-19.268293
1725949179036,2024-09-10T06:19:39.036Z,83165,3.292683,48.23171,-27.987806
1725949179106,2024-09-10T06:19:39.106Z,83235,0.24390244,40.548782,-31.82927
1725949179132,2024-09-10T06:19:39.132Z,83261,-2.5,38.963417,-32.987804
1725949179156,2024-09-10T06:19:39.156Z,83285,-5.5487804,35.0,-33.536587
1725949179206,2024-09-10T06:19:39.206Z,83335,-7.012195,32.2561,-37.743904
1725949179256,2024-09-10T06:19:39.256Z,83385,-8.597561,27.134148,-44.146343
1725949179301,2024-09-10T06:19:39.301Z,83430,-6.4634147,16.280489,-42.621952
1725949179320,2024-09-10T06:19:39.320Z,83449,-3.4756098,8.47561,-37.317074
1725949179487,2024-09-10T06:19:39.487Z,83616,0.42682928,1.2804878,-29.024391
1725949179514,2024-09-10T06:19:39.514Z,83643,-3.4146342,-2.195122,-24.87805
1725949179534,2024-09-10T06:19:39.534Z,83663,-5.8536587,-7.4390244,-20.365854
1725949179552,2024-09-10T06:19:39.552Z,83681,-8.109756,-11.768293,-17.621952
1725949179567,2024-09-10T06:19:39.567Z,83696,-9.45122,-13.780488,-18.658537
1725949179581,2024-09-10T06:19:39.581Z,83710,-10.426829,-15.304878,-19.085367
1725949179604,2024-09-10T06:19:39.604Z,83733,-9.329268,-12.439025,-18.414635
1725949179655,2024-09-10T06:19:39.655Z,83784,-4.02439,-10.670732,-12.865854
1725949179694,2024-09-10T06:19:39.694Z,83823,-9.3902445,-6.7073174,-15.121951
1725949179888,2024-09-10T06:19:39.888Z,84017,-5.2439027,-2.2560976,-8.719512
1725949179977,2024-09-10T06:19:39.977Z,84106,-5.7317076,3.5975611,-1.4634147
