Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725949300198,2024-09-10T06:21:40.198Z,204327,-0.09362793,-0.9623413,-0.23114014
1725949300241,2024-09-10T06:21:40.241Z,204370,-0.09265137,-0.9451904,-0.2298584
1725949300288,2024-09-10T06:21:40.288Z,204417,-0.092163086,-0.94366455,-0.24072266
1725949300331,2024-09-10T06:21:40.331Z,204460,-0.08703613,-0.96990967,-0.24273682
1725949300354,2024-09-10T06:21:40.354Z,204483,-0.09576416,-0.97821045,-0.22692871
1725949300383,2024-09-10T06:21:40.383Z,204512,-0.09741211,-0.958374,-0.23101807
1725949300472,2024-09-10T06:21:40.472Z,204601,-0.1060791,-0.9298706,-0.2355957
1725949300503,2024-09-10T06:21:40.503Z,204632,-0.12335205,-0.90093994,-0.2515869
1725949300525,2024-09-10T06:21:40.525Z,204654,-0.13793945,-0.8928833,-0.25335693
1725949300557,2024-09-10T06:21:40.557Z,204686,-0.13470459,-0.87493896,-0.26922607
1725949300600,2024-09-10T06:21:40.600Z,204729,-0.14013672,-0.88031006,-0.2753296
1725949300647,2024-09-10T06:21:40.647Z,204776,-0.16711426,-0.9366455,-0.27227783
1725949300745,2024-09-10T06:21:40.745Z,204874,-0.16107178,-0.9376221,-0.26483154
1725949300774,2024-09-10T06:21:40.774Z,204903,-0.13970947,-0.88653564,-0.23779297
1725949300796,2024-09-10T06:21:40.796Z,204925,-0.12322998,-0.8335571,-0.22332764
1725949300816,2024-09-10T06:21:40.816Z,204945,-0.16046143,-0.8594971,-0.2010498
1725949300872,2024-09-10T06:21:40.872Z,205001,-0.18603516,-0.8418579,-0.2098999
1725949300890,2024-09-10T06:21:40.890Z,205019,-0.22381592,-0.8774414,-0.20422363
1725949300918,2024-09-10T06:21:40.918Z,205047,-0.2501831,-0.9098511,-0.21325684
1725949300961,2024-09-10T06:21:40.961Z,205090,-0.28405762,-0.946167,-0.19299316
1725949301014,2024-09-10T06:21:41.014Z,205143,-0.27893066,-0.91290283,-0.20367432
1725949301054,2024-09-10T06:21:41.054Z,205183,-0.30090332,-0.9289551,-0.16815186
1725949301106,2024-09-10T06:21:41.106Z,205235,-0.30267334,-0.92614746,-0.17633057
1725949301144,2024-09-10T06:21:41.144Z,205273,-0.31036377,-0.928772,-0.137146
1725949301193,2024-09-10T06:21:41.193Z,205322,-0.33966064,-0.92352295,-0.10858154
1725949301217,2024-09-10T06:21:41.217Z,205346,-0.34625244,-0.93566895,-0.07446289
1725949301279,2024-09-10T06:21:41.279Z,205408,-0.33935547,-0.97265625,-0.116882324
1725949301300,2024-09-10T06:21:41.300Z,205429,-0.37127686,-1.0014648,-0.13647461
1725949301323,2024-09-10T06:21:41.323Z,205452,-0.39031982,-0.9777832,-0.16900635
1725949301365,2024-09-10T06:21:41.365Z,205494,-0.3659668,-0.90618896,-0.15075684
1725949301419,2024-09-10T06:21:41.419Z,205548,-0.3574829,-0.8508301,-0.16442871
1725949301463,2024-09-10T06:21:41.463Z,205592,-0.3550415,-0.85369873,-0.1394043
1725949301504,2024-09-10T06:21:41.504Z,205633,-0.35229492,-0.875,-0.14404297
1725949301557,2024-09-10T06:21:41.557Z,205686,-0.37316895,-0.94989014,-0.15820312
1725949301594,2024-09-10T06:21:41.594Z,205723,-0.3753662,-1.0013428,-0.19952393
1725949301611,2024-09-10T06:21:41.611Z,205740,-0.4244995,-1.0671387,-0.20495605
1725949301636,2024-09-10T06:21:41.636Z,205765,-0.44830322,-1.1113892,-0.2276001
