Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1734713287409,2024-12-20T16:48:07.409Z,64884,-0.03717041,-0.11212158,-0.028808594
1734713287427,2024-12-20T16:48:07.427Z,64902,-0.028686523,-0.11273193,-0.032836914
1734713287440,2024-12-20T16:48:07.440Z,64915,-0.02935791,-0.11376953,-0.024841309
1734713287455,2024-12-20T16:48:07.455Z,64930,-0.03857422,-0.11798096,-0.02166748
1734713287469,2024-12-20T16:48:07.469Z,64944,-0.039367676,-0.121520996,-0.011962891
1734713287481,2024-12-20T16:48:07.481Z,64956,-0.04034424,-0.12207031,-0.0053710938
1734713287494,2024-12-20T16:48:07.494Z,64969,-0.033325195,-0.1227417,-0.0078125
1734713287506,2024-12-20T16:48:07.506Z,64981,-0.034362793,-0.11633301,-0.028442383
1734713287515,2024-12-20T16:48:07.515Z,64990,-0.0256958,-0.11431885,-0.033691406
1734713287538,2024-12-20T16:48:07.538Z,65013,-0.033691406,-0.115234375,-0.026245117
1734713287547,2024-12-20T16:48:07.547Z,65022,-0.038208008,-0.11975098,-0.031188965
1734713287555,2024-12-20T16:48:07.555Z,65030,-0.039245605,-0.11663818,-0.016418457
1734713287563,2024-12-20T16:48:07.563Z,65038,-0.044128418,-0.12731934,-0.004638672
1734713287579,2024-12-20T16:48:07.579Z,65054,-0.044921875,-0.12579346,-0.007080078
1734713287587,2024-12-20T16:48:07.587Z,65062,-0.037841797,-0.11828613,-0.020141602
1734713287594,2024-12-20T16:48:07.594Z,65069,-0.032409668,-0.114990234,-0.035888672
1734713287603,2024-12-20T16:48:07.603Z,65078,-0.022644043,-0.11407471,-0.038513184
1734713287612,2024-12-20T16:48:07.612Z,65087,-0.033935547,-0.11212158,-0.027648926
1734713287620,2024-12-20T16:48:07.620Z,65095,-0.03778076,-0.12011719,-0.027160645
1734713287629,2024-12-20T16:48:07.629Z,65104,-0.04034424,-0.1161499,-0.014343262
1734713287637,2024-12-20T16:48:07.637Z,65112,-0.04309082,-0.12188721,-0.013671875
1734713287646,2024-12-20T16:48:07.646Z,65121,-0.039855957,-0.11730957,-0.020324707
1734713287656,2024-12-20T16:48:07.656Z,65131,-0.03265381,-0.11230469,-0.02734375
1734713287665,2024-12-20T16:48:07.665Z,65140,-0.032409668,-0.1105957,-0.03515625
1734713287674,2024-12-20T16:48:07.674Z,65149,-0.031555176,-0.10992432,-0.035888672
1734713287684,2024-12-20T16:48:07.684Z,65159,-0.028442383,-0.112854004,-0.026000977
1734713287692,2024-12-20T16:48:07.692Z,65167,-0.03955078,-0.11352539,-0.016784668
1734713287699,2024-12-20T16:48:07.699Z,65174,-0.040283203,-0.11743164,-0.008911133
1734713287707,2024-12-20T16:48:07.707Z,65182,-0.040893555,-0.11621094,-0.010803223
1734713287716,2024-12-20T16:48:07.716Z,65191,-0.035888672,-0.11273193,-0.01751709
1734713287726,2024-12-20T16:48:07.726Z,65201,-0.032714844,-0.11029053,-0.026794434
1734713287734,2024-12-20T16:48:07.734Z,65209,-0.0234375,-0.11010742,-0.032470703
1734713287743,2024-12-20T16:48:07.743Z,65218,-0.027526855,-0.10772705,-0.028259277
1734713287752,2024-12-20T16:48:07.752Z,65227,-0.031433105,-0.11340332,-0.028381348
1734713287763,2024-12-20T16:48:07.763Z,65238,-0.033691406,-0.113220215,-0.019714355
1734713287772,2024-12-20T16:48:07.772Z,65247,-0.034179688,-0.11743164,-0.009887695
1734713287781,2024-12-20T16:48:07.781Z,65256,-0.03845215,-0.11871338,-0.011657715
1734713287790,2024-12-20T16:48:07.790Z,65265,-0.03326416,-0.11779785,-0.01965332
1734713287803,2024-12-20T16:48:07.803Z,65278,-0.026245117,-0.11462402,-0.029052734
