Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1734713287420,2024-12-20T16:48:07.420Z,64895,7.012195,3.4756098,-1.8292683
1734713287434,2024-12-20T16:48:07.434Z,64909,0.30487806,0.30487806,-2.0731707
1734713287447,2024-12-20T16:48:07.447Z,64922,-5.487805,1.8902439,-4.512195
1734713287462,2024-12-20T16:48:07.462Z,64937,-11.52439,2.1341465,-7.682927
1734713287475,2024-12-20T16:48:07.475Z,64950,-11.097561,-2.7439024,-7.0731707
1734713287488,2024-12-20T16:48:07.488Z,64963,-5.670732,-5.182927,-6.280488
1734713287500,2024-12-20T16:48:07.500Z,64975,-0.85365856,-5.914634,-3.8414636
1734713287510,2024-12-20T16:48:07.510Z,64985,-0.42682928,-9.02439,-3.7195122
1734713287534,2024-12-20T16:48:07.534Z,65009,-4.5731707,-7.865854,-3.2317073
1734713287543,2024-12-20T16:48:07.543Z,65018,-12.560976,-2.987805,-5.0609756
1734713287551,2024-12-20T16:48:07.551Z,65026,-18.109756,-6.280488,-7.012195
1734713287560,2024-12-20T16:48:07.560Z,65035,-18.963415,-9.695122,-6.768293
1734713287568,2024-12-20T16:48:07.568Z,65043,-16.95122,-8.841464,-5.2439027
1734713287583,2024-12-20T16:48:07.583Z,65058,-3.5365853,-7.987805,-1.7073171
1734713287591,2024-12-20T16:48:07.591Z,65066,6.646342,-8.353659,1.8292683
1734713287598,2024-12-20T16:48:07.598Z,65073,5.914634,-12.682927,3.1097562
1734713287607,2024-12-20T16:48:07.607Z,65082,0.79268295,-13.292684,3.6585367
1734713287616,2024-12-20T16:48:07.616Z,65091,-4.8170733,-3.1707318,0.5487805
1734713287624,2024-12-20T16:48:07.624Z,65099,-6.9512196,5.121951,-0.73170733
1734713287633,2024-12-20T16:48:07.633Z,65108,-3.7195122,7.6219516,0.12195122
1734713287641,2024-12-20T16:48:07.641Z,65116,-0.79268295,6.890244,1.3414634
1734713287650,2024-12-20T16:48:07.650Z,65125,6.0365853,-0.6097561,3.5365853
1734713287661,2024-12-20T16:48:07.661Z,65136,8.353659,-4.390244,4.8170733
1734713287670,2024-12-20T16:48:07.670Z,65145,3.5365853,-5.365854,4.3292685
1734713287678,2024-12-20T16:48:07.678Z,65153,-1.1585366,-3.4146342,3.9634147
1734713287688,2024-12-20T16:48:07.688Z,65163,-3.5365853,2.012195,2.8658538
1734713287695,2024-12-20T16:48:07.695Z,65170,-4.02439,4.085366,0.36585367
1734713287703,2024-12-20T16:48:07.703Z,65178,-1.7682927,1.8902439,0.85365856
1734713287712,2024-12-20T16:48:07.712Z,65187,4.512195,-2.8658538,2.012195
1734713287721,2024-12-20T16:48:07.721Z,65196,9.329268,-6.4634147,3.2317073
1734713287730,2024-12-20T16:48:07.730Z,65205,8.597561,-8.47561,2.317073
1734713287738,2024-12-20T16:48:07.738Z,65213,3.4756098,-9.329268,1.6463414
1734713287747,2024-12-20T16:48:07.747Z,65222,-1.5853659,-3.7804878,-1.6463414
1734713287759,2024-12-20T16:48:07.759Z,65234,-7.012195,0.4878049,-4.085366
1734713287767,2024-12-20T16:48:07.767Z,65242,-9.45122,-1.7073171,-5.914634
1734713287776,2024-12-20T16:48:07.776Z,65251,-9.695122,-1.4634147,-6.158537
1734713287785,2024-12-20T16:48:07.785Z,65260,-5.0,-1.8902439,-6.097561
1734713287794,2024-12-20T16:48:07.794Z,65269,1.5243902,-2.012195,-5.5487804
1734713287808,2024-12-20T16:48:07.808Z,65283,7.1341467,4.6951222,-6.280488
1734713287895,2024-12-20T16:48:07.895Z,65370,1.7682927,5.0609756,-7.0731707
1734713287903,2024-12-20T16:48:07.903Z,65378,-6.890244,1.4634147,-6.8292685
1734713287912,2024-12-20T16:48:07.912Z,65387,-8.841464,4.878049,-7.987805
1734713287922,2024-12-20T16:48:07.922Z,65397,-2.8658538,5.97561,-6.158537
1734713287931,2024-12-20T16:48:07.931Z,65406,6.52439,0.36585367,-2.2560976
1734713287940,2024-12-20T16:48:07.940Z,65415,11.158537,-4.9390244,0.0
1734713287950,2024-12-20T16:48:07.950Z,65425,13.04878,-5.487805,-0.06097561
1734713287959,2024-12-20T16:48:07.959Z,65434,12.865854,-7.1341467,1.4634147
1734713287968,2024-12-20T16:48:07.968Z,65443,5.97561,-3.3536587,0.36585367
1734713287977,2024-12-20T16:48:07.977Z,65452,-4.268293,-0.5487805,-0.91463417
1734713287989,2024-12-20T16:48:07.989Z,65464,-3.902439,-0.06097561,-0.79268295
1734713288002,2024-12-20T16:48:08.002Z,65477,6.2195125,-3.0487804,-0.12195122
1734713288011,2024-12-20T16:48:08.011Z,65486,1.7073171,-1.8902439,1.3414634
1734713288020,2024-12-20T16:48:08.020Z,65495,-5.914634,-0.5487805,1.097561
1734713288030,2024-12-20T16:48:08.030Z,65505,-9.573171,-2.378049,2.804878
1734713288040,2024-12-20T16:48:08.040Z,65515,-5.7317076,2.1341465,0.73170733
1734713288049,2024-12-20T16:48:08.049Z,65524,-4.390244,6.8292685,-0.9756098
1734713288058,2024-12-20T16:48:08.058Z,65533,1.4634147,2.9268293,0.12195122
1734713288067,2024-12-20T16:48:08.067Z,65542,9.878049,-3.1707318,2.1341465
1734713288077,2024-12-20T16:48:08.077Z,65552,13.47561,-4.8170733,3.5975611
1734713288085,2024-12-20T16:48:08.085Z,65560,13.719513,-1.4634147,4.4512196
1734713288094,2024-12-20T16:48:08.094Z,65569,9.878049,1.2195122,4.390244
1734713288104,2024-12-20T16:48:08.104Z,65579,2.6219513,3.1097562,1.9512196
1734713288113,2024-12-20T16:48:08.113Z,65588,-0.36585367,2.378049,0.24390244
1734713288120,2024-12-20T16:48:08.120Z,65595,1.7682927,1.3414634,-0.24390244
1734713288132,2024-12-20T16:48:08.132Z,65607,0.6097561,-0.36585367,-1.7073171
1734713288143,2024-12-20T16:48:08.143Z,65618,1.097561,-1.8292683,-1.8902439
1734713288153,2024-12-20T16:48:08.153Z,65628,-0.36585367,-0.6097561,-3.0487804
1734713288169,2024-12-20T16:48:08.169Z,65644,-6.52439,-0.06097561,-3.1097562
1734713288213,2024-12-20T16:48:08.213Z,65688,-10.0,-0.73170733,-4.3292685
1734713288221,2024-12-20T16:48:08.221Z,65696,-11.8902445,3.5365853,-7.1341467
1734713288231,2024-12-20T16:48:08.231Z,65706,-10.792684,6.402439,-9.756098
1734713288239,2024-12-20T16:48:08.239Z,65714,-4.085366,1.8902439,-7.9268293
1734713288247,2024-12-20T16:48:08.247Z,65722,4.085366,-2.378049,-7.0731707
1734713288254,2024-12-20T16:48:08.254Z,65729,4.2073174,-2.6219513,-6.2195125
1734713288305,2024-12-20T16:48:08.305Z,65780,2.6219513,-1.6463414,-3.5365853
1734713288313,2024-12-20T16:48:08.313Z,65788,-0.42682928,-0.5487805,-2.6219513
1734713288321,2024-12-20T16:48:08.321Z,65796,-5.792683,2.2560976,-4.9390244
1734713288330,2024-12-20T16:48:08.330Z,65805,-8.292683,5.304878,-5.609756
1734713288338,2024-12-20T16:48:08.338Z,65813,-3.5365853,5.365854,-5.792683
1734713288350,2024-12-20T16:48:08.350Z,65825,-3.292683,2.378049,-1.7682927
1734713288359,2024-12-20T16:48:08.359Z,65834,-9.512196,9.573171,-0.6097561
1734713288367,2024-12-20T16:48:08.367Z,65842,-13.719513,14.329268,0.36585367
1734713288375,2024-12-20T16:48:08.375Z,65850,-19.024391,18.719513,-0.9756098
1734713288385,2024-12-20T16:48:08.385Z,65860,-18.47561,12.134147,0.91463417
1734713288393,2024-12-20T16:48:08.393Z,65868,-16.036585,4.2073174,3.1707318
1734713288402,2024-12-20T16:48:08.402Z,65877,-4.8170733,12.5,10.97561
1734713288410,2024-12-20T16:48:08.410Z,65885,-11.8902445,11.707317,12.012196
1734713288418,2024-12-20T16:48:08.418Z,65893,-12.682927,8.231708,12.987805
1734713288426,2024-12-20T16:48:08.426Z,65901,-11.219512,3.1097562,15.243903
1734713288434,2024-12-20T16:48:08.434Z,65909,-6.402439,-3.0487804,18.292683
1734713288444,2024-12-20T16:48:08.444Z,65919,-2.0731707,-6.768293,22.195122
1734713288452,2024-12-20T16:48:08.452Z,65927,5.792683,1.9512196,23.90244
1734713288460,2024-12-20T16:48:08.460Z,65935,2.5609756,5.4268293,23.47561
1734713288469,2024-12-20T16:48:08.469Z,65944,-12.804878,5.182927,24.207317
1734713288479,2024-12-20T16:48:08.479Z,65954,-20.304878,10.487805,19.817074
1734713288487,2024-12-20T16:48:08.487Z,65962,-16.95122,11.52439,19.756098
1734713288495,2024-12-20T16:48:08.495Z,65970,-9.573171,5.609756,22.987806
1734713288504,2024-12-20T16:48:08.504Z,65979,-6.9512196,1.3414634,21.036587
1734713288512,2024-12-20T16:48:08.512Z,65987,2.2560976,-2.0731707,22.317074
1734713288522,2024-12-20T16:48:08.522Z,65997,11.52439,11.402439,25.670732
1734713288532,2024-12-20T16:48:08.532Z,66007,7.1951222,24.939026,19.085367
1734713288542,2024-12-20T16:48:08.542Z,66017,0.12195122,19.207317,21.585367
1734713288552,2024-12-20T16:48:08.552Z,66027,-0.79268295,10.792684,24.085367
1734713288561,2024-12-20T16:48:08.561Z,66036,-2.5,7.804878,20.853659
1734713288569,2024-12-20T16:48:08.569Z,66044,-7.256098,-3.6585367,20.121952
1734713288577,2024-12-20T16:48:08.577Z,66052,-6.9512196,-16.82927,23.658537
1734713288616,2024-12-20T16:48:08.616Z,66091,-1.2804878,-2.195122,22.987806
1734713288662,2024-12-20T16:48:08.662Z,66137,-3.8414636,17.560976,17.317074
1734713288670,2024-12-20T16:48:08.670Z,66145,-14.756098,14.207317,16.524391
1734713288679,2024-12-20T16:48:08.679Z,66154,-20.42683,9.939025,19.207317
1734713288687,2024-12-20T16:48:08.687Z,66162,-26.768293,21.707317,11.097561
1734713288695,2024-12-20T16:48:08.695Z,66170,-32.621952,22.073172,11.585366
1734713288704,2024-12-20T16:48:08.704Z,66179,-27.621952,13.353659,19.573172
1734713288710,2024-12-20T16:48:08.710Z,66185,-18.658537,6.8292685,22.134148
1734713288717,2024-12-20T16:48:08.717Z,66192,-7.7439027,1.9512196,22.987806
1734713288725,2024-12-20T16:48:08.725Z,66200,-9.329268,9.634147,21.707317
1734713288733,2024-12-20T16:48:08.733Z,66208,-14.939025,23.963415,16.82927
1734713288745,2024-12-20T16:48:08.745Z,66220,-22.012196,24.695122,15.792684
1734713288755,2024-12-20T16:48:08.755Z,66230,-5.97561,9.756098,21.158537
1734713288764,2024-12-20T16:48:08.764Z,66239,3.1707318,15.304878,20.487804
1734713288772,2024-12-20T16:48:08.772Z,66247,-0.4878049,26.341463,12.682927
1734713288780,2024-12-20T16:48:08.780Z,66255,-16.219513,26.646341,13.536586
1734713288787,2024-12-20T16:48:08.787Z,66262,-22.865854,18.658537,14.878049
1734713288797,2024-12-20T16:48:08.797Z,66272,-17.560976,15.609756,14.146341
1734713288804,2024-12-20T16:48:08.804Z,66279,-8.414635,3.0487804,21.646341
1734713288812,2024-12-20T16:48:08.812Z,66287,3.0487804,-3.8414636,24.146341
1734713288820,2024-12-20T16:48:08.820Z,66295,10.121951,-3.9634147,27.92683
1734713288829,2024-12-20T16:48:08.829Z,66304,7.012195,11.158537,23.963415
1734713288839,2024-12-20T16:48:08.839Z,66314,4.634146,33.536587,14.634147
1734713288848,2024-12-20T16:48:08.848Z,66323,3.9634147,27.92683,14.939025
1734713288856,2024-12-20T16:48:08.856Z,66331,4.4512196,24.817074,17.134148
