Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725721151653,2024-09-07T14:59:11.653Z,254770,-0.11151123,-0.9692383,-0.13604736
1725721151691,2024-09-07T14:59:11.691Z,254808,-0.09674072,-0.9429321,-0.13275146
1725721151730,2024-09-07T14:59:11.730Z,254847,-0.08831787,-0.95526123,-0.12756348
1725721151769,2024-09-07T14:59:11.769Z,254886,-0.1138916,-1.005249,-0.11798096
1725721151803,2024-09-07T14:59:11.803Z,254920,-0.12017822,-1.0232544,-0.12530518
1725721151852,2024-09-07T14:59:11.852Z,254969,-0.12896729,-0.9821167,-0.11932373
1725721151894,2024-09-07T14:59:11.894Z,255011,-0.13134766,-0.91674805,-0.12005615
1725721151940,2024-09-07T14:59:11.940Z,255057,-0.1437378,-0.8973999,-0.15765381
1725721151989,2024-09-07T14:59:11.989Z,255106,-0.16143799,-0.92297363,-0.15588379
1725721152036,2024-09-07T14:59:12.036Z,255153,-0.1765747,-0.93011475,-0.16967773
1725721152076,2024-09-07T14:59:12.076Z,255193,-0.18231201,-0.9136963,-0.20635986
1725721152104,2024-09-07T14:59:12.104Z,255221,-0.16741943,-0.84381104,-0.1531372
1725721152129,2024-09-07T14:59:12.129Z,255246,-0.16351318,-0.84295654,-0.23712158
1725721152165,2024-09-07T14:59:12.165Z,255282,-0.1749878,-0.84246826,-0.11114502
1725721152208,2024-09-07T14:59:12.208Z,255325,-0.18035889,-0.8613281,-0.25561523
1725721152254,2024-09-07T14:59:12.254Z,255371,-0.1739502,-0.8536377,-0.17352295
1725721152303,2024-09-07T14:59:12.303Z,255420,-0.18566895,-0.90063477,-0.27374268
1725721152398,2024-09-07T14:59:12.398Z,255515,-0.16070557,-0.8933716,-0.17614746
1725721152430,2024-09-07T14:59:12.430Z,255547,-0.17828369,-0.8954468,-0.32183838
1725721152466,2024-09-07T14:59:12.466Z,255583,-0.1762085,-0.88916016,-0.19476318
1725721152492,2024-09-07T14:59:12.492Z,255609,-0.2175293,-0.9107666,-0.3104248
1725721152515,2024-09-07T14:59:12.515Z,255632,-0.25,-0.9495239,-0.30981445
1725721152541,2024-09-07T14:59:12.541Z,255658,-0.23034668,-0.8858032,-0.2597046
1725721152570,2024-09-07T14:59:12.570Z,255687,-0.20751953,-0.83551025,-0.31158447
1725721152618,2024-09-07T14:59:12.618Z,255735,-0.23565674,-0.8572998,-0.25671387
1725721152665,2024-09-07T14:59:12.665Z,255782,-0.26397705,-0.9077759,-0.272583
1725721152709,2024-09-07T14:59:12.709Z,255826,-0.28070068,-0.9368286,-0.29925537
1725721152747,2024-09-07T14:59:12.747Z,255864,-0.2949829,-0.9558716,-0.28375244
1725721152795,2024-09-07T14:59:12.795Z,255912,-0.28271484,-0.96435547,-0.25042725
1725721152857,2024-09-07T14:59:12.857Z,255974,-0.27038574,-0.97076416,-0.26556396
1725721152886,2024-09-07T14:59:12.886Z,256003,-0.24816895,-0.99316406,-0.31329346
