Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725721151587,2024-09-07T14:59:11.587Z,254704,-0.6707317,3.5365853,-3.1097562
1725721151630,2024-09-07T14:59:11.630Z,254747,-0.24390244,3.9634147,-2.7439024
1725721151672,2024-09-07T14:59:11.672Z,254789,1.5243902,4.8170733,-1.3414634
1725721151710,2024-09-07T14:59:11.710Z,254827,0.79268295,-0.06097561,2.0731707
1725721151747,2024-09-07T14:59:11.747Z,254864,-1.3414634,2.6219513,3.2317073
1725721151779,2024-09-07T14:59:11.779Z,254896,-2.195122,4.2073174,3.7195122
1725721151817,2024-09-07T14:59:11.817Z,254934,-0.6707317,5.487805,5.182927
1725721151870,2024-09-07T14:59:11.870Z,254987,0.24390244,3.7195122,1.3414634
1725721151914,2024-09-07T14:59:11.914Z,255031,-0.9756098,0.12195122,0.18292683
1725721151956,2024-09-07T14:59:11.956Z,255073,-5.0609756,-0.6097561,1.6463414
1725721152005,2024-09-07T14:59:12.005Z,255122,-9.329268,-2.1341465,2.0731707
1725721152052,2024-09-07T14:59:12.052Z,255169,-7.4390244,-0.85365856,3.6585367
1725721152091,2024-09-07T14:59:12.091Z,255208,-7.7439027,-3.4146342,6.646342
1725721152117,2024-09-07T14:59:12.117Z,255234,-8.902439,-0.4878049,10.670732
1725721152140,2024-09-07T14:59:12.140Z,255257,-15.0,0.73170733,16.646341
1725721152179,2024-09-07T14:59:12.179Z,255296,-20.42683,0.12195122,13.170732
1725721152221,2024-09-07T14:59:12.221Z,255338,-24.32927,-1.0365853,19.085367
1725721152266,2024-09-07T14:59:12.266Z,255383,-29.32927,1.2195122,15.914635
1725721152315,2024-09-07T14:59:12.315Z,255432,-28.963415,-4.1463413,14.3902445
1725721152414,2024-09-07T14:59:12.414Z,255531,-25.121952,-8.536586,10.182927
1725721152447,2024-09-07T14:59:12.447Z,255564,-24.87805,-11.768293,13.231708
1725721152481,2024-09-07T14:59:12.481Z,255598,-25.54878,-10.182927,11.341464
1725721152504,2024-09-07T14:59:12.504Z,255621,-20.670732,-5.182927,13.170732
1725721152529,2024-09-07T14:59:12.529Z,255646,-15.304878,-3.4756098,11.402439
1725721152552,2024-09-07T14:59:12.552Z,255669,-6.402439,-5.4268293,11.402439
1725721152581,2024-09-07T14:59:12.581Z,255698,-5.0,-2.7439024,10.426829
1725721152630,2024-09-07T14:59:12.630Z,255747,-8.780488,-1.402439,5.304878
1725721152676,2024-09-07T14:59:12.676Z,255793,-7.378049,1.6463414,4.268293
1725721152722,2024-09-07T14:59:12.722Z,255839,-8.04878,-1.7682927,-1.8292683
1725721152758,2024-09-07T14:59:12.758Z,255875,-13.231708,-7.012195,-7.804878
1725721152844,2024-09-07T14:59:12.844Z,255961,-7.5,0.12195122,-12.134147
1725721152868,2024-09-07T14:59:12.868Z,255985,0.06097561,0.5487805,-14.817074
1725721152899,2024-09-07T14:59:12.899Z,256016,2.195122,-5.121951,-12.804878
1725721152923,2024-09-07T14:59:12.923Z,256040,6.890244,-2.8658538,-13.47561
1725721152943,2024-09-07T14:59:12.943Z,256060,14.02439,1.5853659,-11.463415
1725721152984,2024-09-07T14:59:12.984Z,256101,14.45122,-4.3292685,-9.573171
1725721153037,2024-09-07T14:59:13.037Z,256154,11.646341,-5.304878,-2.378049
1725721153079,2024-09-07T14:59:13.079Z,256196,11.8902445,-1.3414634,-0.30487806
1725721153125,2024-09-07T14:59:13.125Z,256242,16.280489,5.8536587,-2.317073
1725721153173,2024-09-07T14:59:13.173Z,256290,19.817074,12.621951,-3.3536587
1725721153210,2024-09-07T14:59:13.210Z,256327,23.04878,16.646341,-2.804878
1725721153331,2024-09-07T14:59:13.331Z,256448,25.609756,17.621952,-1.9512196
1725721153372,2024-09-07T14:59:13.372Z,256489,23.109756,16.463415,-5.8536587
1725721153401,2024-09-07T14:59:13.401Z,256518,19.939024,19.32927,-11.707317
1725721153425,2024-09-07T14:59:13.425Z,256542,13.292684,13.963415,-16.95122
1725721153451,2024-09-07T14:59:13.451Z,256568,5.365854,-1.2804878,-15.121951
1725721153472,2024-09-07T14:59:13.472Z,256589,1.2195122,-2.1341465,-13.719513
1725721153492,2024-09-07T14:59:13.492Z,256609,-3.5975611,-0.06097561,-11.463415
1725721153524,2024-09-07T14:59:13.524Z,256641,-5.0609756,-3.2317073,-2.9268293
1725721153570,2024-09-07T14:59:13.570Z,256687,-5.5487804,-8.536586,12.195122
1725721153618,2024-09-07T14:59:13.618Z,256735,-2.8658538,6.097561,23.292683
1725721153663,2024-09-07T14:59:13.663Z,256780,-0.79268295,19.146341,24.87805
1725721153708,2024-09-07T14:59:13.708Z,256825,0.42682928,33.23171,21.768293
1725721153752,2024-09-07T14:59:13.752Z,256869,-2.682927,31.219513,17.804878
1725721153775,2024-09-07T14:59:13.775Z,256892,-8.109756,18.963415,15.853659
1725721153807,2024-09-07T14:59:13.807Z,256924,-9.207317,19.146341,7.865854
1725721153840,2024-09-07T14:59:13.840Z,256957,-14.329268,2.7439024,0.91463417
1725721153937,2024-09-07T14:59:13.937Z,257054,-18.353659,-7.6219516,-5.792683
1725721153961,2024-09-07T14:59:13.961Z,257078,-20.42683,-11.646341,-12.865854
1725721153985,2024-09-07T14:59:13.985Z,257102,-22.134148,-3.1707318,-14.45122
1725721154024,2024-09-07T14:59:14.024Z,257141,-19.939024,2.5609756,-9.695122
1725721154068,2024-09-07T14:59:14.068Z,257185,-10.487805,1.2195122,-2.012195
1725721154115,2024-09-07T14:59:14.115Z,257232,-2.6219513,5.182927,1.4634147
1725721154159,2024-09-07T14:59:14.159Z,257276,4.3292685,12.621951,-2.682927
1725721154188,2024-09-07T14:59:14.188Z,257305,11.219512,11.52439,-5.914634
1725721154210,2024-09-07T14:59:14.210Z,257327,13.902439,14.02439,-6.7073174
1725721154244,2024-09-07T14:59:14.244Z,257361,14.634147,9.695122,-3.1097562
1725721154293,2024-09-07T14:59:14.293Z,257410,13.597561,-1.2195122,-10.0
1725721154339,2024-09-07T14:59:14.339Z,257456,11.341464,-9.573171,-15.304878
1725721154384,2024-09-07T14:59:14.384Z,257501,11.95122,-4.3292685,-9.207317
1725721154430,2024-09-07T14:59:14.430Z,257547,14.878049,1.097561,-10.0
1725721154477,2024-09-07T14:59:14.477Z,257594,17.743902,-1.2804878,-12.134147
1725721154523,2024-09-07T14:59:14.523Z,257640,16.82927,-4.5731707,-12.195122
1725721154565,2024-09-07T14:59:14.565Z,257682,10.731708,-6.8292685,-13.963415
1725721154591,2024-09-07T14:59:14.591Z,257708,7.3170733,-1.1585366,-12.134147
1725721154612,2024-09-07T14:59:14.612Z,257729,9.207317,-4.1463413,-13.963415
1725721154647,2024-09-07T14:59:14.647Z,257764,16.09756,-2.1341465,-12.682927
1725721154696,2024-09-07T14:59:14.696Z,257813,22.439024,-1.0365853,-17.37805
1725721154741,2024-09-07T14:59:14.741Z,257858,25.54878,-3.8414636,-26.585367
1725721154792,2024-09-07T14:59:14.792Z,257909,16.95122,-7.6219516,-22.682928
1725721154837,2024-09-07T14:59:14.837Z,257954,0.5487805,-11.341464,-12.256098
1725721154881,2024-09-07T14:59:14.881Z,257998,-3.2317073,-6.158537,-9.45122
1725721154924,2024-09-07T14:59:14.924Z,258041,-3.5365853,-5.0609756,-1.4634147
1725721154972,2024-09-07T14:59:14.972Z,258089,-3.902439,-0.06097561,0.6097561
1725721155017,2024-09-07T14:59:15.017Z,258134,-3.4756098,-9.329268,-8.109756
1725721155043,2024-09-07T14:59:15.043Z,258160,-2.5,-1.9512196,1.3414634
1725721155064,2024-09-07T14:59:15.064Z,258181,-4.02439,2.012195,2.4390244
1725721155098,2024-09-07T14:59:15.098Z,258215,-5.670732,-0.30487806,4.6951222
1725721155148,2024-09-07T14:59:15.148Z,258265,-3.8414636,1.6463414,8.292683
1725721155192,2024-09-07T14:59:15.192Z,258309,-3.7804878,-1.4634147,6.097561
1725721155238,2024-09-07T14:59:15.238Z,258355,-2.2560976,-0.6707317,4.268293
1725721155286,2024-09-07T14:59:15.286Z,258403,-4.512195,-3.2317073,5.121951
1725721155331,2024-09-07T14:59:15.331Z,258448,-7.987805,-6.0365853,4.756098
1725721155376,2024-09-07T14:59:15.376Z,258493,-7.6219516,-2.5,5.8536587
