Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725815887272,2024-09-08T17:18:07.272Z,312996,-0.23620605,-0.9627075,-0.13543701
1725815887362,2024-09-08T17:18:07.362Z,313086,-0.23388672,-0.9767456,-0.13061523
1725815887382,2024-09-08T17:18:07.382Z,313106,-0.22583008,-0.9649658,-0.1182251
1725815887452,2024-09-08T17:18:07.452Z,313176,-0.21643066,-0.95306396,-0.11694336
1725815887472,2024-09-08T17:18:07.472Z,313196,-0.21478271,-0.95532227,-0.09979248
1725815887493,2024-09-08T17:18:07.493Z,313217,-0.21356201,-0.95788574,-0.10839844
1725815887509,2024-09-08T17:18:07.509Z,313233,-0.20812988,-0.96990967,-0.08618164
1725815887540,2024-09-08T17:18:07.540Z,313264,-0.21166992,-0.9752197,-0.0791626
1725815887586,2024-09-08T17:18:07.586Z,313310,-0.2053833,-0.956604,-0.09484863
1725815887633,2024-09-08T17:18:07.633Z,313357,-0.20300293,-0.9477539,-0.078430176
1725815887686,2024-09-08T17:18:07.686Z,313410,-0.2144165,-0.93573,-0.10473633
1725815887727,2024-09-08T17:18:07.727Z,313451,-0.2218628,-0.92211914,-0.13623047
1725815887772,2024-09-08T17:18:07.772Z,313496,-0.21728516,-0.9206543,-0.13989258
1725815887818,2024-09-08T17:18:07.818Z,313542,-0.22216797,-0.9282837,-0.1665039
1725815887863,2024-09-08T17:18:07.863Z,313587,-0.23083496,-0.9592285,-0.1663208
1725815887905,2024-09-08T17:18:07.905Z,313629,-0.21923828,-0.94421387,-0.15612793
1725815887927,2024-09-08T17:18:07.927Z,313651,-0.22167969,-0.90875244,-0.17913818
1725815887947,2024-09-08T17:18:07.947Z,313671,-0.20751953,-0.8786621,-0.17474365
1725815887993,2024-09-08T17:18:07.993Z,313717,-0.2086792,-0.8703613,-0.1906128
1725815888042,2024-09-08T17:18:08.042Z,313766,-0.2322998,-0.8521118,-0.20220947
1725815888087,2024-09-08T17:18:08.087Z,313811,-0.21679688,-0.8568115,-0.1821289
1725815888132,2024-09-08T17:18:08.132Z,313856,-0.2475586,-0.8574829,-0.22930908
1725815888196,2024-09-08T17:18:08.196Z,313920,-0.2420044,-0.8787842,-0.19696045
1725815888219,2024-09-08T17:18:08.219Z,313943,-0.26257324,-0.9349365,-0.17297363
1725815888264,2024-09-08T17:18:08.264Z,313988,-0.2421875,-0.92230225,-0.23077393
1725815888306,2024-09-08T17:18:08.306Z,314030,-0.22741699,-0.9194336,-0.1887207
1725815888323,2024-09-08T17:18:08.323Z,314047,-0.21624756,-0.89801025,-0.19000244
1725815888350,2024-09-08T17:18:08.350Z,314074,-0.1965332,-0.8973999,-0.12451172
1725815888442,2024-09-08T17:18:08.442Z,314166,-0.19049072,-0.93847656,-0.1484375
1725815888458,2024-09-08T17:18:08.458Z,314182,-0.18579102,-0.9538574,-0.09185791
1725815888488,2024-09-08T17:18:08.488Z,314212,-0.16503906,-0.99121094,-0.05328369
1725815888538,2024-09-08T17:18:08.538Z,314262,-0.22259521,-0.9890747,-0.06951904
1725815888581,2024-09-08T17:18:08.581Z,314305,-0.2107544,-0.9682617,-0.083862305
1725815888626,2024-09-08T17:18:08.626Z,314350,-0.23071289,-0.9871216,-0.103271484
1725815888671,2024-09-08T17:18:08.671Z,314395,-0.2536621,-1.0292358,-0.059387207
1725815888718,2024-09-08T17:18:08.718Z,314442,-0.27349854,-1.0596313,-0.09863281
1725815888743,2024-09-08T17:18:08.743Z,314467,-0.27783203,-1.0256348,-0.15344238
1725815888763,2024-09-08T17:18:08.763Z,314487,-0.2991333,-1.0180664,-0.098083496
1725815888799,2024-09-08T17:18:08.799Z,314523,-0.29467773,-1.0022583,-0.15814209
1725815888853,2024-09-08T17:18:08.853Z,314577,-0.30633545,-1.0010376,-0.14996338
1725815888898,2024-09-08T17:18:08.898Z,314622,-0.33935547,-0.9751587,-0.15795898
1725815888940,2024-09-08T17:18:08.940Z,314664,-0.3256836,-0.93292236,-0.1899414
1725815889033,2024-09-08T17:18:09.033Z,314757,-0.34539795,-0.91296387,-0.24951172
1725815889058,2024-09-08T17:18:09.058Z,314782,-0.34576416,-0.9098511,-0.23181152
1725815889082,2024-09-08T17:18:09.082Z,314806,-0.366333,-0.88757324,-0.25854492
1725815889114,2024-09-08T17:18:09.114Z,314838,-0.3517456,-0.8791504,-0.2836914
1725815889182,2024-09-08T17:18:09.182Z,314906,-0.3623047,-0.859375,-0.19921875
1725815889203,2024-09-08T17:18:09.203Z,314927,-0.3322754,-0.8283081,-0.3008423
1725815889218,2024-09-08T17:18:09.218Z,314942,-0.33093262,-0.8647461,-0.22479248
1725815889249,2024-09-08T17:18:09.249Z,314973,-0.32452393,-0.9081421,-0.27209473
1725815889296,2024-09-08T17:18:09.296Z,315020,-0.30670166,-0.9540405,-0.18756104
1725815889342,2024-09-08T17:18:09.342Z,315066,-0.3050537,-0.9939575,-0.19555664
1725815889392,2024-09-08T17:18:09.392Z,315116,-0.2553711,-1.0045776,-0.1427002
1725815889437,2024-09-08T17:18:09.437Z,315161,-0.24810791,-1.0239868,-0.14074707
1725815889482,2024-09-08T17:18:09.482Z,315206,-0.23382568,-0.99890137,-0.14813232
1725815889528,2024-09-08T17:18:09.528Z,315252,-0.23583984,-0.9980469,-0.1607666
1725815889618,2024-09-08T17:18:09.618Z,315342,-0.19726562,-0.9848633,-0.11981201
1725815889644,2024-09-08T17:18:09.644Z,315368,-0.20166016,-0.9904785,-0.1459961
1725815889662,2024-09-08T17:18:09.662Z,315386,-0.18231201,-1.0249023,-0.1359253
1725815889679,2024-09-08T17:18:09.679Z,315403,-0.1583252,-1.0679321,-0.14038086
1725815889700,2024-09-08T17:18:09.700Z,315424,-0.13696289,-1.1046753,-0.13305664
1725815889746,2024-09-08T17:18:09.746Z,315470,-0.11834717,-1.1169434,-0.122680664
1725815889791,2024-09-08T17:18:09.791Z,315515,-0.1138916,-1.1150513,-0.115234375
1725815889837,2024-09-08T17:18:09.837Z,315561,-0.107666016,-1.1142578,-0.052246094
1725815889885,2024-09-08T17:18:09.885Z,315609,-0.13873291,-1.105957,-0.0881958
1725815889931,2024-09-08T17:18:09.931Z,315655,-0.16204834,-1.0853271,-0.0592041
1725815889978,2024-09-08T17:18:09.978Z,315702,-0.18780518,-1.0908813,-0.10614014
1725815889999,2024-09-08T17:18:09.999Z,315723,-0.2388916,-1.104248,-0.12097168
1725815890016,2024-09-08T17:18:10.016Z,315740,-0.25305176,-1.1071167,-0.13208008
1725815890062,2024-09-08T17:18:10.062Z,315786,-0.26879883,-1.1121216,-0.124816895
1725815890112,2024-09-08T17:18:10.112Z,315836,-0.25567627,-1.0891724,-0.14355469
1725815890203,2024-09-08T17:18:10.203Z,315927,-0.25811768,-1.0701904,-0.13238525
1725815890235,2024-09-08T17:18:10.235Z,315959,-0.24023438,-1.0565796,-0.15875244
1725815890259,2024-09-08T17:18:10.259Z,315983,-0.22662354,-1.0484619,-0.10217285
1725815890296,2024-09-08T17:18:10.296Z,316020,-0.20288086,-1.0526733,-0.06262207
1725815890330,2024-09-08T17:18:10.330Z,316054,-0.17840576,-1.0236206,-7.324219E-4
1725815890428,2024-09-08T17:18:10.428Z,316152,-0.16326904,-0.9904785,-0.047912598
1725815890454,2024-09-08T17:18:10.454Z,316178,-0.14794922,-0.9663086,-0.022277832
1725815890476,2024-09-08T17:18:10.476Z,316200,-0.1237793,-0.9255371,-0.036376953
1725815890492,2024-09-08T17:18:10.492Z,316216,-0.123291016,-0.92144775,-0.019104004
1725815890510,2024-09-08T17:18:10.510Z,316234,-0.12475586,-0.9033203,-0.014160156
1725815890554,2024-09-08T17:18:10.554Z,316278,-0.14068604,-0.92315674,-0.06768799
1725815890601,2024-09-08T17:18:10.601Z,316325,-0.16638184,-0.9746704,-0.09503174
1725815890649,2024-09-08T17:18:10.649Z,316373,-0.17871094,-1.0488281,-0.11016846
1725815890711,2024-09-08T17:18:10.711Z,316435,-0.24926758,-1.0441895,-0.11578369
1725815890737,2024-09-08T17:18:10.737Z,316461,-0.21795654,-1.0006714,-0.085754395
1725815890787,2024-09-08T17:18:10.787Z,316511,-0.2133789,-0.8560791,-0.05883789
1725815890830,2024-09-08T17:18:10.830Z,316554,-0.19732666,-0.66033936,-0.06524658
1725815890851,2024-09-08T17:18:10.851Z,316575,-0.19213867,-0.56036377,-0.034179688
1725815890917,2024-09-08T17:18:10.917Z,316641,-0.21936035,-0.5488281,0.0017089844
1725815890932,2024-09-08T17:18:10.932Z,316656,-0.26605225,-0.6321411,-0.09777832
1725815890964,2024-09-08T17:18:10.964Z,316688,-0.2781372,-0.84716797,-0.055908203
1725815891010,2024-09-08T17:18:11.010Z,316734,-0.32409668,-0.97314453,-0.09741211
1725815891057,2024-09-08T17:18:11.057Z,316781,-0.32507324,-1.003479,-0.0814209
1725815891100,2024-09-08T17:18:11.100Z,316824,-0.30493164,-0.97216797,-0.06915283
1725815891146,2024-09-08T17:18:11.146Z,316870,-0.2767334,-0.9495239,-0.06713867
1725815891206,2024-09-08T17:18:11.206Z,316930,-0.27191162,-0.958374,-0.07867432
1725815891236,2024-09-08T17:18:11.236Z,316960,-0.2579956,-0.9805298,-0.066833496
1725815891255,2024-09-08T17:18:11.255Z,316979,-0.25030518,-1.0009766,-0.07836914
1725815891276,2024-09-08T17:18:11.276Z,317000,-0.24072266,-0.97613525,-0.10449219
1725815891319,2024-09-08T17:18:11.319Z,317043,-0.24243164,-0.97436523,-0.07171631
1725815891386,2024-09-08T17:18:11.386Z,317110,-0.24597168,-0.973938,-0.061157227
1725815891414,2024-09-08T17:18:11.414Z,317138,-0.26812744,-0.9445801,-0.11376953
1725815891461,2024-09-08T17:18:11.461Z,317185,-0.24597168,-0.9232788,-0.08917236
1725815891599,2024-09-08T17:18:11.599Z,317323,-0.28167725,-0.9492798,-0.08758545
1725815891635,2024-09-08T17:18:11.635Z,317359,-0.29040527,-1.001831,-0.10223389
1725815891660,2024-09-08T17:18:11.660Z,317384,-0.2822876,-0.9664917,-0.11633301
1725815891678,2024-09-08T17:18:11.678Z,317402,-0.24291992,-0.8927002,-0.13641357
1725815891694,2024-09-08T17:18:11.694Z,317418,-0.2526245,-0.888916,-0.067993164
1725815891732,2024-09-08T17:18:11.732Z,317456,-0.23962402,-0.9336548,-0.12164307
1725815891747,2024-09-08T17:18:11.747Z,317471,-0.2489624,-0.98791504,-0.09295654
1725815891771,2024-09-08T17:18:11.771Z,317495,-0.27191162,-1.0178223,-0.047790527
1725815891816,2024-09-08T17:18:11.816Z,317540,-0.24902344,-0.97021484,-0.060668945
1725815891861,2024-09-08T17:18:11.861Z,317585,-0.24816895,-0.93914795,-0.07684326
1725815891953,2024-09-08T17:18:11.953Z,317677,-0.24481201,-0.93969727,-0.024108887
1725815891969,2024-09-08T17:18:11.969Z,317693,-0.25030518,-0.9434204,-0.081970215
1725815891997,2024-09-08T17:18:11.997Z,317721,-0.2555542,-0.9277344,-0.07171631
1725815892045,2024-09-08T17:18:12.045Z,317769,-0.2689209,-0.92822266,-0.035095215
1725815892091,2024-09-08T17:18:12.091Z,317815,-0.27459717,-0.9020996,-0.077819824
1725815892112,2024-09-08T17:18:12.112Z,317836,-0.2720337,-0.88397217,-0.076293945
1725815892131,2024-09-08T17:18:12.131Z,317855,-0.26348877,-0.8666992,-0.04663086
1725815892226,2024-09-08T17:18:12.226Z,317950,-0.24658203,-0.8241577,-0.09448242
1725815892252,2024-09-08T17:18:12.252Z,317976,-0.1887207,-0.8482666,-0.07696533
1725815892271,2024-09-08T17:18:12.271Z,317995,-0.20458984,-0.91967773,-0.036865234
1725815892311,2024-09-08T17:18:12.311Z,318035,-0.1928711,-0.944397,-0.0914917
1725815892364,2024-09-08T17:18:12.364Z,318088,-0.17980957,-0.9741211,-0.058654785
1725815892409,2024-09-08T17:18:12.409Z,318133,-0.16845703,-0.9951172,-0.070739746
1725815892497,2024-09-08T17:18:12.497Z,318221,-0.18005371,-0.9700928,-0.10687256
1725815892526,2024-09-08T17:18:12.526Z,318250,-0.16430664,-0.96276855,-0.03466797
1725815892547,2024-09-08T17:18:12.547Z,318271,-0.17218018,-0.98358154,-0.112976074
1725815892580,2024-09-08T17:18:12.580Z,318304,-0.17437744,-1.0015259,-0.12194824
1725815892594,2024-09-08T17:18:12.594Z,318318,-0.18328857,-1.0080566,-0.081848145
1725815892625,2024-09-08T17:18:12.625Z,318349,-0.16888428,-0.9727173,-0.12548828
1725815892737,2024-09-08T17:18:12.737Z,318461,-0.17126465,-0.9642334,-0.12963867
1725815892758,2024-09-08T17:18:12.758Z,318482,-0.16772461,-0.95440674,-0.13482666
