Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725816114614,2024-09-08T17:21:54.614Z,17662,-0.85365856,4.3292685,3.5975611
1725816114663,2024-09-08T17:21:54.663Z,17711,-2.1341465,3.8414636,2.1341465
1725816114702,2024-09-08T17:21:54.702Z,17750,-1.8902439,4.1463413,2.7439024
1725816114747,2024-09-08T17:21:54.747Z,17795,-1.7073171,3.7804878,2.7439024
1725816114884,2024-09-08T17:21:54.884Z,17932,-0.85365856,4.02439,1.8902439
1725816114923,2024-09-08T17:21:54.923Z,17971,0.0,4.085366,0.91463417
1725816115066,2024-09-08T17:21:55.066Z,18114,0.6707317,4.02439,-0.12195122
1725816115091,2024-09-08T17:21:55.091Z,18139,1.7682927,1.8292683,-1.5243902
1725816115123,2024-09-08T17:21:55.123Z,18171,0.18292683,1.6463414,0.24390244
1725816115146,2024-09-08T17:21:55.146Z,18194,-1.097561,1.5853659,1.2195122
1725816115167,2024-09-08T17:21:55.167Z,18215,-0.24390244,1.2195122,-0.06097561
1725816115180,2024-09-08T17:21:55.180Z,18228,0.6097561,1.8292683,1.2804878
1725816115188,2024-09-08T17:21:55.188Z,18236,0.06097561,2.7439024,0.6707317
1725816115196,2024-09-08T17:21:55.196Z,18244,-0.6097561,0.79268295,2.682927
1725816115205,2024-09-08T17:21:55.205Z,18253,-1.8292683,-1.1585366,2.8658538
1725816115341,2024-09-08T17:21:55.341Z,18389,-1.3414634,-0.6097561,3.2317073
1725816115360,2024-09-08T17:21:55.360Z,18408,-1.8902439,-3.4756098,2.012195
1725816115373,2024-09-08T17:21:55.373Z,18421,-1.097561,-4.5731707,3.5365853
1725816115386,2024-09-08T17:21:55.386Z,18434,-3.1707318,-3.9634147,6.097561
1725816115420,2024-09-08T17:21:55.420Z,18468,-4.512195,-7.5,7.1341467
1725816115428,2024-09-08T17:21:55.428Z,18476,-10.54878,-11.829268,12.012196
1725816115466,2024-09-08T17:21:55.466Z,18514,-14.634147,-11.585366,10.243902
1725816115519,2024-09-08T17:21:55.519Z,18567,-10.853659,-6.158537,10.243902
1725816115612,2024-09-08T17:21:55.612Z,18660,-16.890244,-12.804878,11.829268
1725816115632,2024-09-08T17:21:55.632Z,18680,-17.317074,-15.121951,8.841464
1725816115648,2024-09-08T17:21:55.648Z,18696,-18.170732,-15.853659,8.719512
1725816115699,2024-09-08T17:21:55.699Z,18747,-10.914635,-17.134148,7.256098
1725816115744,2024-09-08T17:21:55.744Z,18792,-6.4634147,-13.292684,11.341464
1725816115794,2024-09-08T17:21:55.794Z,18842,-8.47561,-21.036587,11.52439
1725816115844,2024-09-08T17:21:55.844Z,18892,-10.243902,-21.768293,5.609756
1725816115866,2024-09-08T17:21:55.866Z,18914,-10.914635,-23.780489,8.902439
1725816115926,2024-09-08T17:21:55.926Z,18974,-11.707317,-17.37805,12.682927
1725816115979,2024-09-08T17:21:55.979Z,19027,-4.8170733,-8.719512,12.195122
1725816115999,2024-09-08T17:21:55.999Z,19047,-10.060976,-7.682927,8.658537
1725816116064,2024-09-08T17:21:56.064Z,19112,-10.97561,-2.6219513,3.5365853
1725816116086,2024-09-08T17:21:56.086Z,19134,-13.04878,-1.1585366,3.4756098
1725816116106,2024-09-08T17:21:56.106Z,19154,-9.085366,3.5365853,2.6219513
1725816116206,2024-09-08T17:21:56.206Z,19254,-1.097561,1.7073171,5.304878
1725816116234,2024-09-08T17:21:56.234Z,19282,-9.268292,-4.268293,1.7073171
1725816116295,2024-09-08T17:21:56.295Z,19343,-6.768293,-0.79268295,-7.6219516
1725816116315,2024-09-08T17:21:56.315Z,19363,-2.1341465,-1.6463414,-10.182927
