Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1735321179472,2024-12-27T17:39:39.472Z,42913,-0.062316895,-0.10681152,-0.003540039
1735321179479,2024-12-27T17:39:39.479Z,42920,-0.062805176,-0.10760498,-0.00390625
1735321179494,2024-12-27T17:39:39.494Z,42935,-0.062683105,-0.10797119,-0.0033569336
1735321179505,2024-12-27T17:39:39.505Z,42946,-0.06341553,-0.107177734,-0.0031738281
1735321179514,2024-12-27T17:39:39.514Z,42955,-0.061645508,-0.107177734,-0.0037841797
1735321179524,2024-12-27T17:39:39.524Z,42965,-0.060791016,-0.107055664,-0.0026245117
1735321179532,2024-12-27T17:39:39.532Z,42973,-0.06298828,-0.10662842,-0.002319336
1735321179541,2024-12-27T17:39:39.541Z,42982,-0.06402588,-0.10650635,-0.0034179688
1735321179548,2024-12-27T17:39:39.548Z,42989,-0.06225586,-0.10760498,-0.005126953
1735321179557,2024-12-27T17:39:39.557Z,42998,-0.06036377,-0.10821533,-0.0036010742
1735321179566,2024-12-27T17:39:39.566Z,43007,-0.0637207,-0.107421875,-0.004272461
1735321179575,2024-12-27T17:39:39.575Z,43016,-0.064208984,-0.10668945,-0.0044555664
1735321179648,2024-12-27T17:39:39.648Z,43089,-0.062072754,-0.10638428,-0.0045166016
1735321179655,2024-12-27T17:39:39.655Z,43096,-0.06072998,-0.10644531,-0.003112793
1735321179664,2024-12-27T17:39:39.664Z,43105,-0.06201172,-0.10662842,-0.0025024414
1735321179671,2024-12-27T17:39:39.671Z,43112,-0.06329346,-0.10644531,-0.003479004
1735321179680,2024-12-27T17:39:39.680Z,43121,-0.061340332,-0.10687256,-0.0030517578
1735321179690,2024-12-27T17:39:39.690Z,43131,-0.06060791,-0.106933594,-0.0040893555
1735321179697,2024-12-27T17:39:39.697Z,43138,-0.062316895,-0.10668945,-0.004333496
1735321179704,2024-12-27T17:39:39.704Z,43145,-0.06304932,-0.106933594,-0.005004883
1735321179714,2024-12-27T17:39:39.714Z,43155,-0.061462402,-0.10748291,-0.006652832
1735321179723,2024-12-27T17:39:39.723Z,43164,-0.058898926,-0.10772705,-0.0053100586
1735321179732,2024-12-27T17:39:39.732Z,43173,-0.0602417,-0.10662842,-0.0036010742
1735321179737,2024-12-27T17:39:39.737Z,43178,-0.06237793,-0.105529785,-0.004211426
1735321179746,2024-12-27T17:39:39.746Z,43187,-0.06109619,-0.10614014,-0.0038452148
1735321179754,2024-12-27T17:39:39.754Z,43195,-0.061157227,-0.10736084,-0.003112793
1735321179763,2024-12-27T17:39:39.763Z,43204,-0.061035156,-0.1081543,-0.0059814453
1735321179770,2024-12-27T17:39:39.770Z,43211,-0.061401367,-0.10803223,-0.0064697266
1735321179778,2024-12-27T17:39:39.778Z,43219,-0.062438965,-0.10839844,-0.0057373047
1735321179786,2024-12-27T17:39:39.786Z,43227,-0.06341553,-0.107910156,-0.006652832
1735321179793,2024-12-27T17:39:39.793Z,43234,-0.061340332,-0.10809326,-0.0056762695
1735321179802,2024-12-27T17:39:39.802Z,43243,-0.061340332,-0.10864258,-0.0051879883
1735321179810,2024-12-27T17:39:39.810Z,43251,-0.06286621,-0.10864258,-0.0037841797
1735321179818,2024-12-27T17:39:39.818Z,43259,-0.061828613,-0.108947754,-0.0053710938
