Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1735321179488,2024-12-27T17:39:39.488Z,42929,-1.4634147,2.1341465,0.73170733
1735321179498,2024-12-27T17:39:39.498Z,42939,-1.2804878,1.2195122,0.73170733
1735321179509,2024-12-27T17:39:39.509Z,42950,-0.79268295,1.097561,0.42682928
1735321179519,2024-12-27T17:39:39.519Z,42960,-0.73170733,2.804878,0.36585367
1735321179528,2024-12-27T17:39:39.528Z,42969,-0.5487805,4.4512196,0.24390244
1735321179536,2024-12-27T17:39:39.536Z,42977,-0.91463417,5.0609756,0.18292683
1735321179545,2024-12-27T17:39:39.545Z,42986,-1.1585366,4.390244,-0.12195122
1735321179552,2024-12-27T17:39:39.552Z,42993,-1.1585366,3.292683,-0.30487806
1735321179562,2024-12-27T17:39:39.562Z,43003,-0.6097561,4.2073174,-0.6097561
1735321179571,2024-12-27T17:39:39.571Z,43012,0.12195122,5.0609756,-0.9756098
1735321179645,2024-12-27T17:39:39.645Z,43086,0.5487805,5.121951,-1.5243902
1735321179652,2024-12-27T17:39:39.652Z,43093,0.12195122,4.02439,-1.5243902
1735321179660,2024-12-27T17:39:39.660Z,43101,-0.30487806,3.902439,-1.2195122
1735321179668,2024-12-27T17:39:39.668Z,43109,-0.42682928,5.0609756,-1.2804878
1735321179676,2024-12-27T17:39:39.676Z,43117,-0.6707317,6.097561,-1.1585366
1735321179684,2024-12-27T17:39:39.684Z,43125,-0.79268295,7.5,-1.097561
1735321179693,2024-12-27T17:39:39.693Z,43134,-0.73170733,8.414635,-0.79268295
1735321179700,2024-12-27T17:39:39.700Z,43141,-0.79268295,8.353659,-1.1585366
1735321179709,2024-12-27T17:39:39.709Z,43150,-0.91463417,7.1951222,-1.6463414
1735321179718,2024-12-27T17:39:39.718Z,43159,-1.097561,6.402439,-1.6463414
1735321179728,2024-12-27T17:39:39.728Z,43169,-0.91463417,6.402439,-1.7682927
1735321179741,2024-12-27T17:39:39.741Z,43182,-0.91463417,7.012195,-2.5
1735321179750,2024-12-27T17:39:39.750Z,43191,-1.5243902,5.97561,-2.2560976
1735321179759,2024-12-27T17:39:39.759Z,43200,-1.8292683,6.158537,-1.9512196
1735321179767,2024-12-27T17:39:39.767Z,43208,-1.4634147,8.536586,-2.0731707
1735321179774,2024-12-27T17:39:39.774Z,43215,-0.9756098,9.329268,-2.195122
1735321179782,2024-12-27T17:39:39.782Z,43223,-1.402439,8.231708,-2.682927
1735321179790,2024-12-27T17:39:39.790Z,43231,-1.8292683,7.012195,-3.4756098
1735321179798,2024-12-27T17:39:39.798Z,43239,-2.012195,5.7317076,-3.4146342
1735321179806,2024-12-27T17:39:39.806Z,43247,-2.195122,4.878049,-2.9268293
1735321179814,2024-12-27T17:39:39.814Z,43255,-2.195122,5.2439027,-2.7439024
1735321179822,2024-12-27T17:39:39.822Z,43263,-2.0731707,8.170732,-2.5
1735321179831,2024-12-27T17:39:39.831Z,43272,-1.7682927,10.54878,-1.9512196
1735321179839,2024-12-27T17:39:39.839Z,43280,-2.0731707,10.609756,-1.7682927
1735321179848,2024-12-27T17:39:39.848Z,43289,-3.0487804,9.634147,-1.8292683
1735321179858,2024-12-27T17:39:39.858Z,43299,-3.0487804,8.170732,-1.5853659
1735321179867,2024-12-27T17:39:39.867Z,43308,-3.2317073,8.231708,-1.7073171
1735321179921,2024-12-27T17:39:39.921Z,43362,-3.4146342,8.353659,-1.2804878
1735321179932,2024-12-27T17:39:39.932Z,43373,-3.6585367,7.682927,-0.42682928
1735321179941,2024-12-27T17:39:39.941Z,43382,-4.085366,8.04878,-0.24390244
1735321179952,2024-12-27T17:39:39.952Z,43393,-4.268293,9.3902445,0.12195122
1735321179960,2024-12-27T17:39:39.960Z,43401,-3.8414636,10.182927,0.9756098
1735321179970,2024-12-27T17:39:39.970Z,43411,-3.5975611,9.695122,0.85365856
1735321179979,2024-12-27T17:39:39.979Z,43420,-3.6585367,8.170732,0.91463417
1735321179987,2024-12-27T17:39:39.987Z,43428,-3.3536587,7.3170733,1.2804878
