Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725697522463,2024-09-07T08:25:22.463Z,114937,-0.17669678,-0.95654297,-0.18780518
1725697522512,2024-09-07T08:25:22.512Z,114986,-0.1784668,-0.975708,-0.18518066
1725697522547,2024-09-07T08:25:22.547Z,115021,-0.19604492,-0.9741821,-0.18048096
1725697522593,2024-09-07T08:25:22.593Z,115067,-0.17608643,-0.9611206,-0.17645264
1725697522603,2024-09-07T08:25:22.603Z,115077,-0.17486572,-0.94158936,-0.17028809
1725697522642,2024-09-07T08:25:22.642Z,115116,-0.18389893,-0.9260864,-0.16296387
1725697522686,2024-09-07T08:25:22.686Z,115160,-0.17041016,-0.90722656,-0.18774414
1725697522733,2024-09-07T08:25:22.733Z,115207,-0.17425537,-0.9116821,-0.16949463
1725697522828,2024-09-07T08:25:22.828Z,115302,-0.18035889,-0.9493408,-0.21911621
1725697522845,2024-09-07T08:25:22.845Z,115319,-0.17767334,-0.9882202,-0.1977539
1725697522914,2024-09-07T08:25:22.914Z,115388,-0.19470215,-0.9818115,-0.22106934
1725697522936,2024-09-07T08:25:22.936Z,115410,-0.14990234,-0.9342041,-0.18243408
1725697522957,2024-09-07T08:25:22.957Z,115431,-0.15704346,-0.9154663,-0.23266602
1725697523003,2024-09-07T08:25:23.003Z,115477,-0.15679932,-0.93914795,-0.16851807
1725697523047,2024-09-07T08:25:23.047Z,115521,-0.20617676,-0.9446411,-0.1772461
1725697523066,2024-09-07T08:25:23.066Z,115540,-0.17120361,-0.9003296,-0.18231201
1725697523093,2024-09-07T08:25:23.093Z,115567,-0.17596436,-0.87615967,-0.19689941
1725697523137,2024-09-07T08:25:23.137Z,115611,-0.17272949,-0.8944702,-0.17504883
1725697523184,2024-09-07T08:25:23.184Z,115658,-0.20758057,-0.9293823,-0.2053833
1725697523229,2024-09-07T08:25:23.229Z,115703,-0.19567871,-0.9350586,-0.22106934
1725697523270,2024-09-07T08:25:23.270Z,115744,-0.16253662,-0.9765625,-0.22503662
1725697523320,2024-09-07T08:25:23.320Z,115794,-0.23510742,-0.96746826,-0.21826172
1725697523364,2024-09-07T08:25:23.364Z,115838,-0.1828003,-0.96539307,-0.1953125
