Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725697599550,2024-09-07T08:26:39.550Z,35374,-0.42682928,-1.5243902,2.378049
1725697599558,2024-09-07T08:26:39.558Z,35382,-0.42682928,-2.7439024,1.4634147
1725697599641,2024-09-07T08:26:39.641Z,35465,-0.73170733,-7.5,-1.097561
1725697599653,2024-09-07T08:26:39.653Z,35477,0.36585367,-7.682927,0.24390244
1725697599687,2024-09-07T08:26:39.687Z,35511,-2.6219513,-9.146341,2.7439024
1725697599728,2024-09-07T08:26:39.728Z,35552,-2.9268293,-12.5,1.2195122
1725697599771,2024-09-07T08:26:39.771Z,35595,-2.378049,-13.231708,1.7073171
1725697599830,2024-09-07T08:26:39.830Z,35654,-5.670732,-12.012196,6.8292685
1725697599874,2024-09-07T08:26:39.874Z,35698,-5.7317076,-15.6707325,3.3536587
1725697599968,2024-09-07T08:26:39.968Z,35792,-7.012195,-14.817074,6.7073174
1725697599990,2024-09-07T08:26:39.990Z,35814,-7.3170733,-18.536585,9.573171
1725697600004,2024-09-07T08:26:40.004Z,35828,-5.2439027,-16.707317,3.5365853
1725697600018,2024-09-07T08:26:40.018Z,35842,-6.158537,-15.853659,6.158537
1725697600044,2024-09-07T08:26:40.044Z,35868,-5.0,-16.036585,4.02439
1725697600094,2024-09-07T08:26:40.094Z,35918,-7.804878,-18.04878,4.5731707
1725697600194,2024-09-07T08:26:40.194Z,36018,-5.670732,-11.95122,-0.36585367
1725697600271,2024-09-07T08:26:40.271Z,36095,-4.878049,-15.914635,3.4146342
1725697600296,2024-09-07T08:26:40.296Z,36120,-5.8536587,-12.378049,2.0731707
1725697600319,2024-09-07T08:26:40.319Z,36143,-10.670732,-9.3902445,2.2560976
1725697600341,2024-09-07T08:26:40.341Z,36165,-7.804878,-6.2195125,-0.12195122
1725697600412,2024-09-07T08:26:40.412Z,36236,-1.1585366,-11.280488,5.97561
1725697600430,2024-09-07T08:26:40.430Z,36254,3.292683,-5.121951,4.634146
1725697600445,2024-09-07T08:26:40.445Z,36269,4.1463413,-1.2195122,4.02439
1725697600455,2024-09-07T08:26:40.455Z,36279,7.682927,-0.36585367,3.8414636
1725697600546,2024-09-07T08:26:40.546Z,36370,9.512196,-6.2195125,7.804878
1725697600563,2024-09-07T08:26:40.563Z,36387,4.1463413,3.1707318,3.292683
1725697600591,2024-09-07T08:26:40.591Z,36415,2.4390244,1.8292683,1.097561
1725697600674,2024-09-07T08:26:40.674Z,36498,2.7439024,5.182927,1.5853659
1725697600721,2024-09-07T08:26:40.721Z,36545,9.695122,-11.8902445,5.97561
1725697600860,2024-09-07T08:26:40.860Z,36684,0.5487805,-2.8658538,5.4268293
1725697600886,2024-09-07T08:26:40.886Z,36710,-0.79268295,2.987805,6.3414636
1725697600906,2024-09-07T08:26:40.906Z,36730,-4.512195,5.4268293,7.1951222
1725697600925,2024-09-07T08:26:40.925Z,36749,-1.8902439,-6.7073174,2.2560976
1725697600940,2024-09-07T08:26:40.940Z,36764,-4.9390244,-16.524391,-3.292683
1725697600953,2024-09-07T08:26:40.953Z,36777,-3.1707318,-15.97561,-6.7073174
1725697600963,2024-09-07T08:26:40.963Z,36787,-4.4512196,-9.146341,-8.841464
1725697601100,2024-09-07T08:26:41.100Z,36924,1.5853659,-3.292683,-5.121951
1725697601120,2024-09-07T08:26:41.120Z,36944,4.3292685,-0.4878049,-0.9756098
1725697601134,2024-09-07T08:26:41.134Z,36958,7.256098,-9.268292,4.4512196
1725697601147,2024-09-07T08:26:41.147Z,36971,10.914635,-7.9268293,2.6219513
1725697601168,2024-09-07T08:26:41.168Z,36992,10.304878,-16.341463,2.9268293
1725697601219,2024-09-07T08:26:41.219Z,37043,5.7317076,-8.658537,-1.3414634
1725697601237,2024-09-07T08:26:41.237Z,37061,3.2317073,-5.0609756,-2.317073
1725697601365,2024-09-07T08:26:41.365Z,37189,8.902439,-7.4390244,-1.7682927
1725697601404,2024-09-07T08:26:41.404Z,37228,8.04878,-4.1463413,-2.7439024
1725697601423,2024-09-07T08:26:41.423Z,37247,6.646342,-1.1585366,-7.1951222
1725697601436,2024-09-07T08:26:41.436Z,37260,9.268292,-6.585366,-6.2195125
1725697601448,2024-09-07T08:26:41.448Z,37272,12.256098,-14.512196,-4.3292685
1725697601536,2024-09-07T08:26:41.536Z,37360,9.756098,-8.292683,-3.4756098
1725697601555,2024-09-07T08:26:41.555Z,37379,4.756098,-3.1097562,-5.0
1725697601574,2024-09-07T08:26:41.574Z,37398,5.4268293,-4.2073174,-2.9268293
1725697601625,2024-09-07T08:26:41.625Z,37449,7.012195,-8.109756,-3.9634147
1725697601712,2024-09-07T08:26:41.712Z,37536,-0.18292683,-4.512195,-3.5975611
1725697601811,2024-09-07T08:26:41.811Z,37635,-1.0365853,7.9268293,-0.85365856
1725697601862,2024-09-07T08:26:41.862Z,37686,-1.097561,14.695123,3.292683
1725697601889,2024-09-07T08:26:41.889Z,37713,3.9634147,7.9268293,9.512196
1725697601909,2024-09-07T08:26:41.909Z,37733,1.5853659,10.121951,8.04878
1725697601928,2024-09-07T08:26:41.928Z,37752,-5.8536587,5.8536587,6.158537
1725697601946,2024-09-07T08:26:41.946Z,37770,-11.8902445,15.121951,1.2195122
1725697601962,2024-09-07T08:26:41.962Z,37786,-7.6219516,18.59756,0.36585367
1725697601980,2024-09-07T08:26:41.980Z,37804,-5.2439027,19.573172,-0.18292683
1725697602028,2024-09-07T08:26:42.028Z,37852,0.18292683,16.09756,-1.8292683
1725697602077,2024-09-07T08:26:42.077Z,37901,5.2439027,4.8170733,-0.6707317
1725697602094,2024-09-07T08:26:42.094Z,37918,-1.402439,6.768293,-1.1585366
1725697602119,2024-09-07T08:26:42.119Z,37943,-8.47561,5.182927,-0.06097561
1725697602163,2024-09-07T08:26:42.163Z,37987,-7.5609756,6.8292685,1.9512196
1725697602214,2024-09-07T08:26:42.214Z,38038,0.91463417,1.7073171,7.804878
1725697602263,2024-09-07T08:26:42.263Z,38087,6.2195125,4.390244,9.146341
1725697602302,2024-09-07T08:26:42.302Z,38126,8.719512,0.91463417,10.487805
1725697602349,2024-09-07T08:26:42.349Z,38173,5.97561,4.02439,5.304878
1725697602402,2024-09-07T08:26:42.402Z,38226,1.097561,10.304878,-1.2804878
1725697602441,2024-09-07T08:26:42.441Z,38265,0.36585367,3.7195122,-5.4268293
