Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725697209301,2024-09-07T08:20:09.301Z,130994,-0.20477295,-1.0455322,-0.07763672
1725697209342,2024-09-07T08:20:09.342Z,131035,-0.21362305,-0.9953613,-0.09436035
1725697209387,2024-09-07T08:20:09.387Z,131080,-0.17333984,-0.9472656,-0.1083374
1725697209431,2024-09-07T08:20:09.431Z,131124,-0.19940186,-0.93499756,-0.08343506
1725697209440,2024-09-07T08:20:09.440Z,131133,-0.20129395,-0.9450073,-0.15472412
1725697209477,2024-09-07T08:20:09.477Z,131170,-0.19006348,-0.9837036,-0.1026001
1725697209520,2024-09-07T08:20:09.520Z,131213,-0.22387695,-1.0019531,-0.046936035
1725697209570,2024-09-07T08:20:09.570Z,131263,-0.15246582,-0.9849243,-0.081726074
1725697209619,2024-09-07T08:20:09.619Z,131312,-0.20672607,-0.9428711,-0.020202637
1725697209662,2024-09-07T08:20:09.662Z,131355,-0.15496826,-0.9194336,-0.06890869
1725697209710,2024-09-07T08:20:09.710Z,131403,-0.17584229,-0.9383545,-0.059326172
1725697209753,2024-09-07T08:20:09.753Z,131446,-0.1560669,-0.98773193,-0.055603027
1725697209798,2024-09-07T08:20:09.798Z,131491,-0.15490723,-0.989624,-0.038635254
1725697209842,2024-09-07T08:20:09.842Z,131535,-0.14489746,-0.96728516,-0.055480957
1725697209888,2024-09-07T08:20:09.888Z,131581,-0.13140869,-0.9545288,-0.058654785
1725697209906,2024-09-07T08:20:09.906Z,131599,-0.16973877,-0.94281006,-0.06958008
1725697209931,2024-09-07T08:20:09.931Z,131624,-0.18847656,-0.91204834,-0.11035156
1725697209977,2024-09-07T08:20:09.977Z,131670,-0.21490479,-0.8795166,-0.09307861
1725697210070,2024-09-07T08:20:10.070Z,131763,-0.22076416,-0.8597412,-0.1550293
1725697210092,2024-09-07T08:20:10.092Z,131785,-0.23822021,-0.89849854,-0.1315918
1725697210114,2024-09-07T08:20:10.114Z,131807,-0.2520752,-0.89123535,-0.17956543
1725697210157,2024-09-07T08:20:10.157Z,131850,-0.25109863,-0.9328613,-0.17993164
1725697210201,2024-09-07T08:20:10.201Z,131894,-0.24224854,-0.8991699,-0.11468506
1725697210246,2024-09-07T08:20:10.246Z,131939,-0.25531006,-0.86816406,-0.22039795
1725697210293,2024-09-07T08:20:10.293Z,131986,-0.22851562,-0.85809326,-0.1671753
1725697210312,2024-09-07T08:20:10.312Z,132005,-0.24310303,-0.86846924,-0.16149902
1725697210335,2024-09-07T08:20:10.335Z,132028,-0.2277832,-0.87542725,-0.19702148
1725697210380,2024-09-07T08:20:10.380Z,132073,-0.22296143,-0.89038086,-0.18743896
1725697210427,2024-09-07T08:20:10.427Z,132120,-0.21014404,-0.9463501,-0.22625732
1725697210471,2024-09-07T08:20:10.471Z,132164,-0.2454834,-0.94573975,-0.17700195
1725697210517,2024-09-07T08:20:10.517Z,132210,-0.21179199,-0.9243164,-0.27215576
1725697210562,2024-09-07T08:20:10.562Z,132255,-0.15472412,-0.9024658,-0.20428467
1725697210608,2024-09-07T08:20:10.608Z,132301,-0.17126465,-0.9257202,-0.20593262
1725697210654,2024-09-07T08:20:10.654Z,132347,-0.13452148,-0.9071655,-0.12335205
1725697210699,2024-09-07T08:20:10.699Z,132392,-0.11968994,-0.9226074,-0.23400879
1725697210721,2024-09-07T08:20:10.721Z,132414,-0.16369629,-0.95428467,-0.16516113
1725697210741,2024-09-07T08:20:10.741Z,132434,-0.14727783,-0.9928589,-0.14508057
1725697210786,2024-09-07T08:20:10.786Z,132479,-0.15039062,-1.0022583,-0.1663208
1725697210834,2024-09-07T08:20:10.834Z,132527,-0.19232178,-0.9935303,-0.1739502
