Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725697303670,2024-09-07T08:21:43.670Z,58899,-8.414635,-10.426829,-8.170732
1725697303710,2024-09-07T08:21:43.710Z,58939,-5.5487804,-8.780488,-2.7439024
1725697303763,2024-09-07T08:21:43.763Z,58992,-1.402439,-2.5609756,-0.4878049
1725697303804,2024-09-07T08:21:43.804Z,59033,2.1341465,-0.42682928,-2.682927
1725697303849,2024-09-07T08:21:43.849Z,59078,2.2560976,3.3536587,2.6219513
1725697303894,2024-09-07T08:21:43.894Z,59123,-1.402439,4.1463413,1.7073171
1725697303937,2024-09-07T08:21:43.937Z,59166,0.6707317,5.914634,5.365854
1725697303980,2024-09-07T08:21:43.980Z,59209,0.24390244,4.8170733,2.012195
1725697303989,2024-09-07T08:21:43.989Z,59218,-0.91463417,4.2073174,0.91463417
1725697304025,2024-09-07T08:21:44.025Z,59254,-1.0365853,5.792683,2.2560976
1725697304072,2024-09-07T08:21:44.072Z,59301,-3.9634147,2.804878,3.7195122
1725697304118,2024-09-07T08:21:44.118Z,59347,-6.2195125,3.6585367,5.4268293
1725697304170,2024-09-07T08:21:44.170Z,59399,-5.365854,3.8414636,5.0609756
1725697304217,2024-09-07T08:21:44.217Z,59446,-5.121951,4.6951222,7.9268293
1725697304269,2024-09-07T08:21:44.269Z,59498,-8.658537,3.3536587,5.670732
1725697304310,2024-09-07T08:21:44.310Z,59539,-3.4146342,5.7317076,3.8414636
1725697304357,2024-09-07T08:21:44.357Z,59586,-9.3902445,2.012195,8.170732
1725697304401,2024-09-07T08:21:44.401Z,59630,-10.426829,5.2439027,3.8414636
1725697304421,2024-09-07T08:21:44.421Z,59650,-11.585366,10.0,4.2073174
1725697304439,2024-09-07T08:21:44.439Z,59668,-8.841464,12.378049,7.1951222
1725697304487,2024-09-07T08:21:44.487Z,59716,0.42682928,15.731708,8.353659
1725697304536,2024-09-07T08:21:44.536Z,59765,4.390244,13.47561,1.5243902
1725697304581,2024-09-07T08:21:44.581Z,59810,0.12195122,10.670732,0.79268295
1725697304627,2024-09-07T08:21:44.627Z,59856,5.0609756,9.085366,-2.9268293
1725697304673,2024-09-07T08:21:44.673Z,59902,0.06097561,6.8292685,-2.195122
1725697304716,2024-09-07T08:21:44.716Z,59945,2.5,2.5,-1.402439
1725697304764,2024-09-07T08:21:44.764Z,59993,1.2195122,-3.7195122,-6.3414636
1725697304809,2024-09-07T08:21:44.809Z,60038,6.158537,-2.8658538,-7.5609756
1725697304830,2024-09-07T08:21:44.830Z,60059,-1.9512196,-12.378049,-3.292683
1725697304852,2024-09-07T08:21:44.852Z,60081,-11.768293,-9.756098,-1.4634147
1725697304930,2024-09-07T08:21:44.930Z,60159,-0.06097561,-2.1341465,2.6219513
1725697304953,2024-09-07T08:21:44.953Z,60182,9.146341,-2.0731707,1.2195122
1725697304978,2024-09-07T08:21:44.978Z,60207,3.6585367,-4.512195,7.9268293
1725697305026,2024-09-07T08:21:45.026Z,60255,-5.182927,-6.158537,7.6219516
1725697305074,2024-09-07T08:21:45.074Z,60303,-6.2195125,-7.1951222,-0.91463417
1725697305118,2024-09-07T08:21:45.118Z,60347,0.79268295,6.646342,-3.5975611
1725697305167,2024-09-07T08:21:45.167Z,60396,10.060976,-1.8902439,3.902439
1725697305211,2024-09-07T08:21:45.211Z,60440,3.5365853,-11.95122,0.36585367
1725697305258,2024-09-07T08:21:45.258Z,60487,-4.02439,-3.7804878,-9.512196
1725697305282,2024-09-07T08:21:45.282Z,60511,-13.170732,-5.365854,-11.341464
1725697305303,2024-09-07T08:21:45.303Z,60532,-6.2195125,-5.914634,-5.97561
1725697305343,2024-09-07T08:21:45.343Z,60572,2.2560976,-5.8536587,2.682927
1725697305388,2024-09-07T08:21:45.388Z,60617,10.731708,7.012195,3.1097562
1725697305432,2024-09-07T08:21:45.432Z,60661,-0.06097561,7.3170733,-2.5
1725697305479,2024-09-07T08:21:45.479Z,60708,-1.8292683,-4.634146,-3.8414636
1725697305524,2024-09-07T08:21:45.524Z,60753,0.9756098,-4.8170733,5.914634
1725697305567,2024-09-07T08:21:45.567Z,60796,6.4634147,-13.658537,10.731708
1725697305615,2024-09-07T08:21:45.615Z,60844,-3.5365853,10.060976,-1.5853659
1725697305659,2024-09-07T08:21:45.659Z,60888,0.79268295,11.341464,-11.829268
1725697305680,2024-09-07T08:21:45.680Z,60909,1.8292683,3.0487804,-6.9512196
1725697305700,2024-09-07T08:21:45.700Z,60929,2.682927,-5.8536587,2.5
1725697305745,2024-09-07T08:21:45.745Z,60974,8.719512,0.30487806,7.0731707
1725697305796,2024-09-07T08:21:45.796Z,61025,1.0365853,-9.695122,3.902439
1725697305841,2024-09-07T08:21:45.841Z,61070,-10.609756,-10.243902,-0.85365856
1725697305889,2024-09-07T08:21:45.889Z,61118,-12.865854,13.170732,-4.878049
1725697305932,2024-09-07T08:21:45.932Z,61161,-8.841464,4.2073174,-6.52439
1725697305976,2024-09-07T08:21:45.976Z,61205,0.9756098,5.304878,-0.24390244
1725697306018,2024-09-07T08:21:46.018Z,61247,8.536586,2.1341465,2.9268293
1725697306063,2024-09-07T08:21:46.063Z,61292,5.5487804,-1.7073171,1.8902439
1725697306085,2024-09-07T08:21:46.085Z,61314,-1.0365853,-4.4512196,0.91463417
1725697306104,2024-09-07T08:21:46.104Z,61333,-4.2073174,-2.7439024,-1.8902439
1725697306150,2024-09-07T08:21:46.150Z,61379,-9.756098,-7.378049,-3.2317073
1725697306197,2024-09-07T08:21:46.197Z,61426,-4.268293,-0.9756098,-2.6219513
1725697306242,2024-09-07T08:21:46.242Z,61471,0.6097561,12.073171,-2.1341465
1725697306293,2024-09-07T08:21:46.293Z,61522,-2.5,10.914635,-1.097561
1725697306334,2024-09-07T08:21:46.334Z,61563,-3.5365853,14.02439,-2.012195
1725697306380,2024-09-07T08:21:46.380Z,61609,-6.280488,23.109756,-5.304878
1725697306426,2024-09-07T08:21:46.426Z,61655,-6.768293,22.317074,-3.8414636
1725697306472,2024-09-07T08:21:46.472Z,61701,4.085366,16.280489,-0.9756098
1725697306523,2024-09-07T08:21:46.523Z,61752,14.207317,15.060976,-0.6707317
1725697306549,2024-09-07T08:21:46.549Z,61778,12.743903,12.012196,-3.6585367
1725697306568,2024-09-07T08:21:46.568Z,61797,-2.317073,-6.7073174,-9.878049
1725697306598,2024-09-07T08:21:46.598Z,61827,-15.609756,-6.8292685,-13.963415
1725697306645,2024-09-07T08:21:46.645Z,61874,-18.719513,3.6585367,-17.865854
1725697306694,2024-09-07T08:21:46.694Z,61923,-11.768293,13.170732,-15.182927
1725697306740,2024-09-07T08:21:46.740Z,61969,-3.1707318,15.6707325,-2.7439024
1725697306791,2024-09-07T08:21:46.791Z,62020,4.268293,10.121951,24.085367
1725697306832,2024-09-07T08:21:46.832Z,62061,-4.268293,1.8902439,30.792685
1725697306874,2024-09-07T08:21:46.874Z,62103,-30.121952,5.487805,22.317074
1725697306920,2024-09-07T08:21:46.920Z,62149,-47.80488,5.304878,13.841464
1725697306938,2024-09-07T08:21:46.938Z,62167,-37.865856,5.609756,5.5487804
1725697306956,2024-09-07T08:21:46.956Z,62185,-29.085367,1.7073171,8.353659
1725697307003,2024-09-07T08:21:47.003Z,62232,-19.390244,0.9756098,15.182927
1725697307052,2024-09-07T08:21:47.052Z,62281,-16.890244,-0.12195122,19.756098
1725697307098,2024-09-07T08:21:47.098Z,62327,-9.085366,10.670732,18.231709
1725697307146,2024-09-07T08:21:47.146Z,62375,-11.646341,15.0,12.012196
1725697307189,2024-09-07T08:21:47.189Z,62418,-4.9390244,25.670732,1.0365853
1725697307233,2024-09-07T08:21:47.233Z,62462,-5.792683,10.365854,2.195122
1725697307278,2024-09-07T08:21:47.278Z,62507,-4.5731707,-12.317074,0.73170733
1725697307323,2024-09-07T08:21:47.323Z,62552,-6.9512196,-17.439024,0.5487805
1725697307353,2024-09-07T08:21:47.353Z,62582,-7.1951222,-4.085366,-5.2439027
1725697307364,2024-09-07T08:21:47.364Z,62593,-0.12195122,1.6463414,-9.878049
1725697307407,2024-09-07T08:21:47.407Z,62636,-0.36585367,-8.536586,-9.085366
1725697307457,2024-09-07T08:21:47.457Z,62686,8.414635,-6.585366,-5.97561
1725697307504,2024-09-07T08:21:47.504Z,62733,15.97561,-3.0487804,2.9268293
1725697307584,2024-09-07T08:21:47.584Z,62813,19.45122,-3.7804878,10.670732
1725697307608,2024-09-07T08:21:47.608Z,62837,5.97561,-4.8170733,0.30487806
1725697307641,2024-09-07T08:21:47.641Z,62870,17.865854,10.243902,-8.47561
1725697307717,2024-09-07T08:21:47.717Z,62946,20.792683,15.182927,-1.2804878
1725697307736,2024-09-07T08:21:47.736Z,62965,1.097561,1.8902439,-12.804878
1725697307772,2024-09-07T08:21:47.772Z,63001,-3.902439,-6.585366,-20.792683
1725697307788,2024-09-07T08:21:47.788Z,63017,9.573171,-3.3536587,-15.243903
1725697307808,2024-09-07T08:21:47.808Z,63037,11.036586,-9.268292,-17.682928
1725697307851,2024-09-07T08:21:47.851Z,63080,21.463415,0.9756098,-9.512196
1725697307903,2024-09-07T08:21:47.903Z,63132,31.40244,18.170732,-9.146341
1725697307953,2024-09-07T08:21:47.953Z,63182,16.341463,16.158537,-14.268293
1725697307999,2024-09-07T08:21:47.999Z,63228,0.85365856,8.47561,-16.82927
1725697308045,2024-09-07T08:21:48.045Z,63274,2.1341465,11.036586,-5.487805
1725697308087,2024-09-07T08:21:48.087Z,63316,10.487805,12.926829,4.878049
1725697308134,2024-09-07T08:21:48.134Z,63363,1.7073171,-0.36585367,-0.9756098
1725697308230,2024-09-07T08:21:48.230Z,63459,-3.8414636,-10.243902,-2.1341465
1725697308252,2024-09-07T08:21:48.252Z,63481,-8.963415,-10.792684,3.1097562
1725697308263,2024-09-07T08:21:48.263Z,63492,4.4512196,-8.04878,-16.768293
1725697308277,2024-09-07T08:21:48.277Z,63506,8.719512,5.182927,1.2195122
