Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725949581136,2024-09-10T06:26:21.136Z,28734,0.057250977,-0.9242554,0.31982422
1725949581150,2024-09-10T06:26:21.150Z,28748,0.058044434,-0.9310913,0.32861328
1725949581172,2024-09-10T06:26:21.172Z,28770,0.059692383,-0.92163086,0.3250122
1725949581215,2024-09-10T06:26:21.215Z,28813,0.06329346,-0.9244995,0.33093262
1725949581259,2024-09-10T06:26:21.259Z,28857,0.06286621,-0.93170166,0.32818604
1725949581304,2024-09-10T06:26:21.304Z,28902,0.06201172,-0.9283447,0.3189087
1725949581349,2024-09-10T06:26:21.349Z,28947,0.0592041,-0.9143677,0.3079834
1725949581401,2024-09-10T06:26:21.401Z,28999,0.04510498,-0.89782715,0.3071289
1725949581447,2024-09-10T06:26:21.447Z,29045,0.051879883,-0.8859863,0.3060913
1725949581490,2024-09-10T06:26:21.490Z,29088,0.034606934,-0.88360596,0.29815674
1725949581512,2024-09-10T06:26:21.512Z,29110,0.046325684,-0.8796997,0.2833252
1725949581533,2024-09-10T06:26:21.533Z,29131,0.014526367,-0.88482666,0.2647705
1725949581581,2024-09-10T06:26:21.581Z,29179,0.024291992,-0.9033203,0.25787354
1725949581625,2024-09-10T06:26:21.625Z,29223,0.023742676,-0.89520264,0.23583984
1725949581671,2024-09-10T06:26:21.671Z,29269,-0.008300781,-0.9066162,0.20684814
1725949581718,2024-09-10T06:26:21.718Z,29316,-0.0014648438,-0.94189453,0.20880127
1725949581764,2024-09-10T06:26:21.764Z,29362,-0.016662598,-0.9315796,0.18756104
1725949581807,2024-09-10T06:26:21.807Z,29405,-0.03552246,-0.9505615,0.18780518
1725949581853,2024-09-10T06:26:21.853Z,29451,-0.04156494,-0.9289551,0.1954956
1725949581912,2024-09-10T06:26:21.912Z,29510,-0.049438477,-0.9211426,0.17700195
1725949581935,2024-09-10T06:26:21.935Z,29533,-0.07043457,-0.92456055,0.18554688
1725949581956,2024-09-10T06:26:21.956Z,29554,-0.045898438,-0.9205322,0.18798828
1725949581984,2024-09-10T06:26:21.984Z,29582,-0.07635498,-0.9371338,0.17767334
1725949582029,2024-09-10T06:26:22.029Z,29627,-0.112976074,-0.93359375,0.12817383
1725949582076,2024-09-10T06:26:22.076Z,29674,-0.13146973,-0.99749756,0.089660645
1725949582124,2024-09-10T06:26:22.124Z,29722,-0.12145996,-1.0609131,0.071899414
1725949582169,2024-09-10T06:26:22.169Z,29767,-0.13763428,-0.9630127,0.018798828
1725949582219,2024-09-10T06:26:22.219Z,29817,-0.10028076,-1.0053711,-0.0075683594
1725949582259,2024-09-10T06:26:22.259Z,29857,-0.10217285,-1.0206909,-0.015197754
1725949582301,2024-09-10T06:26:22.301Z,29899,-0.109802246,-0.92926025,-0.006591797
1725949582320,2024-09-10T06:26:22.320Z,29918,-0.15563965,-0.85546875,-0.0063476562
1725949582344,2024-09-10T06:26:22.344Z,29942,-0.15484619,-0.97332764,-0.0061035156
1725949582391,2024-09-10T06:26:22.391Z,29989,-0.17828369,-0.92388916,7.9345703E-4
1725949582481,2024-09-10T06:26:22.481Z,30079,-0.13568115,-0.95288086,-0.004333496
1725949582500,2024-09-10T06:26:22.500Z,30098,-0.1749878,-1.0290527,-0.0045776367
1725949582570,2024-09-10T06:26:22.570Z,30168,-0.13775635,-1.0457764,0.02722168
1725949582590,2024-09-10T06:26:22.590Z,30188,-0.1395874,-1.0040283,0.04083252
1725949582613,2024-09-10T06:26:22.613Z,30211,-0.14898682,-0.9989624,0.03643799
1725949582660,2024-09-10T06:26:22.660Z,30258,-0.13745117,-0.99542236,0.04699707
1725949582705,2024-09-10T06:26:22.705Z,30303,-0.11590576,-0.97332764,0.034973145
1725949582753,2024-09-10T06:26:22.753Z,30351,-0.16101074,-0.99017334,0.02758789
1725949582776,2024-09-10T06:26:22.776Z,30374,-0.15466309,-0.94659424,0.033813477
1725949582794,2024-09-10T06:26:22.794Z,30392,-0.14733887,-0.9338989,0.030395508
1725949582932,2024-09-10T06:26:22.932Z,30530,-0.11975098,-0.99487305,0.029724121
1725949582950,2024-09-10T06:26:22.950Z,30548,-0.13720703,-0.9824219,0.039123535
1725949582964,2024-09-10T06:26:22.964Z,30562,-0.11975098,-0.96173096,0.083496094
1725949582979,2024-09-10T06:26:22.979Z,30577,-0.10595703,-0.97247314,0.11993408
1725949583017,2024-09-10T06:26:23.017Z,30615,-0.10675049,-0.91955566,0.13641357
1725949583081,2024-09-10T06:26:23.081Z,30679,-0.09820557,-0.9515991,0.11590576
1725949583109,2024-09-10T06:26:23.109Z,30707,-0.09753418,-0.9622803,0.1104126
1725949583154,2024-09-10T06:26:23.154Z,30752,-0.085510254,-0.97210693,0.101135254
1725949583174,2024-09-10T06:26:23.174Z,30772,-0.067871094,-1.0043945,0.08544922
1725949583200,2024-09-10T06:26:23.200Z,30798,-0.11419678,-1.0096436,0.17437744
1725949583245,2024-09-10T06:26:23.245Z,30843,-0.079711914,-0.98309326,0.21905518
1725949583291,2024-09-10T06:26:23.291Z,30889,-0.07336426,-0.96868896,0.2617798
1725949583336,2024-09-10T06:26:23.336Z,30934,-0.071899414,-0.92523193,0.31463623
1725949583382,2024-09-10T06:26:23.382Z,30980,-0.04071045,-0.907959,0.3768921
1725949583429,2024-09-10T06:26:23.429Z,31027,-0.039489746,-0.9403076,0.34362793
1725949583473,2024-09-10T06:26:23.473Z,31071,0.03363037,-0.9918213,0.39318848
1725949583517,2024-09-10T06:26:23.517Z,31115,0.030761719,-0.9607544,0.36999512
1725949583563,2024-09-10T06:26:23.563Z,31161,0.058776855,-0.9533081,0.4788208
1725949583585,2024-09-10T06:26:23.585Z,31183,0.09906006,-0.9678955,0.5192261
1725949583698,2024-09-10T06:26:23.698Z,31296,0.115112305,-0.8594971,0.5784912
1725949583716,2024-09-10T06:26:23.716Z,31314,0.095947266,-0.7923584,0.6156006
1725949583734,2024-09-10T06:26:23.734Z,31332,0.1116333,-0.819397,0.59259033
1725949583747,2024-09-10T06:26:23.747Z,31345,0.12908936,-0.86743164,0.66534424
1725949583785,2024-09-10T06:26:23.785Z,31383,0.1060791,-0.83898926,0.59936523
1725949583875,2024-09-10T06:26:23.875Z,31473,0.11999512,-0.892395,0.54974365
1725949583893,2024-09-10T06:26:23.893Z,31491,0.1586914,-0.9206543,0.6325073
1725949583969,2024-09-10T06:26:23.969Z,31567,0.15112305,-0.87384033,0.59173584
1725949583994,2024-09-10T06:26:23.994Z,31592,0.119262695,-0.8513794,0.58477783
1725949584016,2024-09-10T06:26:24.016Z,31614,0.15783691,-0.8345337,0.59820557
1725949584034,2024-09-10T06:26:24.034Z,31632,0.1716919,-0.7911377,0.63342285
1725949584050,2024-09-10T06:26:24.050Z,31648,0.15270996,-0.83703613,0.58258057
1725949584101,2024-09-10T06:26:24.101Z,31699,0.1307373,-0.8656006,0.5477295
1725949584147,2024-09-10T06:26:24.147Z,31745,0.13134766,-0.85754395,0.53125
1725949584196,2024-09-10T06:26:24.196Z,31794,0.111694336,-0.8670044,0.4772339
1725949584239,2024-09-10T06:26:24.239Z,31837,0.08459473,-0.8845215,0.46124268
1725949584326,2024-09-10T06:26:24.326Z,31924,0.10394287,-0.8812866,0.47979736
1725949584346,2024-09-10T06:26:24.346Z,31944,0.087768555,-0.88067627,0.46362305
1725949584369,2024-09-10T06:26:24.369Z,31967,0.103027344,-0.8602905,0.44458008
1725949584426,2024-09-10T06:26:24.426Z,32024,0.08843994,-0.8734741,0.43389893
1725949584442,2024-09-10T06:26:24.442Z,32040,0.07849121,-0.8874512,0.45526123
1725949584456,2024-09-10T06:26:24.456Z,32054,0.08178711,-0.8718262,0.38146973
1725949584501,2024-09-10T06:26:24.501Z,32099,0.07421875,-0.8850708,0.35534668
1725949584548,2024-09-10T06:26:24.548Z,32146,0.06945801,-0.8544922,0.3659668
1725949584596,2024-09-10T06:26:24.596Z,32194,0.052978516,-0.88409424,0.36743164
1725949584641,2024-09-10T06:26:24.641Z,32239,0.03881836,-0.9671631,0.32861328
1725949584684,2024-09-10T06:26:24.684Z,32282,0.035095215,-0.9696045,0.32611084
1725949584731,2024-09-10T06:26:24.731Z,32329,0.056030273,-1.0062256,0.3355713
1725949584775,2024-09-10T06:26:24.775Z,32373,0.057373047,-1.0022583,0.3164673
1725949584820,2024-09-10T06:26:24.820Z,32418,0.028015137,-1.0263672,0.32983398
1725949584839,2024-09-10T06:26:24.839Z,32437,0.025146484,-1.0120239,0.29962158
1725949584865,2024-09-10T06:26:24.865Z,32463,-0.019104004,-1.0357666,0.2553711
