Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725949581043,2024-09-10T06:26:21.043Z,28641,1.3414634,-1.402439,0.91463417
1725949581127,2024-09-10T06:26:21.127Z,28725,1.1585366,-1.5243902,0.6707317
1725949581143,2024-09-10T06:26:21.143Z,28741,0.18292683,-2.195122,1.097561
1725949581157,2024-09-10T06:26:21.157Z,28755,0.4878049,-1.097561,1.2195122
1725949581180,2024-09-10T06:26:21.180Z,28778,0.24390244,-0.30487806,1.2804878
1725949581221,2024-09-10T06:26:21.221Z,28819,-1.097561,0.30487806,1.402439
1725949581263,2024-09-10T06:26:21.263Z,28861,-1.8292683,0.73170733,1.5243902
1725949581309,2024-09-10T06:26:21.309Z,28907,-2.195122,1.0365853,1.6463414
1725949581353,2024-09-10T06:26:21.353Z,28951,-2.2560976,1.2195122,0.6707317
1725949581410,2024-09-10T06:26:21.410Z,29008,-2.317073,0.24390244,1.3414634
1725949581456,2024-09-10T06:26:21.456Z,29054,-3.5365853,-1.1585366,5.121951
1725949581501,2024-09-10T06:26:21.501Z,29099,-6.0365853,-1.3414634,7.682927
1725949581521,2024-09-10T06:26:21.521Z,29119,-9.207317,-4.3292685,10.853659
1725949581541,2024-09-10T06:26:21.541Z,29139,-14.207317,-7.256098,14.573171
1725949581591,2024-09-10T06:26:21.591Z,29189,-19.32927,-8.536586,20.42683
1725949581634,2024-09-10T06:26:21.634Z,29232,-20.731709,-7.012195,21.341463
1725949581681,2024-09-10T06:26:21.681Z,29279,-22.134148,-8.109756,19.817074
1725949581730,2024-09-10T06:26:21.730Z,29328,-23.231709,-12.743903,21.890244
1725949581778,2024-09-10T06:26:21.778Z,29376,-20.54878,-12.5,21.40244
1725949581818,2024-09-10T06:26:21.818Z,29416,-20.0,-11.829268,20.243902
1725949581899,2024-09-10T06:26:21.899Z,29497,-17.5,-10.304878,19.573172
1725949581925,2024-09-10T06:26:21.925Z,29523,-15.914635,-8.170732,17.317074
1725949581946,2024-09-10T06:26:21.946Z,29544,-18.536585,-8.414635,18.292683
1725949581965,2024-09-10T06:26:21.965Z,29563,-21.646341,-9.45122,18.658537
1725949581994,2024-09-10T06:26:21.994Z,29592,-25.365854,-1.8292683,17.195122
1725949582041,2024-09-10T06:26:22.041Z,29639,-29.085367,-2.4390244,14.756098
1725949582086,2024-09-10T06:26:22.086Z,29684,-36.463417,-9.146341,14.207317
1725949582134,2024-09-10T06:26:22.134Z,29732,-35.914635,-14.817074,12.195122
1725949582182,2024-09-10T06:26:22.182Z,29780,-23.719513,-16.463415,7.987805
1725949582234,2024-09-10T06:26:22.234Z,29832,-20.609756,-17.37805,12.317074
1725949582270,2024-09-10T06:26:22.270Z,29868,-11.95122,-11.463415,13.536586
1725949582311,2024-09-10T06:26:22.311Z,29909,-3.7195122,-10.060976,11.95122
1725949582330,2024-09-10T06:26:22.330Z,29928,-5.5487804,-19.024391,11.585366
1725949582352,2024-09-10T06:26:22.352Z,29950,-15.731708,-25.97561,12.743903
1725949582400,2024-09-10T06:26:22.400Z,29998,-13.231708,-28.353659,5.914634
1725949582491,2024-09-10T06:26:22.491Z,30089,-15.060976,-27.987806,2.0731707
1725949582509,2024-09-10T06:26:22.509Z,30107,-13.231708,-20.243902,-1.6463414
1725949582581,2024-09-10T06:26:22.581Z,30179,-5.487805,-16.95122,-4.9390244
1725949582600,2024-09-10T06:26:22.600Z,30198,0.9756098,-13.658537,-6.646342
1725949582621,2024-09-10T06:26:22.621Z,30219,-0.85365856,-18.292683,-4.634146
1725949582669,2024-09-10T06:26:22.669Z,30267,-1.402439,-18.780489,-4.756098
1725949582715,2024-09-10T06:26:22.715Z,30313,1.3414634,-17.439024,-4.8170733
1725949582765,2024-09-10T06:26:22.765Z,30363,2.2560976,-10.731708,-4.8170733
1725949582786,2024-09-10T06:26:22.786Z,30384,5.365854,-11.463415,-4.512195
1725949582803,2024-09-10T06:26:22.803Z,30401,4.878049,-13.719513,-3.4756098
1725949582941,2024-09-10T06:26:22.941Z,30539,5.487805,-11.585366,-2.6219513
1725949582958,2024-09-10T06:26:22.958Z,30556,14.329268,-7.1951222,-5.914634
1725949582971,2024-09-10T06:26:22.971Z,30569,19.634148,-5.182927,-6.3414636
1725949582985,2024-09-10T06:26:22.985Z,30583,21.95122,-4.756098,-4.878049
1725949583071,2024-09-10T06:26:23.071Z,30669,25.670732,-6.2195125,-2.317073
1725949583091,2024-09-10T06:26:23.091Z,30689,20.731709,-5.4268293,0.6707317
1725949583120,2024-09-10T06:26:23.120Z,30718,23.04878,-2.4390244,-1.5243902
1725949583164,2024-09-10T06:26:23.164Z,30762,26.40244,-0.06097561,-5.914634
1725949583183,2024-09-10T06:26:23.183Z,30781,29.817074,1.2804878,-11.829268
1725949583209,2024-09-10T06:26:23.209Z,30807,34.512196,3.2317073,-18.414635
1725949583253,2024-09-10T06:26:23.253Z,30851,40.0,4.756098,-16.890244
1725949583301,2024-09-10T06:26:23.301Z,30899,45.792683,2.317073,-16.341463
1725949583347,2024-09-10T06:26:23.347Z,30945,46.585365,-5.121951,-16.890244
1725949583394,2024-09-10T06:26:23.394Z,30992,45.42683,-12.743903,-19.512196
1725949583440,2024-09-10T06:26:23.440Z,31038,42.073174,-12.743903,-25.243902
1725949583484,2024-09-10T06:26:23.484Z,31082,46.280487,-13.597561,-25.914635
1725949583530,2024-09-10T06:26:23.530Z,31128,55.0,-14.3902445,-22.439024
1725949583574,2024-09-10T06:26:23.574Z,31172,57.073174,-15.304878,-21.036587
1725949583594,2024-09-10T06:26:23.594Z,31192,55.914635,-15.304878,-16.890244
1725949583707,2024-09-10T06:26:23.707Z,31305,42.073174,-13.841464,-14.329268
1725949583725,2024-09-10T06:26:23.725Z,31323,27.073172,-19.146341,-16.707317
1725949583740,2024-09-10T06:26:23.740Z,31338,14.512196,-12.073171,-18.353659
1725949583754,2024-09-10T06:26:23.754Z,31352,10.304878,-3.5975611,-15.853659
1725949583792,2024-09-10T06:26:23.792Z,31390,12.804878,-2.9268293,-12.804878
1725949583885,2024-09-10T06:26:23.885Z,31483,14.634147,-0.18292683,-7.9268293
1725949583902,2024-09-10T06:26:23.902Z,31500,7.012195,6.0365853,-2.0731707
1725949583982,2024-09-10T06:26:23.982Z,31580,6.9512196,4.8170733,-3.9634147
1725949584005,2024-09-10T06:26:24.005Z,31603,2.7439024,2.1341465,-5.2439027
1725949584025,2024-09-10T06:26:24.025Z,31623,-9.756098,2.7439024,1.4634147
1725949584042,2024-09-10T06:26:24.042Z,31640,-13.780488,4.9390244,4.8170733
1725949584055,2024-09-10T06:26:24.055Z,31653,-12.865854,4.085366,3.3536587
1725949584111,2024-09-10T06:26:24.111Z,31709,-21.036587,6.0365853,6.7073174
1725949584156,2024-09-10T06:26:24.156Z,31754,-28.04878,1.4634147,7.987805
1725949584206,2024-09-10T06:26:24.206Z,31804,-23.353659,5.487805,8.414635
1725949584250,2024-09-10T06:26:24.250Z,31848,-20.97561,1.6463414,10.121951
1725949584337,2024-09-10T06:26:24.337Z,31935,-21.890244,-2.4390244,10.243902
1725949584355,2024-09-10T06:26:24.355Z,31953,-21.40244,-1.5853659,10.853659
1725949584417,2024-09-10T06:26:24.417Z,32015,-27.195122,-3.3536587,11.402439
1725949584435,2024-09-10T06:26:24.435Z,32033,-33.90244,-1.6463414,9.878049
1725949584449,2024-09-10T06:26:24.449Z,32047,-32.2561,-4.6951222,9.02439
1725949584461,2024-09-10T06:26:24.461Z,32059,-22.560976,-4.634146,10.182927
1725949584505,2024-09-10T06:26:24.505Z,32103,-20.42683,-3.902439,12.012196
1725949584553,2024-09-10T06:26:24.553Z,32151,-20.609756,-2.804878,13.292684
1725949584604,2024-09-10T06:26:24.604Z,32202,-15.365854,-5.304878,5.792683
1725949584650,2024-09-10T06:26:24.650Z,32248,-15.121951,-2.5609756,1.8902439
1725949584694,2024-09-10T06:26:24.694Z,32292,-19.32927,-0.9756098,9.02439
1725949584741,2024-09-10T06:26:24.741Z,32339,-20.0,-2.5,14.634147
1725949584785,2024-09-10T06:26:24.785Z,32383,-21.036587,0.42682928,17.5
1725949584830,2024-09-10T06:26:24.830Z,32428,-22.804878,-0.30487806,15.609756
1725949584848,2024-09-10T06:26:24.848Z,32446,-27.195122,-0.18292683,13.231708
1725949584876,2024-09-10T06:26:24.876Z,32474,-32.5,0.18292683,11.341464
1725949584919,2024-09-10T06:26:24.919Z,32517,-34.390244,0.12195122,11.341464
1725949584966,2024-09-10T06:26:24.966Z,32564,-28.90244,-0.24390244,8.47561
1725949585007,2024-09-10T06:26:25.007Z,32605,-26.158537,2.0731707,8.170732
1725949585051,2024-09-10T06:26:25.051Z,32649,-20.914635,1.8292683,9.512196
1725949585099,2024-09-10T06:26:25.099Z,32697,-18.658537,3.3536587,8.902439
1725949585144,2024-09-10T06:26:25.144Z,32742,-18.04878,4.634146,13.536586
1725949585188,2024-09-10T06:26:25.188Z,32786,-23.109756,0.24390244,13.109756
1725949585233,2024-09-10T06:26:25.233Z,32831,-21.036587,5.5487804,13.658537
1725949585280,2024-09-10T06:26:25.280Z,32878,-24.085367,6.9512196,18.47561
1725949585297,2024-09-10T06:26:25.297Z,32895,-18.841463,5.0,10.609756
1725949585319,2024-09-10T06:26:25.319Z,32917,-16.82927,3.5975611,9.878049
1725949585366,2024-09-10T06:26:25.366Z,32964,-17.743902,0.18292683,6.585366
1725949585416,2024-09-10T06:26:25.416Z,33014,-6.9512196,-0.18292683,4.9390244
1725949585460,2024-09-10T06:26:25.460Z,33058,-7.5,4.085366,3.0487804
1725949585503,2024-09-10T06:26:25.503Z,33101,-3.7804878,13.414635,0.36585367
1725949585550,2024-09-10T06:26:25.550Z,33148,-19.45122,6.646342,6.768293
1725949585593,2024-09-10T06:26:25.593Z,33191,-9.3902445,6.097561,7.5609756
1725949585640,2024-09-10T06:26:25.640Z,33238,6.890244,3.292683,-5.97561
1725949585685,2024-09-10T06:26:25.685Z,33283,3.1707318,1.2195122,-6.585366
