Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1734713688323,2024-12-20T16:54:48.323Z,113018,-1.402439,-0.73170733,-0.06097561
1734713688358,2024-12-20T16:54:48.358Z,113053,-0.91463417,-0.42682928,0.36585367
1734713688371,2024-12-20T16:54:48.371Z,113066,0.18292683,0.91463417,0.12195122
1734713688400,2024-12-20T16:54:48.400Z,113095,0.4878049,1.3414634,0.30487806
1734713688413,2024-12-20T16:54:48.413Z,113108,-0.24390244,1.7682927,0.42682928
1734713688426,2024-12-20T16:54:48.426Z,113121,-1.1585366,1.5853659,0.6097561
1734713688437,2024-12-20T16:54:48.437Z,113132,-2.0731707,0.9756098,0.79268295
1734713688449,2024-12-20T16:54:48.449Z,113144,-2.7439024,0.85365856,0.73170733
1734713688458,2024-12-20T16:54:48.458Z,113153,-2.378049,0.4878049,0.6097561
1734713688466,2024-12-20T16:54:48.466Z,113161,-2.195122,0.42682928,0.85365856
1734713688483,2024-12-20T16:54:48.483Z,113178,-1.1585366,1.7073171,0.85365856
1734713688492,2024-12-20T16:54:48.492Z,113187,-0.73170733,2.5,0.73170733
1734713688500,2024-12-20T16:54:48.500Z,113195,-1.097561,2.378049,0.73170733
1734713688509,2024-12-20T16:54:48.509Z,113204,-1.5243902,2.1341465,0.6707317
1734713688518,2024-12-20T16:54:48.518Z,113213,-2.195122,1.402439,0.85365856
1734713688526,2024-12-20T16:54:48.526Z,113221,-2.378049,0.4878049,0.85365856
1734713688534,2024-12-20T16:54:48.534Z,113229,-1.8902439,0.91463417,0.91463417
1734713688576,2024-12-20T16:54:48.576Z,113271,-0.73170733,1.2195122,0.85365856
1734713688585,2024-12-20T16:54:48.585Z,113280,0.12195122,1.8292683,0.6707317
1734713688594,2024-12-20T16:54:48.594Z,113289,0.36585367,2.012195,0.5487805
1734713688602,2024-12-20T16:54:48.602Z,113297,-0.36585367,1.7682927,0.4878049
1734713688614,2024-12-20T16:54:48.614Z,113309,-2.317073,0.36585367,0.6707317
1734713688624,2024-12-20T16:54:48.624Z,113319,-2.9268293,0.30487806,0.4878049
1734713688633,2024-12-20T16:54:48.633Z,113328,-2.804878,-0.18292683,0.4878049
1734713688641,2024-12-20T16:54:48.641Z,113336,-2.2560976,0.30487806,0.5487805
1734713688651,2024-12-20T16:54:48.651Z,113346,-1.1585366,0.9756098,0.36585367
1734713688659,2024-12-20T16:54:48.659Z,113354,-0.5487805,1.2804878,0.30487806
1734713688667,2024-12-20T16:54:48.667Z,113362,-0.36585367,1.5853659,0.06097561
1734713688674,2024-12-20T16:54:48.674Z,113369,-1.6463414,1.6463414,0.12195122
1734713688682,2024-12-20T16:54:48.682Z,113377,-1.8292683,1.402439,0.06097561
1734713688690,2024-12-20T16:54:48.690Z,113385,-1.5243902,1.402439,0.18292683
1734713688701,2024-12-20T16:54:48.701Z,113396,-0.73170733,1.6463414,0.30487806
