Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725721330522,2024-09-07T15:02:10.522Z,433639,0.42108154,-0.84924316,0.24871826
1725721330553,2024-09-07T15:02:10.553Z,433670,0.41931152,-0.84954834,0.24359131
1725721330585,2024-09-07T15:02:10.585Z,433702,0.4243164,-0.8540039,0.2501831
1725721330616,2024-09-07T15:02:10.616Z,433733,0.4317627,-0.8512573,0.23547363
1725721330647,2024-09-07T15:02:10.647Z,433764,0.40924072,-0.84350586,0.23040771
1725721330679,2024-09-07T15:02:10.679Z,433796,0.44421387,-0.8579712,0.26330566
1725721330726,2024-09-07T15:02:10.726Z,433843,0.3899536,-0.8409424,0.19659424
1725721330776,2024-09-07T15:02:10.776Z,433893,0.35058594,-0.855896,0.23577881
1725721330817,2024-09-07T15:02:10.817Z,433934,0.35479736,-0.79382324,0.24005127
1725721330865,2024-09-07T15:02:10.865Z,433982,0.29919434,-0.76727295,0.1552124
1725721330911,2024-09-07T15:02:10.911Z,434028,0.3383789,-0.8034668,0.2276001
1725721330960,2024-09-07T15:02:10.960Z,434077,0.3215332,-0.7538452,0.1585083
1725721331004,2024-09-07T15:02:11.004Z,434121,0.35528564,-0.810791,0.16375732
1725721331034,2024-09-07T15:02:11.034Z,434151,0.42321777,-0.90075684,0.2290039
1725721331064,2024-09-07T15:02:11.064Z,434181,0.36987305,-0.77160645,0.1907959
1725721331094,2024-09-07T15:02:11.094Z,434211,0.3873291,-0.84039307,0.24279785
1725721331134,2024-09-07T15:02:11.134Z,434251,0.33447266,-0.77734375,0.23077393
1725721331176,2024-09-07T15:02:11.176Z,434293,0.33233643,-0.8483887,0.30895996
1725721331226,2024-09-07T15:02:11.226Z,434343,0.31262207,-0.8206787,0.2687378
1725721331269,2024-09-07T15:02:11.269Z,434386,0.237854,-0.82159424,0.15551758
1725721331312,2024-09-07T15:02:11.312Z,434429,0.28131104,-0.86639404,0.16467285
