Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725721371286,2024-09-07T15:02:51.286Z,474403,0.4008789,-0.8270874,0.30438232
1725721371344,2024-09-07T15:02:51.344Z,474461,0.39117432,-0.82244873,0.3015747
1725721371394,2024-09-07T15:02:51.394Z,474511,0.39093018,-0.8265991,0.321167
1725721371434,2024-09-07T15:02:51.434Z,474551,0.39697266,-0.8222656,0.33703613
1725721371471,2024-09-07T15:02:51.471Z,474588,0.4088745,-0.817749,0.32800293
1725721371508,2024-09-07T15:02:51.508Z,474625,0.4121704,-0.8179321,0.3236084
1725721371544,2024-09-07T15:02:51.544Z,474661,0.4154663,-0.83148193,0.34094238
1725721371603,2024-09-07T15:02:51.603Z,474720,0.42980957,-0.8345337,0.35406494
1725721371690,2024-09-07T15:02:51.690Z,474807,0.42266846,-0.8204956,0.33325195
1725721371744,2024-09-07T15:02:51.744Z,474861,0.40795898,-0.82110596,0.31799316
1725721371781,2024-09-07T15:02:51.781Z,474898,0.39990234,-0.8167114,0.30517578
1725721371817,2024-09-07T15:02:51.817Z,474934,0.39379883,-0.79174805,0.26916504
1725721371852,2024-09-07T15:02:51.852Z,474969,0.3867798,-0.8013916,0.32995605
1725721371888,2024-09-07T15:02:51.888Z,475005,0.37445068,-0.8093262,0.28723145
1725721371922,2024-09-07T15:02:51.922Z,475039,0.35064697,-0.7798462,0.22845459
1725721371957,2024-09-07T15:02:51.957Z,475074,0.30718994,-0.7861328,0.22717285
1725721371994,2024-09-07T15:02:51.994Z,475111,0.35595703,-0.85632324,0.27282715
1725721372031,2024-09-07T15:02:52.031Z,475148,0.35144043,-0.79815674,0.25238037
1725721372075,2024-09-07T15:02:52.075Z,475192,0.30059814,-0.7546997,0.23968506
1725721372114,2024-09-07T15:02:52.114Z,475231,0.33190918,-0.86047363,0.26556396
1725721372148,2024-09-07T15:02:52.148Z,475265,0.32409668,-0.89038086,0.25811768
1725721372185,2024-09-07T15:02:52.185Z,475302,0.33648682,-0.7817993,0.24456787
1725721372224,2024-09-07T15:02:52.224Z,475341,0.3319702,-0.8106079,0.2647705
1725721372260,2024-09-07T15:02:52.260Z,475377,0.29278564,-0.8013916,0.2770996
1725721372298,2024-09-07T15:02:52.298Z,475415,0.30773926,-0.85998535,0.24517822
1725721372331,2024-09-07T15:02:52.331Z,475448,0.28851318,-0.84576416,0.21850586
1725721372363,2024-09-07T15:02:52.363Z,475480,0.2902832,-0.8401489,0.20904541
1725721372401,2024-09-07T15:02:52.401Z,475518,0.30584717,-0.90844727,0.23614502
1725721372437,2024-09-07T15:02:52.437Z,475554,0.29541016,-0.8571167,0.20452881
1725721372479,2024-09-07T15:02:52.479Z,475596,0.2886963,-0.9020996,0.22583008
1725721372512,2024-09-07T15:02:52.512Z,475629,0.27801514,-0.8222046,0.18066406
1725721372545,2024-09-07T15:02:52.545Z,475662,0.34851074,-0.8644409,0.14294434
1725721372581,2024-09-07T15:02:52.581Z,475698,0.31237793,-0.7953491,0.081970215
1725721372623,2024-09-07T15:02:52.623Z,475740,0.22058105,-0.869751,0.022460938
1725721372669,2024-09-07T15:02:52.669Z,475786,0.20581055,-0.9407959,0.14575195
1725721372707,2024-09-07T15:02:52.707Z,475824,0.269104,-0.916626,0.23730469
1725721372743,2024-09-07T15:02:52.743Z,475860,0.27252197,-0.9092407,0.14837646
1725721372776,2024-09-07T15:02:52.776Z,475893,0.29449463,-0.8527832,0.14050293
1725721372812,2024-09-07T15:02:52.812Z,475929,0.2888794,-0.87323,0.18469238
1725721372848,2024-09-07T15:02:52.848Z,475965,0.33068848,-0.8951416,0.16021729
1725721372898,2024-09-07T15:02:52.898Z,476015,0.3562622,-0.8625488,0.19580078
1725721372947,2024-09-07T15:02:52.947Z,476064,0.36547852,-0.9824219,0.2477417
1725721372982,2024-09-07T15:02:52.982Z,476099,0.3251953,-0.94958496,0.18908691
1725721373034,2024-09-07T15:02:53.034Z,476151,0.39172363,-0.9857178,0.16467285
1725721373073,2024-09-07T15:02:53.073Z,476190,0.42126465,-0.8289795,0.15362549
1725721373107,2024-09-07T15:02:53.107Z,476224,0.51586914,-0.97058105,0.25073242
1725721373165,2024-09-07T15:02:53.165Z,476282,0.526001,-0.9639282,0.25372314
1725721373199,2024-09-07T15:02:53.199Z,476316,0.5111084,-1.043335,0.29656982
1725721373231,2024-09-07T15:02:53.231Z,476348,0.56036377,-0.967041,0.28863525
1725721373270,2024-09-07T15:02:53.270Z,476387,0.6124878,-0.9355469,0.20117188
1725721373305,2024-09-07T15:02:53.305Z,476422,0.53881836,-1.0383301,0.053588867
1725721373344,2024-09-07T15:02:53.344Z,476461,0.44610596,-1.0072021,0.040283203
1725721373388,2024-09-07T15:02:53.388Z,476505,0.5338135,-0.8864746,0.23498535
1725721373464,2024-09-07T15:02:53.464Z,476581,0.45495605,-0.92681885,0.19384766
1725721373502,2024-09-07T15:02:53.502Z,476619,0.46557617,-0.92181396,0.16320801
1725721373536,2024-09-07T15:02:53.536Z,476653,0.5576172,-0.83569336,0.24993896
1725721373573,2024-09-07T15:02:53.573Z,476690,0.54919434,-0.9501953,0.31573486
1725721373606,2024-09-07T15:02:53.606Z,476723,0.39416504,-1.078125,0.21002197
1725721373644,2024-09-07T15:02:53.644Z,476761,0.5899048,-0.8692627,0.27661133
1725721373678,2024-09-07T15:02:53.678Z,476795,0.5085449,-0.9002075,0.19903564
1725721373714,2024-09-07T15:02:53.714Z,476831,0.5020752,-0.9345093,0.20428467
1725721373754,2024-09-07T15:02:53.754Z,476871,0.47943115,-1.1097412,0.16882324
1725721373797,2024-09-07T15:02:53.797Z,476914,0.42767334,-0.87976074,0.07159424
1725721373842,2024-09-07T15:02:53.842Z,476959,0.48046875,-0.95410156,0.13580322
1725721373889,2024-09-07T15:02:53.889Z,477006,0.3743286,-1.0151978,0.0826416
1725721373929,2024-09-07T15:02:53.929Z,477046,0.38391113,-0.8377075,0.215271
1725721373963,2024-09-07T15:02:53.963Z,477080,0.2574463,-0.9938965,0.13098145
1725721374003,2024-09-07T15:02:54.003Z,477120,0.23358154,-0.8404541,0.2423706
1725721374038,2024-09-07T15:02:54.038Z,477155,0.1697998,-0.9064331,0.2142334
1725721374075,2024-09-07T15:02:54.075Z,477192,0.27508545,-0.92974854,0.27105713
1725721374112,2024-09-07T15:02:54.112Z,477229,0.23065186,-0.82891846,0.26989746
1725721374154,2024-09-07T15:02:54.154Z,477271,0.23669434,-0.89678955,0.21948242
1725721374199,2024-09-07T15:02:54.199Z,477316,0.23303223,-0.89416504,0.24255371
1725721374243,2024-09-07T15:02:54.243Z,477360,0.22406006,-0.8759155,0.22076416
1725721374291,2024-09-07T15:02:54.291Z,477408,0.28027344,-0.892395,0.20251465
1725721374336,2024-09-07T15:02:54.336Z,477453,0.35150146,-0.7333374,0.26086426
1725721374373,2024-09-07T15:02:54.373Z,477490,0.30322266,-0.9456177,0.23474121
1725721374410,2024-09-07T15:02:54.410Z,477527,0.328125,-0.84588623,0.23010254
1725721374447,2024-09-07T15:02:54.447Z,477564,0.31427002,-0.9350586,0.20507812
1725721374480,2024-09-07T15:02:54.480Z,477597,0.3550415,-0.9397583,0.2539673
1725721374516,2024-09-07T15:02:54.516Z,477633,0.36993408,-0.83483887,0.22113037
1725721374561,2024-09-07T15:02:54.561Z,477678,0.34698486,-0.7972412,0.18023682
