Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725721371198,2024-09-07T15:02:51.198Z,474315,-2.6219513,-0.42682928,1.1585366
1725721371240,2024-09-07T15:02:51.240Z,474357,-2.8658538,-0.73170733,1.5853659
1725721371316,2024-09-07T15:02:51.316Z,474433,-1.8902439,-3.1097562,1.4634147
1725721371370,2024-09-07T15:02:51.370Z,474487,0.73170733,-1.8292683,0.85365856
1725721371414,2024-09-07T15:02:51.414Z,474531,1.097561,1.0365853,-0.12195122
1725721371454,2024-09-07T15:02:51.454Z,474571,0.4878049,1.7682927,-1.0365853
1725721371492,2024-09-07T15:02:51.492Z,474609,0.36585367,0.12195122,-0.30487806
1725721371525,2024-09-07T15:02:51.525Z,474642,0.18292683,-0.18292683,0.06097561
1725721371560,2024-09-07T15:02:51.560Z,474677,-0.91463417,-0.85365856,-0.24390244
1725721371661,2024-09-07T15:02:51.661Z,474778,-1.097561,-2.317073,0.12195122
1725721371719,2024-09-07T15:02:51.719Z,474836,-1.1585366,0.73170733,0.73170733
1725721371763,2024-09-07T15:02:51.763Z,474880,-2.8658538,1.8902439,1.7073171
1725721371800,2024-09-07T15:02:51.800Z,474917,-3.7195122,-2.5609756,3.1707318
1725721371833,2024-09-07T15:02:51.833Z,474950,-2.2560976,-8.963415,5.304878
1725721371870,2024-09-07T15:02:51.870Z,474987,-0.9756098,-14.085366,10.121951
1725721371906,2024-09-07T15:02:51.906Z,475023,-0.36585367,-9.268292,19.146341
1725721371940,2024-09-07T15:02:51.940Z,475057,-4.756098,-13.47561,22.37805
1725721371977,2024-09-07T15:02:51.977Z,475094,-9.146341,-25.243902,20.853659
1725721372012,2024-09-07T15:02:52.012Z,475129,-5.4268293,-27.073172,20.121952
1725721372055,2024-09-07T15:02:52.055Z,475172,-0.6707317,-17.073172,15.182927
1725721372098,2024-09-07T15:02:52.098Z,475215,-1.402439,-23.353659,18.90244
1725721372133,2024-09-07T15:02:52.133Z,475250,-7.6219516,-32.682926,21.82927
1725721372165,2024-09-07T15:02:52.165Z,475282,-11.036586,-22.743902,16.341463
1725721372207,2024-09-07T15:02:52.207Z,475324,-3.4756098,-20.243902,16.890244
1725721372240,2024-09-07T15:02:52.240Z,475357,-1.1585366,-12.743903,18.47561
1725721372281,2024-09-07T15:02:52.281Z,475398,-4.1463413,-7.0731707,17.012196
1725721372314,2024-09-07T15:02:52.314Z,475431,-4.4512196,-10.121951,15.54878
1725721372346,2024-09-07T15:02:52.346Z,475463,-0.12195122,-5.365854,14.3902445
1725721372381,2024-09-07T15:02:52.381Z,475498,0.06097561,-4.4512196,10.914635
1725721372421,2024-09-07T15:02:52.421Z,475538,-5.487805,-11.036586,8.536586
1725721372454,2024-09-07T15:02:52.454Z,475571,-3.292683,-8.109756,8.414635
1725721372493,2024-09-07T15:02:52.493Z,475610,-6.402439,-7.378049,4.878049
1725721372529,2024-09-07T15:02:52.529Z,475646,-13.170732,-6.4634147,5.182927
1725721372560,2024-09-07T15:02:52.560Z,475677,-15.792684,-10.487805,5.609756
1725721372597,2024-09-07T15:02:52.597Z,475714,-12.073171,1.8902439,8.109756
1725721372639,2024-09-07T15:02:52.639Z,475756,-8.04878,-2.012195,6.9512196
1725721372689,2024-09-07T15:02:52.689Z,475806,-12.743903,-3.9634147,0.42682928
1725721372724,2024-09-07T15:02:52.724Z,475841,-9.878049,7.987805,-5.914634
1725721372759,2024-09-07T15:02:52.759Z,475876,-3.1707318,16.280489,-6.9512196
1725721372795,2024-09-07T15:02:52.795Z,475912,-0.9756098,5.304878,-6.890244
1725721372828,2024-09-07T15:02:52.828Z,475945,-1.7682927,5.7317076,-10.121951
1725721372870,2024-09-07T15:02:52.870Z,475987,0.79268295,0.6707317,-16.158537
1725721372918,2024-09-07T15:02:52.918Z,476035,5.2439027,-4.390244,-20.487804
1725721372966,2024-09-07T15:02:52.966Z,476083,5.121951,5.304878,-26.95122
1725721373001,2024-09-07T15:02:53.001Z,476118,0.6097561,2.317073,-25.609756
1725721373053,2024-09-07T15:02:53.053Z,476170,-0.5487805,4.268293,-29.939026
1725721373091,2024-09-07T15:02:53.091Z,476208,11.219512,16.09756,-41.036587
1725721373123,2024-09-07T15:02:53.123Z,476240,12.926829,-1.8292683,-42.073174
1725721373180,2024-09-07T15:02:53.180Z,476297,4.8170733,9.268292,-34.512196
1725721373215,2024-09-07T15:02:53.215Z,476332,-1.6463414,2.5609756,-28.658537
1725721373253,2024-09-07T15:02:53.253Z,476370,-5.8536587,0.30487806,-24.512196
