Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725721413727,2024-09-07T15:03:33.727Z,516844,-4.1463413,0.73170733,-0.30487806
1725721413800,2024-09-07T15:03:33.800Z,516917,-3.5365853,0.0,0.6097561
1725721413849,2024-09-07T15:03:33.849Z,516966,-1.9512196,2.2560976,0.79268295
1725721413897,2024-09-07T15:03:33.897Z,517014,-1.097561,4.390244,0.5487805
1725721413943,2024-09-07T15:03:33.943Z,517060,-2.8658538,3.292683,0.24390244
1725721413984,2024-09-07T15:03:33.984Z,517101,-3.6585367,3.6585367,0.5487805
1725721414023,2024-09-07T15:03:34.023Z,517140,-4.085366,4.756098,0.73170733
1725721414063,2024-09-07T15:03:34.063Z,517180,-3.902439,4.512195,0.30487806
1725721414103,2024-09-07T15:03:34.103Z,517220,-3.3536587,2.6219513,0.85365856
1725721414150,2024-09-07T15:03:34.150Z,517267,-3.2317073,-1.097561,1.8292683
1725721414189,2024-09-07T15:03:34.189Z,517306,-1.7682927,-0.9756098,1.097561
1725721414227,2024-09-07T15:03:34.227Z,517344,-0.12195122,-2.5,1.402439
1725721414265,2024-09-07T15:03:34.265Z,517382,3.7195122,-9.329268,8.47561
1725721414308,2024-09-07T15:03:34.308Z,517425,9.756098,7.012195,9.512196
1725721414344,2024-09-07T15:03:34.344Z,517461,3.7804878,12.378049,10.731708
1725721414383,2024-09-07T15:03:34.383Z,517500,-3.5975611,-6.890244,19.512196
1725721414423,2024-09-07T15:03:34.423Z,517540,-6.158537,-18.170732,19.512196
1725721414462,2024-09-07T15:03:34.462Z,517579,-4.9390244,-20.914635,16.280489
1725721414506,2024-09-07T15:03:34.506Z,517623,0.0,-23.292683,16.646341
1725721414560,2024-09-07T15:03:34.560Z,517677,-2.5,-26.585367,19.085367
1725721414599,2024-09-07T15:03:34.599Z,517716,-2.682927,-25.792683,15.609756
1725721414641,2024-09-07T15:03:34.641Z,517758,-0.6707317,-21.82927,14.939025
1725721414679,2024-09-07T15:03:34.679Z,517796,-3.4146342,-32.621952,18.353659
1725721414715,2024-09-07T15:03:34.715Z,517832,-7.0731707,-37.2561,18.59756
1725721414755,2024-09-07T15:03:34.755Z,517872,-10.304878,-22.804878,21.158537
1725721414794,2024-09-07T15:03:34.794Z,517911,-8.841464,-3.292683,17.073172
1725721414829,2024-09-07T15:03:34.829Z,517946,-2.4390244,-4.1463413,14.268293
1725721414867,2024-09-07T15:03:34.867Z,517984,-1.9512196,-10.609756,13.170732
1725721414917,2024-09-07T15:03:34.917Z,518034,-3.8414636,-6.890244,10.54878
1725721414954,2024-09-07T15:03:34.954Z,518071,0.5487805,-12.134147,14.3902445
1725721414991,2024-09-07T15:03:34.991Z,518108,-1.7073171,-5.7317076,14.207317
1725721415037,2024-09-07T15:03:35.037Z,518154,-9.3902445,-3.4146342,13.963415
1725721415076,2024-09-07T15:03:35.076Z,518193,-7.6219516,-10.731708,13.109756
1725721415114,2024-09-07T15:03:35.114Z,518231,-5.8536587,-4.9390244,12.743903
1725721415153,2024-09-07T15:03:35.153Z,518270,-10.670732,-8.963415,12.134147
1725721415191,2024-09-07T15:03:35.191Z,518308,-11.219512,-7.5609756,1.5853659
1725721415228,2024-09-07T15:03:35.228Z,518345,-6.158537,-8.292683,-9.817074
1725721415267,2024-09-07T15:03:35.267Z,518384,-1.402439,2.0731707,-15.365854
1725721415308,2024-09-07T15:03:35.308Z,518425,-0.9756098,0.9756098,-18.658537
1725721415356,2024-09-07T15:03:35.356Z,518473,-6.768293,-10.853659,-24.939026
1725721415395,2024-09-07T15:03:35.395Z,518512,-14.573171,-0.79268295,-21.95122
1725721415438,2024-09-07T15:03:35.438Z,518555,-14.45122,4.02439,-20.914635
1725721415477,2024-09-07T15:03:35.477Z,518594,-4.390244,1.2195122,-22.865854
1725721415518,2024-09-07T15:03:35.518Z,518635,1.6463414,17.073172,-21.646341
1725721415560,2024-09-07T15:03:35.560Z,518677,-2.317073,-3.0487804,-16.707317
1725721415600,2024-09-07T15:03:35.600Z,518717,-12.317074,5.487805,-18.719513
