Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725816978115,2024-09-08T17:36:18.115Z,76090,-4.634146,7.7439027,-3.1097562
1725816978163,2024-09-08T17:36:18.163Z,76138,-5.0609756,10.365854,-2.0731707
1725816978206,2024-09-08T17:36:18.206Z,76181,-4.390244,9.695122,0.18292683
1725816978249,2024-09-08T17:36:18.249Z,76224,-2.804878,8.963415,1.9512196
1725816978290,2024-09-08T17:36:18.290Z,76265,-1.402439,10.182927,2.5609756
1725816978335,2024-09-08T17:36:18.335Z,76310,-2.2560976,8.963415,1.2195122
1725816978429,2024-09-08T17:36:18.429Z,76404,-3.6585367,6.52439,1.0365853
1725816978439,2024-09-08T17:36:18.439Z,76414,-6.768293,3.2317073,2.012195
1725816978451,2024-09-08T17:36:18.451Z,76426,-6.4634147,1.5853659,1.5853659
1725816978474,2024-09-08T17:36:18.474Z,76449,-1.3414634,2.1341465,2.5
1725816978520,2024-09-08T17:36:18.520Z,76495,3.292683,0.85365856,5.0609756
1725816978573,2024-09-08T17:36:18.573Z,76548,2.195122,-2.317073,6.890244
1725816978618,2024-09-08T17:36:18.618Z,76593,2.987805,-3.2317073,3.3536587
1725816978663,2024-09-08T17:36:18.663Z,76638,-0.4878049,-4.5731707,-2.5609756
1725816978711,2024-09-08T17:36:18.711Z,76686,-5.7317076,-3.9634147,-4.390244
1725816978756,2024-09-08T17:36:18.756Z,76731,-2.317073,-2.804878,-3.6585367
1725816978800,2024-09-08T17:36:18.800Z,76775,3.4756098,-4.268293,-2.195122
1725816978850,2024-09-08T17:36:18.850Z,76825,7.012195,-1.9512196,0.73170733
1725816978900,2024-09-08T17:36:18.900Z,76875,7.256098,0.06097561,1.3414634
1725816978917,2024-09-08T17:36:18.917Z,76892,2.5,2.2560976,-1.7682927
1725816978930,2024-09-08T17:36:18.930Z,76905,-2.6219513,4.9390244,-4.756098
1725816978973,2024-09-08T17:36:18.973Z,76948,-5.4268293,4.634146,-2.987805
1725816979022,2024-09-08T17:36:19.022Z,76997,-7.4390244,7.378049,0.42682928
1725816979068,2024-09-08T17:36:19.068Z,77043,-9.268292,5.8536587,1.3414634
1725816979113,2024-09-08T17:36:19.113Z,77088,-7.0731707,3.292683,-0.24390244
1725816979162,2024-09-08T17:36:19.162Z,77137,-1.7682927,1.2195122,-0.79268295
1725816979205,2024-09-08T17:36:19.205Z,77180,2.1341465,0.36585367,0.6097561
1725816979251,2024-09-08T17:36:19.251Z,77226,2.378049,-0.12195122,2.2560976
1725816979297,2024-09-08T17:36:19.297Z,77272,1.5243902,-3.3536587,3.3536587
1725816979318,2024-09-08T17:36:19.318Z,77293,2.804878,-5.182927,4.3292685
1725816979431,2024-09-08T17:36:19.431Z,77406,2.8658538,-3.4756098,4.085366
1725816979449,2024-09-08T17:36:19.449Z,77424,4.634146,-2.378049,3.1707318
1725816979461,2024-09-08T17:36:19.461Z,77436,7.804878,-3.1707318,5.792683
1725816979473,2024-09-08T17:36:19.473Z,77448,10.914635,-1.097561,10.792684
