Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1735321800876,2024-12-27T17:50:00.876Z,16759,0.01965332,-0.12023926,0.014892578
1735321800883,2024-12-27T17:50:00.883Z,16766,0.01953125,-0.11981201,0.014404297
1735321800966,2024-12-27T17:50:00.966Z,16849,0.020141602,-0.1204834,0.014343262
1735321801249,2024-12-27T17:50:01.249Z,17132,0.020629883,-0.120666504,0.014770508
1735321801272,2024-12-27T17:50:01.272Z,17155,0.020996094,-0.12005615,0.014526367
1735321801295,2024-12-27T17:50:01.295Z,17178,0.020324707,-0.119506836,0.014038086
1735321801309,2024-12-27T17:50:01.309Z,17192,0.019897461,-0.11907959,0.014404297
1735321801323,2024-12-27T17:50:01.323Z,17206,0.019348145,-0.11968994,0.014465332
1735321801336,2024-12-27T17:50:01.336Z,17219,0.020019531,-0.11981201,0.014465332
1735321801348,2024-12-27T17:50:01.348Z,17231,0.020324707,-0.12042236,0.0146484375
1735321801359,2024-12-27T17:50:01.359Z,17242,0.020385742,-0.120666504,0.014343262
1735321801369,2024-12-27T17:50:01.369Z,17252,0.020263672,-0.11993408,0.013366699
1735321801380,2024-12-27T17:50:01.380Z,17263,0.020202637,-0.119506836,0.013427734
1735321801391,2024-12-27T17:50:01.391Z,17274,0.020202637,-0.119506836,0.013793945
1735321801403,2024-12-27T17:50:01.403Z,17286,0.018981934,-0.11920166,0.016235352
1735321801411,2024-12-27T17:50:01.411Z,17294,0.017333984,-0.119628906,0.016601562
1735321801420,2024-12-27T17:50:01.420Z,17303,0.0178833,-0.11993408,0.01727295
1735321801429,2024-12-27T17:50:01.429Z,17312,0.01727295,-0.12109375,0.016357422
1735321801437,2024-12-27T17:50:01.437Z,17320,0.01739502,-0.1204834,0.016113281
1735321801444,2024-12-27T17:50:01.444Z,17327,0.019592285,-0.119506836,0.016845703
1735321801455,2024-12-27T17:50:01.455Z,17338,0.020507812,-0.11633301,0.018188477
1735321801466,2024-12-27T17:50:01.466Z,17349,0.02178955,-0.11694336,0.017578125
1735321801475,2024-12-27T17:50:01.475Z,17358,0.021240234,-0.11804199,0.0178833
1735321801485,2024-12-27T17:50:01.485Z,17368,0.02142334,-0.11956787,0.018310547
1735321801495,2024-12-27T17:50:01.495Z,17378,0.022338867,-0.12017822,0.018188477
1735321801503,2024-12-27T17:50:01.503Z,17386,0.02130127,-0.12017822,0.017822266
1735321801512,2024-12-27T17:50:01.512Z,17395,0.022094727,-0.11956787,0.017333984
1735321801520,2024-12-27T17:50:01.520Z,17403,0.023010254,-0.11871338,0.016784668
1735321801528,2024-12-27T17:50:01.528Z,17411,0.022033691,-0.11785889,0.014526367
1735321801537,2024-12-27T17:50:01.537Z,17420,0.022216797,-0.11608887,0.013305664
1735321801547,2024-12-27T17:50:01.547Z,17430,0.02319336,-0.11608887,0.01361084
1735321801555,2024-12-27T17:50:01.555Z,17438,0.021850586,-0.1182251,0.012268066
1735321801564,2024-12-27T17:50:01.564Z,17447,0.021484375,-0.121154785,0.010314941
1735321801573,2024-12-27T17:50:01.573Z,17456,0.021606445,-0.12322998,0.010009766
1735321801581,2024-12-27T17:50:01.581Z,17464,0.022583008,-0.1239624,0.010375977
1735321801590,2024-12-27T17:50:01.590Z,17473,0.023498535,-0.12475586,0.012268066
1735321801599,2024-12-27T17:50:01.599Z,17482,0.023132324,-0.12524414,0.012939453
1735321801607,2024-12-27T17:50:01.607Z,17490,0.022033691,-0.12432861,0.012634277
1735321801618,2024-12-27T17:50:01.618Z,17501,0.023925781,-0.11999512,0.012634277
1735321801626,2024-12-27T17:50:01.626Z,17509,0.026062012,-0.11431885,0.0138549805
1735321801636,2024-12-27T17:50:01.636Z,17519,0.024963379,-0.11102295,0.014526367
1735321801646,2024-12-27T17:50:01.646Z,17529,0.022155762,-0.11065674,0.013427734
1735321801656,2024-12-27T17:50:01.656Z,17539,0.020324707,-0.11425781,0.012268066
1735321801666,2024-12-27T17:50:01.666Z,17549,0.021118164,-0.11816406,0.0126953125
1735321801676,2024-12-27T17:50:01.676Z,17559,0.021972656,-0.12109375,0.016235352
1735321801685,2024-12-27T17:50:01.685Z,17568,0.023010254,-0.12225342,0.018249512
1735321801694,2024-12-27T17:50:01.694Z,17577,0.023376465,-0.12384033,0.018188477
1735321801704,2024-12-27T17:50:01.704Z,17587,0.02331543,-0.12420654,0.017456055
1735321801714,2024-12-27T17:50:01.714Z,17597,0.018737793,-0.11968994,0.019226074
1735321801726,2024-12-27T17:50:01.726Z,17609,0.010314941,-0.11340332,0.017700195
