Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1735322018457,2024-12-27T17:53:38.457Z,150348,0.0,-1.7073171,0.5487805
1735322018469,2024-12-27T17:53:38.469Z,150360,0.18292683,-1.8902439,0.6097561
1735322018486,2024-12-27T17:53:38.486Z,150377,0.0,-2.195122,0.4878049
1735322018496,2024-12-27T17:53:38.496Z,150387,-0.18292683,-2.317073,0.06097561
1735322018506,2024-12-27T17:53:38.506Z,150397,-0.12195122,-2.0731707,0.30487806
1735322018515,2024-12-27T17:53:38.515Z,150406,0.42682928,-1.8902439,0.12195122
1735322018524,2024-12-27T17:53:38.524Z,150415,0.42682928,-2.2560976,-0.24390244
1735322018532,2024-12-27T17:53:38.532Z,150423,0.4878049,-2.1341465,-0.24390244
1735322018540,2024-12-27T17:53:38.540Z,150431,0.91463417,-1.9512196,-0.30487806
1735322018550,2024-12-27T17:53:38.550Z,150441,0.6707317,-2.195122,-0.06097561
1735322018558,2024-12-27T17:53:38.558Z,150449,0.79268295,-2.378049,0.06097561
1735322018566,2024-12-27T17:53:38.566Z,150457,1.5853659,-2.317073,-0.12195122
1735322018582,2024-12-27T17:53:38.582Z,150473,2.4390244,-1.9512196,-0.12195122
1735322018591,2024-12-27T17:53:38.591Z,150482,2.9268293,-1.7682927,0.0
1735322018599,2024-12-27T17:53:38.599Z,150490,2.804878,-1.8902439,-0.12195122
1735322018609,2024-12-27T17:53:38.609Z,150500,2.804878,-2.012195,-0.4878049
1735322018617,2024-12-27T17:53:38.617Z,150508,2.804878,-2.378049,-0.73170733
1735322018665,2024-12-27T17:53:38.665Z,150556,1.8902439,-2.4390244,-0.79268295
1735322018710,2024-12-27T17:53:38.710Z,150601,1.2195122,-1.4634147,-0.85365856
1735322018718,2024-12-27T17:53:38.718Z,150609,1.402439,-0.06097561,-1.2195122
1735322018725,2024-12-27T17:53:38.725Z,150616,0.73170733,0.85365856,-1.1585366
