Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725698494960,2024-09-07T08:41:34.960Z,97523,-8.04878,-1.6463414,-1.2804878
1725698494998,2024-09-07T08:41:34.998Z,97561,-7.804878,-0.9756098,-1.2195122
1725698495058,2024-09-07T08:41:35.058Z,97621,-5.792683,1.4634147,0.12195122
1725698495093,2024-09-07T08:41:35.093Z,97656,-4.756098,0.73170733,0.18292683
1725698495104,2024-09-07T08:41:35.104Z,97667,-2.195122,-1.8902439,1.0365853
1725698495138,2024-09-07T08:41:35.138Z,97701,-1.402439,-1.4634147,0.73170733
1725698495180,2024-09-07T08:41:35.180Z,97743,-3.902439,-3.1707318,-1.6463414
1725698495225,2024-09-07T08:41:35.225Z,97788,-4.756098,-2.4390244,-0.4878049
1725698495284,2024-09-07T08:41:35.284Z,97847,-2.5,-1.5853659,-0.6097561
1725698495332,2024-09-07T08:41:35.332Z,97895,-2.4390244,-6.8292685,2.2560976
1725698495373,2024-09-07T08:41:35.373Z,97936,2.2560976,-11.463415,10.243902
1725698495418,2024-09-07T08:41:35.418Z,97981,2.195122,-27.560976,22.804878
1725698495464,2024-09-07T08:41:35.464Z,98027,-4.268293,-36.768295,37.865856
1725698495510,2024-09-07T08:41:35.510Z,98073,-10.426829,-33.536587,36.890244
1725698495554,2024-09-07T08:41:35.554Z,98117,-21.341463,-31.09756,28.292683
1725698495582,2024-09-07T08:41:35.582Z,98145,-24.756098,-22.804878,24.817074
1725698495609,2024-09-07T08:41:35.609Z,98172,-16.768293,-15.060976,23.292683
1725698495645,2024-09-07T08:41:35.645Z,98208,-16.646341,-23.780489,26.768293
1725698495690,2024-09-07T08:41:35.690Z,98253,-6.52439,-8.536586,24.695122
1725698495734,2024-09-07T08:41:35.734Z,98297,-9.207317,-14.756098,20.97561
1725698495779,2024-09-07T08:41:35.779Z,98342,-11.52439,-9.695122,20.0
1725698495824,2024-09-07T08:41:35.824Z,98387,-14.573171,-8.963415,21.280489
1725698495871,2024-09-07T08:41:35.871Z,98434,-11.95122,-15.792684,18.47561
1725698495916,2024-09-07T08:41:35.916Z,98479,-12.560976,-9.3902445,9.695122
1725698495972,2024-09-07T08:41:35.972Z,98535,-8.414635,-4.1463413,7.378049
1725698495992,2024-09-07T08:41:35.992Z,98555,-4.5731707,5.0609756,4.6951222
1725698496006,2024-09-07T08:41:36.006Z,98569,-0.73170733,8.841464,-1.7073171
1725698496045,2024-09-07T08:41:36.045Z,98608,-2.9268293,29.32927,-11.768293
1725698496092,2024-09-07T08:41:36.092Z,98655,12.317074,26.646341,-21.768293
1725698496142,2024-09-07T08:41:36.142Z,98705,26.158537,26.463415,-27.256098
1725698496179,2024-09-07T08:41:36.179Z,98742,44.268295,20.304878,-34.7561
1725698496226,2024-09-07T08:41:36.226Z,98789,51.646343,11.8902445,-38.292683
1725698496275,2024-09-07T08:41:36.275Z,98838,52.987804,10.792684,-41.82927
1725698496320,2024-09-07T08:41:36.320Z,98883,65.48781,-18.780489,-49.268295
1725698496385,2024-09-07T08:41:36.385Z,98948,80.85366,-16.890244,-46.036587
1725698496410,2024-09-07T08:41:36.410Z,98973,62.560978,-33.414635,-42.92683
1725698496430,2024-09-07T08:41:36.430Z,98993,43.170734,-7.804878,-30.97561
1725698496447,2024-09-07T08:41:36.447Z,99010,25.731709,-7.5609756,-22.621952
1725698496493,2024-09-07T08:41:36.493Z,99056,20.0,-4.634146,-18.536585
1725698496539,2024-09-07T08:41:36.539Z,99102,-4.5731707,-0.73170733,-1.097561
1725698496586,2024-09-07T08:41:36.586Z,99149,-29.817074,-8.170732,-4.4512196
1725698496630,2024-09-07T08:41:36.630Z,99193,-33.963417,6.0365853,5.609756
1725698496677,2024-09-07T08:41:36.677Z,99240,-20.670732,-3.902439,6.402439
1725698496719,2024-09-07T08:41:36.719Z,99282,-21.40244,4.756098,10.365854
1725698496765,2024-09-07T08:41:36.765Z,99328,-13.780488,-7.6219516,4.8170733
1725698496814,2024-09-07T08:41:36.814Z,99377,-1.1585366,-6.52439,12.317074
1725698496829,2024-09-07T08:41:36.829Z,99392,1.097561,2.9268293,15.853659
1725698496849,2024-09-07T08:41:36.849Z,99412,-1.0365853,-14.02439,5.609756
1725698496895,2024-09-07T08:41:36.895Z,99458,4.2073174,-1.5243902,5.0
1725698496942,2024-09-07T08:41:36.942Z,99505,-3.292683,4.634146,3.1707318
1725698496991,2024-09-07T08:41:36.991Z,99554,6.158537,-4.8170733,5.182927
1725698497037,2024-09-07T08:41:37.037Z,99600,7.256098,0.4878049,2.9268293
1725698497090,2024-09-07T08:41:37.090Z,99653,-4.390244,-7.256098,0.0
1725698497139,2024-09-07T08:41:37.139Z,99702,-8.47561,-2.7439024,1.402439
1725698497172,2024-09-07T08:41:37.172Z,99735,-2.7439024,1.8902439,10.243902
1725698497217,2024-09-07T08:41:37.217Z,99780,-12.560976,1.0365853,13.719513
1725698497233,2024-09-07T08:41:37.233Z,99796,-12.743903,-6.890244,19.939024
1725698497262,2024-09-07T08:41:37.262Z,99825,-6.280488,-6.52439,16.646341
1725698497302,2024-09-07T08:41:37.302Z,99865,-5.0609756,-11.036586,13.963415
1725698497354,2024-09-07T08:41:37.354Z,99917,-12.804878,-6.158537,12.926829
1725698497396,2024-09-07T08:41:37.396Z,99959,-12.134147,-5.792683,17.560976
1725698497442,2024-09-07T08:41:37.442Z,100005,-3.902439,3.1097562,18.59756
1725698497487,2024-09-07T08:41:37.487Z,100050,-8.963415,2.7439024,17.012196
1725698497536,2024-09-07T08:41:37.536Z,100099,-11.829268,3.3536587,14.085366
1725698497588,2024-09-07T08:41:37.588Z,100151,-16.768293,9.634147,17.621952
1725698497624,2024-09-07T08:41:37.624Z,100187,-8.963415,-3.1707318,19.146341
1725698497645,2024-09-07T08:41:37.645Z,100208,-16.707317,-4.390244,17.195122
1725698497662,2024-09-07T08:41:37.662Z,100225,-16.890244,-1.7682927,13.47561
1725698497706,2024-09-07T08:41:37.706Z,100269,-9.268292,-4.1463413,15.304878
1725698497755,2024-09-07T08:41:37.755Z,100318,-6.646342,1.0365853,12.560976
1725698497804,2024-09-07T08:41:37.804Z,100367,-6.585366,3.9634147,4.02439
1725698497852,2024-09-07T08:41:37.852Z,100415,-3.6585367,-5.670732,7.6219516
1725698497895,2024-09-07T08:41:37.895Z,100458,-1.8292683,3.7195122,3.0487804
1725698497939,2024-09-07T08:41:37.939Z,100502,-9.45122,3.7804878,8.109756
1725698497983,2024-09-07T08:41:37.983Z,100546,-1.4634147,0.79268295,4.390244
1725698498028,2024-09-07T08:41:38.028Z,100591,-13.231708,2.4390244,3.1707318
1725698498048,2024-09-07T08:41:38.048Z,100611,-12.560976,2.2560976,3.8414636
1725698498064,2024-09-07T08:41:38.064Z,100627,-7.0731707,1.097561,5.7317076
1725698498113,2024-09-07T08:41:38.113Z,100676,-8.536586,6.52439,9.756098
1725698498159,2024-09-07T08:41:38.159Z,100722,-2.5609756,-6.4634147,8.109756
1725698498206,2024-09-07T08:41:38.206Z,100769,-7.682927,-2.0731707,9.329268
1725698498250,2024-09-07T08:41:38.250Z,100813,-8.353659,-6.52439,3.7195122
1725698498300,2024-09-07T08:41:38.300Z,100863,-8.170732,3.3536587,5.97561
1725698498345,2024-09-07T08:41:38.345Z,100908,-2.5609756,6.7073174,5.914634
1725698498389,2024-09-07T08:41:38.389Z,100952,2.5609756,9.756098,1.4634147
1725698498437,2024-09-07T08:41:38.437Z,101000,0.4878049,0.12195122,2.0731707
1725698498478,2024-09-07T08:41:38.478Z,101041,-4.756098,11.341464,3.6585367
1725698498500,2024-09-07T08:41:38.500Z,101063,-11.158537,3.0487804,3.5975611
1725698498516,2024-09-07T08:41:38.516Z,101079,-8.292683,-0.42682928,6.0365853
1725698498564,2024-09-07T08:41:38.564Z,101127,-0.06097561,4.878049,4.5731707
1725698498611,2024-09-07T08:41:38.611Z,101174,-10.182927,0.30487806,2.987805
1725698498657,2024-09-07T08:41:38.657Z,101220,-9.207317,1.2804878,2.6219513
1725698498700,2024-09-07T08:41:38.700Z,101263,1.6463414,0.42682928,-2.804878
1725698498748,2024-09-07T08:41:38.748Z,101311,9.817074,-2.8658538,-3.4756098
1725698498794,2024-09-07T08:41:38.794Z,101357,4.3292685,-6.2195125,4.512195
1725698498841,2024-09-07T08:41:38.841Z,101404,-9.817074,8.414635,6.158537
1725698498885,2024-09-07T08:41:38.885Z,101448,-6.097561,5.670732,2.9268293
1725698498902,2024-09-07T08:41:38.902Z,101465,-0.5487805,2.317073,2.6219513
1725698498917,2024-09-07T08:41:38.917Z,101480,4.878049,-2.2560976,0.91463417
1725698498965,2024-09-07T08:41:38.965Z,101528,0.12195122,-5.365854,-1.5243902
1725698499017,2024-09-07T08:41:39.017Z,101580,0.18292683,-7.5,-4.512195
1725698499066,2024-09-07T08:41:39.066Z,101629,-2.5,-2.804878,-0.24390244
1725698499113,2024-09-07T08:41:39.113Z,101676,-4.2073174,-0.6097561,-1.402439
1725698499151,2024-09-07T08:41:39.151Z,101714,-7.987805,4.390244,-2.378049
1725698499195,2024-09-07T08:41:39.195Z,101758,-3.2317073,11.219512,1.7682927
1725698499287,2024-09-07T08:41:39.287Z,101850,4.512195,7.1341467,3.0487804
1725698499308,2024-09-07T08:41:39.308Z,101871,0.91463417,7.5,2.8658538
1725698499321,2024-09-07T08:41:39.321Z,101884,-9.02439,7.5,-3.5975611
1725698499333,2024-09-07T08:41:39.333Z,101896,-9.512196,5.487805,-0.73170733
1725698499373,2024-09-07T08:41:39.373Z,101936,2.5,4.634146,-0.5487805
1725698499421,2024-09-07T08:41:39.421Z,101984,4.756098,3.902439,-3.902439
1725698499468,2024-09-07T08:41:39.468Z,102031,5.0609756,-3.8414636,-7.1341467
1725698499515,2024-09-07T08:41:39.515Z,102078,-0.73170733,7.3170733,-5.182927
1725698499558,2024-09-07T08:41:39.558Z,102121,-2.2560976,1.0365853,-2.317073
1725698499605,2024-09-07T08:41:39.605Z,102168,-6.9512196,3.4146342,0.6707317
1725698499652,2024-09-07T08:41:39.652Z,102215,-2.682927,1.097561,2.012195
1725698499692,2024-09-07T08:41:39.692Z,102255,2.378049,0.5487805,-3.6585367
1725698499738,2024-09-07T08:41:39.738Z,102301,-0.4878049,-3.1097562,-2.0731707
1725698499759,2024-09-07T08:41:39.759Z,102322,-4.634146,3.3536587,-4.4512196
1725698499778,2024-09-07T08:41:39.778Z,102341,-1.7073171,3.1097562,-2.987805
1725698499824,2024-09-07T08:41:39.824Z,102387,9.756098,8.414635,-5.609756
1725698499876,2024-09-07T08:41:39.876Z,102439,12.195122,13.47561,-5.304878
1725698499919,2024-09-07T08:41:39.919Z,102482,-5.0609756,13.963415,-2.0731707
1725698499966,2024-09-07T08:41:39.966Z,102529,-3.4146342,9.45122,-0.73170733
1725698500008,2024-09-07T08:41:40.008Z,102571,4.756098,2.5,-8.536586
1725698500052,2024-09-07T08:41:40.052Z,102615,2.987805,4.634146,-7.012195
1725698500097,2024-09-07T08:41:40.097Z,102660,-1.6463414,8.902439,-3.4146342
1725698500139,2024-09-07T08:41:40.139Z,102702,-1.5853659,10.304878,-2.682927
1725698500156,2024-09-07T08:41:40.156Z,102719,0.6707317,8.597561,-0.6097561
1725698500181,2024-09-07T08:41:40.181Z,102744,10.731708,13.04878,-9.3902445
