Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725698011210,2024-09-07T08:33:31.210Z,78316,-6.4634147,4.9390244,-3.4756098
1725698011250,2024-09-07T08:33:31.250Z,78356,-6.097561,5.487805,-3.7195122
1725698011302,2024-09-07T08:33:31.302Z,78408,-6.8292685,6.585366,-4.085366
1725698011313,2024-09-07T08:33:31.313Z,78419,-6.9512196,6.402439,-2.012195
1725698011345,2024-09-07T08:33:31.345Z,78451,-4.02439,3.1707318,1.097561
1725698011388,2024-09-07T08:33:31.388Z,78494,-1.0365853,-3.902439,4.6951222
1725698011432,2024-09-07T08:33:31.432Z,78538,-1.8902439,-16.95122,8.47561
1725698011475,2024-09-07T08:33:31.475Z,78581,-0.73170733,-18.47561,9.146341
1725698011527,2024-09-07T08:33:31.527Z,78633,4.02439,-14.207317,8.109756
1725698011578,2024-09-07T08:33:31.578Z,78684,14.573171,-10.426829,6.280488
1725698011620,2024-09-07T08:33:31.620Z,78726,20.97561,0.42682928,3.7804878
1725698011667,2024-09-07T08:33:31.667Z,78773,18.47561,7.378049,4.268293
1725698011716,2024-09-07T08:33:31.716Z,78822,12.987805,3.0487804,7.7439027
1725698011735,2024-09-07T08:33:31.735Z,78841,9.085366,-4.02439,10.365854
1725698011755,2024-09-07T08:33:31.755Z,78861,10.731708,-2.9268293,14.634147
1725698011803,2024-09-07T08:33:31.803Z,78909,10.670732,-0.79268295,16.768293
1725698011850,2024-09-07T08:33:31.850Z,78956,8.170732,-11.036586,20.121952
1725698011894,2024-09-07T08:33:31.894Z,79000,12.987805,-21.585367,24.268293
1725698011942,2024-09-07T08:33:31.942Z,79048,13.536586,-28.719513,23.414635
1725698011990,2024-09-07T08:33:31.990Z,79096,2.1341465,-40.121952,14.756098
1725698012032,2024-09-07T08:33:32.032Z,79138,-3.4146342,-40.30488,18.963415
1725698012076,2024-09-07T08:33:32.076Z,79182,7.804878,-21.707317,22.37805
1725698012125,2024-09-07T08:33:32.125Z,79231,8.658537,-37.19512,22.865854
1725698012144,2024-09-07T08:33:32.144Z,79250,3.4146342,-50.060978,23.47561
1725698012162,2024-09-07T08:33:32.162Z,79268,-7.378049,-61.40244,21.09756
1725698012209,2024-09-07T08:33:32.209Z,79315,-11.646341,-52.987804,21.40244
1725698012255,2024-09-07T08:33:32.255Z,79361,4.2073174,-16.707317,18.780489
1725698012299,2024-09-07T08:33:32.299Z,79405,7.0731707,3.9634147,22.256098
1725698012349,2024-09-07T08:33:32.349Z,79455,-10.0,-8.292683,15.54878
1725698012386,2024-09-07T08:33:32.386Z,79492,4.085366,-17.560976,7.9268293
1725698012436,2024-09-07T08:33:32.436Z,79542,23.963415,-8.292683,3.5365853
1725698012477,2024-09-07T08:33:32.477Z,79583,14.756098,-11.341464,-4.4512196
1725698012528,2024-09-07T08:33:32.528Z,79634,13.902439,-0.6707317,-18.04878
1725698012567,2024-09-07T08:33:32.567Z,79673,17.621952,16.341463,-30.670732
1725698012586,2024-09-07T08:33:32.586Z,79692,23.231709,28.963415,-48.23171
1725698012608,2024-09-07T08:33:32.608Z,79714,49.207317,55.243904,-64.02439
1725698012655,2024-09-07T08:33:32.655Z,79761,42.92683,39.939026,-66.70732
1725698012709,2024-09-07T08:33:32.709Z,79815,47.2561,34.268295,-62.92683
1725698012749,2024-09-07T08:33:32.749Z,79855,80.54878,28.963415,-57.2561
1725698012794,2024-09-07T08:33:32.794Z,79900,69.5122,19.634148,-43.048782
1725698012838,2024-09-07T08:33:32.838Z,79944,32.07317,5.121951,-20.060976
1725698012885,2024-09-07T08:33:32.885Z,79991,9.329268,-8.353659,2.378049
1725698012926,2024-09-07T08:33:32.926Z,80032,45.365856,-5.0609756,5.7317076
1725698012971,2024-09-07T08:33:32.971Z,80077,32.378048,3.9634147,14.3902445
1725698012989,2024-09-07T08:33:32.989Z,80095,2.987805,-6.8292685,28.658537
1725698013016,2024-09-07T08:33:33.016Z,80122,-12.256098,-7.4390244,32.92683
1725698013058,2024-09-07T08:33:33.058Z,80164,-40.243904,-18.353659,20.304878
1725698013113,2024-09-07T08:33:33.113Z,80219,-28.47561,-9.085366,15.6707325
1725698013154,2024-09-07T08:33:33.154Z,80260,15.792684,-13.963415,11.52439
1725698013198,2024-09-07T08:33:33.198Z,80304,-0.36585367,-18.59756,4.085366
1725698013246,2024-09-07T08:33:33.246Z,80352,-5.914634,-29.756098,2.682927
1725698013293,2024-09-07T08:33:33.293Z,80399,-11.463415,-21.585367,-2.5
1725698013338,2024-09-07T08:33:33.338Z,80444,-16.95122,-19.512196,-1.4634147
1725698013380,2024-09-07T08:33:33.380Z,80486,-33.841465,-13.292684,12.439025
1725698013402,2024-09-07T08:33:33.402Z,80508,-29.45122,-12.560976,28.59756
1725698013419,2024-09-07T08:33:33.419Z,80525,-21.09756,-7.865854,41.219513
1725698013466,2024-09-07T08:33:33.466Z,80572,-7.987805,-12.5,35.42683
1725698013510,2024-09-07T08:33:33.510Z,80616,-4.3292685,-14.573171,27.5
1725698013562,2024-09-07T08:33:33.562Z,80668,-3.5975611,-9.756098,23.109756
1725698013610,2024-09-07T08:33:33.610Z,80716,-1.2195122,-9.146341,20.182928
1725698013652,2024-09-07T08:33:33.652Z,80758,-8.780488,-2.6219513,12.743903
1725698013697,2024-09-07T08:33:33.697Z,80803,-19.634148,-10.914635,17.317074
1725698013744,2024-09-07T08:33:33.744Z,80850,-12.804878,-12.560976,15.731708
1725698013784,2024-09-07T08:33:33.784Z,80890,-3.7804878,-5.365854,14.45122
1725698013831,2024-09-07T08:33:33.831Z,80937,-12.621951,2.987805,16.09756
1725698013852,2024-09-07T08:33:33.852Z,80958,-18.292683,4.4512196,19.45122
1725698013870,2024-09-07T08:33:33.870Z,80976,-16.219513,6.158537,15.6707325
1725698013913,2024-09-07T08:33:33.913Z,81019,-11.646341,6.646342,13.47561
1725698013964,2024-09-07T08:33:33.964Z,81070,-10.487805,9.085366,13.109756
1725698014010,2024-09-07T08:33:34.010Z,81116,-10.243902,0.5487805,12.195122
1725698014056,2024-09-07T08:33:34.056Z,81162,-14.268293,3.4756098,6.585366
1725698014101,2024-09-07T08:33:34.101Z,81207,-11.463415,-1.6463414,6.402439
1725698014143,2024-09-07T08:33:34.143Z,81249,-8.170732,5.670732,6.097561
1725698014185,2024-09-07T08:33:34.185Z,81291,-4.512195,-0.91463417,6.585366
1725698014236,2024-09-07T08:33:34.236Z,81342,2.5,-2.682927,11.158537
1725698014257,2024-09-07T08:33:34.257Z,81363,-3.8414636,0.85365856,10.0
1725698014273,2024-09-07T08:33:34.273Z,81379,-17.439024,-5.487805,10.54878
1725698014317,2024-09-07T08:33:34.317Z,81423,-10.914635,-4.6951222,7.3170733
1725698014364,2024-09-07T08:33:34.364Z,81470,-1.5243902,4.3292685,7.0731707
1725698014414,2024-09-07T08:33:34.414Z,81520,-1.8292683,0.73170733,3.292683
1725698014457,2024-09-07T08:33:34.457Z,81563,-5.121951,5.0,-1.9512196
1725698014502,2024-09-07T08:33:34.502Z,81608,-13.658537,9.512196,-1.5243902
1725698014546,2024-09-07T08:33:34.546Z,81652,-13.658537,28.59756,1.9512196
1725698014591,2024-09-07T08:33:34.591Z,81697,-3.6585367,25.060976,0.5487805
1725698014638,2024-09-07T08:33:34.638Z,81744,-3.6585367,6.585366,-5.792683
1725698014659,2024-09-07T08:33:34.659Z,81765,-1.2195122,6.890244,-9.45122
1725698014677,2024-09-07T08:33:34.677Z,81783,-3.0487804,12.256098,-4.512195
1725698014723,2024-09-07T08:33:34.723Z,81829,-14.45122,15.304878,2.8658538
1725698014771,2024-09-07T08:33:34.771Z,81877,-16.158537,10.121951,-3.5975611
1725698014817,2024-09-07T08:33:34.817Z,81923,-11.646341,9.573171,-14.695123
1725698014861,2024-09-07T08:33:34.861Z,81967,-4.512195,11.280488,-19.573172
1725698014910,2024-09-07T08:33:34.910Z,82016,8.658537,-10.792684,-14.329268
1725698014955,2024-09-07T08:33:34.955Z,82061,8.536586,-22.621952,-8.536586
1725698015002,2024-09-07T08:33:35.002Z,82108,-15.609756,-0.30487806,-6.890244
1725698015046,2024-09-07T08:33:35.046Z,82152,-29.756098,18.59756,-7.3170733
1725698015092,2024-09-07T08:33:35.092Z,82198,-13.902439,27.987806,-8.719512
1725698015114,2024-09-07T08:33:35.114Z,82220,-2.987805,28.536587,-8.963415
1725698015126,2024-09-07T08:33:35.126Z,82232,-0.6097561,27.560976,-14.329268
1725698015165,2024-09-07T08:33:35.165Z,82271,0.6097561,35.97561,-20.853659
1725698015225,2024-09-07T08:33:35.225Z,82331,1.9512196,47.317074,-24.756098
1725698015273,2024-09-07T08:33:35.273Z,82379,2.195122,52.37805,-25.853659
1725698015316,2024-09-07T08:33:35.316Z,82422,-1.0365853,53.719513,-21.646341
1725698015357,2024-09-07T08:33:35.357Z,82463,-6.097561,46.768295,-16.158537
1725698015401,2024-09-07T08:33:35.401Z,82507,-12.682927,35.609756,-16.219513
1725698015449,2024-09-07T08:33:35.449Z,82555,-12.378049,33.59756,-20.0
1725698015498,2024-09-07T08:33:35.498Z,82604,-10.54878,37.19512,-21.09756
1725698015519,2024-09-07T08:33:35.519Z,82625,-10.0,30.487806,-17.682928
1725698015537,2024-09-07T08:33:35.537Z,82643,-8.292683,35.73171,-19.085367
1725698015586,2024-09-07T08:33:35.586Z,82692,-5.792683,20.42683,-15.060976
1725698015628,2024-09-07T08:33:35.628Z,82734,-7.378049,3.8414636,-11.219512
1725698015673,2024-09-07T08:33:35.673Z,82779,-7.804878,7.378049,-15.304878
1725698015767,2024-09-07T08:33:35.767Z,82873,-10.304878,8.719512,-12.378049
1725698015787,2024-09-07T08:33:35.787Z,82893,-10.97561,17.743902,-14.573171
1725698015801,2024-09-07T08:33:35.801Z,82907,-13.109756,18.963415,-14.512196
1725698015849,2024-09-07T08:33:35.849Z,82955,-13.353659,31.585367,-15.792684
1725698015899,2024-09-07T08:33:35.899Z,83005,-12.621951,27.37805,-13.231708
1725698015920,2024-09-07T08:33:35.920Z,83026,-9.3902445,17.621952,-5.670732
1725698015945,2024-09-07T08:33:35.945Z,83051,-7.4390244,13.780488,-4.756098
1725698015985,2024-09-07T08:33:35.985Z,83091,-4.2073174,6.8292685,-7.378049
1725698016032,2024-09-07T08:33:36.032Z,83138,-3.7804878,0.06097561,-2.378049
1725698016083,2024-09-07T08:33:36.083Z,83189,-4.268293,-0.9756098,0.5487805
1725698016130,2024-09-07T08:33:36.130Z,83236,-4.512195,-2.195122,-1.2195122
1725698016167,2024-09-07T08:33:36.167Z,83273,-4.268293,-2.5,0.73170733
1725698016213,2024-09-07T08:33:36.213Z,83319,0.6707317,3.7804878,5.792683
1725698016261,2024-09-07T08:33:36.261Z,83367,-1.8902439,5.365854,4.5731707
1725698016306,2024-09-07T08:33:36.306Z,83412,0.91463417,1.2804878,7.865854
1725698016351,2024-09-07T08:33:36.351Z,83457,19.32927,1.402439,14.207317
1725698016372,2024-09-07T08:33:36.372Z,83478,19.207317,-19.634148,15.914635
1725698016388,2024-09-07T08:33:36.388Z,83494,8.780488,-40.42683,22.195122
1725698016427,2024-09-07T08:33:36.427Z,83533,5.182927,-34.32927,23.04878
1725698016484,2024-09-07T08:33:36.484Z,83590,3.8414636,-40.487804,21.768293
1725698016534,2024-09-07T08:33:36.534Z,83640,2.4390244,-44.268295,22.621952
1725698016574,2024-09-07T08:33:36.574Z,83680,8.109756,-50.670734,29.024391
1725698016622,2024-09-07T08:33:36.622Z,83728,17.012196,-38.963417,29.573172
1725698016669,2024-09-07T08:33:36.669Z,83775,8.841464,-32.987804,29.634148
1725698016710,2024-09-07T08:33:36.710Z,83816,-4.6951222,-19.207317,26.585367
1725698016759,2024-09-07T08:33:36.759Z,83865,-0.36585367,-5.5487804,22.621952
1725698016784,2024-09-07T08:33:36.784Z,83890,3.5365853,-9.573171,17.256098
