Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725698100938,2024-09-07T08:35:00.938Z,49553,0.32836914,-0.83032227,0.11187744
1725698100978,2024-09-07T08:35:00.978Z,49593,0.3540039,-0.85858154,0.069885254
1725698101021,2024-09-07T08:35:01.021Z,49636,0.40148926,-0.895874,0.04522705
1725698101066,2024-09-07T08:35:01.066Z,49681,0.2208252,-0.78149414,0.0335083
1725698101112,2024-09-07T08:35:01.112Z,49727,0.33868408,-0.8114624,0.18286133
1725698101157,2024-09-07T08:35:01.157Z,49772,0.27667236,-0.80792236,0.19665527
1725698101169,2024-09-07T08:35:01.169Z,49784,0.38970947,-0.84350586,0.23162842
1725698101203,2024-09-07T08:35:01.203Z,49818,0.37261963,-0.8915405,0.11193848
1725698101250,2024-09-07T08:35:01.250Z,49865,0.28326416,-0.7515869,-0.18682861
1725698101300,2024-09-07T08:35:01.300Z,49915,0.24865723,-0.8153076,-0.3834839
1725698101343,2024-09-07T08:35:01.343Z,49958,0.15136719,-0.9102173,-0.18493652
1725698101387,2024-09-07T08:35:01.387Z,50002,0.14233398,-0.74835205,0.11352539
1725698101435,2024-09-07T08:35:01.435Z,50050,0.20141602,-0.7001343,0.22351074
1725698101479,2024-09-07T08:35:01.479Z,50094,0.25891113,-0.75756836,0.3458252
1725698101526,2024-09-07T08:35:01.526Z,50141,0.29534912,-0.9110718,0.27972412
1725698101570,2024-09-07T08:35:01.570Z,50185,0.29370117,-0.8867798,0.1885376
1725698101591,2024-09-07T08:35:01.591Z,50206,0.28723145,-0.93322754,0.083740234
1725698101612,2024-09-07T08:35:01.612Z,50227,0.02960205,-0.878479,-0.05090332
1725698101658,2024-09-07T08:35:01.658Z,50273,0.15093994,-0.8479614,0.12194824
1725698101703,2024-09-07T08:35:01.703Z,50318,0.1348877,-0.8411255,-0.021728516
1725698101749,2024-09-07T08:35:01.749Z,50364,0.23284912,-0.8486328,0.13739014
1725698101795,2024-09-07T08:35:01.795Z,50410,0.21496582,-0.8902588,0.33099365
1725698101838,2024-09-07T08:35:01.838Z,50453,0.2277832,-0.9538574,0.22814941
1725698101883,2024-09-07T08:35:01.883Z,50498,0.27545166,-0.9868164,0.20983887
1725698101932,2024-09-07T08:35:01.932Z,50547,0.37219238,-1.0688477,0.4944458
1725698101977,2024-09-07T08:35:01.977Z,50592,0.4505005,-1.0848999,0.62323
1725698101999,2024-09-07T08:35:01.999Z,50614,0.40570068,-0.8494873,0.40753174
1725698102019,2024-09-07T08:35:02.019Z,50634,0.25280762,-0.9688721,0.10626221
1725698102064,2024-09-07T08:35:02.064Z,50679,0.42230225,-1.0067139,0.30737305
1725698102108,2024-09-07T08:35:02.108Z,50723,0.48358154,-1.0564575,0.39068604
1725698102154,2024-09-07T08:35:02.154Z,50769,0.4937744,-0.8578491,0.50897217
1725698102198,2024-09-07T08:35:02.198Z,50813,0.6213379,-0.81073,0.7441406
1725698102246,2024-09-07T08:35:02.246Z,50861,0.7427368,-1.0033569,0.83380127
1725698102290,2024-09-07T08:35:02.290Z,50905,0.59295654,-1.0612183,0.57318115
1725698102336,2024-09-07T08:35:02.336Z,50951,0.57159424,-1.0349121,0.43829346
1725698102378,2024-09-07T08:35:02.378Z,50993,0.4677124,-0.8684082,0.34295654
1725698102423,2024-09-07T08:35:02.423Z,51038,0.5414429,-0.7227783,0.43377686
1725698102445,2024-09-07T08:35:02.445Z,51060,0.40716553,-0.7714844,0.40979004
1725698102467,2024-09-07T08:35:02.467Z,51082,0.35443115,-0.8045654,0.38043213
1725698102514,2024-09-07T08:35:02.514Z,51129,0.4257202,-0.8407593,0.36688232
1725698102561,2024-09-07T08:35:02.561Z,51176,0.3756714,-0.75616455,0.3526001
1725698102604,2024-09-07T08:35:02.604Z,51219,0.4609375,-0.77246094,0.3741455
1725698102647,2024-09-07T08:35:02.647Z,51262,0.28045654,-0.77197266,0.32824707
1725698102692,2024-09-07T08:35:02.692Z,51307,0.39526367,-0.9277954,0.36694336
1725698102738,2024-09-07T08:35:02.738Z,51353,0.3447876,-0.83898926,0.3048706
1725698102783,2024-09-07T08:35:02.783Z,51398,0.38330078,-0.7941284,0.2770996
1725698102828,2024-09-07T08:35:02.828Z,51443,0.35668945,-0.8909912,0.32312012
1725698102846,2024-09-07T08:35:02.846Z,51461,0.21948242,-0.7019043,0.25335693
1725698102869,2024-09-07T08:35:02.869Z,51484,0.32043457,-0.9041748,0.37054443
1725698102917,2024-09-07T08:35:02.917Z,51532,0.37097168,-0.9249878,0.31622314
1725698102964,2024-09-07T08:35:02.964Z,51579,0.3694458,-0.9226074,0.23779297
1725698103009,2024-09-07T08:35:03.009Z,51624,0.31158447,-0.8312378,0.19763184
1725698103054,2024-09-07T08:35:03.054Z,51669,0.34210205,-0.9244995,0.31628418
1725698103100,2024-09-07T08:35:03.100Z,51715,0.29943848,-0.91607666,0.22949219
1725698103192,2024-09-07T08:35:03.192Z,51807,0.4078369,-0.8981323,0.3078003
1725698103213,2024-09-07T08:35:03.213Z,51828,0.29833984,-0.84399414,0.33636475
1725698103232,2024-09-07T08:35:03.232Z,51847,0.21014404,-1.079834,0.24255371
1725698103247,2024-09-07T08:35:03.247Z,51862,0.2765503,-0.9011841,0.22491455
1725698103291,2024-09-07T08:35:03.291Z,51906,0.2722168,-0.9092407,0.19085693
1725698103323,2024-09-07T08:35:03.323Z,51938,0.21832275,-0.81225586,0.21038818
1725698103366,2024-09-07T08:35:03.366Z,51981,0.20703125,-0.83428955,0.2592163
1725698103412,2024-09-07T08:35:03.412Z,52027,0.1593628,-0.9574585,0.1749878
1725698103458,2024-09-07T08:35:03.458Z,52073,0.16595459,-0.9885864,0.1762085
1725698103502,2024-09-07T08:35:03.502Z,52117,0.31225586,-0.9230957,0.19909668
1725698103548,2024-09-07T08:35:03.548Z,52163,0.21636963,-0.94091797,0.11151123
1725698103593,2024-09-07T08:35:03.593Z,52208,0.1973877,-1.0093384,0.21173096
1725698103639,2024-09-07T08:35:03.639Z,52254,0.27026367,-1.0136108,0.2607422
1725698103684,2024-09-07T08:35:03.684Z,52299,0.18908691,-0.93237305,0.21368408
1725698103712,2024-09-07T08:35:03.712Z,52327,0.10192871,-0.9138794,0.092285156
1725698103734,2024-09-07T08:35:03.734Z,52349,0.15905762,-1.0424805,0.19451904
1725698103770,2024-09-07T08:35:03.770Z,52385,0.23309326,-0.85546875,0.22363281
1725698103820,2024-09-07T08:35:03.820Z,52435,0.23803711,-0.8812256,0.2756958
1725698103862,2024-09-07T08:35:03.862Z,52477,0.21643066,-0.8514404,0.19378662
1725698103908,2024-09-07T08:35:03.908Z,52523,0.12164307,-0.970459,0.10455322
1725698103955,2024-09-07T08:35:03.955Z,52570,0.1630249,-0.98986816,0.13989258
1725698104000,2024-09-07T08:35:04Z,52615,0.15789795,-0.8760376,0.12097168
1725698104043,2024-09-07T08:35:04.043Z,52658,0.25360107,-0.96051025,0.10308838
1725698104086,2024-09-07T08:35:04.086Z,52701,0.18170166,-0.78704834,0.16369629
1725698104103,2024-09-07T08:35:04.103Z,52718,0.19085693,-0.99768066,0.21398926
1725698104126,2024-09-07T08:35:04.126Z,52741,0.19555664,-1.0737305,0.18511963
1725698104175,2024-09-07T08:35:04.175Z,52790,0.1921997,-0.9610596,0.17828369
1725698104219,2024-09-07T08:35:04.219Z,52834,0.2244873,-0.8270874,0.08148193
1725698104267,2024-09-07T08:35:04.267Z,52882,0.25933838,-0.86883545,0.09454346
1725698104312,2024-09-07T08:35:04.312Z,52927,0.1817627,-0.9845581,0.13122559
1725698104357,2024-09-07T08:35:04.357Z,52972,0.09680176,-1.0809937,0.14361572
1725698104403,2024-09-07T08:35:04.403Z,53018,0.23187256,-0.88446045,0.1529541
1725698104452,2024-09-07T08:35:04.452Z,53067,0.2520752,-0.9208374,0.08538818
1725698104491,2024-09-07T08:35:04.491Z,53106,0.21411133,-0.96850586,0.09375
1725698104508,2024-09-07T08:35:04.508Z,53123,0.17547607,-0.9412842,0.12573242
1725698104531,2024-09-07T08:35:04.531Z,53146,0.23278809,-0.89953613,0.1003418
1725698104577,2024-09-07T08:35:04.577Z,53192,0.22070312,-0.9343872,0.070617676
1725698104626,2024-09-07T08:35:04.626Z,53241,0.24969482,-0.98895264,0.1105957
