Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725950459217,2024-09-10T06:40:59.217Z,164000,2.0731707,1.5853659,-7.5609756
1725950459260,2024-09-10T06:40:59.260Z,164043,2.682927,1.7073171,-7.9268293
1725950459319,2024-09-10T06:40:59.319Z,164102,5.2439027,-0.06097561,-9.878049
1725950459357,2024-09-10T06:40:59.357Z,164140,6.52439,-2.2560976,-9.878049
1725950459407,2024-09-10T06:40:59.407Z,164190,3.9634147,-3.1707318,1.4634147
1725950459430,2024-09-10T06:40:59.430Z,164213,0.4878049,0.5487805,12.804878
1725950459450,2024-09-10T06:40:59.450Z,164233,1.2804878,0.12195122,15.54878
1725950459496,2024-09-10T06:40:59.496Z,164279,2.682927,1.2804878,10.54878
1725950459536,2024-09-10T06:40:59.536Z,164319,2.6219513,7.4390244,4.02439
1725950459601,2024-09-10T06:40:59.601Z,164384,-0.79268295,12.926829,-2.012195
1725950459631,2024-09-10T06:40:59.631Z,164414,-1.2195122,12.378049,-5.4268293
1725950459687,2024-09-10T06:40:59.687Z,164470,-1.402439,15.0,-8.170732
1725950459728,2024-09-10T06:40:59.728Z,164511,1.1585366,15.792684,-10.243902
1725950459774,2024-09-10T06:40:59.774Z,164557,4.085366,14.573171,-12.073171
1725950459822,2024-09-10T06:40:59.822Z,164605,4.4512196,13.353659,-8.902439
1725950459846,2024-09-10T06:40:59.846Z,164629,0.36585367,11.219512,-4.390244
1725950459867,2024-09-10T06:40:59.867Z,164650,-1.3414634,9.02439,-1.3414634
1725950459899,2024-09-10T06:40:59.899Z,164682,-1.0365853,6.8292685,-0.79268295
1725950459941,2024-09-10T06:40:59.941Z,164724,0.30487806,6.7073174,-2.378049
1725950459989,2024-09-10T06:40:59.989Z,164772,2.195122,2.6219513,-1.5853659
1725950460037,2024-09-10T06:41:00.037Z,164820,2.1341465,-1.1585366,-0.6097561
1725950460089,2024-09-10T06:41:00.089Z,164872,1.7073171,-3.5975611,0.42682928
1725950460139,2024-09-10T06:41:00.139Z,164922,2.9268293,-4.6951222,-0.5487805
1725950460181,2024-09-10T06:41:00.181Z,164964,3.7804878,-3.5975611,-3.1097562
1725950460227,2024-09-10T06:41:00.227Z,165010,3.6585367,-2.012195,-3.7804878
1725950460250,2024-09-10T06:41:00.250Z,165033,3.3536587,-0.18292683,-2.682927
1725950460269,2024-09-10T06:41:00.269Z,165052,3.4756098,0.9756098,-2.317073
1725950460302,2024-09-10T06:41:00.302Z,165085,3.5975611,0.9756098,-2.6219513
1725950460359,2024-09-10T06:41:00.359Z,165142,2.804878,1.8902439,-2.7439024
1725950460406,2024-09-10T06:41:00.406Z,165189,3.292683,-1.0365853,0.91463417
1725950460442,2024-09-10T06:41:00.442Z,165225,2.5,-0.85365856,0.06097561
1725950460494,2024-09-10T06:41:00.494Z,165277,6.4634147,-0.36585367,-1.9512196
1725950460588,2024-09-10T06:41:00.588Z,165371,9.329268,3.2317073,-5.4268293
1725950460613,2024-09-10T06:41:00.613Z,165396,8.780488,6.158537,-5.7317076
1725950460635,2024-09-10T06:41:00.635Z,165418,7.012195,4.6951222,-2.987805
1725950460662,2024-09-10T06:41:00.662Z,165445,5.7317076,-2.0731707,0.42682928
1725950460677,2024-09-10T06:41:00.677Z,165460,6.646342,-5.914634,1.5853659
1725950460705,2024-09-10T06:41:00.705Z,165488,7.682927,-3.7804878,0.36585367
1725950460754,2024-09-10T06:41:00.754Z,165537,7.804878,-3.1097562,0.18292683
1725950460802,2024-09-10T06:41:00.802Z,165585,7.0731707,-3.1097562,0.30487806
1725950460852,2024-09-10T06:41:00.852Z,165635,6.646342,-1.5853659,-0.42682928
1725950460915,2024-09-10T06:41:00.915Z,165698,7.012195,2.0731707,-1.1585366
1725950460940,2024-09-10T06:41:00.940Z,165723,7.3170733,4.3292685,-1.5853659
1725950460982,2024-09-10T06:41:00.982Z,165765,7.1341467,0.9756098,-0.06097561
1725950461034,2024-09-10T06:41:01.034Z,165817,8.536586,2.378049,0.6707317
1725950461081,2024-09-10T06:41:01.081Z,165864,10.060976,3.4146342,0.12195122
1725950461102,2024-09-10T06:41:01.102Z,165885,8.414635,5.5487804,-0.4878049
1725950461121,2024-09-10T06:41:01.121Z,165904,7.865854,0.36585367,1.6463414
1725950461159,2024-09-10T06:41:01.159Z,165942,7.7439027,0.85365856,1.2195122
1725950461207,2024-09-10T06:41:01.207Z,165990,9.939025,3.902439,-0.79268295
1725950461312,2024-09-10T06:41:01.312Z,166095,9.085366,6.7073174,-2.8658538
1725950461343,2024-09-10T06:41:01.343Z,166126,8.292683,7.0731707,-1.5243902
1725950461364,2024-09-10T06:41:01.364Z,166147,8.170732,8.231708,-0.18292683
1725950461384,2024-09-10T06:41:01.384Z,166167,7.256098,8.963415,-1.097561
1725950461431,2024-09-10T06:41:01.431Z,166214,8.231708,9.45122,-2.195122
1725950461484,2024-09-10T06:41:01.484Z,166267,5.670732,13.353659,-3.7804878
1725950461506,2024-09-10T06:41:01.506Z,166289,3.4756098,14.756098,-2.378049
1725950461527,2024-09-10T06:41:01.527Z,166310,0.91463417,11.158537,-0.85365856
1725950461565,2024-09-10T06:41:01.565Z,166348,-0.36585367,9.573171,0.18292683
1725950461623,2024-09-10T06:41:01.623Z,166406,-0.18292683,9.268292,-1.097561
1725950461656,2024-09-10T06:41:01.656Z,166439,0.36585367,8.597561,-2.0731707
1725950461709,2024-09-10T06:41:01.709Z,166492,0.5487805,5.4268293,-2.317073
1725950461757,2024-09-10T06:41:01.757Z,166540,0.79268295,4.634146,-2.9268293
1725950461793,2024-09-10T06:41:01.793Z,166576,0.06097561,3.8414636,-3.9634147
1725950461850,2024-09-10T06:41:01.850Z,166633,-0.24390244,4.2073174,-4.756098
1725950461881,2024-09-10T06:41:01.881Z,166664,-1.0365853,3.7804878,-4.878049
1725950461941,2024-09-10T06:41:01.941Z,166724,0.18292683,3.292683,-4.3292685
1725950461974,2024-09-10T06:41:01.974Z,166757,1.6463414,4.6951222,-5.365854
1725950462002,2024-09-10T06:41:02.002Z,166785,2.317073,4.1463413,-5.4268293
1725950462018,2024-09-10T06:41:02.018Z,166801,0.73170733,2.1341465,-3.4756098
1725950462059,2024-09-10T06:41:02.059Z,166842,0.06097561,1.0365853,-1.7682927
1725950462108,2024-09-10T06:41:02.108Z,166891,1.8902439,-0.79268295,-1.2804878
1725950462159,2024-09-10T06:41:02.159Z,166942,3.5975611,-4.878049,0.24390244
1725950462204,2024-09-10T06:41:02.204Z,166987,2.987805,-7.012195,0.4878049
1725950462240,2024-09-10T06:41:02.240Z,167023,1.7682927,-7.7439027,1.097561
1725950462298,2024-09-10T06:41:02.298Z,167081,1.7682927,-8.292683,1.7682927
