Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1734714740100,2024-12-20T17:12:20.100Z,190655,6.890244,24.268293,-1.7682927
1734714740115,2024-12-20T17:12:20.115Z,190670,6.8292685,21.280489,-1.2804878
1734714740130,2024-12-20T17:12:20.130Z,190685,5.365854,19.268293,-0.73170733
1734714740146,2024-12-20T17:12:20.146Z,190701,4.390244,17.5,0.5487805
1734714740160,2024-12-20T17:12:20.160Z,190715,3.902439,15.97561,1.7073171
1734714740171,2024-12-20T17:12:20.171Z,190726,3.1707318,16.09756,2.6219513
1734714740181,2024-12-20T17:12:20.181Z,190736,3.5365853,17.5,2.6219513
1734714740193,2024-12-20T17:12:20.193Z,190748,3.9634147,17.134148,1.9512196
1734714740202,2024-12-20T17:12:20.202Z,190757,4.3292685,15.182927,1.5853659
1734714740211,2024-12-20T17:12:20.211Z,190766,5.0609756,13.658537,0.79268295
1734714740219,2024-12-20T17:12:20.219Z,190774,5.914634,11.402439,0.36585367
1734714740227,2024-12-20T17:12:20.227Z,190782,8.841464,12.621951,0.18292683
1734714740235,2024-12-20T17:12:20.235Z,190790,10.0,18.536585,-0.06097561
1734714740244,2024-12-20T17:12:20.244Z,190799,8.47561,19.939024,0.06097561
1734714740252,2024-12-20T17:12:20.252Z,190807,7.865854,17.256098,1.3414634
1734714740261,2024-12-20T17:12:20.261Z,190816,7.378049,15.304878,1.4634147
1734714740271,2024-12-20T17:12:20.271Z,190826,6.0365853,13.536586,1.1585366
1734714740281,2024-12-20T17:12:20.281Z,190836,5.487805,10.792684,1.097561
1734714740293,2024-12-20T17:12:20.293Z,190848,5.2439027,8.597561,1.2804878
1734714740306,2024-12-20T17:12:20.306Z,190861,4.756098,8.292683,1.4634147
1734714740315,2024-12-20T17:12:20.315Z,190870,4.8170733,8.841464,1.4634147
1734714740323,2024-12-20T17:12:20.323Z,190878,5.121951,11.280488,1.8292683
1734714740332,2024-12-20T17:12:20.332Z,190887,5.609756,12.012196,1.8292683
1734714740341,2024-12-20T17:12:20.341Z,190896,5.670732,9.939025,2.1341465
1734714740349,2024-12-20T17:12:20.349Z,190904,4.512195,9.085366,2.987805
1734714740358,2024-12-20T17:12:20.358Z,190913,4.1463413,7.9268293,2.682927
1734714740367,2024-12-20T17:12:20.367Z,190922,3.8414636,6.585366,2.7439024
1734714740376,2024-12-20T17:12:20.376Z,190931,3.4146342,5.0,2.378049
1734714740386,2024-12-20T17:12:20.386Z,190941,3.5975611,3.2317073,2.195122
1734714740397,2024-12-20T17:12:20.397Z,190952,3.902439,4.2073174,1.7682927
1734714740407,2024-12-20T17:12:20.407Z,190962,4.1463413,5.365854,0.85365856
1734714740446,2024-12-20T17:12:20.446Z,191001,4.9390244,4.1463413,0.4878049
1734714740455,2024-12-20T17:12:20.455Z,191010,4.756098,2.987805,1.1585366
1734714740464,2024-12-20T17:12:20.464Z,191019,4.390244,1.7073171,1.9512196
1734714740474,2024-12-20T17:12:20.474Z,191029,5.121951,2.2560976,2.317073
1734714740483,2024-12-20T17:12:20.483Z,191038,6.402439,4.878049,2.2560976
1734714740492,2024-12-20T17:12:20.492Z,191047,7.3170733,6.768293,1.9512196
1734714740500,2024-12-20T17:12:20.500Z,191055,8.719512,11.768293,1.4634147
1734714740509,2024-12-20T17:12:20.509Z,191064,8.109756,15.121951,0.79268295
1734714740519,2024-12-20T17:12:20.519Z,191074,7.5609756,12.134147,0.85365856
1734714740529,2024-12-20T17:12:20.529Z,191084,6.2195125,8.719512,1.8292683
1734714740538,2024-12-20T17:12:20.538Z,191093,4.3292685,5.121951,2.4390244
1734714740546,2024-12-20T17:12:20.546Z,191101,4.02439,2.378049,2.9268293
1734714740555,2024-12-20T17:12:20.555Z,191110,2.7439024,2.4390244,2.9268293
1734714740563,2024-12-20T17:12:20.563Z,191118,1.1585366,1.0365853,3.0487804
1734714740573,2024-12-20T17:12:20.573Z,191128,1.402439,-0.36585367,2.5609756
1734714740584,2024-12-20T17:12:20.584Z,191139,1.6463414,0.06097561,1.8902439
1734714740592,2024-12-20T17:12:20.592Z,191147,1.7073171,-0.42682928,1.5243902
1734714740601,2024-12-20T17:12:20.601Z,191156,1.8902439,-2.317073,2.012195
1734714740609,2024-12-20T17:12:20.609Z,191164,2.5609756,-1.5243902,2.804878
1734714740618,2024-12-20T17:12:20.618Z,191173,2.9268293,1.097561,3.292683
1734714740627,2024-12-20T17:12:20.627Z,191182,3.1097562,3.1707318,3.4146342
1734714740636,2024-12-20T17:12:20.636Z,191191,3.292683,3.8414636,3.4756098
1734714740642,2024-12-20T17:12:20.642Z,191197,3.292683,2.7439024,3.1097562
1734714740649,2024-12-20T17:12:20.649Z,191204,2.5609756,1.4634147,3.1097562
1734714740656,2024-12-20T17:12:20.656Z,191211,2.2560976,0.73170733,2.804878
1734714740663,2024-12-20T17:12:20.663Z,191218,3.1097562,0.73170733,2.682927
1734714740670,2024-12-20T17:12:20.670Z,191225,4.512195,6.890244,2.682927
1734714740677,2024-12-20T17:12:20.677Z,191232,5.914634,13.04878,1.402439
1734714740685,2024-12-20T17:12:20.685Z,191240,6.8292685,15.060976,1.1585366
1734714740692,2024-12-20T17:12:20.692Z,191247,7.012195,17.987804,1.9512196
1734714740701,2024-12-20T17:12:20.701Z,191256,7.0731707,17.012196,2.012195
1734714740721,2024-12-20T17:12:20.721Z,191276,7.987805,13.841464,2.6219513
1734714740728,2024-12-20T17:12:20.728Z,191283,7.7439027,10.731708,3.1097562
1734714740736,2024-12-20T17:12:20.736Z,191291,7.3170733,10.914635,4.1463413
1734714740743,2024-12-20T17:12:20.743Z,191298,8.353659,15.853659,3.4146342
1734714740766,2024-12-20T17:12:20.766Z,191321,8.658537,18.719513,2.195122
1734714740773,2024-12-20T17:12:20.773Z,191328,7.987805,18.780489,2.0731707
1734714740782,2024-12-20T17:12:20.782Z,191337,5.7317076,17.439024,2.1341465
1734714740789,2024-12-20T17:12:20.789Z,191344,3.3536587,16.341463,2.0731707
1734714740795,2024-12-20T17:12:20.795Z,191350,2.195122,13.47561,2.317073
1734714740810,2024-12-20T17:12:20.810Z,191365,3.1707318,11.707317,3.3536587
1734714740817,2024-12-20T17:12:20.817Z,191372,2.5609756,12.560976,3.3536587
1734714740825,2024-12-20T17:12:20.825Z,191380,2.195122,10.914635,3.2317073
1734714740832,2024-12-20T17:12:20.832Z,191387,2.5,10.426829,3.1097562
1734714740857,2024-12-20T17:12:20.857Z,191412,0.9756098,11.463415,2.682927
1734714740866,2024-12-20T17:12:20.866Z,191421,-1.2195122,9.512196,3.9634147
1734714740874,2024-12-20T17:12:20.874Z,191429,-1.7682927,8.597561,4.3292685
1734714740883,2024-12-20T17:12:20.883Z,191438,-2.804878,8.109756,3.2317073
1734714740891,2024-12-20T17:12:20.891Z,191446,-4.6951222,4.390244,3.8414636
1734714740900,2024-12-20T17:12:20.900Z,191455,-6.52439,1.0365853,4.5731707
1734714740908,2024-12-20T17:12:20.908Z,191463,-7.1951222,-2.804878,4.8170733
1734714740916,2024-12-20T17:12:20.916Z,191471,-8.841464,-6.52439,5.365854
1734714740924,2024-12-20T17:12:20.924Z,191479,-11.8902445,-10.853659,7.987805
1734714740948,2024-12-20T17:12:20.948Z,191503,-14.634147,-15.853659,9.268292
1734714740957,2024-12-20T17:12:20.957Z,191512,-16.768293,-22.256098,9.512196
1734714740965,2024-12-20T17:12:20.965Z,191520,-15.182927,-24.207317,10.304878
1734714740974,2024-12-20T17:12:20.974Z,191529,-7.7439027,-15.6707325,9.329268
1734714740981,2024-12-20T17:12:20.981Z,191536,-1.0365853,3.3536587,6.52439
1734714740989,2024-12-20T17:12:20.989Z,191544,1.097561,14.817074,4.634146
1734714741002,2024-12-20T17:12:21.002Z,191557,4.3292685,13.353659,3.7195122
1734714741014,2024-12-20T17:12:21.014Z,191569,1.7073171,7.804878,5.97561
1734714741023,2024-12-20T17:12:21.023Z,191578,-0.30487806,1.7073171,7.682927
1734714741035,2024-12-20T17:12:21.035Z,191590,-1.402439,-2.987805,7.7439027
1734714741043,2024-12-20T17:12:21.043Z,191598,-4.085366,-6.7073174,8.414635
1734714741051,2024-12-20T17:12:21.051Z,191606,-4.512195,-8.353659,8.536586
1734714741059,2024-12-20T17:12:21.059Z,191614,-2.8658538,-7.987805,7.804878
1734714741080,2024-12-20T17:12:21.080Z,191635,0.06097561,-4.2073174,6.280488
1734714741088,2024-12-20T17:12:21.088Z,191643,3.0487804,-1.2195122,4.8170733
1734714741096,2024-12-20T17:12:21.096Z,191651,5.0609756,0.42682928,3.7804878
1734714741104,2024-12-20T17:12:21.104Z,191659,4.5731707,0.91463417,3.4146342
1734714741113,2024-12-20T17:12:21.113Z,191668,5.0,-4.8170733,2.804878
1734714741171,2024-12-20T17:12:21.171Z,191726,4.634146,-11.097561,2.317073
1734714741180,2024-12-20T17:12:21.180Z,191735,2.4390244,-12.317074,2.317073
1734714741189,2024-12-20T17:12:21.189Z,191744,2.2560976,-10.853659,2.1341465
1734714741198,2024-12-20T17:12:21.198Z,191753,5.7317076,-8.47561,0.36585367
1734714741207,2024-12-20T17:12:21.207Z,191762,8.658537,-0.4878049,-1.3414634
1734714741215,2024-12-20T17:12:21.215Z,191770,10.914635,10.670732,-2.9268293
1734714741223,2024-12-20T17:12:21.223Z,191778,12.317074,15.609756,-3.7195122
1734714741230,2024-12-20T17:12:21.230Z,191785,11.280488,12.378049,-2.4390244
1734714741238,2024-12-20T17:12:21.238Z,191793,10.54878,6.890244,-0.24390244
1734714741246,2024-12-20T17:12:21.246Z,191801,10.670732,3.5365853,0.30487806
1734714741253,2024-12-20T17:12:21.253Z,191808,9.878049,2.987805,0.06097561
1734714741263,2024-12-20T17:12:21.263Z,191818,10.243902,3.4756098,-0.12195122
1734714741273,2024-12-20T17:12:21.273Z,191828,10.670732,2.012195,-0.73170733
1734714741282,2024-12-20T17:12:21.282Z,191837,9.634147,0.6707317,-0.73170733
1734714741290,2024-12-20T17:12:21.290Z,191845,13.902439,1.8902439,-2.5609756
1734714741300,2024-12-20T17:12:21.300Z,191855,18.59756,8.841464,-5.487805
1734714741307,2024-12-20T17:12:21.307Z,191862,18.536585,13.47561,-7.1341467
1734714741314,2024-12-20T17:12:21.314Z,191869,20.365854,11.95122,-7.804878
1734714741321,2024-12-20T17:12:21.321Z,191876,20.121952,10.182927,-8.231708
1734714741328,2024-12-20T17:12:21.328Z,191883,16.95122,6.7073174,-6.402439
1734714741335,2024-12-20T17:12:21.335Z,191890,15.487805,1.9512196,-5.487805
1734714741342,2024-12-20T17:12:21.342Z,191897,14.939025,-0.79268295,-4.6951222
1734714741351,2024-12-20T17:12:21.351Z,191906,14.634147,2.0731707,-4.085366
1734714741359,2024-12-20T17:12:21.359Z,191914,16.768293,9.085366,-4.634146
1734714741367,2024-12-20T17:12:21.367Z,191922,18.841463,15.365854,-5.792683
1734714741373,2024-12-20T17:12:21.373Z,191928,18.231709,17.439024,-6.585366
1734714741394,2024-12-20T17:12:21.394Z,191949,18.170732,14.695123,-7.0731707
1734714741401,2024-12-20T17:12:21.401Z,191956,18.109756,10.97561,-8.109756
1734714741411,2024-12-20T17:12:21.411Z,191966,16.646341,8.109756,-8.170732
1734714741419,2024-12-20T17:12:21.419Z,191974,16.585365,8.902439,-8.109756
1734714741427,2024-12-20T17:12:21.427Z,191982,19.085367,12.682927,-10.731708
1734714741440,2024-12-20T17:12:21.440Z,191995,17.92683,14.817074,-11.158537
1734714741487,2024-12-20T17:12:21.487Z,192042,18.536585,13.536586,-10.670732
1734714741526,2024-12-20T17:12:21.526Z,192081,20.853659,16.158537,-11.646341
1734714741534,2024-12-20T17:12:21.534Z,192089,17.560976,13.170732,-10.487805
1734714741543,2024-12-20T17:12:21.543Z,192098,17.37805,5.4268293,-9.02439
1734714741571,2024-12-20T17:12:21.571Z,192126,18.231709,7.3170733,-8.841464
1734714741582,2024-12-20T17:12:21.582Z,192137,15.304878,11.8902445,-7.6219516
1734714741591,2024-12-20T17:12:21.591Z,192146,14.512196,12.926829,-7.5609756
1734714741599,2024-12-20T17:12:21.599Z,192154,12.987805,10.0,-7.0731707
1734714741606,2024-12-20T17:12:21.606Z,192161,9.45122,3.902439,-5.5487804
1734714741613,2024-12-20T17:12:21.613Z,192168,5.8536587,-7.1951222,-3.7195122
1734714741621,2024-12-20T17:12:21.621Z,192176,2.682927,-21.158537,-1.8292683
