Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725722018906,2024-09-07T15:13:38.906Z,154386,4.756098,7.256098,1.5853659
1725722018949,2024-09-07T15:13:38.949Z,154429,3.4146342,7.256098,1.097561
1725722019004,2024-09-07T15:13:39.004Z,154484,1.5853659,3.292683,0.30487806
1725722019024,2024-09-07T15:13:39.024Z,154504,2.5609756,-2.6219513,-1.7073171
1725722019046,2024-09-07T15:13:39.046Z,154526,2.0731707,-5.670732,-2.378049
1725722019092,2024-09-07T15:13:39.092Z,154572,-1.3414634,-10.670732,-3.7195122
1725722019139,2024-09-07T15:13:39.139Z,154619,-1.4634147,-9.817074,-2.987805
1725722019187,2024-09-07T15:13:39.187Z,154667,-2.195122,-4.8170733,-2.9268293
1725722019223,2024-09-07T15:13:39.223Z,154703,-3.1707318,-6.158537,-2.1341465
1725722019290,2024-09-07T15:13:39.290Z,154770,-1.3414634,-5.97561,-2.682927
1725722019333,2024-09-07T15:13:39.333Z,154813,-2.4390244,-7.012195,-2.5609756
1725722019377,2024-09-07T15:13:39.377Z,154857,0.06097561,1.4634147,-1.1585366
1725722019416,2024-09-07T15:13:39.416Z,154896,2.8658538,3.7195122,-0.73170733
1725722019437,2024-09-07T15:13:39.437Z,154917,2.0731707,1.9512196,-0.30487806
1725722019454,2024-09-07T15:13:39.454Z,154934,2.8658538,7.0731707,-1.0365853
1725722019497,2024-09-07T15:13:39.497Z,154977,4.2073174,16.646341,-2.987805
1725722019546,2024-09-07T15:13:39.546Z,155026,4.5731707,19.268293,-4.4512196
1725722019598,2024-09-07T15:13:39.598Z,155078,3.7804878,16.219513,-5.8536587
1725722019642,2024-09-07T15:13:39.642Z,155122,7.987805,20.060976,-5.609756
1725722019692,2024-09-07T15:13:39.692Z,155172,9.3902445,15.914635,-4.085366
1725722019736,2024-09-07T15:13:39.736Z,155216,6.3414636,-1.3414634,-0.36585367
1725722019770,2024-09-07T15:13:39.770Z,155250,6.8292685,-1.7682927,3.0487804
1725722019825,2024-09-07T15:13:39.825Z,155305,6.158537,2.317073,4.1463413
1725722019847,2024-09-07T15:13:39.847Z,155327,6.2195125,-3.0487804,1.5243902
1725722019864,2024-09-07T15:13:39.864Z,155344,6.585366,-1.5853659,-3.1097562
1725722019899,2024-09-07T15:13:39.899Z,155379,7.9268293,20.365854,-5.4268293
1725722019973,2024-09-07T15:13:39.973Z,155453,6.52439,26.280489,-4.268293
1725722019999,2024-09-07T15:13:39.999Z,155479,3.3536587,6.52439,-2.5
1725722020049,2024-09-07T15:13:40.049Z,155529,2.987805,-3.9634147,-2.804878
1725722020090,2024-09-07T15:13:40.090Z,155570,7.378049,0.73170733,-3.0487804
1725722020135,2024-09-07T15:13:40.135Z,155615,9.268292,-2.5,-3.3536587
1725722020185,2024-09-07T15:13:40.185Z,155665,7.3170733,-1.8292683,-2.7439024
1725722020231,2024-09-07T15:13:40.231Z,155711,5.914634,5.487805,0.12195122
1725722020275,2024-09-07T15:13:40.275Z,155755,5.487805,9.878049,1.3414634
1725722020296,2024-09-07T15:13:40.296Z,155776,5.304878,0.6707317,-2.378049
1725722020313,2024-09-07T15:13:40.313Z,155793,7.1341467,-6.280488,-6.158537
1725722020350,2024-09-07T15:13:40.350Z,155830,6.158537,0.30487806,-2.1341465
1725722020403,2024-09-07T15:13:40.403Z,155883,2.8658538,-7.1951222,2.195122
1725722020512,2024-09-07T15:13:40.512Z,155992,1.402439,-9.756098,1.5243902
1725722020534,2024-09-07T15:13:40.534Z,156014,0.12195122,-4.512195,0.18292683
1725722020550,2024-09-07T15:13:40.550Z,156030,1.7073171,-5.0,-3.1707318
1725722020577,2024-09-07T15:13:40.577Z,156057,3.4146342,-5.914634,-5.670732
1725722020620,2024-09-07T15:13:40.620Z,156100,1.7682927,-7.5,-3.2317073
1725722020683,2024-09-07T15:13:40.683Z,156163,-3.7195122,-3.292683,2.0731707
1725722020717,2024-09-07T15:13:40.717Z,156197,-6.097561,-0.30487806,4.2073174
1725722020735,2024-09-07T15:13:40.735Z,156215,-3.2317073,3.0487804,0.24390244
1725722020756,2024-09-07T15:13:40.756Z,156236,1.7682927,-1.4634147,-4.5731707
1725722020802,2024-09-07T15:13:40.802Z,156282,3.902439,1.3414634,-4.3292685
1725722020860,2024-09-07T15:13:40.860Z,156340,5.5487804,4.5731707,-5.0609756
1725722020903,2024-09-07T15:13:40.903Z,156383,3.4146342,-1.402439,-4.634146
1725722020953,2024-09-07T15:13:40.953Z,156433,-1.6463414,4.878049,2.012195
1725722020989,2024-09-07T15:13:40.989Z,156469,-2.378049,15.365854,8.841464
1725722021037,2024-09-07T15:13:41.037Z,156517,-2.1341465,13.04878,10.243902
1725722021085,2024-09-07T15:13:41.085Z,156565,-3.1097562,2.987805,7.5
1725722021109,2024-09-07T15:13:41.109Z,156589,3.5365853,-1.5853659,3.5365853
1725722021124,2024-09-07T15:13:41.124Z,156604,3.3536587,6.646342,-0.73170733
1725722021163,2024-09-07T15:13:41.163Z,156643,7.6219516,4.2073174,0.6097561
1725722021212,2024-09-07T15:13:41.212Z,156692,0.73170733,6.2195125,3.9634147
1725722021265,2024-09-07T15:13:41.265Z,156745,-0.73170733,4.756098,9.146341
1725722021311,2024-09-07T15:13:41.311Z,156791,-4.085366,11.097561,8.963415
1725722021355,2024-09-07T15:13:41.355Z,156835,-2.0731707,2.8658538,5.670732
1725722021400,2024-09-07T15:13:41.400Z,156880,-1.4634147,-0.4878049,-1.0365853
1725722021440,2024-09-07T15:13:41.440Z,156920,2.317073,-1.6463414,-3.1707318
1725722021492,2024-09-07T15:13:41.492Z,156972,0.0,9.02439,-1.4634147
1725722021523,2024-09-07T15:13:41.523Z,157003,-0.36585367,9.573171,1.402439
1725722021543,2024-09-07T15:13:41.543Z,157023,-1.402439,4.634146,-1.9512196
1725722021565,2024-09-07T15:13:41.565Z,157045,-2.012195,-5.0,-3.4146342
1725722021611,2024-09-07T15:13:41.611Z,157091,-1.1585366,-3.8414636,-3.5975611
1725722021672,2024-09-07T15:13:41.672Z,157152,-1.2195122,-3.7195122,-1.0365853
1725722021713,2024-09-07T15:13:41.713Z,157193,-0.79268295,-6.8292685,0.42682928
1725722021762,2024-09-07T15:13:41.762Z,157242,-0.12195122,-7.5,-0.91463417
1725722021795,2024-09-07T15:13:41.795Z,157275,3.292683,-6.4634147,-3.2317073
1725722021834,2024-09-07T15:13:41.834Z,157314,6.4634147,-2.012195,-6.52439
1725722021896,2024-09-07T15:13:41.896Z,157376,11.280488,-12.865854,-7.0731707
1725722021940,2024-09-07T15:13:41.940Z,157420,5.609756,-10.121951,-4.9390244
1725722021971,2024-09-07T15:13:41.971Z,157451,2.317073,-12.317074,-2.6219513
1725722021991,2024-09-07T15:13:41.991Z,157471,2.5609756,-9.207317,-8.109756
1725722022017,2024-09-07T15:13:42.017Z,157497,6.3414636,-14.207317,-12.134147
1725722022073,2024-09-07T15:13:42.073Z,157553,-1.8292683,-16.09756,-5.670732
1725722022116,2024-09-07T15:13:42.116Z,157596,-5.182927,-16.40244,-2.5609756
1725722022165,2024-09-07T15:13:42.165Z,157645,-2.0731707,-17.012196,-6.402439
1725722022208,2024-09-07T15:13:42.208Z,157688,1.8902439,-15.365854,-6.280488
1725722022252,2024-09-07T15:13:42.252Z,157732,2.378049,-6.158537,-2.7439024
1725722022300,2024-09-07T15:13:42.300Z,157780,-0.24390244,-0.12195122,0.30487806
1725722022346,2024-09-07T15:13:42.346Z,157826,-1.4634147,3.9634147,6.8292685
1725722022371,2024-09-07T15:13:42.371Z,157851,-6.3414636,8.902439,11.768293
1725722022390,2024-09-07T15:13:42.390Z,157870,-5.121951,6.646342,10.792684
1725722022418,2024-09-07T15:13:42.418Z,157898,-1.7682927,12.134147,10.487805
1725722022469,2024-09-07T15:13:42.469Z,157949,-2.9268293,22.560976,10.853659
1725722022516,2024-09-07T15:13:42.516Z,157996,-0.5487805,21.158537,9.878049
1725722022570,2024-09-07T15:13:42.570Z,158050,-0.91463417,22.560976,9.02439
1725722022613,2024-09-07T15:13:42.613Z,158093,-0.18292683,17.682928,6.2195125
1725722022658,2024-09-07T15:13:42.658Z,158138,0.36585367,11.280488,2.4390244
1725722022713,2024-09-07T15:13:42.713Z,158193,-5.182927,8.47561,1.7073171
1725722022753,2024-09-07T15:13:42.753Z,158233,-10.853659,-0.73170733,1.7682927
1725722022796,2024-09-07T15:13:42.796Z,158276,-15.731708,2.682927,1.8902439
1725722022818,2024-09-07T15:13:42.818Z,158298,-16.82927,4.1463413,3.292683
1725722022833,2024-09-07T15:13:42.833Z,158313,-14.817074,1.8902439,2.6219513
1725722022868,2024-09-07T15:13:42.868Z,158348,-14.939025,-10.609756,0.5487805
1725722022917,2024-09-07T15:13:42.917Z,158397,-13.902439,-19.939024,1.8902439
1725722022970,2024-09-07T15:13:42.970Z,158450,-10.54878,-21.280489,3.1097562
1725722023021,2024-09-07T15:13:43.021Z,158501,-7.6219516,-23.841463,4.02439
1725722023064,2024-09-07T15:13:43.064Z,158544,-6.158537,-22.134148,4.390244
1725722023108,2024-09-07T15:13:43.108Z,158588,-5.914634,-15.304878,4.6951222
1725722023156,2024-09-07T15:13:43.156Z,158636,-9.3902445,-14.939025,6.158537
1725722023206,2024-09-07T15:13:43.206Z,158686,-10.731708,-20.060976,3.9634147
1725722023229,2024-09-07T15:13:43.229Z,158709,-12.987805,-19.268293,2.5609756
1725722023248,2024-09-07T15:13:43.248Z,158728,-15.121951,-13.292684,5.97561
1725722023273,2024-09-07T15:13:43.273Z,158753,-14.939025,-4.6951222,6.585366
1725722023335,2024-09-07T15:13:43.335Z,158815,-14.512196,-4.02439,6.646342
1725722023377,2024-09-07T15:13:43.377Z,158857,-11.646341,-4.2073174,5.2439027
1725722023424,2024-09-07T15:13:43.424Z,158904,-9.146341,-5.914634,2.5
1725722023471,2024-09-07T15:13:43.471Z,158951,-7.256098,1.7073171,2.012195
1725722023512,2024-09-07T15:13:43.512Z,158992,-4.756098,7.1341467,2.804878
1725722023554,2024-09-07T15:13:43.554Z,159034,-3.2317073,1.9512196,-1.8292683
1725722023610,2024-09-07T15:13:43.610Z,159090,-2.317073,-7.682927,-4.6951222
1725722023632,2024-09-07T15:13:43.632Z,159112,-0.18292683,1.5243902,-1.402439
1725722023651,2024-09-07T15:13:43.651Z,159131,-0.4878049,6.3414636,1.5243902
1725722023679,2024-09-07T15:13:43.679Z,159159,-0.9756098,-2.1341465,2.5609756
1725722023730,2024-09-07T15:13:43.730Z,159210,0.79268295,-1.1585366,0.91463417
1725722023783,2024-09-07T15:13:43.783Z,159263,3.7195122,0.6707317,-1.402439
1725722023823,2024-09-07T15:13:43.823Z,159303,4.512195,6.890244,-1.5243902
1725722023870,2024-09-07T15:13:43.870Z,159350,3.1097562,7.9268293,0.4878049
1725722023920,2024-09-07T15:13:43.920Z,159400,1.0365853,2.195122,0.73170733
1725722023961,2024-09-07T15:13:43.961Z,159441,0.24390244,4.9390244,0.30487806
1725722024005,2024-09-07T15:13:44.005Z,159485,-0.4878049,4.878049,0.9756098
1725722024061,2024-09-07T15:13:44.061Z,159541,-0.91463417,3.5975611,2.5
1725722024084,2024-09-07T15:13:44.084Z,159564,-0.73170733,3.6585367,2.5
1725722024103,2024-09-07T15:13:44.103Z,159583,0.79268295,4.6951222,0.9756098
1725722024127,2024-09-07T15:13:44.127Z,159607,0.6097561,0.85365856,-0.79268295
1725722024180,2024-09-07T15:13:44.180Z,159660,0.9756098,1.1585366,-2.195122
1725722024233,2024-09-07T15:13:44.233Z,159713,1.8902439,8.963415,-2.682927
1725722024279,2024-09-07T15:13:44.279Z,159759,2.012195,8.719512,-2.7439024
1725722024327,2024-09-07T15:13:44.327Z,159807,2.195122,4.390244,-3.4146342
1725722024368,2024-09-07T15:13:44.368Z,159848,2.7439024,0.91463417,-3.9634147
1725722024414,2024-09-07T15:13:44.414Z,159894,4.3292685,1.8902439,-4.3292685
1725722024471,2024-09-07T15:13:44.471Z,159951,5.670732,3.7804878,-3.7195122
1725722024496,2024-09-07T15:13:44.496Z,159976,6.2195125,3.4146342,-3.6585367
1725722024513,2024-09-07T15:13:44.513Z,159993,7.1341467,1.7073171,-4.02439
1725722024586,2024-09-07T15:13:44.586Z,160066,7.987805,-0.30487806,-4.1463413
1725722024602,2024-09-07T15:13:44.602Z,160082,8.841464,0.12195122,-4.512195
1725722024628,2024-09-07T15:13:44.628Z,160108,10.243902,1.5853659,-5.121951
1725722024683,2024-09-07T15:13:44.683Z,160163,12.073171,4.512195,-5.914634
1725722024724,2024-09-07T15:13:44.724Z,160204,11.402439,3.7195122,-5.609756
1725722024779,2024-09-07T15:13:44.779Z,160259,11.768293,2.2560976,-5.4268293
1725722024822,2024-09-07T15:13:44.822Z,160302,11.219512,9.45122,-7.012195
1725722024863,2024-09-07T15:13:44.863Z,160343,12.256098,12.743903,-7.1341467
1725722024884,2024-09-07T15:13:44.884Z,160364,12.073171,17.682928,-6.280488
1725722024901,2024-09-07T15:13:44.901Z,160381,10.0,10.121951,-7.682927
1725722024939,2024-09-07T15:13:44.939Z,160419,7.5609756,7.865854,-8.841464
1725722025001,2024-09-07T15:13:45.001Z,160481,5.97561,15.792684,-6.8292685
1725722025041,2024-09-07T15:13:45.041Z,160521,5.182927,15.6707325,-5.8536587
1725722025086,2024-09-07T15:13:45.086Z,160566,6.280488,8.170732,-5.2439027
1725722025121,2024-09-07T15:13:45.121Z,160601,8.658537,10.853659,-5.121951
