Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725817320290,2024-09-08T17:42:00.290Z,276398,0.023132324,0.9927368,-0.04626465
1725817320333,2024-09-08T17:42:00.333Z,276441,0.025634766,0.99713135,-0.056030273
1725817320376,2024-09-08T17:42:00.376Z,276484,0.02911377,0.9937134,-0.054382324
1725817320421,2024-09-08T17:42:00.421Z,276529,0.028503418,1.0012817,-0.055541992
1725817320430,2024-09-08T17:42:00.430Z,276538,0.03302002,1.0081787,-0.06542969
1725817320466,2024-09-08T17:42:00.466Z,276574,0.023742676,1.0108643,-0.060424805
1725817320510,2024-09-08T17:42:00.510Z,276618,0.03466797,1.0163574,-0.059265137
1725817320561,2024-09-08T17:42:00.561Z,276669,0.023376465,1.0245361,-0.064575195
1725817320608,2024-09-08T17:42:00.608Z,276716,0.0178833,1.0280151,-0.05718994
1725817320652,2024-09-08T17:42:00.652Z,276760,0.016052246,1.0157471,-0.049682617
1725817320700,2024-09-08T17:42:00.700Z,276808,0.027648926,1.0021973,-0.04260254
1725817320741,2024-09-08T17:42:00.741Z,276849,0.01965332,0.991272,-0.044067383
1725817320787,2024-09-08T17:42:00.787Z,276895,0.020690918,0.97680664,-0.04034424
1725817320832,2024-09-08T17:42:00.832Z,276940,0.024719238,0.9641113,-0.033935547
1725817320855,2024-09-08T17:42:00.855Z,276963,0.024108887,0.94451904,-0.038085938
1725817320875,2024-09-08T17:42:00.875Z,276983,0.030029297,0.93634033,-0.056396484
1725817320923,2024-09-08T17:42:00.923Z,277031,0.032592773,0.95495605,-0.04296875
1725817320966,2024-09-08T17:42:00.966Z,277074,0.027832031,1.0084229,-0.064331055
1725817321010,2024-09-08T17:42:01.010Z,277118,0.019897461,1.0127563,-0.051818848
1725817321057,2024-09-08T17:42:01.057Z,277165,0.01965332,1.0116577,-0.079711914
1725817321102,2024-09-08T17:42:01.102Z,277210,0.035461426,0.9884033,-0.064208984
1725817321144,2024-09-08T17:42:01.144Z,277252,0.024841309,0.9834595,-0.07672119
1725817321191,2024-09-08T17:42:01.191Z,277299,0.023010254,0.9813843,-0.077819824
1725817321240,2024-09-08T17:42:01.240Z,277348,0.030334473,0.9885254,-0.070129395
1725817321281,2024-09-08T17:42:01.281Z,277389,0.023376465,0.9841919,-0.08660889
1725817321299,2024-09-08T17:42:01.299Z,277407,0.027038574,0.99139404,-0.078125
1725817321322,2024-09-08T17:42:01.322Z,277430,0.0060424805,0.9751587,-0.08337402
1725817321369,2024-09-08T17:42:01.369Z,277477,0.019042969,0.9694824,-0.09185791
1725817321417,2024-09-08T17:42:01.417Z,277525,0.023986816,0.9783325,-0.0871582
1725817321461,2024-09-08T17:42:01.461Z,277569,0.0154418945,0.9909668,-0.111572266
1725817321508,2024-09-08T17:42:01.508Z,277616,0.01763916,0.99609375,-0.10144043
1725817321553,2024-09-08T17:42:01.553Z,277661,0.026855469,0.99975586,-0.10266113
1725817321598,2024-09-08T17:42:01.598Z,277706,0.03564453,1.0014648,-0.11437988
1725817321644,2024-09-08T17:42:01.644Z,277752,0.028625488,0.9857178,-0.09863281
1725817321690,2024-09-08T17:42:01.690Z,277798,0.021911621,0.97161865,-0.1060791
1725817321711,2024-09-08T17:42:01.711Z,277819,0.036315918,0.94403076,-0.107299805
1725817321730,2024-09-08T17:42:01.730Z,277838,0.047424316,0.9612427,-0.09698486
1725817321775,2024-09-08T17:42:01.775Z,277883,0.022399902,0.96307373,-0.09729004
1725817321822,2024-09-08T17:42:01.822Z,277930,0.023376465,0.9735718,-0.11651611
1725817321865,2024-09-08T17:42:01.865Z,277973,0.035888672,0.97766113,-0.08984375
1725817321910,2024-09-08T17:42:01.910Z,278018,0.03753662,0.9785156,-0.07879639
1725817321957,2024-09-08T17:42:01.957Z,278065,0.035339355,1.0217285,-0.12957764
1725817322000,2024-09-08T17:42:02Z,278108,0.028137207,1.0310059,-0.13952637
1725817322045,2024-09-08T17:42:02.045Z,278153,0.027404785,1.015686,-0.09710693
1725817322093,2024-09-08T17:42:02.093Z,278201,0.03845215,1.0418701,-0.1274414
1725817322114,2024-09-08T17:42:02.114Z,278222,0.04626465,1.0183716,-0.107788086
1725817322135,2024-09-08T17:42:02.135Z,278243,0.030334473,1.0140381,-0.13104248
1725817322179,2024-09-08T17:42:02.179Z,278287,0.035888672,1.0012817,-0.11328125
1725817322225,2024-09-08T17:42:02.225Z,278333,0.05065918,0.9979248,-0.10876465
1725817322273,2024-09-08T17:42:02.273Z,278381,0.04156494,1.0003052,-0.10772705
1725817322316,2024-09-08T17:42:02.316Z,278424,0.042114258,1.0168457,-0.11425781
1725817322363,2024-09-08T17:42:02.363Z,278471,0.046569824,1.0274658,-0.09991455
1725817322408,2024-09-08T17:42:02.408Z,278516,0.033813477,1.0402222,-0.11151123
1725817322454,2024-09-08T17:42:02.454Z,278562,0.029541016,1.0180664,-0.1048584
1725817322497,2024-09-08T17:42:02.497Z,278605,0.029724121,1.0227661,-0.118774414
1725817322542,2024-09-08T17:42:02.542Z,278650,0.04248047,1.0203857,-0.11242676
1725817322562,2024-09-08T17:42:02.562Z,278670,0.03112793,1.0192871,-0.1159668
1725817322585,2024-09-08T17:42:02.585Z,278693,0.036071777,1.019104,-0.118652344
1725817322629,2024-09-08T17:42:02.629Z,278737,0.038879395,1.0148315,-0.11541748
1725817322724,2024-09-08T17:42:02.724Z,278832,0.040893555,1.0115356,-0.12420654
1725817322744,2024-09-08T17:42:02.744Z,278852,0.0446167,1.0241089,-0.12335205
1725817322765,2024-09-08T17:42:02.765Z,278873,0.04699707,1.0222168,-0.096069336
1725817322812,2024-09-08T17:42:02.812Z,278920,0.06036377,1.0269775,-0.11975098
1725817322856,2024-09-08T17:42:02.856Z,278964,0.03527832,1.0371094,-0.11517334
1725817322902,2024-09-08T17:42:02.902Z,279010,0.023376465,1.0331421,-0.12664795
1725817322946,2024-09-08T17:42:02.946Z,279054,0.045837402,1.0509033,-0.12390137
1725817322966,2024-09-08T17:42:02.966Z,279074,0.037841797,1.0482178,-0.11425781
1725817322990,2024-09-08T17:42:02.990Z,279098,0.046020508,1.0703735,-0.11193848
1725817323036,2024-09-08T17:42:03.036Z,279144,0.04284668,1.0863037,-0.15258789
1725817323080,2024-09-08T17:42:03.080Z,279188,0.021118164,1.0193481,-0.101501465
1725817323128,2024-09-08T17:42:03.128Z,279236,0.02508545,0.9609375,-0.084350586
1725817323170,2024-09-08T17:42:03.170Z,279278,0.060058594,0.9508667,-0.1665039
1725817323216,2024-09-08T17:42:03.216Z,279324,0.030456543,0.97650146,-0.1315918
1725817323263,2024-09-08T17:42:03.263Z,279371,0.01739502,1.0178833,-0.07086182
1725817323307,2024-09-08T17:42:03.307Z,279415,0.046081543,0.9991455,-0.11413574
1725817323352,2024-09-08T17:42:03.352Z,279460,0.066833496,1.0097656,-0.079956055
1725817323373,2024-09-08T17:42:03.373Z,279481,0.018066406,1.0197144,-0.06237793
1725817323395,2024-09-08T17:42:03.395Z,279503,0.033569336,1.0302124,-0.10345459
1725817323440,2024-09-08T17:42:03.440Z,279548,0.05706787,1.036438,-0.09863281
1725817323485,2024-09-08T17:42:03.485Z,279593,0.02935791,1.0126953,-0.08807373
1725817323533,2024-09-08T17:42:03.533Z,279641,0.015319824,1.031311,-0.13848877
1725817323574,2024-09-08T17:42:03.574Z,279682,0.05419922,1.0369263,-0.06890869
1725817323619,2024-09-08T17:42:03.619Z,279727,0.04724121,1.03479,-0.097717285
1725817323666,2024-09-08T17:42:03.666Z,279774,0.03955078,1.026001,-0.07397461
1725817323713,2024-09-08T17:42:03.713Z,279821,0.024597168,1.0065308,-0.08831787
1725817323756,2024-09-08T17:42:03.756Z,279864,0.05114746,0.9550171,-0.08099365
1725817323800,2024-09-08T17:42:03.800Z,279908,0.045654297,0.9470215,-0.0713501
1725817323820,2024-09-08T17:42:03.820Z,279928,0.036621094,0.9879761,-0.11315918
1725817323845,2024-09-08T17:42:03.845Z,279953,0.0289917,1.0092773,-0.10821533
1725817323893,2024-09-08T17:42:03.893Z,280001,0.009338379,1.0231323,-0.07116699
1725817323945,2024-09-08T17:42:03.945Z,280053,0.037719727,1.0106201,-0.13378906
1725817323983,2024-09-08T17:42:03.983Z,280091,0.053833008,1.0196533,-0.12860107
1725817324026,2024-09-08T17:42:04.026Z,280134,0.015014648,1.0569458,-0.09686279
1725817324072,2024-09-08T17:42:04.072Z,280180,0.045043945,1.0508423,-0.10620117
1725817324117,2024-09-08T17:42:04.117Z,280225,0.045715332,1.0319824,-0.107177734
1725817324162,2024-09-08T17:42:04.162Z,280270,0.0335083,1.0233765,-0.10888672
1725817324205,2024-09-08T17:42:04.205Z,280313,0.035827637,1.0235596,-0.09918213
1725817324223,2024-09-08T17:42:04.223Z,280331,0.041503906,1.0733032,-0.09301758
1725817324251,2024-09-08T17:42:04.251Z,280359,0.06011963,1.0615845,-0.111816406
1725817324296,2024-09-08T17:42:04.296Z,280404,0.013000488,1.0856934,-0.114868164
1725817324341,2024-09-08T17:42:04.341Z,280449,0.02520752,1.0852051,-0.12182617
1725817324387,2024-09-08T17:42:04.387Z,280495,0.04534912,1.0858154,-0.13537598
1725817324432,2024-09-08T17:42:04.432Z,280540,0.04272461,1.0958862,-0.1159668
1725817324476,2024-09-08T17:42:04.476Z,280584,0.036315918,1.0961304,-0.12542725
1725817324566,2024-09-08T17:42:04.566Z,280674,0.051818848,1.0933228,-0.10662842
1725817324586,2024-09-08T17:42:04.586Z,280694,0.042907715,1.0911865,-0.0993042
1725817324614,2024-09-08T17:42:04.614Z,280722,0.037475586,1.0795288,-0.1105957
1725817324631,2024-09-08T17:42:04.631Z,280739,0.046447754,1.0599976,-0.08105469
1725817324654,2024-09-08T17:42:04.654Z,280762,0.025634766,1.0424194,-0.10180664
1725817324702,2024-09-08T17:42:04.702Z,280810,0.027648926,1.0130005,-0.09802246
1725817324744,2024-09-08T17:42:04.744Z,280852,0.02355957,0.99450684,-0.07421875
1725817324789,2024-09-08T17:42:04.789Z,280897,0.042175293,0.9944458,-0.09954834
1725817324836,2024-09-08T17:42:04.836Z,280944,0.042541504,1.0091553,-0.087646484
1725817324881,2024-09-08T17:42:04.881Z,280989,0.047668457,1.0430908,-0.10211182
1725817324928,2024-09-08T17:42:04.928Z,281036,0.0289917,1.0348511,-0.09692383
1725817324973,2024-09-08T17:42:04.973Z,281081,0.044067383,0.98223877,-0.07397461
1725817325017,2024-09-08T17:42:05.017Z,281125,0.025146484,0.95581055,-0.10266113
1725817325061,2024-09-08T17:42:05.061Z,281169,0.023986816,0.94610596,-0.070251465
1725817325081,2024-09-08T17:42:05.081Z,281189,0.028381348,0.940979,-0.085998535
1725817325105,2024-09-08T17:42:05.105Z,281213,0.038757324,0.95043945,-0.06762695
1725817325151,2024-09-08T17:42:05.151Z,281259,0.022644043,0.96398926,-0.055358887
1725817325196,2024-09-08T17:42:05.196Z,281304,0.016174316,0.9987793,-0.084106445
1725817325242,2024-09-08T17:42:05.242Z,281350,0.037597656,1.0032959,-0.035095215
1725817325287,2024-09-08T17:42:05.287Z,281395,0.0211792,0.98358154,-0.059753418
1725817325333,2024-09-08T17:42:05.333Z,281441,0.018737793,0.9780884,-0.07763672
1725817325380,2024-09-08T17:42:05.380Z,281488,0.023742676,0.9663696,-0.029846191
1725817325423,2024-09-08T17:42:05.423Z,281531,0.024169922,0.97161865,-0.055786133
1725817325467,2024-09-08T17:42:05.467Z,281575,0.022338867,0.9854126,-0.06402588
1725817325488,2024-09-08T17:42:05.488Z,281596,0.03564453,1.0021362,-0.027648926
1725817325510,2024-09-08T17:42:05.510Z,281618,-0.014282227,1.0106812,-0.06518555
1725817325555,2024-09-08T17:42:05.555Z,281663,0.037597656,0.9928589,-0.021057129
1725817325601,2024-09-08T17:42:05.601Z,281709,0.013183594,0.9857178,-0.02532959
1725817325647,2024-09-08T17:42:05.647Z,281755,0.009094238,0.97491455,-0.0057373047
1725817325692,2024-09-08T17:42:05.692Z,281800,0.007507324,0.9736328,-0.034973145
1725817325737,2024-09-08T17:42:05.737Z,281845,0.001159668,0.96240234,-0.026611328
1725817325782,2024-09-08T17:42:05.782Z,281890,0.02557373,0.9603882,-0.0040283203
1725817325824,2024-09-08T17:42:05.824Z,281932,0.03277588,0.96569824,0.0060424805
1725817325870,2024-09-08T17:42:05.870Z,281978,0.019592285,0.96661377,-0.013122559
1725817325888,2024-09-08T17:42:05.888Z,281996,0.035888672,0.92370605,0.005859375
1725817325913,2024-09-08T17:42:05.913Z,282021,0.022033691,0.9202881,-0.02142334
1725817325961,2024-09-08T17:42:05.961Z,282069,0.030883789,0.9176636,0.010986328
1725817326006,2024-09-08T17:42:06.006Z,282114,0.01727295,0.9350586,0.0014038086
1725817326054,2024-09-08T17:42:06.054Z,282162,0.023925781,0.9732666,-0.010681152
1725817326098,2024-09-08T17:42:06.098Z,282206,0.015319824,1.0118408,0.016845703
1725817326141,2024-09-08T17:42:06.141Z,282249,-0.0057373047,1.0288696,0.013000488
1725817326189,2024-09-08T17:42:06.189Z,282297,-0.00390625,1.0133057,0.019958496
1725817326233,2024-09-08T17:42:06.233Z,282341,0.0026855469,1.010315,0.0052490234
1725817326277,2024-09-08T17:42:06.277Z,282385,0.014892578,0.9767456,0.011779785
1725817326324,2024-09-08T17:42:06.324Z,282432,0.029052734,0.9768677,-0.009277344
1725817326345,2024-09-08T17:42:06.345Z,282453,0.026367188,0.9795532,-0.008483887
1725817326365,2024-09-08T17:42:06.365Z,282473,0.028137207,0.9986572,-0.02709961
1725817326411,2024-09-08T17:42:06.411Z,282519,0.018127441,1.0059814,-0.023132324
1725817326455,2024-09-08T17:42:06.455Z,282563,0.020263672,1.0189209,-0.023010254
1725817326502,2024-09-08T17:42:06.502Z,282610,0.022399902,1.0180054,-0.032592773
1725817326546,2024-09-08T17:42:06.546Z,282654,0.022888184,1.0267944,-0.018798828
1725817326591,2024-09-08T17:42:06.591Z,282699,0.023498535,1.032898,-0.015258789
1725817326638,2024-09-08T17:42:06.638Z,282746,0.005554199,1.0184326,-0.014526367
1725817326683,2024-09-08T17:42:06.683Z,282791,0.017211914,1.0022583,3.0517578E-4
1725817326726,2024-09-08T17:42:06.726Z,282834,0.013183594,0.9986572,0.0040283203
1725817326749,2024-09-08T17:42:06.749Z,282857,0.014892578,0.9984131,-0.0025024414
1725817326774,2024-09-08T17:42:06.774Z,282882,0.017700195,0.9884033,-0.012023926
1725817326825,2024-09-08T17:42:06.825Z,282933,0.020446777,0.9916992,-0.016479492
1725817326859,2024-09-08T17:42:06.859Z,282967,0.020812988,0.98791504,-0.02709961
1725817326906,2024-09-08T17:42:06.906Z,283014,0.022583008,0.9958496,-0.021118164
1725817326954,2024-09-08T17:42:06.954Z,283062,0.0134887695,0.9998779,-0.031555176
1725817326995,2024-09-08T17:42:06.995Z,283103,0.018249512,0.99993896,-0.03881836
1725817327040,2024-09-08T17:42:07.040Z,283148,0.018859863,0.99572754,-0.02520752
