Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725817320203,2024-09-08T17:42:00.203Z,276311,-0.5487805,-0.6707317,0.30487806
1725817320244,2024-09-08T17:42:00.244Z,276352,-1.1585366,-1.0365853,0.79268295
1725817320297,2024-09-08T17:42:00.297Z,276405,-1.402439,-2.4390244,0.79268295
1725817320338,2024-09-08T17:42:00.338Z,276446,-0.79268295,-2.6219513,0.5487805
1725817320381,2024-09-08T17:42:00.381Z,276489,-0.36585367,-2.317073,0.12195122
1725817320426,2024-09-08T17:42:00.426Z,276534,0.6097561,-1.402439,-0.36585367
1725817320435,2024-09-08T17:42:00.435Z,276543,1.0365853,0.4878049,-1.0365853
1725817320469,2024-09-08T17:42:00.469Z,276577,0.24390244,1.8902439,-1.5243902
1725817320514,2024-09-08T17:42:00.514Z,276622,0.4878049,2.4390244,-1.7682927
1725817320570,2024-09-08T17:42:00.570Z,276678,0.85365856,4.634146,-2.2560976
1725817320617,2024-09-08T17:42:00.617Z,276725,0.24390244,5.792683,-1.4634147
1725817320663,2024-09-08T17:42:00.663Z,276771,-0.5487805,4.5731707,0.12195122
1725817320709,2024-09-08T17:42:00.709Z,276817,-0.79268295,1.5243902,0.9756098
1725817320751,2024-09-08T17:42:00.751Z,276859,-0.91463417,0.0,1.2195122
1725817320797,2024-09-08T17:42:00.797Z,276905,-0.5487805,-3.2317073,2.2560976
1725817320843,2024-09-08T17:42:00.843Z,276951,0.79268295,-4.268293,2.317073
1725817320865,2024-09-08T17:42:00.865Z,276973,2.0731707,-3.7195122,2.0731707
1725817320883,2024-09-08T17:42:00.883Z,276991,2.4390244,-1.8292683,1.5243902
1725817320933,2024-09-08T17:42:00.933Z,277041,2.378049,0.9756098,0.18292683
1725817320976,2024-09-08T17:42:00.976Z,277084,3.7195122,3.292683,-2.1341465
1725817321021,2024-09-08T17:42:01.021Z,277129,3.3536587,4.6951222,-2.317073
1725817321069,2024-09-08T17:42:01.069Z,277177,4.02439,7.9268293,0.18292683
1725817321115,2024-09-08T17:42:01.115Z,277223,3.2317073,9.756098,0.18292683
1725817321154,2024-09-08T17:42:01.154Z,277262,3.4756098,11.646341,-1.8292683
1725817321203,2024-09-08T17:42:01.203Z,277311,2.4390244,10.670732,-1.9512196
1725817321248,2024-09-08T17:42:01.248Z,277356,2.317073,10.792684,-1.2195122
1725817321290,2024-09-08T17:42:01.290Z,277398,3.0487804,11.097561,-1.1585366
1725817321307,2024-09-08T17:42:01.307Z,277415,3.6585367,11.036586,-1.7073171
1725817321329,2024-09-08T17:42:01.329Z,277437,4.634146,11.219512,-1.0365853
1725817321378,2024-09-08T17:42:01.378Z,277486,4.3292685,9.207317,2.012195
1725817321427,2024-09-08T17:42:01.427Z,277535,4.390244,8.719512,1.8902439
