Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1735322852126,2024-12-27T18:07:32.126Z,37373,-0.4878049,1.097561,0.42682928
1735322852140,2024-12-27T18:07:32.140Z,37387,-0.42682928,1.0365853,0.5487805
1735322852155,2024-12-27T18:07:32.155Z,37402,-0.4878049,1.7073171,0.42682928
1735322852166,2024-12-27T18:07:32.166Z,37413,-0.36585367,2.1341465,0.18292683
1735322852176,2024-12-27T18:07:32.176Z,37423,0.12195122,2.0731707,0.24390244
1735322852189,2024-12-27T18:07:32.189Z,37436,0.18292683,1.8902439,0.4878049
1735322852201,2024-12-27T18:07:32.201Z,37448,0.06097561,2.012195,0.36585367
1735322852210,2024-12-27T18:07:32.210Z,37457,-0.24390244,1.7073171,0.30487806
1735322852221,2024-12-27T18:07:32.221Z,37468,-0.6707317,1.402439,0.6097561
1735322852230,2024-12-27T18:07:32.230Z,37477,-0.5487805,1.1585366,0.9756098
1735322852240,2024-12-27T18:07:32.240Z,37487,-0.06097561,1.1585366,0.91463417
1735322852249,2024-12-27T18:07:32.249Z,37496,0.0,1.7682927,0.73170733
1735322852257,2024-12-27T18:07:32.257Z,37504,0.24390244,2.317073,0.85365856
1735322852265,2024-12-27T18:07:32.265Z,37512,0.36585367,2.317073,0.5487805
1735322852274,2024-12-27T18:07:32.274Z,37521,0.30487806,1.8902439,0.24390244
1735322852282,2024-12-27T18:07:32.282Z,37529,-0.18292683,1.9512196,0.18292683
1735322852290,2024-12-27T18:07:32.290Z,37537,-0.42682928,1.8902439,-0.06097561
1735322852300,2024-12-27T18:07:32.300Z,37547,-0.24390244,1.4634147,0.12195122
1735322852309,2024-12-27T18:07:32.309Z,37556,-0.18292683,0.85365856,0.42682928
1735322852317,2024-12-27T18:07:32.317Z,37564,-0.36585367,0.5487805,0.06097561
1735322852326,2024-12-27T18:07:32.326Z,37573,-0.42682928,0.6097561,0.36585367
1735322852336,2024-12-27T18:07:32.336Z,37583,-0.42682928,1.3414634,0.06097561
1735322852343,2024-12-27T18:07:32.343Z,37590,-0.36585367,0.9756098,0.24390244
1735322852351,2024-12-27T18:07:32.351Z,37598,-0.18292683,1.402439,1.1585366
1735322852361,2024-12-27T18:07:32.361Z,37608,0.18292683,2.317073,1.2804878
1735322852370,2024-12-27T18:07:32.370Z,37617,0.0,1.8902439,0.91463417
1735322852379,2024-12-27T18:07:32.379Z,37626,-0.6707317,1.402439,0.6097561
1735322852388,2024-12-27T18:07:32.388Z,37635,-1.2195122,1.3414634,0.06097561
1735322852396,2024-12-27T18:07:32.396Z,37643,-1.3414634,0.6097561,-0.30487806
1735322852406,2024-12-27T18:07:32.406Z,37653,-1.3414634,-0.42682928,0.18292683
1735322852414,2024-12-27T18:07:32.414Z,37661,-1.097561,0.0,0.6097561
1735322852423,2024-12-27T18:07:32.423Z,37670,-0.6707317,1.0365853,0.6707317
1735322852432,2024-12-27T18:07:32.432Z,37679,-0.91463417,1.2804878,0.6097561
1735322852441,2024-12-27T18:07:32.441Z,37688,-1.097561,1.3414634,0.4878049
1735322852450,2024-12-27T18:07:32.450Z,37697,-1.097561,1.2195122,-0.06097561
1735322852458,2024-12-27T18:07:32.458Z,37705,-1.7073171,0.6097561,-0.30487806
1735322852471,2024-12-27T18:07:32.471Z,37718,-2.012195,-0.12195122,0.06097561
1735322852480,2024-12-27T18:07:32.480Z,37727,-1.8292683,-0.24390244,0.24390244
1735322852488,2024-12-27T18:07:32.488Z,37735,-1.8292683,-0.18292683,0.0
1735322852496,2024-12-27T18:07:32.496Z,37743,-2.012195,-0.36585367,-0.06097561
1735322852519,2024-12-27T18:07:32.519Z,37766,-1.7682927,-0.30487806,0.5487805
1735322852527,2024-12-27T18:07:32.527Z,37774,-1.7073171,0.24390244,0.91463417
1735322852535,2024-12-27T18:07:32.535Z,37782,-1.7682927,1.1585366,0.91463417
1735322852542,2024-12-27T18:07:32.542Z,37789,-1.6463414,1.7073171,1.0365853
1735322852551,2024-12-27T18:07:32.551Z,37798,-1.8292683,1.402439,0.79268295
1735322852563,2024-12-27T18:07:32.563Z,37810,-1.8902439,1.2195122,0.91463417
1735322852572,2024-12-27T18:07:32.572Z,37819,-1.8902439,1.6463414,0.85365856
1735322852580,2024-12-27T18:07:32.580Z,37827,-1.8902439,1.4634147,0.91463417
1735322852589,2024-12-27T18:07:32.589Z,37836,-1.4634147,1.5243902,1.2195122
1735322852609,2024-12-27T18:07:32.609Z,37856,-1.402439,1.7682927,1.5243902
1735322852617,2024-12-27T18:07:32.617Z,37864,-1.097561,2.0731707,1.8292683
1735322852627,2024-12-27T18:07:32.627Z,37874,-0.6707317,2.0731707,1.7073171
1735322852638,2024-12-27T18:07:32.638Z,37885,-1.0365853,1.6463414,1.0365853
1735322852648,2024-12-27T18:07:32.648Z,37895,-1.5853659,0.91463417,0.85365856
1735322852657,2024-12-27T18:07:32.657Z,37904,-1.5243902,0.6097561,0.30487806
1735322852666,2024-12-27T18:07:32.666Z,37913,-1.2804878,0.73170733,0.06097561
