Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725699628057,2024-09-07T09:00:28.057Z,29356,1.9512196,0.6097561,0.30487806
1725699628096,2024-09-07T09:00:28.096Z,29395,1.2195122,2.2560976,-0.36585367
1725699628147,2024-09-07T09:00:28.147Z,29446,2.195122,1.5243902,-1.097561
1725699628189,2024-09-07T09:00:28.189Z,29488,2.987805,3.4146342,-1.5243902
1725699628233,2024-09-07T09:00:28.233Z,29532,2.7439024,2.5609756,-0.73170733
1725699628278,2024-09-07T09:00:28.278Z,29577,2.0731707,2.012195,0.06097561
1725699628323,2024-09-07T09:00:28.323Z,29622,2.8658538,3.4756098,0.0
1725699628381,2024-09-07T09:00:28.381Z,29680,2.5609756,2.7439024,0.73170733
1725699628400,2024-09-07T09:00:28.400Z,29699,1.4634147,4.634146,1.097561
1725699628417,2024-09-07T09:00:28.417Z,29716,3.0487804,7.865854,1.5853659
1725699628468,2024-09-07T09:00:28.468Z,29767,2.7439024,9.45122,0.4878049
1725699628514,2024-09-07T09:00:28.514Z,29813,4.3292685,7.987805,0.12195122
1725699628562,2024-09-07T09:00:28.562Z,29861,3.5975611,5.0,0.18292683
1725699628611,2024-09-07T09:00:28.611Z,29910,6.280488,6.097561,-1.6463414
1725699628653,2024-09-07T09:00:28.653Z,29952,5.7317076,4.268293,-1.1585366
1725699628753,2024-09-07T09:00:28.753Z,30052,7.682927,4.085366,-2.0731707
1725699628781,2024-09-07T09:00:28.781Z,30080,8.597561,6.9512196,-3.5975611
1725699628808,2024-09-07T09:00:28.808Z,30107,8.719512,4.1463413,-1.5243902
1725699628833,2024-09-07T09:00:28.833Z,30132,8.902439,1.8292683,-2.7439024
1725699628853,2024-09-07T09:00:28.853Z,30152,7.5,2.195122,-2.1341465
1725699628873,2024-09-07T09:00:28.873Z,30172,7.987805,5.7317076,0.0
1725699628923,2024-09-07T09:00:28.923Z,30222,8.780488,6.646342,-0.42682928
1725699628967,2024-09-07T09:00:28.967Z,30266,6.768293,6.7073174,-4.02439
1725699629011,2024-09-07T09:00:29.011Z,30310,7.0731707,8.536586,-1.9512196
1725699629056,2024-09-07T09:00:29.056Z,30355,10.060976,10.853659,-1.097561
1725699629101,2024-09-07T09:00:29.101Z,30400,12.134147,16.585365,-2.0731707
1725699629145,2024-09-07T09:00:29.145Z,30444,11.52439,19.512196,-1.7073171
1725699629190,2024-09-07T09:00:29.190Z,30489,13.536586,25.609756,-3.292683
1725699629237,2024-09-07T09:00:29.237Z,30536,11.036586,25.609756,-2.378049
1725699629257,2024-09-07T09:00:29.257Z,30556,15.243903,23.04878,-1.2195122
1725699629286,2024-09-07T09:00:29.286Z,30585,16.40244,20.304878,-1.4634147
1725699629325,2024-09-07T09:00:29.325Z,30624,18.04878,14.512196,0.6097561
1725699629371,2024-09-07T09:00:29.371Z,30670,20.365854,10.914635,-0.42682928
1725699629423,2024-09-07T09:00:29.423Z,30722,20.060976,15.304878,-0.24390244
1725699629458,2024-09-07T09:00:29.458Z,30757,15.792684,16.646341,1.6463414
1725699629503,2024-09-07T09:00:29.503Z,30802,14.939025,20.670732,2.5609756
1725699629552,2024-09-07T09:00:29.552Z,30851,13.902439,20.182928,2.0731707
1725699629593,2024-09-07T09:00:29.593Z,30892,11.402439,14.817074,3.1707318
1725699629637,2024-09-07T09:00:29.637Z,30936,10.97561,16.646341,2.8658538
1725699629656,2024-09-07T09:00:29.656Z,30955,9.634147,11.585366,1.0365853
1725699629680,2024-09-07T09:00:29.680Z,30979,9.02439,11.646341,-0.4878049
1725699629730,2024-09-07T09:00:29.730Z,31029,7.682927,11.280488,-1.8292683
1725699629779,2024-09-07T09:00:29.779Z,31078,6.158537,11.768293,-3.9634147
1725699629866,2024-09-07T09:00:29.866Z,31165,3.8414636,9.329268,-3.902439
1725699629888,2024-09-07T09:00:29.888Z,31187,4.085366,10.182927,-2.987805
1725699629905,2024-09-07T09:00:29.905Z,31204,5.121951,6.7073174,-5.914634
1725699629955,2024-09-07T09:00:29.955Z,31254,5.121951,4.6951222,-3.4146342
1725699629998,2024-09-07T09:00:29.998Z,31297,6.768293,7.5609756,-3.1097562
1725699630043,2024-09-07T09:00:30.043Z,31342,7.865854,7.804878,-2.1341465
1725699630061,2024-09-07T09:00:30.061Z,31360,5.2439027,6.158537,-1.4634147
1725699630086,2024-09-07T09:00:30.086Z,31385,3.7804878,3.902439,3.1097562
1725699630138,2024-09-07T09:00:30.138Z,31437,4.8170733,6.4634147,3.5365853
1725699630178,2024-09-07T09:00:30.178Z,31477,2.987805,7.256098,1.402439
1725699630218,2024-09-07T09:00:30.218Z,31517,1.2804878,6.8292685,3.292683
1725699630270,2024-09-07T09:00:30.270Z,31569,3.1097562,5.304878,2.2560976
1725699630315,2024-09-07T09:00:30.315Z,31614,4.4512196,3.8414636,-2.4390244
1725699630363,2024-09-07T09:00:30.363Z,31662,0.6097561,4.390244,-2.6219513
1725699630409,2024-09-07T09:00:30.409Z,31708,-0.42682928,1.402439,-1.0365853
1725699630448,2024-09-07T09:00:30.448Z,31747,-2.987805,-2.4390244,-3.292683
1725699630495,2024-09-07T09:00:30.495Z,31794,-0.5487805,-2.6219513,-3.7804878
1725699630513,2024-09-07T09:00:30.513Z,31812,2.4390244,2.1341465,-3.5975611
1725699630529,2024-09-07T09:00:30.529Z,31828,-0.73170733,-5.792683,-3.3536587
1725699630574,2024-09-07T09:00:30.574Z,31873,1.9512196,-3.7804878,-1.9512196
1725699630621,2024-09-07T09:00:30.621Z,31920,1.2195122,-1.2804878,-0.79268295
1725699630674,2024-09-07T09:00:30.674Z,31973,0.30487806,-1.9512196,0.6097561
1725699630721,2024-09-07T09:00:30.721Z,32020,4.6951222,-4.3292685,-1.2195122
1725699630767,2024-09-07T09:00:30.767Z,32066,4.756098,-2.317073,-0.4878049
1725699630808,2024-09-07T09:00:30.808Z,32107,6.890244,0.06097561,1.1585366
1725699630854,2024-09-07T09:00:30.854Z,32153,7.865854,2.2560976,2.317073
1725699630900,2024-09-07T09:00:30.900Z,32199,8.04878,1.2195122,3.5975611
1725699630919,2024-09-07T09:00:30.919Z,32218,9.878049,3.902439,0.06097561
1725699630978,2024-09-07T09:00:30.978Z,32277,5.914634,1.4634147,2.682927
1725699630998,2024-09-07T09:00:30.998Z,32297,6.3414636,3.4146342,0.36585367
1725699631037,2024-09-07T09:00:31.037Z,32336,4.9390244,2.012195,-3.5975611
1725699631083,2024-09-07T09:00:31.083Z,32382,5.4268293,5.304878,-1.4634147
1725699631128,2024-09-07T09:00:31.128Z,32427,2.195122,2.7439024,-1.402439
1725699631171,2024-09-07T09:00:31.171Z,32470,2.4390244,8.780488,-3.2317073
