Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725950887933,2024-09-10T06:48:07.933Z,40124,0.28405762,-0.91033936,0.08947754
1725950887976,2024-09-10T06:48:07.976Z,40167,0.29382324,-0.93218994,0.08239746
1725950888017,2024-09-10T06:48:08.017Z,40208,0.30029297,-0.94195557,0.08074951
1725950888063,2024-09-10T06:48:08.063Z,40254,0.3053589,-0.94433594,0.08453369
1725950888107,2024-09-10T06:48:08.107Z,40298,0.3104248,-0.94677734,0.09906006
1725950888153,2024-09-10T06:48:08.153Z,40344,0.3131714,-0.9347534,0.107543945
1725950888197,2024-09-10T06:48:08.197Z,40388,0.3034668,-0.9164429,0.123535156
1725950888248,2024-09-10T06:48:08.248Z,40439,0.29138184,-0.90509033,0.12854004
1725950888265,2024-09-10T06:48:08.265Z,40456,0.28405762,-0.90789795,0.13421631
1725950888289,2024-09-10T06:48:08.289Z,40480,0.2841797,-0.90411377,0.14093018
1725950888339,2024-09-10T06:48:08.339Z,40530,0.2958374,-0.89593506,0.14697266
1725950888382,2024-09-10T06:48:08.382Z,40573,0.29742432,-0.8875122,0.14764404
1725950888430,2024-09-10T06:48:08.430Z,40621,0.3034668,-0.8870239,0.15570068
1725950888475,2024-09-10T06:48:08.475Z,40666,0.31219482,-0.8841553,0.16400146
1725950888516,2024-09-10T06:48:08.516Z,40707,0.32043457,-0.866272,0.16711426
1725950888563,2024-09-10T06:48:08.563Z,40754,0.33093262,-0.84198,0.16705322
1725950888605,2024-09-10T06:48:08.605Z,40796,0.3458252,-0.82299805,0.17211914
1725950888652,2024-09-10T06:48:08.652Z,40843,0.36047363,-0.80126953,0.18170166
1725950888698,2024-09-10T06:48:08.698Z,40889,0.3735962,-0.77978516,0.17767334
1725950888722,2024-09-10T06:48:08.722Z,40913,0.37945557,-0.77215576,0.19360352
1725950888741,2024-09-10T06:48:08.741Z,40932,0.39074707,-0.7701416,0.19989014
1725950888787,2024-09-10T06:48:08.787Z,40978,0.39605713,-0.7709961,0.19250488
1725950888833,2024-09-10T06:48:08.833Z,41024,0.41607666,-0.7765503,0.19610596
1725950888880,2024-09-10T06:48:08.880Z,41071,0.41174316,-0.7739258,0.17028809
1725950888923,2024-09-10T06:48:08.923Z,41114,0.4121704,-0.7635498,0.16357422
1725950888967,2024-09-10T06:48:08.967Z,41158,0.41168213,-0.76013184,0.15032959
1725950889014,2024-09-10T06:48:09.014Z,41205,0.4206543,-0.76831055,0.14984131
1725950889057,2024-09-10T06:48:09.057Z,41248,0.43920898,-0.77667236,0.15588379
1725950889103,2024-09-10T06:48:09.103Z,41294,0.4749756,-0.7805786,0.16223145
1725950889125,2024-09-10T06:48:09.125Z,41316,0.4907837,-0.789917,0.16278076
1725950889147,2024-09-10T06:48:09.147Z,41338,0.50213623,-0.8060303,0.16729736
1725950889192,2024-09-10T06:48:09.192Z,41383,0.5189209,-0.8265991,0.17919922
