Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725950887890,2024-09-10T06:48:07.890Z,40081,-5.4268293,11.52439,-5.5487804
1725950887941,2024-09-10T06:48:07.941Z,40132,-3.5365853,13.292684,-6.7073174
1725950887985,2024-09-10T06:48:07.985Z,40176,-2.804878,15.0,-7.987805
1725950888021,2024-09-10T06:48:08.021Z,40212,-1.9512196,15.914635,-9.146341
1725950888068,2024-09-10T06:48:08.068Z,40259,-0.4878049,15.6707325,-8.902439
1725950888110,2024-09-10T06:48:08.110Z,40301,0.79268295,14.878049,-6.52439
1725950888159,2024-09-10T06:48:08.159Z,40350,2.682927,14.634147,-3.6585367
1725950888202,2024-09-10T06:48:08.202Z,40393,2.8658538,13.841464,-2.0731707
1725950888257,2024-09-10T06:48:08.257Z,40448,4.085366,13.231708,-1.097561
1725950888273,2024-09-10T06:48:08.273Z,40464,5.2439027,12.560976,-2.0731707
1725950888294,2024-09-10T06:48:08.294Z,40485,7.1341467,11.158537,-4.02439
1725950888348,2024-09-10T06:48:08.348Z,40539,9.085366,8.597561,-7.5
1725950888391,2024-09-10T06:48:08.391Z,40582,10.792684,6.158537,-12.195122
1725950888442,2024-09-10T06:48:08.442Z,40633,11.097561,0.91463417,-15.6707325
1725950888483,2024-09-10T06:48:08.483Z,40674,11.402439,-3.1707318,-17.195122
1725950888526,2024-09-10T06:48:08.526Z,40717,11.8902445,-5.365854,-17.987804
1725950888571,2024-09-10T06:48:08.571Z,40762,11.158537,-7.0731707,-17.5
1725950888614,2024-09-10T06:48:08.614Z,40805,7.804878,-10.304878,-15.853659
1725950888661,2024-09-10T06:48:08.661Z,40852,5.487805,-13.47561,-13.536586
1725950888713,2024-09-10T06:48:08.713Z,40904,4.2073174,-15.731708,-11.097561
1725950888732,2024-09-10T06:48:08.732Z,40923,2.9268293,-17.134148,-9.634147
1725950888748,2024-09-10T06:48:08.748Z,40939,5.914634,-16.036585,-8.04878
1725950888797,2024-09-10T06:48:08.797Z,40988,7.7439027,-12.743903,-7.0731707
1725950888843,2024-09-10T06:48:08.843Z,41034,6.158537,-9.939025,-6.9512196
1725950888889,2024-09-10T06:48:08.889Z,41080,5.914634,-7.378049,-8.841464
1725950888933,2024-09-10T06:48:08.933Z,41124,4.3292685,-8.109756,-7.378049
1725950888976,2024-09-10T06:48:08.976Z,41167,2.987805,-5.304878,-4.878049
1725950889025,2024-09-10T06:48:09.025Z,41216,0.5487805,-1.5243902,-5.121951
1725950889067,2024-09-10T06:48:09.067Z,41258,-0.30487806,0.91463417,-7.0731707
1725950889115,2024-09-10T06:48:09.115Z,41306,-0.42682928,1.2804878,-8.658537
1725950889136,2024-09-10T06:48:09.136Z,41327,-2.0731707,2.195122,-12.012196
1725950889154,2024-09-10T06:48:09.154Z,41345,-4.634146,1.2195122,-14.817074
1725950889201,2024-09-10T06:48:09.201Z,41392,-5.0,0.30487806,-16.707317
1725950889249,2024-09-10T06:48:09.249Z,41440,-1.7073171,0.6707317,-16.95122
1725950889295,2024-09-10T06:48:09.295Z,41486,1.7682927,-0.73170733,-14.329268
1725950889342,2024-09-10T06:48:09.342Z,41533,2.0731707,-2.195122,-9.939025
1725950889387,2024-09-10T06:48:09.387Z,41578,1.7682927,-0.79268295,-4.390244
1725950889433,2024-09-10T06:48:09.433Z,41624,1.2195122,-0.42682928,-1.0365853
1725950889471,2024-09-10T06:48:09.471Z,41662,-1.2195122,-3.8414636,0.30487806
1725950889517,2024-09-10T06:48:09.517Z,41708,-2.987805,-4.6951222,-0.06097561
1725950889536,2024-09-10T06:48:09.536Z,41727,-3.1707318,-4.4512196,-1.5853659
1725950889571,2024-09-10T06:48:09.571Z,41762,-2.5,-5.487805,-0.6707317
1725950889605,2024-09-10T06:48:09.605Z,41796,-0.73170733,-4.512195,1.402439
1725950889656,2024-09-10T06:48:09.656Z,41847,1.7073171,0.0,2.804878
1725950889701,2024-09-10T06:48:09.701Z,41892,4.390244,4.390244,4.02439
1725950889744,2024-09-10T06:48:09.744Z,41935,6.8292685,5.97561,6.8292685
1725950889788,2024-09-10T06:48:09.788Z,41979,7.804878,7.378049,7.6219516
1725950889831,2024-09-10T06:48:09.831Z,42022,3.4756098,7.682927,4.5731707
1725950889881,2024-09-10T06:48:09.881Z,42072,0.24390244,8.170732,0.42682928
1725950889928,2024-09-10T06:48:09.928Z,42119,2.682927,9.268292,-2.4390244
1725950890017,2024-09-10T06:48:10.017Z,42208,3.4756098,9.756098,-2.682927
1725950890034,2024-09-10T06:48:10.034Z,42225,-0.24390244,11.158537,-1.1585366
1725950890047,2024-09-10T06:48:10.047Z,42238,-6.0365853,13.780488,-0.91463417
1725950890059,2024-09-10T06:48:10.059Z,42250,-6.52439,13.353659,-2.804878
1725950890094,2024-09-10T06:48:10.094Z,42285,-1.097561,9.817074,-4.878049
1725950890146,2024-09-10T06:48:10.146Z,42337,-1.097561,4.3292685,-5.914634
1725950890193,2024-09-10T06:48:10.193Z,42384,-3.4146342,3.902439,-3.8414636
1725950890239,2024-09-10T06:48:10.239Z,42430,-0.06097561,3.5365853,-0.73170733
1725950890286,2024-09-10T06:48:10.286Z,42477,5.487805,3.0487804,2.012195
1725950890331,2024-09-10T06:48:10.331Z,42522,8.353659,5.304878,4.3292685
1725950890374,2024-09-10T06:48:10.374Z,42565,3.902439,5.7317076,6.7073174
1725950890393,2024-09-10T06:48:10.393Z,42584,0.06097561,5.8536587,9.085366
1725950890465,2024-09-10T06:48:10.465Z,42656,0.30487806,7.378049,9.878049
1725950890485,2024-09-10T06:48:10.485Z,42676,2.2560976,11.097561,6.097561
1725950890506,2024-09-10T06:48:10.506Z,42697,1.5853659,10.365854,-0.6097561
1725950890551,2024-09-10T06:48:10.551Z,42742,2.2560976,6.4634147,-3.0487804
1725950890644,2024-09-10T06:48:10.644Z,42835,7.804878,4.4512196,-1.8902439
1725950890661,2024-09-10T06:48:10.661Z,42852,9.45122,5.0,0.30487806
1725950890681,2024-09-10T06:48:10.681Z,42872,3.1707318,5.2439027,2.1341465
1725950890778,2024-09-10T06:48:10.778Z,42969,-4.4512196,2.987805,4.9390244
1725950890795,2024-09-10T06:48:10.795Z,42986,-6.402439,0.42682928,9.634147
1725950890808,2024-09-10T06:48:10.808Z,42999,-5.97561,-0.6097561,14.756098
1725950890820,2024-09-10T06:48:10.820Z,43011,-7.1341467,1.3414634,15.54878
1725950890862,2024-09-10T06:48:10.862Z,43053,-7.256098,0.12195122,14.3902445
1725950890912,2024-09-10T06:48:10.912Z,43103,-1.2195122,1.2804878,11.097561
1725950890956,2024-09-10T06:48:10.956Z,43147,3.1707318,-1.2195122,8.963415
