Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1734715179710,2024-12-20T17:19:39.710Z,333217,0.0,0.24390244,3.1097562
1734715179724,2024-12-20T17:19:39.724Z,333231,0.4878049,0.5487805,3.5365853
1734715179739,2024-12-20T17:19:39.739Z,333246,1.6463414,0.06097561,3.5365853
1734715179752,2024-12-20T17:19:39.752Z,333259,1.4634147,-0.5487805,3.4756098
1734715179766,2024-12-20T17:19:39.766Z,333273,0.85365856,-0.6097561,3.2317073
1734715179779,2024-12-20T17:19:39.779Z,333286,0.9756098,-0.42682928,3.292683
1734715179795,2024-12-20T17:19:39.795Z,333302,1.5853659,-0.36585367,3.5975611
1734715179807,2024-12-20T17:19:39.807Z,333314,0.6097561,-0.30487806,4.085366
1734715179819,2024-12-20T17:19:39.819Z,333326,0.18292683,1.0365853,4.2073174
1734715179831,2024-12-20T17:19:39.831Z,333338,0.73170733,1.9512196,3.7804878
1734715179842,2024-12-20T17:19:39.842Z,333349,0.30487806,0.85365856,3.2317073
1734715179849,2024-12-20T17:19:39.849Z,333356,-0.06097561,0.73170733,2.317073
1734715179858,2024-12-20T17:19:39.858Z,333365,-1.2804878,1.0365853,2.5
1734715179865,2024-12-20T17:19:39.865Z,333372,-1.6463414,0.9756098,2.804878
1734715179875,2024-12-20T17:19:39.875Z,333382,-1.3414634,1.4634147,3.292683
1734715179883,2024-12-20T17:19:39.883Z,333390,-2.0731707,1.4634147,3.5365853
1734715179893,2024-12-20T17:19:39.893Z,333400,-2.2560976,1.402439,2.804878
1734715179901,2024-12-20T17:19:39.901Z,333408,-2.195122,1.4634147,1.8292683
1734715179910,2024-12-20T17:19:39.910Z,333417,-3.292683,0.73170733,1.3414634
1734715179919,2024-12-20T17:19:39.919Z,333426,-2.9268293,0.24390244,0.4878049
1734715179927,2024-12-20T17:19:39.927Z,333434,-1.097561,0.36585367,0.06097561
1734715179935,2024-12-20T17:19:39.935Z,333442,0.30487806,0.6097561,-0.06097561
1734715179944,2024-12-20T17:19:39.944Z,333451,1.2195122,-0.24390244,-0.24390244
1734715179953,2024-12-20T17:19:39.953Z,333460,1.402439,-0.12195122,-0.4878049
1734715179963,2024-12-20T17:19:39.963Z,333470,0.42682928,0.06097561,-0.24390244
1734715179971,2024-12-20T17:19:39.971Z,333478,0.79268295,0.6097561,-0.24390244
1734715179985,2024-12-20T17:19:39.985Z,333492,0.30487806,0.73170733,-0.24390244
1734715179994,2024-12-20T17:19:39.994Z,333501,-0.5487805,0.06097561,-1.4634147
1734715180002,2024-12-20T17:19:40.002Z,333509,-1.5853659,-0.6097561,-3.1097562
1734715180010,2024-12-20T17:19:40.010Z,333517,-2.7439024,-1.3414634,-4.4512196
1734715180017,2024-12-20T17:19:40.017Z,333524,-2.4390244,-0.36585367,-5.121951
1734715180025,2024-12-20T17:19:40.025Z,333532,-1.2804878,1.1585366,-5.2439027
1734715180035,2024-12-20T17:19:40.035Z,333542,0.12195122,1.7682927,-4.9390244
1734715180045,2024-12-20T17:19:40.045Z,333552,-0.30487806,1.8902439,-4.1463413
1734715180056,2024-12-20T17:19:40.056Z,333563,-0.5487805,0.6097561,-3.6585367
1734715180065,2024-12-20T17:19:40.065Z,333572,-1.1585366,-1.097561,-3.5975611
1734715180075,2024-12-20T17:19:40.075Z,333582,-2.2560976,-2.195122,-3.4756098
1734715180085,2024-12-20T17:19:40.085Z,333592,-2.9268293,-1.402439,-3.1707318
1734715180095,2024-12-20T17:19:40.095Z,333602,-2.4390244,-0.42682928,-2.7439024
1734715180104,2024-12-20T17:19:40.104Z,333611,-1.2195122,0.30487806,-1.6463414
1734715180112,2024-12-20T17:19:40.112Z,333619,-1.1585366,-0.12195122,-0.42682928
1734715180119,2024-12-20T17:19:40.119Z,333626,-0.42682928,-1.1585366,-0.18292683
1734715180127,2024-12-20T17:19:40.127Z,333634,-1.3414634,-2.012195,0.06097561
1734715180135,2024-12-20T17:19:40.135Z,333642,-2.378049,-2.1341465,0.06097561
1734715180143,2024-12-20T17:19:40.143Z,333650,-3.2317073,-2.682927,-0.06097561
1734715180151,2024-12-20T17:19:40.151Z,333658,-3.1707318,-2.4390244,-0.12195122
1734715180160,2024-12-20T17:19:40.160Z,333667,-2.6219513,-0.85365856,0.42682928
1734715180168,2024-12-20T17:19:40.168Z,333675,-2.682927,-0.4878049,1.5853659
1734715180177,2024-12-20T17:19:40.177Z,333684,-2.1341465,-0.12195122,2.317073
1734715180192,2024-12-20T17:19:40.192Z,333699,-2.012195,-1.2195122,2.6219513
1734715180201,2024-12-20T17:19:40.201Z,333708,-2.987805,-1.5243902,2.4390244
1734715180211,2024-12-20T17:19:40.211Z,333718,-4.6951222,-1.0365853,2.682927
1734715180219,2024-12-20T17:19:40.219Z,333726,-4.756098,0.06097561,3.292683
1734715180230,2024-12-20T17:19:40.230Z,333737,-3.4146342,1.402439,4.2073174
1734715180239,2024-12-20T17:19:40.239Z,333746,-1.8292683,2.5,4.756098
1734715180248,2024-12-20T17:19:40.248Z,333755,0.42682928,2.4390244,5.0
1734715180259,2024-12-20T17:19:40.259Z,333766,2.317073,2.317073,5.0609756
1734715180268,2024-12-20T17:19:40.268Z,333775,1.9512196,1.2804878,5.304878
1734715180281,2024-12-20T17:19:40.281Z,333788,-0.06097561,0.06097561,5.121951
1734715180291,2024-12-20T17:19:40.291Z,333798,-1.2804878,0.18292683,4.4512196
1734715180300,2024-12-20T17:19:40.300Z,333807,-2.317073,1.7682927,3.4756098
1734715180313,2024-12-20T17:19:40.313Z,333820,-2.8658538,3.5975611,2.987805
1734715180332,2024-12-20T17:19:40.332Z,333839,-2.6219513,3.9634147,2.7439024
1734715180340,2024-12-20T17:19:40.340Z,333847,-1.8292683,3.902439,2.987805
1734715180350,2024-12-20T17:19:40.350Z,333857,-0.91463417,3.7804878,3.1707318
1734715180363,2024-12-20T17:19:40.363Z,333870,-1.2804878,3.7804878,3.1707318
1734715180373,2024-12-20T17:19:40.373Z,333880,-2.378049,3.2317073,2.7439024
1734715180383,2024-12-20T17:19:40.383Z,333890,-1.9512196,3.1097562,1.7682927
1734715180392,2024-12-20T17:19:40.392Z,333899,-1.5853659,2.987805,0.91463417
1734715180401,2024-12-20T17:19:40.401Z,333908,-0.91463417,2.5,0.85365856
1734715180411,2024-12-20T17:19:40.411Z,333918,-0.18292683,2.987805,1.097561
1734715180419,2024-12-20T17:19:40.419Z,333926,0.36585367,3.292683,1.5243902
1734715180428,2024-12-20T17:19:40.428Z,333935,0.12195122,2.195122,1.8902439
1734715180437,2024-12-20T17:19:40.437Z,333944,0.06097561,1.7073171,1.402439
1734715180446,2024-12-20T17:19:40.446Z,333953,0.42682928,1.7682927,0.30487806
1734715180454,2024-12-20T17:19:40.454Z,333961,1.097561,2.5,-0.91463417
1734715180463,2024-12-20T17:19:40.463Z,333970,2.195122,2.682927,-2.1341465
1734715180473,2024-12-20T17:19:40.473Z,333980,3.6585367,1.5243902,-2.987805
