Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725722207664,2024-09-07T15:16:47.664Z,343144,-0.14361572,-0.97875977,0.13439941
1725722207700,2024-09-07T15:16:47.700Z,343180,-0.13195801,-0.97869873,0.13317871
1725722207726,2024-09-07T15:16:47.726Z,343206,-0.13269043,-0.97320557,0.1461792
1725722207772,2024-09-07T15:16:47.772Z,343252,-0.1375122,-0.9694214,0.14538574
1725722207817,2024-09-07T15:16:47.817Z,343297,-0.1529541,-0.9700928,0.14910889
1725722207871,2024-09-07T15:16:47.871Z,343351,-0.15844727,-0.9598999,0.14819336
1725722207912,2024-09-07T15:16:47.912Z,343392,-0.16046143,-0.94885254,0.13891602
1725722207953,2024-09-07T15:16:47.953Z,343433,-0.15539551,-0.94836426,0.1408081
1725722207996,2024-09-07T15:16:47.996Z,343476,-0.15515137,-0.95458984,0.15203857
1725722208044,2024-09-07T15:16:48.044Z,343524,-0.15039062,-0.9621582,0.14239502
1725722208071,2024-09-07T15:16:48.071Z,343551,-0.15014648,-0.9678345,0.15100098
1725722208097,2024-09-07T15:16:48.097Z,343577,-0.14916992,-0.9656372,0.15759277
1725722208132,2024-09-07T15:16:48.132Z,343612,-0.14697266,-0.9640503,0.13964844
1725722208181,2024-09-07T15:16:48.181Z,343661,-0.15411377,-0.9711304,0.14453125
1725722208229,2024-09-07T15:16:48.229Z,343709,-0.15466309,-0.97558594,0.15167236
1725722208269,2024-09-07T15:16:48.269Z,343749,-0.1486206,-0.97735596,0.14379883
1725722208318,2024-09-07T15:16:48.318Z,343798,-0.15252686,-0.9747925,0.14312744
1725722208357,2024-09-07T15:16:48.357Z,343837,-0.15216064,-0.9723511,0.14678955
1725722208403,2024-09-07T15:16:48.403Z,343883,-0.15270996,-0.96984863,0.13500977
1725722208452,2024-09-07T15:16:48.452Z,343932,-0.16070557,-0.96417236,0.14031982
1725722208494,2024-09-07T15:16:48.494Z,343974,-0.15594482,-0.95422363,0.13696289
1725722208525,2024-09-07T15:16:48.525Z,344005,-0.15246582,-0.9524536,0.14422607
1725722208552,2024-09-07T15:16:48.552Z,344032,-0.16247559,-0.949646,0.1385498
1725722208582,2024-09-07T15:16:48.582Z,344062,-0.17932129,-0.95758057,0.14935303
1725722208626,2024-09-07T15:16:48.626Z,344106,-0.16748047,-0.95758057,0.14709473
1725722208670,2024-09-07T15:16:48.670Z,344150,-0.17181396,-0.9476929,0.14575195
1725722208719,2024-09-07T15:16:48.719Z,344199,-0.17932129,-0.94610596,0.14727783
1725722208765,2024-09-07T15:16:48.765Z,344245,-0.17437744,-0.92614746,0.15032959
1725722208812,2024-09-07T15:16:48.812Z,344292,-0.15698242,-0.88690186,0.1519165
1725722208854,2024-09-07T15:16:48.854Z,344334,-0.14978027,-0.86120605,0.14648438
1725722208901,2024-09-07T15:16:48.901Z,344381,-0.14233398,-0.84069824,0.1461792
1725722208934,2024-09-07T15:16:48.934Z,344414,-0.13012695,-0.82751465,0.12915039
1725722208959,2024-09-07T15:16:48.959Z,344439,-0.11199951,-0.8198242,0.14978027
1725722208986,2024-09-07T15:16:48.986Z,344466,-0.122802734,-0.8466797,0.14447021
1725722209035,2024-09-07T15:16:49.035Z,344515,-0.13604736,-0.89764404,0.17590332
1725722209078,2024-09-07T15:16:49.078Z,344558,-0.15698242,-0.92962646,0.17871094
1725722209122,2024-09-07T15:16:49.122Z,344602,-0.14819336,-0.9156494,0.19018555
1725722209172,2024-09-07T15:16:49.172Z,344652,-0.15515137,-0.892334,0.21972656
1725722209213,2024-09-07T15:16:49.213Z,344693,-0.15893555,-0.90631104,0.18341064
1725722209258,2024-09-07T15:16:49.258Z,344738,-0.17926025,-0.9326172,0.20727539
1725722209303,2024-09-07T15:16:49.303Z,344783,-0.18902588,-0.9562988,0.19067383
1725722209332,2024-09-07T15:16:49.332Z,344812,-0.18383789,-0.94903564,0.20721436
1725722209396,2024-09-07T15:16:49.396Z,344876,-0.19018555,-0.9359131,0.23510742
1725722209422,2024-09-07T15:16:49.422Z,344902,-0.19818115,-0.92315674,0.23388672
1725722209449,2024-09-07T15:16:49.449Z,344929,-0.22955322,-0.9476929,0.23248291
1725722209482,2024-09-07T15:16:49.482Z,344962,-0.19732666,-0.9747925,0.2522583
1725722209527,2024-09-07T15:16:49.527Z,345007,-0.19152832,-0.961792,0.28118896
1725722209573,2024-09-07T15:16:49.573Z,345053,-0.1708374,-0.93981934,0.28649902
1725722209620,2024-09-07T15:16:49.620Z,345100,-0.16571045,-0.93444824,0.3036499
1725722209663,2024-09-07T15:16:49.663Z,345143,-0.19506836,-0.93634033,0.28631592
1725722209710,2024-09-07T15:16:49.710Z,345190,-0.22930908,-0.94921875,0.28179932
1725722209754,2024-09-07T15:16:49.754Z,345234,-0.20697021,-0.94677734,0.27954102
1725722209780,2024-09-07T15:16:49.780Z,345260,-0.21472168,-0.9348755,0.2607422
1725722209802,2024-09-07T15:16:49.802Z,345282,-0.18945312,-0.95513916,0.29040527
1725722209841,2024-09-07T15:16:49.841Z,345321,-0.19934082,-1.006897,0.25476074
1725722209888,2024-09-07T15:16:49.888Z,345368,-0.17938232,-1.0289917,0.2720337
1725722209932,2024-09-07T15:16:49.932Z,345412,-0.16442871,-0.9911499,0.2871704
1725722210024,2024-09-07T15:16:50.024Z,345504,-0.1453247,-0.9788208,0.26586914
1725722210052,2024-09-07T15:16:50.052Z,345532,-0.1585083,-0.96917725,0.2668457
1725722210079,2024-09-07T15:16:50.079Z,345559,-0.16113281,-0.94677734,0.23779297
1725722210111,2024-09-07T15:16:50.111Z,345591,-0.18371582,-0.9281006,0.19384766
1725722210157,2024-09-07T15:16:50.157Z,345637,-0.20153809,-0.9260254,0.2084961
1725722210181,2024-09-07T15:16:50.181Z,345661,-0.17095947,-0.928772,0.1895752
1725722210203,2024-09-07T15:16:50.203Z,345683,-0.16711426,-0.94940186,0.22729492
1725722210246,2024-09-07T15:16:50.246Z,345726,-0.14587402,-0.987854,0.21191406
1725722210293,2024-09-07T15:16:50.293Z,345773,-0.17022705,-1.0019531,0.2109375
1725722210336,2024-09-07T15:16:50.336Z,345816,-0.18969727,-1.0602417,0.21356201
1725722210384,2024-09-07T15:16:50.384Z,345864,-0.16687012,-1.0805664,0.20367432
1725722210426,2024-09-07T15:16:50.426Z,345906,-0.15783691,-1.0491333,0.24230957
