Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725722354123,2024-09-07T15:19:14.123Z,489603,2.4390244,-3.7195122,-1.097561
1725722354169,2024-09-07T15:19:14.169Z,489649,2.5,-4.2073174,-1.8292683
1725722354241,2024-09-07T15:19:14.241Z,489721,4.02439,-5.5487804,-3.0487804
1725722354268,2024-09-07T15:19:14.268Z,489748,6.0365853,-4.3292685,-2.8658538
1725722354309,2024-09-07T15:19:14.309Z,489789,3.9634147,-3.7195122,-3.4146342
1725722354338,2024-09-07T15:19:14.338Z,489818,3.7804878,-1.1585366,-0.91463417
1725722354366,2024-09-07T15:19:14.366Z,489846,2.987805,1.2195122,0.0
1725722354397,2024-09-07T15:19:14.397Z,489877,1.1585366,5.2439027,-1.097561
1725722354482,2024-09-07T15:19:14.482Z,489962,-2.317073,4.756098,-1.7682927
1725722354525,2024-09-07T15:19:14.525Z,490005,-2.4390244,5.670732,-1.9512196
1725722354555,2024-09-07T15:19:14.555Z,490035,1.7682927,5.5487804,-1.097561
1725722354627,2024-09-07T15:19:14.627Z,490107,2.317073,4.085366,-2.317073
1725722354651,2024-09-07T15:19:14.651Z,490131,-0.30487806,2.317073,-4.268293
1725722354675,2024-09-07T15:19:14.675Z,490155,-1.4634147,1.8902439,-3.292683
1725722354720,2024-09-07T15:19:14.720Z,490200,-1.8292683,1.2804878,-0.73170733
1725722354760,2024-09-07T15:19:14.760Z,490240,-3.5975611,-0.42682928,0.0
1725722354789,2024-09-07T15:19:14.789Z,490269,-1.8902439,-1.1585366,1.3414634
1725722354827,2024-09-07T15:19:14.827Z,490307,0.30487806,-1.1585366,1.8292683
1725722354878,2024-09-07T15:19:14.878Z,490358,-1.5853659,-0.42682928,0.36585367
1725722354904,2024-09-07T15:19:14.904Z,490384,-2.2560976,0.4878049,-1.1585366
1725722354946,2024-09-07T15:19:14.946Z,490426,0.73170733,1.8902439,-0.6707317
1725722354981,2024-09-07T15:19:14.981Z,490461,2.378049,1.8292683,-1.0365853
1725722355074,2024-09-07T15:19:15.074Z,490554,0.79268295,0.30487806,-2.7439024
1725722355097,2024-09-07T15:19:15.097Z,490577,0.79268295,1.3414634,-2.9268293
1725722355130,2024-09-07T15:19:15.130Z,490610,1.2195122,0.73170733,-2.7439024
1725722355165,2024-09-07T15:19:15.165Z,490645,-2.012195,-0.30487806,-3.4756098
1725722355193,2024-09-07T15:19:15.193Z,490673,-2.6219513,1.4634147,-2.378049
1725722355219,2024-09-07T15:19:15.219Z,490699,-0.12195122,0.73170733,-1.402439
1725722355252,2024-09-07T15:19:15.252Z,490732,1.7073171,0.42682928,-2.6219513
1725722355296,2024-09-07T15:19:15.296Z,490776,4.3292685,-0.12195122,-4.6951222
1725722355340,2024-09-07T15:19:15.340Z,490820,5.2439027,-0.18292683,-6.3414636
1725722355397,2024-09-07T15:19:15.397Z,490877,3.292683,4.6951222,-10.060976
1725722355433,2024-09-07T15:19:15.433Z,490913,4.085366,8.47561,-11.219512
1725722355481,2024-09-07T15:19:15.481Z,490961,7.865854,10.243902,-10.426829
1725722355525,2024-09-07T15:19:15.525Z,491005,11.768293,13.47561,-10.792684
1725722355618,2024-09-07T15:19:15.618Z,491098,15.426829,8.414635,-12.195122
1725722355647,2024-09-07T15:19:15.647Z,491127,18.04878,4.02439,-8.04878
1725722355688,2024-09-07T15:19:15.688Z,491168,19.085367,3.3536587,-0.9756098
1725722355718,2024-09-07T15:19:15.718Z,491198,14.329268,1.0365853,-1.6463414
1725722355745,2024-09-07T15:19:15.745Z,491225,9.3902445,2.987805,1.0365853
1725722355769,2024-09-07T15:19:15.769Z,491249,9.695122,0.42682928,-0.12195122
1725722355880,2024-09-07T15:19:15.880Z,491360,11.52439,-0.85365856,-3.1097562
1725722355903,2024-09-07T15:19:15.903Z,491383,7.012195,-3.0487804,0.6097561
1725722355925,2024-09-07T15:19:15.925Z,491405,2.5,-1.1585366,7.1951222
1725722355974,2024-09-07T15:19:15.974Z,491454,4.390244,-1.8902439,9.817074
1725722356001,2024-09-07T15:19:16.001Z,491481,-2.378049,0.12195122,11.463415
1725722356032,2024-09-07T15:19:16.032Z,491512,-4.756098,5.792683,14.512196
1725722356069,2024-09-07T15:19:16.069Z,491549,-5.670732,1.8292683,11.8902445
1725722356097,2024-09-07T15:19:16.097Z,491577,1.1585366,13.902439,11.463415
1725722356185,2024-09-07T15:19:16.185Z,491665,9.3902445,9.329268,5.914634
1725722356209,2024-09-07T15:19:16.209Z,491689,2.7439024,6.2195125,-2.682927
1725722356238,2024-09-07T15:19:16.238Z,491718,-1.8292683,7.0731707,1.5243902
1725722356289,2024-09-07T15:19:16.289Z,491769,-4.2073174,5.121951,6.280488
1725722356317,2024-09-07T15:19:16.317Z,491797,-0.73170733,8.109756,9.268292
1725722356344,2024-09-07T15:19:16.344Z,491824,7.7439027,3.3536587,10.97561
1725722356376,2024-09-07T15:19:16.376Z,491856,-0.85365856,-4.5731707,4.756098
1725722356465,2024-09-07T15:19:16.465Z,491945,-4.5731707,-3.8414636,6.097561
1725722356486,2024-09-07T15:19:16.486Z,491966,-0.73170733,-1.4634147,7.0731707
1725722356563,2024-09-07T15:19:16.563Z,492043,1.5853659,4.756098,7.256098
1725722356596,2024-09-07T15:19:16.596Z,492076,2.682927,-4.2073174,5.0
1725722356631,2024-09-07T15:19:16.631Z,492111,-2.5,-5.0,-5.121951
1725722356659,2024-09-07T15:19:16.659Z,492139,-1.8902439,0.30487806,-6.52439
1725722356686,2024-09-07T15:19:16.686Z,492166,7.682927,-0.5487805,-2.5
1725722356713,2024-09-07T15:19:16.713Z,492193,9.45122,0.4878049,-6.0365853
1725722356737,2024-09-07T15:19:16.737Z,492217,1.8292683,-1.5243902,-14.085366
1725722356783,2024-09-07T15:19:16.783Z,492263,2.5,3.5365853,-14.573171
1725722356830,2024-09-07T15:19:16.830Z,492310,13.353659,3.1707318,-6.646342
1725722356854,2024-09-07T15:19:16.854Z,492334,13.536586,0.85365856,-4.878049
1725722356879,2024-09-07T15:19:16.879Z,492359,5.487805,1.1585366,-5.914634
1725722356951,2024-09-07T15:19:16.951Z,492431,-1.8292683,-0.79268295,-6.7073174
1725722357044,2024-09-07T15:19:17.044Z,492524,0.79268295,-5.121951,-1.9512196
1725722357082,2024-09-07T15:19:17.082Z,492562,8.231708,2.378049,5.5487804
1725722357116,2024-09-07T15:19:17.116Z,492596,2.987805,-5.365854,1.2195122
1725722357145,2024-09-07T15:19:17.145Z,492625,-1.6463414,-3.1707318,2.8658538
1725722357172,2024-09-07T15:19:17.172Z,492652,2.1341465,2.6219513,7.1341467
1725722357200,2024-09-07T15:19:17.200Z,492680,1.2804878,1.1585366,5.304878
1725722357238,2024-09-07T15:19:17.238Z,492718,-3.8414636,0.4878049,-0.4878049
1725722357278,2024-09-07T15:19:17.278Z,492758,0.42682928,-1.1585366,-1.4634147
1725722357303,2024-09-07T15:19:17.303Z,492783,7.1951222,-0.36585367,-3.292683
1725722357328,2024-09-07T15:19:17.328Z,492808,6.890244,-2.6219513,-8.353659
1725722357367,2024-09-07T15:19:17.367Z,492847,7.5609756,-2.195122,-8.597561
1725722357411,2024-09-07T15:19:17.411Z,492891,6.158537,2.804878,-5.4268293
