Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725818586094,2024-09-08T18:03:06.094Z,226954,3.6585367,6.890244,-5.121951
1725818586102,2024-09-08T18:03:06.102Z,226962,3.4146342,6.4634147,-5.365854
1725818586119,2024-09-08T18:03:06.119Z,226979,2.9268293,7.7439027,-0.06097561
1725818586156,2024-09-08T18:03:06.156Z,227016,4.02439,8.231708,7.0731707
1725818586166,2024-09-08T18:03:06.166Z,227026,-1.5243902,2.7439024,4.390244
1725818586177,2024-09-08T18:03:06.177Z,227037,-3.3536587,1.3414634,0.79268295
1725818586186,2024-09-08T18:03:06.186Z,227046,0.4878049,1.3414634,-2.195122
1725818586195,2024-09-08T18:03:06.195Z,227055,3.4146342,2.195122,-4.634146
1725818586227,2024-09-08T18:03:06.227Z,227087,3.3536587,-1.2804878,-5.0609756
1725818586236,2024-09-08T18:03:06.236Z,227096,-0.5487805,1.0365853,-4.2073174
1725818586366,2024-09-08T18:03:06.366Z,227226,-2.9268293,-1.5243902,-4.085366
1725818586375,2024-09-08T18:03:06.375Z,227235,-8.719512,-8.292683,-3.902439
1725818586385,2024-09-08T18:03:06.385Z,227245,-12.256098,-9.695122,-0.42682928
1725818586409,2024-09-08T18:03:06.409Z,227269,-5.304878,-8.597561,-0.42682928
1725818586587,2024-09-08T18:03:06.587Z,227447,1.6463414,-9.634147,-4.6951222
1725818586648,2024-09-08T18:03:06.648Z,227508,-2.317073,-9.756098,-7.378049
1725818586672,2024-09-08T18:03:06.672Z,227532,-2.5609756,-2.6219513,-7.5
1725818586689,2024-09-08T18:03:06.689Z,227549,5.365854,1.7682927,-2.8658538
1725818586701,2024-09-08T18:03:06.701Z,227561,8.536586,5.914634,1.7073171
1725818586712,2024-09-08T18:03:06.712Z,227572,4.4512196,7.012195,4.634146
1725818586723,2024-09-08T18:03:06.723Z,227583,2.378049,7.378049,1.8902439
1725818586732,2024-09-08T18:03:06.732Z,227592,5.121951,3.8414636,3.1097562
1725818586769,2024-09-08T18:03:06.769Z,227629,5.365854,-1.097561,3.3536587
