Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725700396566,2024-09-07T09:13:16.566Z,17513,-0.18292683,4.4512196,-2.012195
1725700396617,2024-09-07T09:13:16.617Z,17564,-0.06097561,4.634146,-0.91463417
1725700396654,2024-09-07T09:13:16.654Z,17601,-6.52439,6.9512196,-4.512195
1725700396702,2024-09-07T09:13:16.702Z,17649,-11.402439,11.463415,-4.268293
1725700396743,2024-09-07T09:13:16.743Z,17690,-7.804878,8.170732,-2.1341465
1725700396791,2024-09-07T09:13:16.791Z,17738,1.097561,3.7195122,-0.24390244
1725700396830,2024-09-07T09:13:16.830Z,17777,9.695122,0.18292683,1.1585366
1725700396876,2024-09-07T09:13:16.876Z,17823,14.268293,1.8902439,5.0
1725700396930,2024-09-07T09:13:16.930Z,17877,16.036585,2.6219513,5.5487804
1725700396946,2024-09-07T09:13:16.946Z,17893,18.719513,3.3536587,1.5853659
1725700396970,2024-09-07T09:13:16.970Z,17917,16.463415,-0.91463417,-4.02439
1725700397018,2024-09-07T09:13:17.018Z,17965,15.731708,-2.5,-4.9390244
1725700397068,2024-09-07T09:13:17.068Z,18015,18.353659,-1.5243902,-4.5731707
1725700397110,2024-09-07T09:13:17.110Z,18057,16.707317,-6.280488,-4.02439
1725700397159,2024-09-07T09:13:17.159Z,18106,6.4634147,-7.1341467,-11.646341
1725700397206,2024-09-07T09:13:17.206Z,18153,8.719512,-4.756098,-17.804878
1725700397249,2024-09-07T09:13:17.249Z,18196,17.195122,-7.378049,-19.024391
1725700397300,2024-09-07T09:13:17.300Z,18247,18.353659,-8.109756,-23.231709
1725700397342,2024-09-07T09:13:17.342Z,18289,14.45122,-5.2439027,-31.707317
1725700397385,2024-09-07T09:13:17.385Z,18332,5.609756,-3.1707318,-31.890245
1725700397407,2024-09-07T09:13:17.407Z,18354,-3.8414636,4.756098,-25.243902
1725700397426,2024-09-07T09:13:17.426Z,18373,-10.0,4.5731707,-19.573172
1725700397474,2024-09-07T09:13:17.474Z,18421,-5.121951,5.7317076,-11.768293
