Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1725700595010,2024-09-07T09:16:35.010Z,75608,-0.42340088,-0.75860596,-0.05517578
1725700595052,2024-09-07T09:16:35.052Z,75650,-0.4505005,-0.7520752,-0.043640137
1725700595100,2024-09-07T09:16:35.100Z,75698,-0.4467163,-0.75701904,-0.039978027
1725700595142,2024-09-07T09:16:35.142Z,75740,-0.42156982,-0.7538452,-0.06085205
1725700595151,2024-09-07T09:16:35.151Z,75749,-0.43273926,-0.7815552,-0.043701172
1725700595187,2024-09-07T09:16:35.187Z,75785,-0.45129395,-0.82592773,-0.041870117
1725700595232,2024-09-07T09:16:35.232Z,75830,-0.38824463,-0.8156738,-0.04333496
1725700595287,2024-09-07T09:16:35.287Z,75885,-0.40515137,-0.79937744,-0.05682373
1725700595329,2024-09-07T09:16:35.329Z,75927,-0.4263916,-0.8321533,-0.069885254
1725700595372,2024-09-07T09:16:35.372Z,75970,-0.44433594,-0.80926514,-0.053955078
1725700595418,2024-09-07T09:16:35.418Z,76016,-0.41467285,-0.7798462,-0.036071777
1725700595464,2024-09-07T09:16:35.464Z,76062,-0.43774414,-0.8463135,-0.044128418
1725700595513,2024-09-07T09:16:35.513Z,76111,-0.46069336,-0.8838501,0.042663574
1725700595554,2024-09-07T09:16:35.554Z,76152,-0.44177246,-0.8604126,0.07470703
1725700595599,2024-09-07T09:16:35.599Z,76197,-0.4189453,-0.8652344,0.02923584
1725700595624,2024-09-07T09:16:35.624Z,76222,-0.4909668,-0.8878784,1.8310547E-4
1725700595647,2024-09-07T09:16:35.647Z,76245,-0.53515625,-0.9158325,-0.054870605
1725700595686,2024-09-07T09:16:35.686Z,76284,-0.55462646,-0.8829346,-0.028808594
1725700595783,2024-09-07T09:16:35.783Z,76381,-0.55670166,-0.85876465,-0.048706055
1725700595812,2024-09-07T09:16:35.812Z,76410,-0.5155029,-0.86083984,-0.061645508
1725700595838,2024-09-07T09:16:35.838Z,76436,-0.44781494,-0.86779785,-0.037902832
1725700595879,2024-09-07T09:16:35.879Z,76477,-0.4661255,-0.8981323,-0.056762695
1725700595960,2024-09-07T09:16:35.960Z,76558,-0.45837402,-0.90948486,-0.046081543
1725700595981,2024-09-07T09:16:35.981Z,76579,-0.4570923,-0.91064453,-0.06341553
1725700596004,2024-09-07T09:16:36.004Z,76602,-0.4407959,-0.9086914,-0.083740234
1725700596022,2024-09-07T09:16:36.022Z,76620,-0.42181396,-0.92437744,-0.13800049
1725700596046,2024-09-07T09:16:36.046Z,76644,-0.57006836,-0.9439697,-0.08917236
1725700596092,2024-09-07T09:16:36.092Z,76690,-0.52160645,-0.9625244,-0.101379395
1725700596137,2024-09-07T09:16:36.137Z,76735,-0.51538086,-0.93048096,-0.09362793
1725700596185,2024-09-07T09:16:36.185Z,76783,-0.46569824,-0.9254761,-0.06536865
1725700596229,2024-09-07T09:16:36.229Z,76827,-0.48565674,-0.9421387,-0.049194336
1725700596275,2024-09-07T09:16:36.275Z,76873,-0.50372314,-0.94104004,-0.041870117
1725700596320,2024-09-07T09:16:36.320Z,76918,-0.49267578,-0.92071533,-0.033813477
1725700596364,2024-09-07T09:16:36.364Z,76962,-0.53186035,-0.9187012,0.0032958984
1725700596407,2024-09-07T09:16:36.407Z,77005,-0.51397705,-0.9194336,0.014038086
1725700596429,2024-09-07T09:16:36.429Z,77027,-0.5166626,-0.90667725,0.010986328
1725700596450,2024-09-07T09:16:36.450Z,77048,-0.47650146,-0.8931885,0.0076293945
1725700596497,2024-09-07T09:16:36.497Z,77095,-0.48535156,-0.89190674,0.0087890625
1725700596545,2024-09-07T09:16:36.545Z,77143,-0.4564209,-0.9031372,-0.0059814453
1725700596587,2024-09-07T09:16:36.587Z,77185,-0.46014404,-0.89764404,0.022216797
1725700596635,2024-09-07T09:16:36.635Z,77233,-0.44525146,-0.9175415,0.014160156
1725700596678,2024-09-07T09:16:36.678Z,77276,-0.4666748,-0.9450073,0.003479004
1725700596724,2024-09-07T09:16:36.724Z,77322,-0.4520874,-0.95269775,6.1035156E-5
1725700596769,2024-09-07T09:16:36.769Z,77367,-0.41851807,-0.9468994,-0.024658203
1725700596818,2024-09-07T09:16:36.818Z,77416,-0.41259766,-0.9510498,-0.030761719
1725700596859,2024-09-07T09:16:36.859Z,77457,-0.4428711,-0.9647827,-0.029724121
1725700596879,2024-09-07T09:16:36.879Z,77477,-0.44055176,-0.9720459,-0.04156494
1725700596901,2024-09-07T09:16:36.901Z,77499,-0.4494629,-0.9486084,-0.009094238
1725700596949,2024-09-07T09:16:36.949Z,77547,-0.44696045,-0.9359131,-0.025268555
1725700596996,2024-09-07T09:16:36.996Z,77594,-0.4421997,-0.9137573,-0.03112793
1725700597038,2024-09-07T09:16:37.038Z,77636,-0.44024658,-0.9125366,-0.025939941
1725700597083,2024-09-07T09:16:37.083Z,77681,-0.43603516,-0.9104614,-0.03778076
