Timestamp (ms),ISO DateTime,Elapsed Time (ms),Angular Velocity X,Angular Velocity Y,Angular Velocity Z
1725700197397,2024-09-07T09:09:57.397Z,75720,-0.9756098,0.5487805,15.182927
1725700197446,2024-09-07T09:09:57.446Z,75769,-2.4390244,-3.7195122,14.878049
1725700197485,2024-09-07T09:09:57.485Z,75808,4.878049,-5.2439027,16.40244
1725700197531,2024-09-07T09:09:57.531Z,75854,16.09756,-3.9634147,18.59756
1725700197574,2024-09-07T09:09:57.574Z,75897,5.0,-9.45122,11.52439
1725700197616,2024-09-07T09:09:57.616Z,75939,-0.30487806,-7.7439027,9.3902445
1725700197663,2024-09-07T09:09:57.663Z,75986,5.8536587,-2.4390244,11.097561
1725700197714,2024-09-07T09:09:57.714Z,76037,-1.9512196,-1.9512196,7.012195
1725700197717,2024-09-07T09:09:57.717Z,76040,-1.9512196,-1.9512196,7.012195
1725700197759,2024-09-07T09:09:57.759Z,76082,-8.47561,-2.378049,4.02439
1725700197764,2024-09-07T09:09:57.764Z,76087,-8.47561,-2.378049,4.02439
1725700197778,2024-09-07T09:09:57.778Z,76101,5.0609756,1.097561,10.060976
1725700197783,2024-09-07T09:09:57.783Z,76106,5.0609756,1.097561,10.060976
1725700197800,2024-09-07T09:09:57.800Z,76123,-3.4756098,-0.42682928,2.378049
1725700197804,2024-09-07T09:09:57.804Z,76127,-3.4756098,-0.42682928,2.378049
1725700197847,2024-09-07T09:09:57.847Z,76170,-6.585366,1.0365853,0.18292683
1725700197851,2024-09-07T09:09:57.851Z,76174,-6.585366,1.0365853,0.18292683
1725700197891,2024-09-07T09:09:57.891Z,76214,1.3414634,2.9268293,1.9512196
1725700197894,2024-09-07T09:09:57.894Z,76217,1.3414634,2.9268293,1.9512196
1725700197936,2024-09-07T09:09:57.936Z,76259,-5.4268293,5.2439027,-0.42682928
1725700197941,2024-09-07T09:09:57.941Z,76264,-5.4268293,5.2439027,-0.42682928
1725700197986,2024-09-07T09:09:57.986Z,76309,-1.7073171,5.304878,-2.195122
1725700198001,2024-09-07T09:09:58.001Z,76324,-1.7073171,5.304878,-2.195122
1725700198032,2024-09-07T09:09:58.032Z,76355,3.0487804,4.9390244,-8.719512
1725700198037,2024-09-07T09:09:58.037Z,76360,3.0487804,4.9390244,-8.719512
1725700198070,2024-09-07T09:09:58.070Z,76393,-0.91463417,8.231708,-9.939025
1725700198075,2024-09-07T09:09:58.075Z,76398,-0.91463417,8.231708,-9.939025
1725700198118,2024-09-07T09:09:58.118Z,76441,1.7073171,5.4268293,-1.8902439
1725700198123,2024-09-07T09:09:58.123Z,76446,1.7073171,5.4268293,-1.8902439
1725700198168,2024-09-07T09:09:58.168Z,76491,5.2439027,5.2439027,1.5243902
1725700198173,2024-09-07T09:09:58.173Z,76496,5.2439027,5.2439027,1.5243902
1725700198187,2024-09-07T09:09:58.187Z,76510,-1.0365853,-0.12195122,0.24390244
1725700198192,2024-09-07T09:09:58.192Z,76515,-1.0365853,-0.12195122,0.24390244
1725700198208,2024-09-07T09:09:58.208Z,76531,-4.9390244,-1.0365853,-3.4146342
1725700198213,2024-09-07T09:09:58.213Z,76536,-4.9390244,-1.0365853,-3.4146342
1725700198256,2024-09-07T09:09:58.256Z,76579,-4.3292685,1.097561,-2.1341465
1725700198261,2024-09-07T09:09:58.261Z,76584,-4.3292685,1.097561,-2.1341465
1725700198296,2024-09-07T09:09:58.296Z,76619,-8.658537,2.2560976,-6.9512196
1725700198300,2024-09-07T09:09:58.300Z,76623,-8.658537,2.2560976,-6.9512196
1725700198341,2024-09-07T09:09:58.341Z,76664,-9.085366,2.2560976,-4.9390244
1725700198346,2024-09-07T09:09:58.346Z,76669,-9.085366,2.2560976,-4.9390244
1725700198435,2024-09-07T09:09:58.435Z,76758,-2.5,0.42682928,3.7195122
1725700198439,2024-09-07T09:09:58.439Z,76762,-2.5,0.42682928,3.7195122
1725700198455,2024-09-07T09:09:58.455Z,76778,4.02439,2.2560976,9.756098
1725700198460,2024-09-07T09:09:58.460Z,76783,4.02439,2.2560976,9.756098
1725700198478,2024-09-07T09:09:58.478Z,76801,13.719513,4.390244,15.609756
1725700198483,2024-09-07T09:09:58.483Z,76806,13.719513,4.390244,15.609756
1725700198526,2024-09-07T09:09:58.526Z,76849,19.756098,1.0365853,19.390244
1725700198530,2024-09-07T09:09:58.530Z,76853,19.756098,1.0365853,19.390244
1725700198568,2024-09-07T09:09:58.568Z,76891,15.97561,4.4512196,13.719513
1725700198571,2024-09-07T09:09:58.571Z,76894,15.97561,4.4512196,13.719513
1725700198613,2024-09-07T09:09:58.613Z,76936,7.1951222,12.682927,7.682927
1725700198617,2024-09-07T09:09:58.617Z,76940,7.1951222,12.682927,7.682927
1725700198629,2024-09-07T09:09:58.629Z,76952,2.987805,7.987805,-1.4634147
1725700198632,2024-09-07T09:09:58.632Z,76955,2.987805,7.987805,-1.4634147
1725700198657,2024-09-07T09:09:58.657Z,76980,6.4634147,-2.1341465,-10.609756
1725700198662,2024-09-07T09:09:58.662Z,76985,6.4634147,-2.1341465,-10.609756
1725700198704,2024-09-07T09:09:58.704Z,77027,6.402439,-5.670732,-12.5
1725700198708,2024-09-07T09:09:58.708Z,77031,6.402439,-5.670732,-12.5
1725700198748,2024-09-07T09:09:58.748Z,77071,3.4146342,-7.9268293,-7.5
1725700198754,2024-09-07T09:09:58.754Z,77077,3.4146342,-7.9268293,-7.5
1725700198790,2024-09-07T09:09:58.790Z,77113,1.4634147,-11.646341,-11.768293
1725700198794,2024-09-07T09:09:58.794Z,77117,1.4634147,-11.646341,-11.768293
1725700198837,2024-09-07T09:09:58.837Z,77160,0.6097561,-4.9390244,-10.304878
1725700198840,2024-09-07T09:09:58.840Z,77163,0.6097561,-4.9390244,-10.304878
1725700198881,2024-09-07T09:09:58.881Z,77204,-1.6463414,-5.609756,-9.268292
1725700198885,2024-09-07T09:09:58.885Z,77208,-1.6463414,-5.609756,-9.268292
1725700198937,2024-09-07T09:09:58.937Z,77260,0.9756098,-10.0,-14.756098
1725700198941,2024-09-07T09:09:58.941Z,77264,0.9756098,-10.0,-14.756098
1725700198970,2024-09-07T09:09:58.970Z,77293,3.7804878,-6.402439,-16.280489
1725700198974,2024-09-07T09:09:58.974Z,77297,3.7804878,-6.402439,-16.280489
1725700199036,2024-09-07T09:09:59.036Z,77359,7.1951222,-7.7439027,-10.365854
1725700199042,2024-09-07T09:09:59.042Z,77365,7.1951222,-7.7439027,-10.365854
1725700199058,2024-09-07T09:09:59.058Z,77381,2.8658538,-13.414635,-16.341463
1725700199063,2024-09-07T09:09:59.063Z,77386,2.8658538,-13.414635,-16.341463
1725700199075,2024-09-07T09:09:59.075Z,77398,6.158537,-2.987805,-15.304878
1725700199079,2024-09-07T09:09:59.079Z,77402,6.158537,-2.987805,-15.304878
1725700199106,2024-09-07T09:09:59.106Z,77429,9.268292,-2.6219513,-4.5731707
1725700199109,2024-09-07T09:09:59.109Z,77432,9.268292,-2.6219513,-4.5731707
1725700199150,2024-09-07T09:09:59.150Z,77473,7.865854,1.8292683,-6.158537
1725700199154,2024-09-07T09:09:59.154Z,77477,7.865854,1.8292683,-6.158537
1725700199249,2024-09-07T09:09:59.249Z,77572,15.609756,0.79268295,-21.707317
1725700199254,2024-09-07T09:09:59.254Z,77577,15.609756,0.79268295,-21.707317
1725700199269,2024-09-07T09:09:59.269Z,77592,19.634148,0.91463417,-15.853659
1725700199273,2024-09-07T09:09:59.273Z,77596,19.634148,0.91463417,-15.853659
1725700199291,2024-09-07T09:09:59.291Z,77614,2.195122,-2.987805,-6.0365853
1725700199296,2024-09-07T09:09:59.296Z,77619,2.195122,-2.987805,-6.0365853
1725700199332,2024-09-07T09:09:59.332Z,77655,-7.0731707,-3.1707318,6.890244
