Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1732371382138,2024-11-23T14:16:22.138Z,140243,-0.008308443,-0.042941283,-0.1702647
1732371382144,2024-11-23T14:16:22.144Z,140249,-0.008308443,-0.042941283,-0.1702647
1732371382182,2024-11-23T14:16:22.182Z,140287,-0.0033405197,-0.038894612,-0.16457674
1732371382186,2024-11-23T14:16:22.186Z,140291,-0.0033405197,-0.038894612,-0.16457674
1732371382207,2024-11-23T14:16:22.207Z,140312,-0.005428781,-0.032179173,-0.14246432
1732371382211,2024-11-23T14:16:22.211Z,140316,-0.005428781,-0.032179173,-0.14246432
1732371382234,2024-11-23T14:16:22.234Z,140339,-0.009742143,-0.030941013,-0.14049444
1732371382237,2024-11-23T14:16:22.237Z,140342,-0.009742143,-0.030941013,-0.14049444
1732371382255,2024-11-23T14:16:22.255Z,140360,-0.005757174,-0.031230034,-0.14062448
1732371382258,2024-11-23T14:16:22.258Z,140363,-0.005757174,-0.031230034,-0.14062448
1732371382276,2024-11-23T14:16:22.276Z,140381,-0.00615183,-0.031559218,-0.13788565
1732371382278,2024-11-23T14:16:22.278Z,140383,-0.00615183,-0.031559218,-0.13788565
1732371382295,2024-11-23T14:16:22.295Z,140400,-0.0065840594,-0.024621274,-0.12994207
1732371382297,2024-11-23T14:16:22.297Z,140402,-0.0065840594,-0.024621274,-0.12994207
1732371382314,2024-11-23T14:16:22.314Z,140419,9.851193E-5,-0.031390492,-0.104484245
1732371382316,2024-11-23T14:16:22.316Z,140421,9.851193E-5,-0.031390492,-0.104484245
1732371382333,2024-11-23T14:16:22.333Z,140438,-0.008064437,-0.028768402,-0.09560729
1732371382335,2024-11-23T14:16:22.335Z,140440,-0.008064437,-0.028768402,-0.09560729
1732371382351,2024-11-23T14:16:22.351Z,140456,-0.0021247168,-0.026711224,-0.08756403
1732371382353,2024-11-23T14:16:22.353Z,140458,-0.0021247168,-0.026711224,-0.08756403
1732371382368,2024-11-23T14:16:22.368Z,140473,-0.0028745453,-0.016148567,-0.08078636
1732371382370,2024-11-23T14:16:22.370Z,140475,-0.0028745453,-0.016148567,-0.08078636
1732371382385,2024-11-23T14:16:22.385Z,140490,-0.004769356,-0.023129689,-0.076647066
1732371382387,2024-11-23T14:16:22.387Z,140492,-0.004769356,-0.023129689,-0.076647066
1732371382403,2024-11-23T14:16:22.403Z,140508,-0.0042315032,-0.013999392,-0.07787967
1732371382405,2024-11-23T14:16:22.405Z,140510,-0.0042315032,-0.013999392,-0.07787967
1732371382460,2024-11-23T14:16:22.460Z,140565,-0.0055046706,-0.017991897,-0.06341999
1732371382465,2024-11-23T14:16:22.465Z,140570,-0.0055046706,-0.017991897,-0.06341999
1732371382489,2024-11-23T14:16:22.489Z,140594,-0.0030932068,-0.019221984,-0.062235415
1732371382492,2024-11-23T14:16:22.492Z,140597,-0.0030932068,-0.019221984,-0.062235415
1732371382513,2024-11-23T14:16:22.513Z,140618,-0.004575019,-0.01704908,-0.060618926
1732371382516,2024-11-23T14:16:22.516Z,140621,-0.004575019,-0.01704908,-0.060618926
1732371382538,2024-11-23T14:16:22.538Z,140643,0.0022216483,-0.01764307,-0.058647774
1732371382541,2024-11-23T14:16:22.541Z,140646,0.0022216483,-0.01764307,-0.058647774
1732371382562,2024-11-23T14:16:22.562Z,140667,0.0016769395,-0.017444586,-0.06692992
1732371382565,2024-11-23T14:16:22.565Z,140670,0.0016769395,-0.017444586,-0.06692992
1732371382583,2024-11-23T14:16:22.583Z,140688,-0.008565445,-0.015760938,-0.0647749
