Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1732201811661,2024-11-21T15:10:11.661Z,29573,-0.0062221764,-0.019835325,-0.05544892
1732201811666,2024-11-21T15:10:11.666Z,29578,-0.0062221764,-0.019835325,-0.05544892
1732201811685,2024-11-21T15:10:11.685Z,29597,-0.013859525,-0.019631105,-0.05647153
1732201811689,2024-11-21T15:10:11.689Z,29601,-0.013859525,-0.019631105,-0.05647153
1732201811703,2024-11-21T15:10:11.703Z,29615,7.8940834E-4,-0.01939139,-0.054605078
1732201811708,2024-11-21T15:10:11.708Z,29620,7.8940834E-4,-0.01939139,-0.054605078
1732201811722,2024-11-21T15:10:11.722Z,29634,-0.013057791,-0.03579669,-0.05605949
1732201811726,2024-11-21T15:10:11.726Z,29638,-0.013057791,-0.03579669,-0.05605949
1732201811745,2024-11-21T15:10:11.745Z,29657,-0.02034979,-0.024077853,-0.049186047
1732201811753,2024-11-21T15:10:11.753Z,29665,-0.02034979,-0.024077853,-0.049186047
1732201811769,2024-11-21T15:10:11.769Z,29681,-0.01104029,-0.017730106,-0.036453076
1732201811774,2024-11-21T15:10:11.774Z,29686,-0.01104029,-0.017730106,-0.036453076
1732201811786,2024-11-21T15:10:11.786Z,29698,-0.01389011,-0.01014527,-0.026451014
1732201811790,2024-11-21T15:10:11.790Z,29702,-0.01389011,-0.01014527,-0.026451014
1732201811814,2024-11-21T15:10:11.814Z,29726,-0.013522368,-0.006419516,-0.03797702
1732201811818,2024-11-21T15:10:11.818Z,29730,-0.013522368,-0.006419516,-0.03797702
1732201811832,2024-11-21T15:10:11.832Z,29744,-0.015657928,-0.029155059,-0.054832347
1732201811836,2024-11-21T15:10:11.836Z,29748,-0.015657928,-0.029155059,-0.054832347
1732201811908,2024-11-21T15:10:11.908Z,29820,-0.014161042,-0.023376891,-0.047794953
1732201811912,2024-11-21T15:10:11.912Z,29824,-0.014161042,-0.023376891,-0.047794953
1732201811927,2024-11-21T15:10:11.927Z,29839,-0.0012491225,-0.019595511,-0.025092075
1732201811933,2024-11-21T15:10:11.933Z,29845,-0.0012491225,-0.019595511,-0.025092075
1732201811957,2024-11-21T15:10:11.957Z,29869,-0.019793605,-0.009719423,-0.057184696
1732201811971,2024-11-21T15:10:11.971Z,29883,-0.019793605,-0.009719423,-0.057184696
1732201812008,2024-11-21T15:10:12.008Z,29920,-0.016899781,-0.020357935,-0.04989605
1732201812017,2024-11-21T15:10:12.017Z,29929,-0.016899781,-0.020357935,-0.04989605
1732201812045,2024-11-21T15:10:12.045Z,29957,-0.023063365,-0.0048110387,-0.057381682
1732201812053,2024-11-21T15:10:12.053Z,29965,-0.023063365,-0.0048110387,-0.057381682
1732201812079,2024-11-21T15:10:12.079Z,29991,-0.015742363,-0.017299494,-0.04579205
1732201812088,2024-11-21T15:10:12.088Z,30000,-0.015742363,-0.017299494,-0.04579205
1732201812112,2024-11-21T15:10:12.112Z,30024,-0.011915641,-0.009791872,-0.028041694
1732201812120,2024-11-21T15:10:12.120Z,30032,-0.011915641,-0.009791872,-0.028041694
1732201812147,2024-11-21T15:10:12.147Z,30059,-0.018431457,-0.013838058,-0.036006805
1732201812155,2024-11-21T15:10:12.155Z,30067,-0.018431457,-0.013838058,-0.036006805
1732201812179,2024-11-21T15:10:12.179Z,30091,-0.013933701,-0.014478337,-0.021876676
1732201812185,2024-11-21T15:10:12.185Z,30097,-0.013933701,-0.014478337,-0.021876676
1732201812198,2024-11-21T15:10:12.198Z,30110,-0.0078914575,-0.012260603,-0.026014188
1732201812202,2024-11-21T15:10:12.202Z,30114,-0.0078914575,-0.012260603,-0.026014188
1732201812215,2024-11-21T15:10:12.215Z,30127,0.0079786405,0.0012943671,-0.03198216
1732201812219,2024-11-21T15:10:12.219Z,30131,0.0079786405,0.0012943671,-0.03198216
1732201812234,2024-11-21T15:10:12.234Z,30146,0.0048070517,-0.0068098684,-0.03252536
1732201812238,2024-11-21T15:10:12.238Z,30150,0.0048070517,-0.0068098684,-0.03252536
1732201812254,2024-11-21T15:10:12.254Z,30166,0.0026304778,-0.019281693,-0.027068889
1732201812258,2024-11-21T15:10:12.258Z,30170,0.0026304778,-0.019281693,-0.027068889
1732201812272,2024-11-21T15:10:12.272Z,30184,-0.02452862,-0.0017391781,-0.027670464
1732201812276,2024-11-21T15:10:12.276Z,30188,-0.02452862,-0.0017391781,-0.027670464
1732201812289,2024-11-21T15:10:12.289Z,30201,-0.0011472313,-0.01461711,-0.029465219
1732201812293,2024-11-21T15:10:12.293Z,30205,-0.0011472313,-0.01461711,-0.029465219
1732201812307,2024-11-21T15:10:12.307Z,30219,0.00952415,-0.03476178,-0.03395602
1732201812313,2024-11-21T15:10:12.313Z,30225,0.00952415,-0.03476178,-0.03395602
1732201812326,2024-11-21T15:10:12.326Z,30238,-0.014848851,-0.019745274,-0.00562155
1732201812331,2024-11-21T15:10:12.331Z,30243,-0.014848851,-0.019745274,-0.00562155
1732201812351,2024-11-21T15:10:12.351Z,30263,-0.00926975,-0.027829768,-0.020159682
1732201812356,2024-11-21T15:10:12.356Z,30268,-0.00926975,-0.027829768,-0.020159682
1732201812372,2024-11-21T15:10:12.372Z,30284,-0.0079711275,-0.035396222,-0.04174837
1732201812380,2024-11-21T15:10:12.380Z,30292,-0.0079711275,-0.035396222,-0.04174837
1732201812408,2024-11-21T15:10:12.408Z,30320,0.013040457,-0.020612529,0.0017728258
1732201812416,2024-11-21T15:10:12.416Z,30328,0.013040457,-0.020612529,0.0017728258
1732201812429,2024-11-21T15:10:12.429Z,30341,0.019111024,-0.0127997445,-0.02090827
1732201812432,2024-11-21T15:10:12.432Z,30344,0.019111024,-0.0127997445,-0.02090827
1732201812444,2024-11-21T15:10:12.444Z,30356,0.0030489832,-0.018567117,-0.043378912
1732201812448,2024-11-21T15:10:12.448Z,30360,0.0030489832,-0.018567117,-0.043378912
1732201812460,2024-11-21T15:10:12.460Z,30372,-0.022043187,-0.03752624,-0.024070948
1732201812465,2024-11-21T15:10:12.465Z,30377,-0.022043187,-0.03752624,-0.024070948
1732201812479,2024-11-21T15:10:12.479Z,30391,0.009474237,-0.031611633,-0.0192174
1732201812483,2024-11-21T15:10:12.483Z,30395,0.009474237,-0.031611633,-0.0192174
1732201812493,2024-11-21T15:10:12.493Z,30405,0.022631269,-0.0062914407,0.0194908
1732201812497,2024-11-21T15:10:12.497Z,30409,0.022631269,-0.0062914407,0.0194908
1732201812511,2024-11-21T15:10:12.511Z,30423,0.0018394649,0.01336135,-8.234693E-4
1732201812516,2024-11-21T15:10:12.516Z,30428,0.0018394649,0.01336135,-8.234693E-4
1732201812531,2024-11-21T15:10:12.531Z,30443,-0.005398561,-0.0033395838,-0.01629963
1732201812536,2024-11-21T15:10:12.536Z,30448,-0.005398561,-0.0033395838,-0.01629963
1732201812551,2024-11-21T15:10:12.551Z,30463,-8.054785E-4,-0.010798095,-0.03423251
1732201812559,2024-11-21T15:10:12.559Z,30471,-8.054785E-4,-0.010798095,-0.03423251
1732201812587,2024-11-21T15:10:12.587Z,30499,0.004054938,-0.019929266,-0.021508897
1732201812594,2024-11-21T15:10:12.594Z,30506,0.004054938,-0.019929266,-0.021508897
1732201812609,2024-11-21T15:10:12.609Z,30521,0.0031816536,-0.009454131,-0.008288107
1732201812612,2024-11-21T15:10:12.612Z,30524,0.0031816536,-0.009454131,-0.008288107
1732201812623,2024-11-21T15:10:12.623Z,30535,-0.007002273,-4.7097067E-4,0.011610477
1732201812627,2024-11-21T15:10:12.627Z,30539,-0.007002273,-4.7097067E-4,0.011610477
1732201812638,2024-11-21T15:10:12.638Z,30550,0.0074303816,-0.0020656388,-0.016419487
1732201812643,2024-11-21T15:10:12.643Z,30555,0.0074303816,-0.0020656388,-0.016419487
1732201812654,2024-11-21T15:10:12.654Z,30566,0.023079947,-0.009152663,-0.02127961
1732201812657,2024-11-21T15:10:12.657Z,30569,0.023079947,-0.009152663,-0.02127961
1732201812669,2024-11-21T15:10:12.669Z,30581,0.014049888,-0.016074074,-0.03892517
1732201812673,2024-11-21T15:10:12.673Z,30585,0.014049888,-0.016074074,-0.03892517
1732201812685,2024-11-21T15:10:12.685Z,30597,0.0066497503,0.0021542313,-0.024582338
1732201812689,2024-11-21T15:10:12.689Z,30601,0.0066497503,0.0021542313,-0.024582338
1732201812699,2024-11-21T15:10:12.699Z,30611,0.0075177103,0.007441298,-0.011779373
1732201812703,2024-11-21T15:10:12.703Z,30615,0.0075177103,0.007441298,-0.011779373
1732201812716,2024-11-21T15:10:12.716Z,30628,0.012739985,0.012293959,-0.015388551
1732201812719,2024-11-21T15:10:12.719Z,30631,0.012739985,0.012293959,-0.015388551
1732201812734,2024-11-21T15:10:12.734Z,30646,-0.0037723118,-0.008060669,-0.022898737
1732201812742,2024-11-21T15:10:12.742Z,30654,-0.0037723118,-0.008060669,-0.022898737
1732201812768,2024-11-21T15:10:12.768Z,30680,-0.008114106,-0.008928896,-0.038952354
1732201812775,2024-11-21T15:10:12.775Z,30687,-0.008114106,-0.008928896,-0.038952354
1732201812792,2024-11-21T15:10:12.792Z,30704,-0.00296924,-0.017015237,-0.014223828
1732201812797,2024-11-21T15:10:12.797Z,30709,-0.00296924,-0.017015237,-0.014223828
1732201812811,2024-11-21T15:10:12.811Z,30723,0.0065806555,-0.0097941095,0.022773543
1732201812814,2024-11-21T15:10:12.814Z,30726,0.0065806555,-0.0097941095,0.022773543
1732201812825,2024-11-21T15:10:12.825Z,30737,8.692244E-4,0.00863939,0.026329285
1732201812829,2024-11-21T15:10:12.829Z,30741,8.692244E-4,0.00863939,0.026329285
1732201812844,2024-11-21T15:10:12.844Z,30756,-0.02472212,-0.023909712,-0.03661306
1732201812852,2024-11-21T15:10:12.852Z,30764,-0.02472212,-0.023909712,-0.03661306
1732201812873,2024-11-21T15:10:12.873Z,30785,-0.025641816,-0.031925064,-0.043161977
1732201812876,2024-11-21T15:10:12.876Z,30788,-0.025641816,-0.031925064,-0.043161977
1732201812887,2024-11-21T15:10:12.887Z,30799,-0.021061204,-0.03171044,-0.0435109
1732201812891,2024-11-21T15:10:12.891Z,30803,-0.021061204,-0.03171044,-0.0435109
1732201812902,2024-11-21T15:10:12.902Z,30814,0.020851733,-0.018991701,-0.020001363
1732201812906,2024-11-21T15:10:12.906Z,30818,0.020851733,-0.018991701,-0.020001363
1732201812916,2024-11-21T15:10:12.916Z,30828,0.006901403,-0.0059056594,-0.0035606765
1732201812919,2024-11-21T15:10:12.919Z,30831,0.006901403,-0.0059056594,-0.0035606765
1732201812930,2024-11-21T15:10:12.930Z,30842,-0.00735183,-0.022647923,-0.036592394
1732201812933,2024-11-21T15:10:12.933Z,30845,-0.00735183,-0.022647923,-0.036592394
1732201812944,2024-11-21T15:10:12.944Z,30856,-0.029605608,-0.02700676,-0.02365614
1732201812947,2024-11-21T15:10:12.947Z,30859,-0.029605608,-0.02700676,-0.02365614
1732201812958,2024-11-21T15:10:12.958Z,30870,-0.01474888,-0.02998079,-0.0067988066
1732201812963,2024-11-21T15:10:12.963Z,30875,-0.01474888,-0.02998079,-0.0067988066
1732201812975,2024-11-21T15:10:12.975Z,30887,-0.003633515,-0.035478204,0.001611273
1732201812980,2024-11-21T15:10:12.980Z,30892,-0.003633515,-0.035478204,0.001611273
1732201812992,2024-11-21T15:10:12.992Z,30904,-0.011682416,-0.011465506,0.007012922
1732201812996,2024-11-21T15:10:12.996Z,30908,-0.011682416,-0.011465506,0.007012922
1732201813008,2024-11-21T15:10:13.008Z,30920,-0.03114312,-0.02618239,-0.021823397
1732201813012,2024-11-21T15:10:13.012Z,30924,-0.03114312,-0.02618239,-0.021823397
1732201813023,2024-11-21T15:10:13.023Z,30935,-0.01986518,-0.03695919,-0.027585335
