Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1732440269901,2024-11-24T09:24:29.901Z,39892,0.23212023,0.5857124,-0.94411564
1732440269907,2024-11-24T09:24:29.907Z,39898,0.23212023,0.5857124,-0.94411564
1732440269928,2024-11-24T09:24:29.928Z,39919,0.24457338,0.5879181,-0.9584612
1732440269934,2024-11-24T09:24:29.934Z,39925,0.24457338,0.5879181,-0.9584612
1732440269952,2024-11-24T09:24:29.952Z,39943,0.23180856,0.5770466,-0.97199345
1732440269958,2024-11-24T09:24:29.958Z,39949,0.23180856,0.5770466,-0.97199345
1732440269974,2024-11-24T09:24:29.974Z,39965,0.20060463,0.57463944,-0.9768484
1732440269980,2024-11-24T09:24:29.980Z,39971,0.20060463,0.57463944,-0.9768484
1732440269993,2024-11-24T09:24:29.993Z,39984,0.18448733,0.5808631,-0.97628206
1732440269997,2024-11-24T09:24:29.997Z,39988,0.18448733,0.5808631,-0.97628206
1732440270009,2024-11-24T09:24:30.009Z,40000,0.1958271,0.5764105,-0.9885416
1732440270013,2024-11-24T09:24:30.013Z,40004,0.1958271,0.5764105,-0.9885416
1732440270025,2024-11-24T09:24:30.025Z,40016,0.22796692,0.59032303,-1.0020992
1732440270029,2024-11-24T09:24:30.029Z,40020,0.22796692,0.59032303,-1.0020992
1732440270041,2024-11-24T09:24:30.041Z,40032,0.25912353,0.60792583,-1.0078452
1732440270045,2024-11-24T09:24:30.045Z,40036,0.25912353,0.60792583,-1.0078452
1732440270056,2024-11-24T09:24:30.056Z,40047,0.2753849,0.61100805,-1.0099149
1732440270060,2024-11-24T09:24:30.060Z,40051,0.2753849,0.61100805,-1.0099149
1732440270075,2024-11-24T09:24:30.075Z,40066,0.2909214,0.6176447,-0.99798656
1732440270080,2024-11-24T09:24:30.080Z,40071,0.2909214,0.6176447,-0.99798656
1732440270091,2024-11-24T09:24:30.091Z,40082,0.2896677,0.6235425,-0.9803184
1732440270094,2024-11-24T09:24:30.094Z,40085,0.2896677,0.6235425,-0.9803184
1732440270103,2024-11-24T09:24:30.103Z,40094,0.30573797,0.64960945,-0.9490855
1732440270106,2024-11-24T09:24:30.106Z,40097,0.30573797,0.64960945,-0.9490855
1732440270118,2024-11-24T09:24:30.118Z,40109,0.31161046,0.65573025,-0.95656294
1732440270121,2024-11-24T09:24:30.121Z,40112,0.31161046,0.65573025,-0.95656294
1732440270133,2024-11-24T09:24:30.133Z,40124,0.29368383,0.6560909,-0.9663618
1732440270137,2024-11-24T09:24:30.137Z,40128,0.29368383,0.6560909,-0.9663618
1732440270148,2024-11-24T09:24:30.148Z,40139,0.29459798,0.6643882,-0.90327615
1732440270152,2024-11-24T09:24:30.152Z,40143,0.29459798,0.6643882,-0.90327615
1732440270166,2024-11-24T09:24:30.166Z,40157,0.2885052,0.6737149,-0.8760069
