Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1732439016465,2024-11-24T09:03:36.465Z,62036,-0.05498381,-0.33467576,-1.114741
1732439016471,2024-11-24T09:03:36.471Z,62042,-0.05498381,-0.33467576,-1.114741
1732439016493,2024-11-24T09:03:36.493Z,62064,-0.07210592,-0.31212944,-1.1256126
1732439016501,2024-11-24T09:03:36.501Z,62072,-0.07210592,-0.31212944,-1.1256126
1732439016520,2024-11-24T09:03:36.520Z,62091,-0.07993959,-0.30771622,-1.1341313
1732439016525,2024-11-24T09:03:36.525Z,62096,-0.07993959,-0.30771622,-1.1341313
1732439016547,2024-11-24T09:03:36.547Z,62118,-0.0614731,-0.31021497,-1.1153854
1732439016552,2024-11-24T09:03:36.552Z,62123,-0.0614731,-0.31021497,-1.1153854
1732439016564,2024-11-24T09:03:36.564Z,62135,-0.04639066,-0.3166372,-1.0966439
1732439016568,2024-11-24T09:03:36.568Z,62139,-0.04639066,-0.3166372,-1.0966439
1732439016582,2024-11-24T09:03:36.582Z,62153,-0.047340818,-0.31044543,-1.0940586
1732439016587,2024-11-24T09:03:36.587Z,62158,-0.047340818,-0.31044543,-1.0940586
1732439016599,2024-11-24T09:03:36.599Z,62170,-0.04389186,-0.28599754,-1.0681397
1732439016602,2024-11-24T09:03:36.602Z,62173,-0.04389186,-0.28599754,-1.0681397
1732439016614,2024-11-24T09:03:36.614Z,62185,-0.030010523,-0.28243396,-1.0588168
1732439016619,2024-11-24T09:03:36.619Z,62190,-0.030010523,-0.28243396,-1.0588168
1732439016629,2024-11-24T09:03:36.629Z,62200,-0.020029455,-0.2716691,-1.0618054
1732439016632,2024-11-24T09:03:36.632Z,62203,-0.020029455,-0.2716691,-1.0618054
1732439016679,2024-11-24T09:03:36.679Z,62250,-0.031110588,-0.27370894,-1.0688132
1732439016682,2024-11-24T09:03:36.682Z,62253,-0.031110588,-0.27370894,-1.0688132
