Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1732371525322,2024-11-23T14:18:45.322Z,50370,-0.04204505,-0.10165478,-0.34313914
1732371525328,2024-11-23T14:18:45.328Z,50376,-0.04204505,-0.10165478,-0.34313914
1732371525357,2024-11-23T14:18:45.357Z,50405,-0.041825928,-0.10448003,-0.32755917
1732371525363,2024-11-23T14:18:45.363Z,50411,-0.041825928,-0.10448003,-0.32755917
1732371525378,2024-11-23T14:18:45.378Z,50426,-0.042140935,-0.09687097,-0.31187555
1732371525382,2024-11-23T14:18:45.382Z,50430,-0.042140935,-0.09687097,-0.31187555
1732371525397,2024-11-23T14:18:45.397Z,50445,-0.016651215,-0.087244034,-0.29706657
1732371525402,2024-11-23T14:18:45.402Z,50450,-0.016651215,-0.087244034,-0.29706657
1732371525415,2024-11-23T14:18:45.415Z,50463,-0.012171111,-0.06455303,-0.21596365
1732371525420,2024-11-23T14:18:45.420Z,50468,-0.012171111,-0.06455303,-0.21596365
1732371525434,2024-11-23T14:18:45.434Z,50482,-0.016879749,-0.06043119,-0.22156367
1732371525440,2024-11-23T14:18:45.440Z,50488,-0.016879749,-0.06043119,-0.22156367
1732371525452,2024-11-23T14:18:45.452Z,50500,-0.027204927,-0.056973644,-0.21844126
1732371525455,2024-11-23T14:18:45.455Z,50503,-0.027204927,-0.056973644,-0.21844126
1732371525467,2024-11-23T14:18:45.467Z,50515,-0.01863699,-0.055649713,-0.21685672
1732371525472,2024-11-23T14:18:45.472Z,50520,-0.01863699,-0.055649713,-0.21685672
1732371525485,2024-11-23T14:18:45.485Z,50533,-0.011105227,-0.048019852,-0.20001939
1732371525489,2024-11-23T14:18:45.489Z,50537,-0.011105227,-0.048019852,-0.20001939
1732371525502,2024-11-23T14:18:45.502Z,50550,-0.009021889,-0.047326475,-0.18588674
1732371525506,2024-11-23T14:18:45.506Z,50554,-0.009021889,-0.047326475,-0.18588674
1732371525520,2024-11-23T14:18:45.520Z,50568,-0.010484154,-0.03196075,-0.17960338
1732371525524,2024-11-23T14:18:45.524Z,50572,-0.010484154,-0.03196075,-0.17960338
1732371525538,2024-11-23T14:18:45.538Z,50586,-0.009064046,-0.034937993,-0.17822592
1732371525543,2024-11-23T14:18:45.543Z,50591,-0.009064046,-0.034937993,-0.17822592
1732371525556,2024-11-23T14:18:45.556Z,50604,-0.013356852,-0.03505926,-0.15908165
1732371525560,2024-11-23T14:18:45.560Z,50608,-0.013356852,-0.03505926,-0.15908165
1732371525571,2024-11-23T14:18:45.571Z,50619,-0.020645203,-0.040383182,-0.14878349
1732371525575,2024-11-23T14:18:45.575Z,50623,-0.020645203,-0.040383182,-0.14878349
