Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1732202282748,2024-11-21T15:18:02.748Z,74602,-0.43285662,-0.9150154,-1.3061774
1732202282754,2024-11-21T15:18:02.754Z,74608,-0.43285662,-0.9150154,-1.3061774
1732202282774,2024-11-21T15:18:02.774Z,74628,-0.45717677,-0.8579121,-1.2685841
1732202282780,2024-11-21T15:18:02.780Z,74634,-0.45717677,-0.8579121,-1.2685841
1732202282803,2024-11-21T15:18:02.803Z,74657,-0.41558957,-0.8197559,-1.2334323
1732202282810,2024-11-21T15:18:02.810Z,74664,-0.41558957,-0.8197559,-1.2334323
1732202282828,2024-11-21T15:18:02.828Z,74682,-0.4037134,-0.828007,-1.199256
1732202282832,2024-11-21T15:18:02.832Z,74686,-0.4037134,-0.828007,-1.199256
1732202282844,2024-11-21T15:18:02.844Z,74698,-0.42878565,-0.82441217,-1.2676185
1732202282848,2024-11-21T15:18:02.848Z,74702,-0.42878565,-0.82441217,-1.2676185
1732202282860,2024-11-21T15:18:02.860Z,74714,-0.49099106,-0.8136894,-1.3472098
1732202282865,2024-11-21T15:18:02.865Z,74719,-0.49099106,-0.8136894,-1.3472098
1732202282879,2024-11-21T15:18:02.879Z,74733,-0.46763465,-0.8594107,-1.3223078
1732202282882,2024-11-21T15:18:02.882Z,74736,-0.46763465,-0.8594107,-1.3223078
1732202282894,2024-11-21T15:18:02.894Z,74748,-0.5444052,-0.82201743,-1.3320554
1732202282898,2024-11-21T15:18:02.898Z,74752,-0.5444052,-0.82201743,-1.3320554
1732202282910,2024-11-21T15:18:02.910Z,74764,-0.50512415,-0.8330421,-1.2856598
1732202282913,2024-11-21T15:18:02.913Z,74767,-0.50512415,-0.8330421,-1.2856598
1732202282925,2024-11-21T15:18:02.925Z,74779,-0.46857917,-0.84600997,-1.2915087
1732202282929,2024-11-21T15:18:02.929Z,74783,-0.46857917,-0.84600997,-1.2915087
1732202283009,2024-11-21T15:18:03.009Z,74863,-0.490962,-0.8160906,-1.2831124
