Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1734432106328,2024-12-17T10:41:46.328Z,21368,-0.13971834,-0.9293046,-0.8346299
1734432106334,2024-12-17T10:41:46.334Z,21374,-0.13971834,-0.9293046,-0.8346299
1734432106353,2024-12-17T10:41:46.353Z,21393,-0.10485575,-0.90723616,-0.81715107
1734432106358,2024-12-17T10:41:46.358Z,21398,-0.10485575,-0.90723616,-0.81715107
1734432106378,2024-12-17T10:41:46.378Z,21418,-0.07840523,-0.8890919,-0.79225117
1734432106384,2024-12-17T10:41:46.384Z,21424,-0.07840523,-0.8890919,-0.79225117
1734432106402,2024-12-17T10:41:46.402Z,21442,-0.10215345,-0.9367257,-0.75123346
1734432106406,2024-12-17T10:41:46.406Z,21446,-0.10215345,-0.9367257,-0.75123346
1734432106420,2024-12-17T10:41:46.420Z,21460,-0.14567089,-0.9770634,-0.7375877
1734432106424,2024-12-17T10:41:46.424Z,21464,-0.14567089,-0.9770634,-0.7375877
1734432106437,2024-12-17T10:41:46.437Z,21477,-0.10217381,-0.9362225,-0.7609907
1734432106440,2024-12-17T10:41:46.440Z,21480,-0.10217381,-0.9362225,-0.7609907
1734432106451,2024-12-17T10:41:46.451Z,21491,-0.006787757,-0.8303986,-0.74868906
1734432106454,2024-12-17T10:41:46.454Z,21494,-0.006787757,-0.8303986,-0.74868906
1734432106467,2024-12-17T10:41:46.467Z,21507,0.016915426,-0.71890867,-0.77593803
1734432106471,2024-12-17T10:41:46.471Z,21511,0.016915426,-0.71890867,-0.77593803
1734432106483,2024-12-17T10:41:46.483Z,21523,-0.04572286,-0.67028874,-0.8451726
1734432106487,2024-12-17T10:41:46.487Z,21527,-0.04572286,-0.67028874,-0.8451726
1734432106501,2024-12-17T10:41:46.501Z,21541,-0.08548237,-0.63433456,-0.82404506
1734432106505,2024-12-17T10:41:46.505Z,21545,-0.08548237,-0.63433456,-0.82404506
1734432106517,2024-12-17T10:41:46.517Z,21557,-0.18540749,-0.626134,-0.69137526
