Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1732203455037,2024-11-21T15:37:35.037Z,25010,0.17130105,-0.56930524,-0.8247356
1732203455044,2024-11-21T15:37:35.044Z,25017,0.17130105,-0.56930524,-0.8247356
1732203455065,2024-11-21T15:37:35.065Z,25038,0.17273273,-0.5956478,-0.8245917
1732203455071,2024-11-21T15:37:35.071Z,25044,0.17273273,-0.5956478,-0.8245917
1732203455088,2024-11-21T15:37:35.088Z,25061,0.16777685,-0.603503,-0.86917615
1732203455093,2024-11-21T15:37:35.093Z,25066,0.16777685,-0.603503,-0.86917615
1732203455180,2024-11-21T15:37:35.180Z,25153,0.19804001,-0.60714144,-0.7226828
1732203455193,2024-11-21T15:37:35.193Z,25166,0.19804001,-0.60714144,-0.7226828
1732203455231,2024-11-21T15:37:35.231Z,25204,0.17948401,-0.6353527,-0.78047967
1732203455241,2024-11-21T15:37:35.241Z,25214,0.17948401,-0.6353527,-0.78047967
1732203455268,2024-11-21T15:37:35.268Z,25241,0.15624619,-0.65398186,-0.82806575
1732203455273,2024-11-21T15:37:35.273Z,25246,0.15624619,-0.65398186,-0.82806575
1732203455348,2024-11-21T15:37:35.348Z,25321,0.11411844,-0.58871007,-0.87527406
1732203455352,2024-11-21T15:37:35.352Z,25325,0.11411844,-0.58871007,-0.87527406
1732203455368,2024-11-21T15:37:35.368Z,25341,0.15657213,-0.59291357,-0.8559536
1732203455374,2024-11-21T15:37:35.374Z,25347,0.15657213,-0.59291357,-0.8559536
1732203455393,2024-11-21T15:37:35.393Z,25366,0.18853703,-0.5913615,-0.8029627
1732203455398,2024-11-21T15:37:35.398Z,25371,0.18853703,-0.5913615,-0.8029627
1732203455420,2024-11-21T15:37:35.420Z,25393,0.20220973,-0.64248323,-0.75006586
1732203455430,2024-11-21T15:37:35.430Z,25403,0.20220973,-0.64248323,-0.75006586
1732203455460,2024-11-21T15:37:35.460Z,25433,0.1845569,-0.6033331,-0.7834614
