Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1734432714256,2024-12-17T10:51:54.256Z,27836,-0.06290301,0.02906423,-0.26145965
1734432714262,2024-12-17T10:51:54.262Z,27842,-0.06290301,0.02906423,-0.26145965
1734432714283,2024-12-17T10:51:54.283Z,27863,-0.054111596,0.03249124,-0.26835975
1734432714291,2024-12-17T10:51:54.291Z,27871,-0.054111596,0.03249124,-0.26835975
1734432714309,2024-12-17T10:51:54.309Z,27889,-0.027602572,0.042699236,-0.26890525
1734432714315,2024-12-17T10:51:54.315Z,27895,-0.027602572,0.042699236,-0.26890525
1734432714330,2024-12-17T10:51:54.330Z,27910,-0.058481008,0.07381962,-0.25623566
1734432714334,2024-12-17T10:51:54.334Z,27914,-0.058481008,0.07381962,-0.25623566
1734432714346,2024-12-17T10:51:54.346Z,27926,-0.08507646,0.096481934,-0.25138545
1734432714351,2024-12-17T10:51:54.351Z,27931,-0.08507646,0.096481934,-0.25138545
1734432714362,2024-12-17T10:51:54.362Z,27942,-0.058279973,0.10050459,-0.2490202
1734432714367,2024-12-17T10:51:54.367Z,27947,-0.058279973,0.10050459,-0.2490202
1734432714378,2024-12-17T10:51:54.378Z,27958,-0.02250159,0.11269279,-0.2595089
1734432714382,2024-12-17T10:51:54.382Z,27962,-0.02250159,0.11269279,-0.2595089
1734432714394,2024-12-17T10:51:54.394Z,27974,-0.030881353,0.13156283,-0.25350824
1734432714398,2024-12-17T10:51:54.398Z,27978,-0.030881353,0.13156283,-0.25350824
1734432714410,2024-12-17T10:51:54.410Z,27990,-0.047471497,0.1600936,-0.24427566
1734432714415,2024-12-17T10:51:54.415Z,27995,-0.047471497,0.1600936,-0.24427566
1734432714428,2024-12-17T10:51:54.428Z,28008,-0.015819894,0.17639156,-0.25524274
1734432714433,2024-12-17T10:51:54.433Z,28013,-0.015819894,0.17639156,-0.25524274
1734432714444,2024-12-17T10:51:54.444Z,28024,0.032270998,0.1829622,-0.26677182
1734432714449,2024-12-17T10:51:54.449Z,28029,0.032270998,0.1829622,-0.26677182
1734432714460,2024-12-17T10:51:54.460Z,28040,0.06619669,0.18905252,-0.25581533
1734432714464,2024-12-17T10:51:54.464Z,28044,0.06619669,0.18905252,-0.25581533
1734432714478,2024-12-17T10:51:54.478Z,28058,0.07933135,0.2003988,-0.25176632
1734432714482,2024-12-17T10:51:54.482Z,28062,0.07933135,0.2003988,-0.25176632
1734432714494,2024-12-17T10:51:54.494Z,28074,0.060932696,0.21112499,-0.27273732
1734432714498,2024-12-17T10:51:54.498Z,28078,0.060932696,0.21112499,-0.27273732
1734432714512,2024-12-17T10:51:54.512Z,28092,0.05095637,0.2339358,-0.2743583
1734432714517,2024-12-17T10:51:54.517Z,28097,0.05095637,0.2339358,-0.2743583
1734432714528,2024-12-17T10:51:54.528Z,28108,0.06522584,0.24306823,-0.27861768
1734432714533,2024-12-17T10:51:54.533Z,28113,0.06522584,0.24306823,-0.27861768
1734432714544,2024-12-17T10:51:54.544Z,28124,0.113360204,0.24149768,-0.27677068
1734432714548,2024-12-17T10:51:54.548Z,28128,0.113360204,0.24149768,-0.27677068
1734432714561,2024-12-17T10:51:54.561Z,28141,0.13272949,0.24480624,-0.25296664
1734432714566,2024-12-17T10:51:54.566Z,28146,0.13272949,0.24480624,-0.25296664
1734432714577,2024-12-17T10:51:54.577Z,28157,0.15298697,0.26744694,-0.25955635
1734432714580,2024-12-17T10:51:54.580Z,28160,0.15298697,0.26744694,-0.25955635
1734432714591,2024-12-17T10:51:54.591Z,28171,0.20256348,0.29689956,-0.27151886
1734432714596,2024-12-17T10:51:54.596Z,28176,0.20256348,0.29689956,-0.27151886
1734432714610,2024-12-17T10:51:54.610Z,28190,0.26071253,0.28213367,-0.32603693
1734432714613,2024-12-17T10:51:54.613Z,28193,0.26071253,0.28213367,-0.32603693
1734432714624,2024-12-17T10:51:54.624Z,28204,0.25297764,0.25787482,-0.33334178
1734432714628,2024-12-17T10:51:54.628Z,28208,0.25297764,0.25787482,-0.33334178
1734432714640,2024-12-17T10:51:54.640Z,28220,0.15448682,0.2683884,-0.29579812
1734432714644,2024-12-17T10:51:54.644Z,28224,0.15448682,0.2683884,-0.29579812
1734432714658,2024-12-17T10:51:54.658Z,28238,0.10455768,0.30083436,-0.282025
1734432714662,2024-12-17T10:51:54.662Z,28242,0.10455768,0.30083436,-0.282025
1734432714673,2024-12-17T10:51:54.673Z,28253,0.1601701,0.3099345,-0.2753103
1734432714677,2024-12-17T10:51:54.677Z,28257,0.1601701,0.3099345,-0.2753103
1734432714689,2024-12-17T10:51:54.689Z,28269,0.23285362,0.30217782,-0.27539927
1734432714693,2024-12-17T10:51:54.693Z,28273,0.23285362,0.30217782,-0.27539927
1734432714704,2024-12-17T10:51:54.704Z,28284,0.22661579,0.28327203,-0.3053412
1734432714709,2024-12-17T10:51:54.709Z,28289,0.22661579,0.28327203,-0.3053412
1734432714722,2024-12-17T10:51:54.722Z,28302,0.19065031,0.28735363,-0.3146063
1734432714726,2024-12-17T10:51:54.726Z,28306,0.19065031,0.28735363,-0.3146063
1734432714739,2024-12-17T10:51:54.739Z,28319,0.191702,0.28388423,-0.31360218
1734432714744,2024-12-17T10:51:54.744Z,28324,0.191702,0.28388423,-0.31360218
1734432714755,2024-12-17T10:51:54.755Z,28335,0.21913683,0.26013604,-0.3188933
1734432714758,2024-12-17T10:51:54.758Z,28338,0.21913683,0.26013604,-0.3188933
1734432714772,2024-12-17T10:51:54.772Z,28352,0.23742402,0.25952902,-0.31530824
1734432714777,2024-12-17T10:51:54.777Z,28357,0.23742402,0.25952902,-0.31530824
1734432714791,2024-12-17T10:51:54.791Z,28371,0.23252152,0.26254496,-0.29730284
1734432714796,2024-12-17T10:51:54.796Z,28376,0.23252152,0.26254496,-0.29730284
1734432714811,2024-12-17T10:51:54.811Z,28391,0.21456595,0.26771164,-0.27381667
1734432714814,2024-12-17T10:51:54.814Z,28394,0.21456595,0.26771164,-0.27381667
1734432714825,2024-12-17T10:51:54.825Z,28405,0.19019192,0.266274,-0.26647255
1734432714829,2024-12-17T10:51:54.829Z,28409,0.19019192,0.266274,-0.26647255
1734432714839,2024-12-17T10:51:54.839Z,28419,0.18383293,0.2411119,-0.26604307
1734432714843,2024-12-17T10:51:54.843Z,28423,0.18383293,0.2411119,-0.26604307
1734432714856,2024-12-17T10:51:54.856Z,28436,0.1882783,0.20486963,-0.26422048
1734432714861,2024-12-17T10:51:54.861Z,28441,0.1882783,0.20486963,-0.26422048
1734432714874,2024-12-17T10:51:54.874Z,28454,0.19420955,0.16488111,-0.26296875
1734432714878,2024-12-17T10:51:54.878Z,28458,0.19420955,0.16488111,-0.26296875
1734432714892,2024-12-17T10:51:54.892Z,28472,0.19318874,0.16653812,-0.2541786
1734432714897,2024-12-17T10:51:54.897Z,28477,0.19318874,0.16653812,-0.2541786
1734432714911,2024-12-17T10:51:54.911Z,28491,0.16159017,0.17086186,-0.2402573
1734432714915,2024-12-17T10:51:54.915Z,28495,0.16159017,0.17086186,-0.2402573
1734432714928,2024-12-17T10:51:54.928Z,28508,0.12842621,0.13000007,-0.22680433
1734432714932,2024-12-17T10:51:54.932Z,28512,0.12842621,0.13000007,-0.22680433
1734432714944,2024-12-17T10:51:54.944Z,28524,0.11471386,0.09120129,-0.2174968
1734432714948,2024-12-17T10:51:54.948Z,28528,0.11471386,0.09120129,-0.2174968
1734432714962,2024-12-17T10:51:54.962Z,28542,0.11134394,0.05345561,-0.23369667
1734432714966,2024-12-17T10:51:54.966Z,28546,0.11134394,0.05345561,-0.23369667
1734432714978,2024-12-17T10:51:54.978Z,28558,0.08582366,0.0049540903,-0.24560678
1734432714982,2024-12-17T10:51:54.982Z,28562,0.08582366,0.0049540903,-0.24560678
1734432714992,2024-12-17T10:51:54.992Z,28572,0.07412109,-0.028867692,-0.23422292
1734432714996,2024-12-17T10:51:54.996Z,28576,0.07412109,-0.028867692,-0.23422292
1734432715009,2024-12-17T10:51:55.009Z,28589,0.07733335,-0.026543472,-0.23314165
1734432715013,2024-12-17T10:51:55.013Z,28593,0.07733335,-0.026543472,-0.23314165
1734432715026,2024-12-17T10:51:55.026Z,28606,0.047719818,-0.04179454,-0.2471511
1734432715029,2024-12-17T10:51:55.029Z,28609,0.047719818,-0.04179454,-0.2471511
1734432715043,2024-12-17T10:51:55.043Z,28623,0.019938845,-0.09114513,-0.25992677
1734432715047,2024-12-17T10:51:55.047Z,28627,0.019938845,-0.09114513,-0.25992677
1734432715060,2024-12-17T10:51:55.060Z,28640,0.023428481,-0.12969373,-0.27870739
1734432715065,2024-12-17T10:51:55.065Z,28645,0.023428481,-0.12969373,-0.27870739
1734432715078,2024-12-17T10:51:55.078Z,28658,9.242666E-4,-0.16096646,-0.29531458
1734432715083,2024-12-17T10:51:55.083Z,28663,9.242666E-4,-0.16096646,-0.29531458
1734432715095,2024-12-17T10:51:55.095Z,28675,-0.040414255,-0.16013294,-0.25115317
1734432715099,2024-12-17T10:51:55.099Z,28679,-0.040414255,-0.16013294,-0.25115317
1734432715114,2024-12-17T10:51:55.114Z,28694,-0.10202107,-0.19702114,-0.2382725
1734432715118,2024-12-17T10:51:55.118Z,28698,-0.10202107,-0.19702114,-0.2382725
1734432715130,2024-12-17T10:51:55.130Z,28710,-0.13860029,-0.26204252,-0.24125527
1734432715134,2024-12-17T10:51:55.134Z,28714,-0.13860029,-0.26204252,-0.24125527
1734432715148,2024-12-17T10:51:55.148Z,28728,-0.11815765,-0.26614133,-0.19438568
1734432715153,2024-12-17T10:51:55.153Z,28733,-0.11815765,-0.26614133,-0.19438568
1734432715167,2024-12-17T10:51:55.167Z,28747,-0.10044646,-0.24398655,-0.17802334
1734432715171,2024-12-17T10:51:55.171Z,28751,-0.10044646,-0.24398655,-0.17802334
1734432715184,2024-12-17T10:51:55.184Z,28764,-0.086406685,-0.23793481,-0.20493416
1734432715188,2024-12-17T10:51:55.188Z,28768,-0.086406685,-0.23793481,-0.20493416
1734432715201,2024-12-17T10:51:55.201Z,28781,-0.07747427,-0.2658628,-0.20901471
1734432715204,2024-12-17T10:51:55.204Z,28784,-0.07747427,-0.2658628,-0.20901471
